frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,3.05,-2.86,3.05,-2.87,2.86,2.98,1.11,5.92,5.92,5.92
20.20,3.07,-2.85,3.08,-2.85,2.85,2.98,1.15,5.92,5.93,5.93
20.40,3.10,-2.83,3.10,-2.84,2.84,2.97,1.18,5.94,5.94,5.94
20.61,3.11,-2.83,3.12,-2.82,2.83,2.96,1.22,5.94,5.95,5.95
20.81,3.14,-2.80,3.14,-2.82,2.82,2.95,1.25,5.96,5.95,5.95
21.02,3.15,-2.80,3.16,-2.80,2.81,2.95,1.29,5.96,5.96,5.96
21.23,3.16,-2.80,3.18,-2.79,2.80,2.94,1.33,5.96,5.97,5.97
21.44,3.20,-2.77,3.19,-2.79,2.79,2.93,1.37,5.99,5.98,5.98
21.66,3.20,-2.77,3.20,-2.78,2.79,2.92,1.41,5.99,5.99,5.98
21.87,3.20,-2.78,3.20,-2.78,2.78,2.91,1.46,5.99,5.99,5.99
22.09,3.20,-2.78,3.20,-2.79,2.78,2.90,1.50,5.98,5.98,5.99
22.31,3.20,-2.79,3.21,-2.78,2.78,2.90,1.55,5.98,5.99,6.00
22.54,3.23,-2.77,3.23,-2.77,2.77,2.89,1.59,6.01,6.00,6.00
22.76,3.24,-2.76,3.24,-2.77,2.77,2.88,1.64,6.01,6.00,6.01
22.99,3.24,-2.76,3.25,-2.76,2.76,2.87,1.69,6.01,6.01,6.01
23.22,3.24,-2.76,3.26,-2.75,2.75,2.86,1.74,6.00,6.01,6.01
23.45,3.28,-2.73,3.27,-2.75,2.74,2.85,1.79,6.02,6.01,6.02
23.69,3.28,-2.73,3.28,-2.73,2.73,2.84,1.84,6.01,6.01,6.02
23.92,3.28,-2.73,3.30,-2.72,2.72,2.83,1.89,6.00,6.02,6.02
24.16,3.33,-2.68,3.32,-2.70,2.71,2.82,1.95,6.05,6.03,6.02
24.40,3.33,-2.69,3.33,-2.69,2.70,2.81,2.00,6.04,6.03,6.03
24.65,3.33,-2.69,3.34,-2.69,2.70,2.80,2.06,6.03,6.03,6.03
24.89,3.33,-2.69,3.33,-2.69,2.69,2.79,2.11,6.02,6.02,6.03
25.14,3.33,-2.69,3.34,-2.69,2.68,2.78,2.17,6.02,6.02,6.03
25.39,3.35,-2.67,3.35,-2.68,2.68,2.77,2.22,6.03,6.02,6.03
