frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,7.49,-1.26,7.50,-1.26,1.25,1.02,0.67,8.74,8.75,8.75
20.20,7.52,-1.24,7.51,-1.25,1.25,1.04,0.69,8.78,8.76,8.76
20.40,7.52,-1.25,7.52,-1.25,1.26,1.05,0.71,8.78,8.78,8.77
20.61,7.52,-1.26,7.53,-1.26,1.26,1.07,0.73,8.79,8.79,8.78
20.81,7.52,-1.26,7.52,-1.27,1.27,1.09,0.76,8.79,8.79,8.78
21.02,7.52,-1.27,7.52,-1.27,1.27,1.10,0.78,8.80,8.80,8.79
21.23,7.52,-1.28,7.52,-1.28,1.28,1.12,0.80,8.80,8.80,8.80
21.44,7.52,-1.29,7.52,-1.29,1.29,1.14,0.83,8.81,8.81,8.81
21.66,7.52,-1.29,7.52,-1.29,1.29,1.16,0.85,8.82,8.82,8.81
21.87,7.52,-1.30,7.52,-1.30,1.30,1.17,0.88,8.82,8.82,8.82
22.09,7.52,-1.30,7.52,-1.30,1.31,1.19,0.91,8.83,8.83,8.82
22.31,7.52,-1.31,7.52,-1.31,1.31,1.21,0.93,8.83,8.83,8.83
22.54,7.52,-1.31,7.52,-1.31,1.31,1.22,0.96,8.83,8.83,8.83
22.76,7.52,-1.32,7.52,-1.32,1.31,1.24,0.99,8.84,8.84,8.84
22.99,7.52,-1.32,7.52,-1.32,1.32,1.26,1.02,8.84,8.84,8.84
23.22,7.52,-1.32,7.52,-1.33,1.32,1.28,1.05,8.85,8.85,8.84
23.45,7.52,-1.33,7.53,-1.32,1.33,1.29,1.08,8.85,8.86,8.85
23.69,7.52,-1.33,7.52,-1.33,1.34,1.31,1.11,8.86,8.86,8.85
23.92,7.52,-1.33,7.51,-1.35,1.35,1.33,1.15,8.88,8.86,8.85
24.16,7.47,-1.38,7.49,-1.36,1.37,1.34,1.18,8.84,8.86,8.85
24.40,7.47,-1.39,7.47,-1.39,1.39,1.36,1.21,8.86,8.86,8.86
24.65,7.47,-1.39,7.46,-1.41,1.41,1.37,1.25,8.88,8.86,8.86
24.89,7.42,-1.44,7.44,-1.43,1.43,1.39,1.28,8.85,8.87,8.86
25.14,7.42,-1.44,7.41,-1.45,1.45,1.41,1.31,8.87,8.86,8.86
25.39,7.38,-1.48,7.39,-1.47,1.46,1.42,1.35,8.84,8.85,8.86
25.65,7.38,-1.48,7.38,-1.48,1.47,1.44,1.38,8.86,8.86,8.86
25.91,7.38,-1.48,7.38,-1.49,1.48,1.45,1.42,8.86,8.86,8.86
26.16,7.38,-1.48,7.38,-1.48,1.48,1.47,1.45,8.87,8.87,8.86
26.43,7.38,-1.48,7.38,-1.48,1.49,1.48,1.48,8.87,8.87,8.86
26.69,7.38,-1.48,7.38,-1.48,1.49,1.49,1.52,8.87,8.87,8.86
26.96,7.38,-1.48,7.38,-1.48,1.48,1.51,1.55,8.87,8.87,8.86
27.23,7.38,-1.48,7.38,-1.48,1.48,1.52,1.58,8.87,8.87,8.86
27.50,7.38,-1.48,7.38,-1.48,1.48,1.53,1.61,8.86,8.86,8.86
27.77,7.38,-1.48,7.38,-1.48,1.48,1.55,1.64,8.86,8.86,8.86
28.05,7.38,-1.48,7.38,-1.48,1.48,1.56,1.67,8.87,8.87,8.86
28.33,7.38,-1.48,7.38,-1.48,1.48,1.57,1.70,8.87,8.87,8.86
28.62,7.38,-1.48,7.38,-1.48,1.48,1.58,1.73,8.86,8.86,8.86
28.90,7.38,-1.48,7.38,-1.48,1.48,1.59,1.75,8.86,8.86,8.86
29.19,7.38,-1.48,7.38,-1.48,1.48,1.60,1.77,8.86,8.86,8.86
29.48,7.38,-1.48,7.38,-1.48,1.48,1.61,1.79,8.86,8.86,8.86
29.78,7.38,-1.48,7.38,-1.48,1.48,1.62,1.81,8.86,8.86,8.86
30.08,7.38,-1.48,7.39,-1.48,1.48,1.62,1.83,8.86,8.87,8.86
30.38,7.38,-1.47,7.38,-1.48,1.48,1.63,1.84,8.87,8.87,8.85
30.68,7.38,-1.47,7.37,-1.48,1.49,1.64,1.85,8.87,8.86,8.85
30.99,7.35,-1.50,7.36,-1.49,1.50,1.64,1.86,8.85,8.85,8.85
31.30,7.33,-1.51,7.35,-1.50,1.50,1.65,1.86,8.84,8.85,8.84
31.61,7.33,-1.51,7.33,-1.51,1.51,1.65,1.86,8.85,8.84,8.84
