frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,5.84,-3.15,5.84,-3.15,3.17,2.83,1.44,9.02,9.02,8.99
20.20,5.84,-3.16,5.84,-3.16,3.17,2.85,1.48,9.01,9.01,9.00
20.40,5.84,-3.17,5.84,-3.17,3.16,2.88,1.52,9.00,9.00,9.01
20.61,5.84,-3.18,5.84,-3.17,3.15,2.90,1.56,9.00,9.00,9.02
20.81,5.84,-3.18,5.85,-3.17,3.15,2.92,1.61,8.99,9.00,9.02
21.02,5.88,-3.15,5.87,-3.16,3.14,2.95,1.66,9.02,9.01,9.03
21.23,5.88,-3.16,5.89,-3.15,3.13,2.97,1.71,9.02,9.03,9.04
21.44,5.93,-3.12,5.92,-3.13,3.13,2.99,1.76,9.06,9.05,9.05
21.66,5.93,-3.12,5.95,-3.11,3.11,3.01,1.81,9.05,9.06,9.05
21.87,5.98,-3.08,5.97,-3.09,3.10,3.03,1.86,9.09,9.07,9.06
22.09,5.98,-3.08,5.98,-3.08,3.09,3.05,1.92,9.08,9.07,9.06
22.31,5.98,-3.09,5.99,-3.08,3.09,3.07,1.97,9.07,9.08,9.07
22.54,5.98,-3.09,5.98,-3.09,3.09,3.08,2.03,9.07,9.07,9.07
22.76,5.98,-3.10,5.98,-3.09,3.09,3.10,2.09,9.07,9.07,9.08
22.99,5.98,-3.10,5.98,-3.10,3.09,3.12,2.15,9.08,9.08,9.08
23.22,5.98,-3.10,5.98,-3.10,3.10,3.13,2.21,9.08,9.08,9.08
23.45,5.98,-3.11,5.98,-3.10,3.10,3.15,2.27,9.09,9.09,9.09
23.69,5.98,-3.11,5.98,-3.11,3.11,3.16,2.34,9.09,9.09,9.09
23.92,5.98,-3.11,5.98,-3.11,3.11,3.17,2.40,9.09,9.09,9.09
24.16,5.98,-3.11,5.98,-3.11,3.11,3.19,2.47,9.10,9.10,9.09
24.40,5.98,-3.12,5.98,-3.11,3.12,3.20,2.54,9.10,9.10,9.10
24.65,5.98,-3.12,5.98,-3.12,3.12,3.21,2.61,9.10,9.10,9.10
24.89,5.98,-3.12,5.98,-3.12,3.12,3.22,2.68,9.10,9.10,9.10
25.14,5.98,-3.12,5.98,-3.12,3.11,3.22,2.75,9.10,9.10,9.10
25.39,5.98,-3.12,5.98,-3.12,3.11,3.23,2.82,9.09,9.09,9.10
25.65,5.98,-3.12,5.99,-3.11,3.10,3.24,2.89,9.09,9.09,9.10
25.91,6.00,-3.10,6.00,-3.10,3.10,3.24,2.96,9.10,9.10,9.10
26.16,6.02,-3.08,6.02,-3.09,3.09,3.25,3.03,9.12,9.11,9.10
26.43,6.02,-3.08,6.02,-3.08,3.09,3.25,3.10,9.11,9.11,9.10
26.69,6.02,-3.08,6.02,-3.08,3.08,3.25,3.16,9.11,9.11,9.10
26.96,6.02,-3.08,6.02,-3.08,3.08,3.25,3.23,9.10,9.10,9.10
