frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,-9.61,-16.05,-9.53,-15.97,15.97,14.36,6.34,6.35,6.44,6.44
20.20,-9.63,-16.08,-9.62,-16.07,16.07,14.64,6.48,6.43,6.45,6.45
20.40,-9.69,-16.15,-9.70,-16.16,16.16,14.92,6.63,6.47,6.46,6.46
20.61,-9.76,-16.23,-9.78,-16.25,16.25,15.19,6.79,6.48,6.46,6.47
20.81,-9.82,-16.29,-9.85,-16.32,16.32,15.46,6.95,6.50,6.47,6.46
21.02,-9.87,-16.35,-9.91,-16.39,16.39,15.72,7.11,6.52,6.48,6.47
21.23,-9.91,-16.40,-9.97,-16.45,16.45,15.97,7.27,6.54,6.49,6.48
21.44,-9.99,-16.50,-10.02,-16.51,16.51,16.20,7.45,6.51,6.49,6.50
21.66,-10.04,-16.54,-10.06,-16.55,16.55,16.43,7.62,6.51,6.50,6.50
21.87,-10.07,-16.58,-10.09,-16.59,16.59,16.63,7.80,6.52,6.50,6.51
22.09,-10.11,-16.62,-10.11,-16.62,16.62,16.81,7.99,6.51,6.51,6.51
22.31,-10.15,-16.67,-10.13,-16.65,16.65,16.96,8.18,6.49,6.51,6.52
22.54,-10.15,-16.67,-10.15,-16.67,16.67,17.09,8.37,6.52,6.52,6.52
22.76,-10.15,-16.68,-10.17,-16.69,16.69,17.19,8.57,6.54,6.52,6.53
22.99,-10.15,-16.68,-10.17,-16.69,16.69,17.25,8.78,6.54,6.53,6.52
23.22,-10.15,-16.68,-10.16,-16.69,16.69,17.28,8.99,6.54,6.53,6.52
23.45,-10.15,-16.68,-10.14,-16.67,16.67,17.28,9.20,6.52,6.53,6.53
23.69,-10.11,-16.64,-10.11,-16.65,16.65,17.24,9.43,6.53,6.53,6.53
23.92,-10.07,-16.60,-10.07,-16.60,16.60,17.17,9.65,6.53,6.53,6.53
24.16,-10.02,-16.56,-10.01,-16.55,16.55,17.08,9.89,6.53,6.54,6.54
24.40,-9.96,-16.51,-9.95,-16.49,16.49,16.95,10.13,6.52,6.54,6.55
24.65,-9.87,-16.42,-9.87,-16.41,16.41,16.80,10.37,6.53,6.54,6.54
24.89,-9.78,-16.32,-9.77,-16.31,16.31,16.63,10.63,6.53,6.54,6.54
25.14,-9.67,-16.21,-9.67,-16.21,16.21,16.44,10.89,6.54,6.54,6.54
25.39,-9.55,-16.09,-9.55,-16.09,16.09,16.24,11.15,6.54,6.54,6.54
25.65,-9.42,-15.96,-9.41,-15.95,15.95,16.03,11.42,6.52,6.54,6.54
25.91,-9.27,-15.80,-9.26,-15.80,15.80,15.80,11.69,6.53,6.54,6.54
26.16,-9.11,-15.65,-9.09,-15.63,15.63,15.57,11.97,6.52,6.54,6.54
26.43,-8.93,-15.47,-8.92,-15.46,15.46,15.34,12.26,6.53,6.54,6.54
26.69,-8.73,-15.27,-8.73,-15.27,15.27,15.10,12.55,6.53,6.54,6.54
26.96,-8.54,-15.07,-8.53,-15.07,15.07,14.86,12.84,6.53,6.54,6.54
27.23,-8.33,-14.86,-8.32,-14.86,14.86,14.63,13.13,6.53,6.54,6.53
27.50,-8.10,-14.64,-8.11,-14.64,14.64,14.39,13.42,6.54,6.54,6.53
27.77,-7.89,-14.43,-7.89,-14.42,14.42,14.16,13.71,6.53,6.54,6.54
28.05,-7.64,-14.18,-7.66,-14.19,14.19,13.92,14.00,6.55,6.54,6.54
28.33,-7.41,-13.95,-7.42,-13.96,13.96,13.69,14.28,6.55,6.54,6.53
28.62,-7.19,-13.72,-7.19,-13.72,13.72,13.47,14.55,6.54,6.54,6.53
28.90,-6.94,-13.48,-6.95,-13.48,13.48,13.24,14.80,6.54,6.53,6.54
29.19,-6.70,-13.24,-6.71,-13.24,13.24,13.02,15.04,6.54,6.53,6.54
29.48,-6.47,-13.00,-6.47,-13.00,13.00,12.81,15.25,6.53,6.53,6.53
29.78,-6.24,-12.76,-6.23,-12.76,12.76,12.60,15.44,6.53,6.53,6.53
30.08,-5.99,-12.52,-6.00,-12.52,12.52,12.38,15.59,6.54,6.53,6.54
30.38,-5.77,-12.29,-5.76,-12.28,12.28,12.18,15.71,6.52,6.52,6.52
30.68,-5.52,-12.04,-5.53,-12.05,12.05,11.97,15.80,6.52,6.52,6.52
30.99,-5.28,-11.79,-5.30,-11.81,11.81,11.77,15.83,6.53,6.51,6.51
31.30,-5.08,-11.59,-5.07,-11.58,11.58,11.56,15.83,6.50,6.51,6.51
31.61,-4.84,-11.35,-4.85,-11.35,11.35,11.36,15.78,6.51,6.50,6.51
31.93,-4.63,-11.12,-4.62,-11.12,11.12,11.16,15.69,6.50,6.50,6.49
32.24,-4.41,-10.91,-4.41,-10.90,10.90,10.97,15.56,6.49,6.49,6.50
32.57,-4.19,-10.67,-4.20,-10.68,10.68,10.77,15.40,6.50,6.49,6.48
32.89,-3.97,-10.45,-3.99,-10.47,10.47,10.57,15.20,6.50,6.48,6.48
33.22,-3.79,-10.26,-3.79,-10.26,10.26,10.37,14.97,6.47,6.47,6.47
33.55,-3.58,-10.05,-3.59,-10.05,10.05,10.18,14.72,6.47,6.47,6.47
33.89,-3.38,-9.84,-3.39,-9.85,9.85,9.98,14.44,6.47,6.46,6.46
34.23,-3.21,-9.66,-3.20,-9.65,9.65,9.79,14.16,6.43,6.45,6.45
34.57,-3.01,-9.45,-3.01,-9.45,9.45,9.60,13.86,6.44,6.44,6.44
34.92,-2.83,-9.25,-2.83,-9.26,9.26,9.40,13.55,6.43,6.43,6.42
35.27,-2.67,-9.09,-2.65,-9.07,9.07,9.21,13.24,6.40,6.42,6.43
35.62,-2.49,-8.89,-2.48,-8.88,8.88,9.02,12.93,6.39,6.40,6.40
35.97,-2.30,-8.69,-2.31,-8.70,8.70,8.84,12.61,6.40,6.39,6.39
36.33,-2.14,-8.52,-2.15,-8.52,8.52,8.65,12.30,6.38,6.37,6.38
36.70,-1.98,-8.34,-1.98,-8.34,8.34,8.47,11.98,6.36,6.36,6.36
37.06,-1.82,-8.16,-1.83,-8.17,8.17,8.29,11.67,6.35,6.34,6.34
37.43,-1.66,-7.98,-1.67,-8.00,8.00,8.11,11.37,6.34,6.32,6.32
37.81,-1.52,-7.83,-1.52,-7.83,7.83,7.93,11.07,6.31,6.31,6.30
38.19,-1.39,-7.68,-1.38,-7.67,7.67,7.76,10.77,6.27,6.29,6.29
38.57,-1.23,-7.50,-1.24,-7.51,7.51,7.59,10.48,6.27,6.27,6.27
38.95,-1.10,-7.35,-1.10,-7.35,7.35,7.42,10.19,6.25,6.25,6.25
39.34,-0.98,-7.20,-0.97,-7.19,7.19,7.26,9.91,6.21,6.22,6.22
39.74,-0.83,-7.03,-0.84,-7.04,7.04,7.10,9.64,6.21,6.20,6.20
40.14,-0.72,-6.90,-0.72,-6.89,6.89,6.94,9.37,6.17,6.18,6.18
40.54,-0.58,-6.74,-0.60,-6.75,6.75,6.79,9.10,6.16,6.15,6.16
40.94,-0.48,-6.61,-0.48,-6.61,6.61,6.64,8.84,6.12,6.13,6.12
41.35,-0.36,-6.47,-0.37,-6.47,6.47,6.49,8.59,6.10,6.10,6.10
41.76,-0.25,-6.32,-0.26,-6.33,6.33,6.35,8.34,6.08,6.07,6.07
42.18,-0.15,-6.20,-0.15,-6.19,6.19,6.21,8.10,6.04,6.04,6.05
42.60,-0.05,-6.07,-0.05,-6.06,6.06,6.07,7.86,6.01,6.01,6.02
43.03,0.06,-5.93,0.05,-5.93,5.93,5.93,7.62,5.99,5.98,5.98
43.46,0.16,-5.79,0.15,-5.80,5.80,5.80,7.39,5.96,5.95,5.95
43.90,0.24,-5.68,0.24,-5.67,5.67,5.67,7.17,5.91,5.92,5.91
44.33,0.34,-5.54,0.33,-5.55,5.55,5.55,6.95,5.89,5.88,5.88
44.78,0.41,-5.44,0.42,-5.43,5.43,5.42,6.73,5.83,5.85,5.84
45.23,0.51,-5.31,0.50,-5.31,5.31,5.30,6.52,5.81,5.81,5.82
45.68,0.58,-5.19,0.58,-5.19,5.19,5.19,6.31,5.76,5.77,5.77
46.13,0.67,-5.06,0.66,-5.07,5.07,5.07,6.11,5.74,5.73,5.72
46.60,0.73,-4.96,0.73,-4.95,4.95,4.96,5.90,5.68,5.68,5.68
47.06,0.81,-4.84,0.80,-4.84,4.84,4.85,5.71,5.65,5.64,5.65
47.53,0.87,-4.74,0.87,-4.73,4.73,4.74,5.51,5.60,5.60,5.61
48.01,0.93,-4.62,0.93,-4.62,4.62,4.63,5.32,5.54,5.55,5.55
48.49,1.00,-4.51,0.99,-4.51,4.51,4.53,5.13,5.51,5.51,5.51
48.97,1.05,-4.41,1.05,-4.40,4.40,4.43,4.95,5.45,5.46,5.45
49.46,1.11,-4.31,1.11,-4.30,4.30,4.33,4.77,5.41,5.41,5.41
49.96,1.17,-4.18,1.16,-4.20,4.20,4.24,4.59,5.36,5.36,5.35
50.46,1.22,-4.09,1.22,-4.10,4.10,4.14,4.41,5.31,5.31,5.31
50.96,1.27,-4.00,1.26,-4.00,4.00,4.05,4.24,5.27,5.26,5.26
51.47,1.31,-3.91,1.31,-3.91,3.91,3.96,4.07,5.21,5.21,5.22
51.99,1.36,-3.80,1.35,-3.81,3.81,3.87,3.91,5.17,5.16,5.16
52.51,1.40,-3.72,1.39,-3.72,3.72,3.78,3.75,5.11,5.11,5.11
53.03,1.44,-3.64,1.43,-3.63,3.63,3.70,3.59,5.06,5.06,5.08
53.56,1.47,-3.55,1.47,-3.54,3.54,3.61,3.43,5.00,5.01,5.02
54.10,1.51,-3.45,1.51,-3.45,3.45,3.53,3.28,4.96,4.96,4.96
54.64,1.55,-3.36,1.54,-3.37,3.37,3.45,3.14,4.92,4.91,4.91
55.18,1.56,-3.29,1.56,-3.29,3.29,3.37,2.99,4.85,4.86,4.85
55.74,1.59,-3.21,1.59,-3.22,3.22,3.29,2.85,4.80,4.81,4.79
56.29,1.62,-3.13,1.62,-3.14,3.14,3.22,2.72,4.76,4.76,4.75
56.86,1.64,-3.07,1.64,-3.07,3.07,3.14,2.58,4.70,4.71,4.71
57.42,1.68,-2.96,1.66,-2.99,2.99,3.07,2.46,4.67,4.65,4.64
58.00,1.68,-2.92,1.68,-2.92,2.92,3.00,2.33,4.60,4.60,4.59
58.58,1.70,-2.86,1.70,-2.85,2.85,2.93,2.21,4.54,4.54,4.56
59.16,1.72,-2.79,1.71,-2.77,2.77,2.86,2.10,4.49,4.49,4.51
59.76,1.72,-2.74,1.73,-2.70,2.70,2.79,1.99,4.42,4.43,4.46
60.35,1.72,-2.67,1.74,-2.63,2.63,2.72,1.89,4.35,4.37,4.39
60.96,1.77,-2.56,1.75,-2.57,2.57,2.65,1.79,4.33,4.31,4.32
61.57,1.77,-2.48,1.75,-2.50,2.50,2.59,1.69,4.26,4.25,4.25
62.18,1.77,-2.41,1.76,-2.43,2.43,2.53,1.60,4.19,4.19,4.18
62.80,1.77,-2.34,1.77,-2.36,2.36,2.46,1.52,4.12,4.12,4.11
63.43,1.77,-2.28,1.77,-2.29,2.29,2.40,1.44,4.06,4.06,4.04
64.07,1.77,-2.22,1.77,-2.22,2.22,2.34,1.36,3.99,4.00,3.98
64.71,1.77,-2.16,1.77,-2.16,2.16,2.28,1.29,3.92,3.93,3.93
65.35,1.77,-2.10,1.77,-2.09,2.09,2.22,1.22,3.86,3.87,3.86
66.01,1.77,-2.04,1.77,-2.03,2.03,2.16,1.16,3.80,3.80,3.80
66.67,1.77,-1.98,1.77,-1.97,1.97,2.11,1.10,3.74,3.74,3.75
67.33,1.77,-1.91,1.76,-1.91,1.91,2.05,1.05,3.68,3.67,3.67
68.01,1.77,-1.84,1.75,-1.85,1.85,1.99,0.99,3.62,3.61,3.61
68.69,1.77,-1.77,1.74,-1.80,1.80,1.94,0.95,3.56,3.54,3.54
69.37,1.72,-1.77,1.74,-1.74,1.74,1.89,0.90,3.45,3.47,3.48
70.07,1.72,-1.70,1.73,-1.68,1.68,1.83,0.86,3.40,3.41,3.41
70.77,1.72,-1.63,1.71,-1.62,1.62,1.78,0.82,3.34,3.34,3.34
71.48,1.70,-1.57,1.70,-1.56,1.56,1.73,0.79,3.26,3.27,3.27
72.19,1.68,-1.52,1.69,-1.51,1.51,1.68,0.75,3.19,3.20,3.20
72.91,1.68,-1.44,1.67,-1.46,1.46,1.62,0.72,3.13,3.13,3.12
73.64,1.65,-1.40,1.65,-1.40,1.40,1.57,0.69,3.05,3.06,3.04
