frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,3.13,-8.33,3.12,-8.34,8.35,8.06,3.33,11.48,11.47,11.45
20.20,3.13,-8.34,3.14,-8.32,8.32,8.05,3.42,11.45,11.46,11.46
20.40,3.17,-8.30,3.18,-8.30,8.29,8.04,3.52,11.46,11.46,11.47
20.61,3.22,-8.27,3.21,-8.27,8.25,8.03,3.62,11.47,11.47,11.48
20.81,3.27,-8.21,3.26,-8.23,8.22,8.02,3.72,11.49,11.48,11.48
21.02,3.30,-8.20,3.31,-8.19,8.19,8.00,3.82,11.49,11.49,11.49
21.23,3.35,-8.16,3.35,-8.15,8.15,7.99,3.93,11.50,11.50,11.50
21.44,3.40,-8.11,3.39,-8.12,8.12,7.97,4.04,11.52,11.51,11.51
21.66,3.43,-8.09,3.44,-8.08,8.08,7.96,4.16,11.51,11.52,11.51
21.87,3.48,-8.04,3.48,-8.04,8.05,7.94,4.28,11.52,11.52,11.52
22.09,3.52,-8.00,3.52,-8.01,8.01,7.92,4.40,11.53,11.53,11.52
22.31,3.56,-7.97,3.56,-7.97,7.98,7.91,4.52,11.53,11.53,11.53
22.54,3.59,-7.95,3.59,-7.94,7.94,7.89,4.65,11.53,11.53,11.53
22.76,3.64,-7.90,3.63,-7.91,7.91,7.87,4.78,11.54,11.54,11.54
22.99,3.67,-7.88,3.67,-7.87,7.87,7.85,4.92,11.54,11.54,11.54
23.22,3.71,-7.84,3.71,-7.83,7.83,7.82,5.06,11.54,11.55,11.54
23.45,3.76,-7.79,3.75,-7.80,7.80,7.80,5.20,11.56,11.55,11.55
23.69,3.79,-7.77,3.79,-7.76,7.76,7.78,5.34,11.55,11.55,11.55
23.92,3.82,-7.73,3.83,-7.73,7.73,7.76,5.49,11.55,11.56,11.55
24.16,3.87,-7.68,3.86,-7.69,7.70,7.73,5.64,11.57,11.56,11.55
24.40,3.90,-7.66,3.90,-7.66,7.66,7.71,5.79,11.56,11.56,11.56
24.65,3.93,-7.64,3.93,-7.63,7.63,7.68,5.95,11.56,11.56,11.56
24.89,3.96,-7.60,3.96,-7.60,7.60,7.65,6.11,11.56,11.56,11.56
25.14,4.00,-7.56,3.99,-7.57,7.57,7.63,6.27,11.57,11.56,11.56
25.39,4.02,-7.54,4.02,-7.54,7.54,7.60,6.43,11.55,11.56,11.56
25.65,4.06,-7.51,4.06,-7.50,7.50,7.57,6.60,11.56,11.56,11.56
