frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,6.52,-2.73,6.51,-2.75,2.75,2.55,0.91,9.27,9.26,9.26
20.20,6.52,-2.74,6.55,-2.72,2.72,2.54,0.93,9.24,9.27,9.27
20.40,6.57,-2.70,6.58,-2.69,2.69,2.53,0.96,9.27,9.28,9.28
20.61,6.61,-2.67,6.62,-2.67,2.67,2.52,0.99,9.28,9.28,9.29
20.81,6.64,-2.64,6.65,-2.64,2.64,2.51,1.02,9.28,9.29,9.29
21.02,6.69,-2.60,6.68,-2.61,2.61,2.51,1.05,9.31,9.30,9.30
21.23,6.73,-2.57,6.72,-2.59,2.59,2.50,1.08,9.32,9.31,9.31
21.44,6.76,-2.55,6.75,-2.56,2.56,2.49,1.12,9.32,9.31,9.32
21.66,6.80,-2.51,6.79,-2.53,2.53,2.48,1.15,9.33,9.32,9.32
21.87,6.84,-2.48,6.82,-2.50,2.50,2.46,1.19,9.35,9.32,9.33
22.09,6.85,-2.47,6.85,-2.48,2.48,2.45,1.22,9.33,9.33,9.33
22.31,6.90,-2.43,6.89,-2.45,2.45,2.44,1.26,9.35,9.33,9.34
22.54,6.90,-2.43,6.92,-2.42,2.42,2.43,1.30,9.32,9.34,9.34
22.76,6.94,-2.40,6.95,-2.39,2.39,2.41,1.33,9.33,9.34,9.35
22.99,6.98,-2.36,6.98,-2.37,2.37,2.40,1.37,9.35,9.35,9.35
23.22,6.99,-2.35,7.02,-2.34,2.34,2.39,1.41,9.33,9.35,9.35
23.45,7.04,-2.31,7.05,-2.31,2.31,2.37,1.46,9.35,9.35,9.36
23.69,7.07,-2.28,7.08,-2.28,2.28,2.36,1.50,9.35,9.36,9.36
23.92,7.10,-2.25,7.12,-2.24,2.24,2.34,1.54,9.35,9.36,9.36
24.16,7.15,-2.20,7.15,-2.21,2.21,2.33,1.58,9.36,9.36,9.36
24.40,7.19,-2.17,7.18,-2.18,2.18,2.31,1.63,9.37,9.36,9.37
24.65,7.22,-2.14,7.22,-2.14,2.14,2.29,1.67,9.37,9.36,9.37
24.89,7.25,-2.11,7.25,-2.11,2.11,2.27,1.72,9.36,9.36,9.37
