frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,-9.47,-11.89,-9.49,-11.91,11.93,12.22,4.45,2.46,2.44,2.42
20.20,-9.46,-11.91,-9.44,-11.89,11.89,12.17,4.57,2.43,2.45,2.45
20.40,-9.39,-11.87,-9.39,-11.87,11.86,12.12,4.69,2.46,2.47,2.48
20.61,-9.32,-11.82,-9.32,-11.83,11.81,12.07,4.81,2.49,2.49,2.50
20.81,-9.24,-11.77,-9.25,-11.78,11.76,12.01,4.94,2.52,2.52,2.53
21.02,-9.16,-11.72,-9.17,-11.72,11.71,11.95,5.07,2.55,2.54,2.56
21.23,-9.10,-11.67,-9.09,-11.66,11.66,11.89,5.20,2.55,2.57,2.57
21.44,-8.99,-11.57,-9.01,-11.59,11.59,11.83,5.34,2.60,2.58,2.58
21.66,-8.93,-11.52,-8.93,-11.52,11.52,11.77,5.48,2.59,2.59,2.59
21.87,-8.86,-11.45,-8.85,-11.45,11.45,11.71,5.63,2.59,2.60,2.59
22.09,-8.77,-11.37,-8.78,-11.38,11.38,11.64,5.77,2.60,2.59,2.60
22.31,-8.71,-11.31,-8.70,-11.30,11.30,11.57,5.93,2.59,2.60,2.60
22.54,-8.62,-11.22,-8.63,-11.23,11.23,11.51,6.09,2.60,2.60,2.60
22.76,-8.55,-11.15,-8.55,-11.15,11.15,11.44,6.25,2.60,2.60,2.60
22.99,-8.47,-11.06,-8.48,-11.07,11.07,11.37,6.41,2.60,2.60,2.59
23.22,-8.40,-10.99,-8.40,-10.99,11.00,11.29,6.58,2.59,2.59,2.59
23.45,-8.33,-10.92,-8.33,-10.92,10.92,11.22,6.76,2.59,2.59,2.59
23.69,-8.25,-10.84,-8.26,-10.85,10.84,11.15,6.93,2.59,2.59,2.59
23.92,-8.18,-10.77,-8.18,-10.77,10.77,11.07,7.12,2.59,2.59,2.59
24.16,-8.10,-10.69,-8.11,-10.70,10.69,11.00,7.30,2.59,2.59,2.59
24.40,-8.03,-10.62,-8.03,-10.62,10.62,10.92,7.49,2.59,2.59,2.59
24.65,-7.96,-10.54,-7.96,-10.54,10.55,10.85,7.68,2.58,2.59,2.58
24.89,-7.88,-10.46,-7.89,-10.47,10.48,10.77,7.88,2.59,2.59,2.58
25.14,-7.82,-10.40,-7.82,-10.40,10.40,10.69,8.08,2.58,2.58,2.58
25.39,-7.76,-10.34,-7.76,-10.34,10.33,10.62,8.28,2.57,2.57,2.58
25.65,-7.69,-10.27,-7.69,-10.27,10.26,10.54,8.49,2.57,2.57,2.58
25.91,-7.61,-10.18,-7.62,-10.19,10.19,10.46,8.70,2.58,2.57,2.57
26.16,-7.54,-10.11,-7.55,-10.12,10.12,10.38,8.91,2.58,2.58,2.57
26.43,-7.48,-10.05,-7.48,-10.05,10.05,10.31,9.12,2.57,2.57,2.57
26.69,-7.40,-9.97,-7.41,-9.98,9.98,10.23,9.33,2.57,2.57,2.57
26.96,-7.34,-9.91,-7.34,-9.91,9.90,10.15,9.53,2.56,2.56,2.57
27.23,-7.27,-9.83,-7.27,-9.83,9.83,10.07,9.74,2.55,2.56,2.56
27.50,-7.19,-9.75,-7.20,-9.75,9.75,9.99,9.94,2.56,2.56,2.56
27.77,-7.12,-9.67,-7.12,-9.68,9.68,9.91,10.14,2.56,2.56,2.55
28.05,-7.05,-9.60,-7.05,-9.60,9.61,9.83,10.33,2.56,2.55,2.55
28.33,-6.99,-9.53,-6.99,-9.53,9.54,9.75,10.52,2.54,2.55,2.54
28.62,-6.92,-9.46,-6.92,-9.46,9.46,9.68,10.69,2.54,2.54,2.54
