frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,-5.54,-9.55,-5.54,-9.55,9.56,8.89,3.65,4.03,4.02,4.01
20.20,-5.51,-9.55,-5.50,-9.54,9.54,8.91,3.75,4.04,4.04,4.04
20.40,-5.46,-9.53,-5.46,-9.53,9.52,8.94,3.85,4.06,4.06,4.07
20.61,-5.42,-9.51,-5.41,-9.50,9.49,8.96,3.96,4.08,4.09,4.09
20.81,-5.35,-9.47,-5.35,-9.47,9.46,8.98,4.06,4.11,4.11,4.12
21.02,-5.28,-9.43,-5.29,-9.43,9.42,9.00,4.18,4.15,4.14,4.15
21.23,-5.23,-9.39,-5.22,-9.39,9.38,9.01,4.29,4.16,4.16,4.16
21.44,-5.18,-9.35,-5.17,-9.34,9.34,9.02,4.41,4.17,4.17,4.17
21.66,-5.11,-9.29,-5.11,-9.29,9.29,9.03,4.53,4.18,4.18,4.18
21.87,-5.05,-9.23,-5.05,-9.23,9.23,9.03,4.66,4.19,4.18,4.18
22.09,-5.00,-9.19,-4.99,-9.18,9.18,9.03,4.78,4.18,4.19,4.19
22.31,-4.93,-9.12,-4.93,-9.12,9.12,9.03,4.92,4.19,4.19,4.19
22.54,-4.87,-9.06,-4.87,-9.06,9.05,9.02,5.05,4.19,4.19,4.19
22.76,-4.81,-9.00,-4.81,-8.99,8.99,9.01,5.19,4.19,4.19,4.19
22.99,-4.75,-8.93,-4.75,-8.93,8.93,8.99,5.33,4.19,4.19,4.18
23.22,-4.69,-8.87,-4.69,-8.87,8.87,8.98,5.48,4.19,4.19,4.18
23.45,-4.63,-8.81,-4.63,-8.81,8.82,8.95,5.63,4.19,4.19,4.18
23.69,-4.58,-8.76,-4.58,-8.76,8.76,8.93,5.78,4.18,4.18,4.18
23.92,-4.53,-8.71,-4.53,-8.71,8.70,8.90,5.94,4.17,4.17,4.18
24.16,-4.48,-8.66,-4.47,-8.65,8.64,8.87,6.10,4.17,4.17,4.18
24.40,-4.42,-8.60,-4.42,-8.59,8.59,8.83,6.26,4.17,4.17,4.18
24.65,-4.36,-8.53,-4.36,-8.53,8.53,8.80,6.42,4.18,4.18,4.17
24.89,-4.30,-8.47,-4.30,-8.47,8.48,8.76,6.59,4.18,4.18,4.17
25.14,-4.25,-8.42,-4.25,-8.42,8.42,8.71,6.76,4.18,4.17,4.17
25.39,-4.21,-8.38,-4.20,-8.37,8.36,8.67,6.93,4.16,4.16,4.17
25.65,-4.16,-8.33,-4.15,-8.32,8.31,8.62,7.11,4.15,4.16,4.17
25.91,-4.10,-8.26,-4.09,-8.26,8.25,8.57,7.28,4.16,4.16,4.16
26.16,-4.03,-8.19,-4.03,-8.19,8.20,8.52,7.45,4.17,4.17,4.16
26.43,-3.97,-8.13,-3.98,-8.14,8.15,8.46,7.63,4.18,4.17,4.16
26.69,-3.94,-8.10,-3.93,-8.09,8.09,8.40,7.80,4.15,4.16,4.16
26.96,-3.89,-8.05,-3.88,-8.04,8.04,8.34,7.98,4.15,4.15,4.16
27.23,-3.83,-7.98,-3.84,-7.99,7.98,8.28,8.15,4.15,4.15,4.15
27.50,-3.79,-7.94,-3.78,-7.93,7.93,8.22,8.31,4.14,4.15,4.15
27.77,-3.74,-7.88,-3.74,-7.88,7.88,8.16,8.47,4.14,4.14,4.14
28.05,-3.69,-7.83,-3.68,-7.82,7.82,8.09,8.63,4.14,4.14,4.14
28.33,-3.64,-7.77,-3.63,-7.77,7.77,8.02,8.78,4.14,4.14,4.13
28.62,-3.58,-7.71,-3.59,-7.72,7.72,7.95,8.92,4.14,4.13,4.13
28.90,-3.55,-7.68,-3.54,-7.67,7.66,7.88,9.05,4.12,4.12,4.13
29.19,-3.50,-7.62,-3.49,-7.61,7.61,7.81,9.17,4.11,4.12,4.12
29.48,-3.44,-7.56,-3.44,-7.56,7.56,7.74,9.28,4.12,4.12,4.12
29.78,-3.39,-7.50,-3.39,-7.50,7.51,7.67,9.38,4.12,4.11,4.11
30.08,-3.35,-7.46,-3.34,-7.45,7.45,7.59,9.46,4.11,4.11,4.11
30.38,-3.30,-7.40,-3.30,-7.40,7.40,7.52,9.52,4.10,4.10,4.10
30.68,-3.25,-7.35,-3.25,-7.35,7.35,7.44,9.57,4.10,4.10,4.10
30.99,-3.22,-7.31,-3.21,-7.30,7.30,7.37,9.60,4.08,4.09,4.09
31.30,-3.16,-7.24,-3.17,-7.25,7.25,7.29,9.62,4.09,4.08,4.08
31.61,-3.13,-7.21,-3.12,-7.20,7.20,7.21,9.62,4.07,4.07,4.08
31.93,-3.08,-7.15,-3.08,-7.15,7.14,7.14,9.60,4.07,4.07,4.07
32.24,-3.03,-7.09,-3.03,-7.09,7.09,7.06,9.56,4.07,4.06,4.06
32.57,-2.99,-7.05,-2.98,-7.04,7.04,6.98,9.51,4.06,4.06,4.06
32.89,-2.94,-6.99,-2.94,-6.99,6.99,6.91,9.45,4.06,4.05,4.05
33.22,-2.90,-6.94,-2.89,-6.94,6.94,6.83,9.37,4.04,4.05,4.04
33.55,-2.85,-6.89,-2.85,-6.89,6.89,6.75,9.28,4.04,4.04,4.04
33.89,-2.82,-6.85,-2.81,-6.84,6.84,6.67,9.18,4.02,4.03,4.03
34.23,-2.77,-6.79,-2.77,-6.79,6.79,6.60,9.07,4.02,4.02,4.02
34.57,-2.74,-6.75,-2.73,-6.74,6.74,6.52,8.95,4.00,4.01,4.01
34.92,-2.68,-6.68,-2.68,-6.68,6.69,6.44,8.82,4.01,4.00,4.00
35.27,-2.65,-6.64,-2.64,-6.63,6.64,6.37,8.69,3.99,3.99,3.99
35.62,-2.60,-6.58,-2.60,-6.58,6.58,6.29,8.55,3.99,3.98,3.98
35.97,-2.57,-6.54,-2.57,-6.54,6.53,6.22,8.41,3.97,3.97,3.97
36.33,-2.54,-6.50,-2.52,-6.48,6.48,6.14,8.27,3.95,3.96,3.96
36.70,-2.48,-6.43,-2.49,-6.44,6.44,6.07,8.12,3.96,3.95,3.95
37.06,-2.45,-6.39,-2.45,-6.39,6.39,6.00,7.98,3.94,3.94,3.94
37.43,-2.42,-6.35,-2.41,-6.34,6.34,5.92,7.83,3.92,3.93,3.93
37.81,-2.37,-6.29,-2.37,-6.29,6.29,5.85,7.69,3.92,3.92,3.92
38.19,-2.33,-6.24,-2.33,-6.24,6.24,5.78,7.55,3.92,3.91,3.91
38.57,-2.30,-6.20,-2.30,-6.19,6.19,5.71,7.41,3.90,3.90,3.90
38.95,-2.27,-6.16,-2.26,-6.15,6.14,5.64,7.27,3.88,3.88,3.89
39.34,-2.23,-6.10,-2.23,-6.10,6.10,5.57,7.13,3.87,3.87,3.87
39.74,-2.19,-6.05,-2.19,-6.05,6.05,5.50,7.00,3.86,3.86,3.86
40.14,-2.15,-6.00,-2.15,-6.00,6.00,5.44,6.87,3.86,3.85,3.85
40.54,-2.12,-5.96,-2.11,-5.95,5.96,5.37,6.75,3.84,3.84,3.84
40.94,-2.09,-5.92,-2.08,-5.91,5.91,5.30,6.63,3.83,3.83,3.83
41.35,-2.04,-5.86,-2.05,-5.87,5.87,5.24,6.51,3.83,3.82,3.82
41.76,-2.02,-5.83,-2.02,-5.83,5.83,5.17,6.40,3.81,3.81,3.81
42.18,-2.00,-5.80,-1.98,-5.78,5.78,5.11,6.29,3.79,3.80,3.80
42.60,-1.95,-5.74,-1.95,-5.74,5.74,5.05,6.19,3.79,3.78,3.79
43.03,-1.91,-5.69,-1.92,-5.70,5.69,4.99,6.09,3.78,3.77,3.78
43.46,-1.90,-5.66,-1.88,-5.64,5.64,4.93,6.00,3.75,3.76,3.76
43.90,-1.86,-5.60,-1.86,-5.60,5.60,4.87,5.91,3.74,3.74,3.74
44.33,-1.82,-5.54,-1.83,-5.55,5.55,4.82,5.82,3.73,3.72,3.72
44.78,-1.81,-5.51,-1.79,-5.49,5.50,4.76,5.74,3.69,3.71,3.70
45.23,-1.76,-5.44,-1.76,-5.45,5.45,4.71,5.66,3.69,3.69,3.68
45.68,-1.73,-5.40,-1.74,-5.40,5.40,4.65,5.59,3.68,3.67,3.67
46.13,-1.72,-5.37,-1.70,-5.35,5.35,4.60,5.52,3.64,3.66,3.65
46.60,-1.67,-5.31,-1.67,-5.31,5.31,4.55,5.46,3.64,3.64,3.64
47.06,-1.63,-5.25,-1.64,-5.26,5.26,4.50,5.40,3.63,3.62,3.62
47.53,-1.62,-5.22,-1.61,-5.21,5.21,4.46,5.34,3.59,3.60,3.60
48.01,-1.58,-5.17,-1.58,-5.16,5.16,4.41,5.29,3.58,3.58,3.59
48.49,-1.56,-5.12,-1.55,-5.11,5.11,4.37,5.24,3.55,3.55,3.56
48.97,-1.53,-5.06,-1.53,-5.06,5.06,4.32,5.19,3.53,3.53,3.53
49.46,-1.50,-5.00,-1.50,-5.00,5.00,4.28,5.15,3.51,3.50,3.50
49.96,-1.48,-4.95,-1.47,-4.95,4.95,4.24,5.11,3.47,3.48,3.47
50.46,-1.44,-4.89,-1.44,-4.89,4.90,4.21,5.07,3.46,3.45,3.45
50.96,-1.43,-4.86,-1.42,-4.84,4.85,4.17,5.04,3.42,3.43,3.43
51.47,-1.39,-4.79,-1.39,-4.79,4.79,4.14,5.01,3.41,3.40,3.40
51.99,-1.37,-4.75,-1.36,-4.75,4.74,4.11,4.98,3.38,3.38,3.38
52.51,-1.34,-4.70,-1.34,-4.70,4.69,4.08,4.95,3.36,3.36,3.36
53.03,-1.31,-4.65,-1.31,-4.65,4.65,4.05,4.93,3.34,3.34,3.34
53.56,-1.30,-4.61,-1.29,-4.60,4.60,4.03,4.90,3.30,3.31,3.31
54.10,-1.25,-4.54,-1.26,-4.55,4.55,4.00,4.88,3.30,3.29,3.29
54.64,-1.25,-4.51,-1.23,-4.50,4.50,3.98,4.86,3.25,3.26,3.26
55.18,-1.20,-4.44,-1.21,-4.44,4.45,3.97,4.84,3.25,3.24,3.24
55.74,-1.20,-4.41,-1.19,-4.40,4.40,3.95,4.81,3.20,3.21,3.21
56.29,-1.16,-4.35,-1.16,-4.35,4.35,3.94,4.79,3.20,3.19,3.19
56.86,-1.16,-4.33,-1.14,-4.31,4.31,3.93,4.77,3.15,3.17,3.17
57.42,-1.11,-4.25,-1.12,-4.27,4.27,3.93,4.74,3.16,3.15,3.14
58.00,-1.11,-4.23,-1.11,-4.23,4.23,3.92,4.72,3.12,3.12,3.12
58.58,-1.11,-4.21,-1.08,-4.18,4.19,3.92,4.69,3.08,3.10,3.10
59.16,-1.06,-4.14,-1.07,-4.15,4.15,3.92,4.66,3.09,3.08,3.08
59.76,-1.06,-4.12,-1.06,-4.12,4.11,3.93,4.63,3.05,3.05,3.06
60.35,-1.06,-4.09,-1.05,-4.08,4.07,3.93,4.60,3.02,3.02,3.03
60.96,-1.06,-4.06,-1.04,-4.04,4.03,3.94,4.56,2.98,2.99,3.00
61.57,-1.03,-3.99,-1.03,-4.00,4.00,3.95,4.53,2.97,2.97,2.96
62.18,-1.02,-3.95,-1.03,-3.96,3.97,3.97,4.49,2.95,2.94,2.93
62.80,-1.04,-3.94,-1.03,-3.93,3.94,3.98,4.44,2.90,2.91,2.90
63.43,-1.06,-3.93,-1.04,-3.91,3.92,4.00,4.39,2.86,2.87,2.87
64.07,-1.06,-3.90,-1.06,-3.90,3.90,4.02,4.34,2.84,2.84,2.84
64.71,-1.07,-3.89,-1.07,-3.89,3.89,4.04,4.29,2.82,2.82,2.82
65.35,-1.11,-3.90,-1.10,-3.89,3.89,4.05,4.23,2.78,2.79,2.79
66.01,-1.13,-3.89,-1.14,-3.90,3.90,4.07,4.18,2.77,2.76,2.76
66.67,-1.19,-3.92,-1.18,-3.91,3.91,4.09,4.12,2.72,2.73,2.73
67.33,-1.23,-3.93,-1.22,-3.92,3.93,4.10,4.05,2.70,2.71,2.70
68.01,-1.27,-3.94,-1.28,-3.95,3.96,4.10,3.99,2.69,2.68,2.67
68.69,-1.35,-3.99,-1.34,-3.98,3.99,4.11,3.92,2.64,2.65,2.64
69.37,-1.43,-4.04,-1.41,-4.02,4.03,4.11,3.85,2.60,2.61,2.61
70.07,-1.48,-4.06,-1.49,-4.07,4.07,4.10,3.78,2.59,2.58,2.58
70.77,-1.56,-4.11,-1.56,-4.10,4.10,4.08,3.70,2.55,2.55,2.55
71.48,-1.63,-4.15,-1.62,-4.14,4.14,4.06,3.63,2.52,2.52,2.52
72.19,-1.69,-4.17,-1.69,-4.17,4.17,4.02,3.56,2.49,2.49,2.48
72.91,-1.75,-4.20,-1.75,-4.20,4.20,3.98,3.48,2.45,2.45,2.45
73.64,-1.80,-4.21,-1.80,-4.21,4.21,3.93,3.41,2.41,2.41,2.41
74.38,-1.86,-4.24,-1.84,-4.22,4.21,3.88,3.33,2.35,2.37,2.38
75.12,-1.86,-4.20,-1.86,-4.21,4.19,3.81,3.26,2.34,2.33,2.34
75.87,-1.86,-4.17,-1.86,-4.17,4.16,3.74,3.18,2.30,2.30,2.31
76.63,-1.86,-4.14,-1.84,-4.12,4.11,3.66,3.11,2.26,2.27,2.28
77.40,-1.80,-4.05,-1.81,-4.05,4.05,3.58,3.04,2.25,2.24,2.25
78.17,-1.76,-3.97,-1.75,-3.97,3.96,3.49,2.97,2.21,2.21,2.21
78.95,-1.69,-3.87,-1.69,-3.87,3.87,3.40,2.89,2.18,2.18,2.18
79.74,-1.62,-3.77,-1.62,-3.76,3.76,3.31,2.82,2.14,2.14,2.15
80.54,-1.55,-3.66,-1.54,-3.65,3.65,3.21,2.76,2.10,2.11,2.11
81.35,-1.44,-3.52,-1.45,-3.53,3.53,3.12,2.69,2.09,2.07,2.08
82.16,-1.38,-3.42,-1.36,-3.41,3.41,3.02,2.62,2.03,2.04,2.04
82.98,-1.28,-3.29,-1.28,-3.28,3.29,2.93,2.56,2.01,2.01,2.01
83.81,-1.20,-3.17,-1.20,-3.17,3.18,2.83,2.49,1.98,1.98,1.97
84.65,-1.13,-3.06,-1.13,-3.06,3.08,2.74,2.43,1.95,1.95,1.93
85.50,-1.09,-2.99,-1.08,-2.98,2.99,2.65,2.37,1.90,1.91,1.90
86.35,-1.04,-2.90,-1.04,-2.90,2.91,2.56,2.31,1.87,1.87,1.86
87.22,-1.02,-2.84,-1.02,-2.84,2.84,2.47,2.26,1.82,1.83,1.82
88.09,-1.00,-2.78,-1.00,-2.79,2.79,2.38,2.20,1.79,1.78,1.78
88.97,-1.02,-2.76,-1.01,-2.75,2.75,2.30,2.15,1.73,1.74,1.74
89.86,-1.02,-2.72,-1.01,-2.71,2.72,2.22,2.09,1.70,1.70,1.70
90.76,-1.03,-2.68,-1.03,-2.69,2.69,2.14,2.04,1.67,1.66,1.65
91.66,-1.06,-2.67,-1.06,-2.66,2.67,2.07,1.99,1.62,1.62,1.61
92.58,-1.10,-2.66,-1.09,-2.66,2.66,1.99,1.95,1.56,1.57,1.56
93.51,-1.13,-2.65,-1.12,-2.65,2.64,1.92,1.90,1.51,1.52,1.52
94.44,-1.16,-2.64,-1.15,-2.63,2.62,1.86,1.86,1.46,1.47,1.48
95.39,-1.17,-2.60,-1.18,-2.61,2.59,1.79,1.81,1.43,1.42,1.43
96.34,-1.20,-2.58,-1.19,-2.57,2.56,1.73,1.77,1.36,1.37,1.38
97.30,-1.20,-2.53,-1.19,-2.52,2.52,1.66,1.73,1.32,1.32,1.33
98.28,-1.19,-2.47,-1.18,-2.47,2.47,1.60,1.69,1.28,1.28,1.28
99.26,-1.16,-2.40,-1.17,-2.41,2.41,1.55,1.65,1.25,1.24,1.24
100.25,-1.16,-2.35,-1.15,-2.34,2.35,1.49,1.61,1.19,1.20,1.19
101.25,-1.14,-2.28,-1.13,-2.27,2.28,1.43,1.58,1.14,1.14,1.14
102.27,-1.11,-2.20,-1.12,-2.21,2.21,1.38,1.54,1.10,1.09,1.09
103.29,-1.11,-2.15,-1.09,-2.13,2.14,1.33,1.51,1.03,1.05,1.04
104.32,-1.06,-2.06,-1.07,-2.07,2.07,1.28,1.47,1.01,1.00,1.00
105.37,-1.05,-2.00,-1.04,-1.99,1.99,1.23,1.44,0.94,0.95,0.95
106.42,-1.02,-1.92,-1.01,-1.92,1.91,1.18,1.41,0.90,0.90,0.90
107.48,-0.99,-1.84,-0.99,-1.84,1.83,1.14,1.38,0.85,0.84,0.85
108.56,-0.96,-1.76,-0.95,-1.75,1.75,1.09,1.34,0.79,0.79,0.80
109.64,-0.92,-1.67,-0.92,-1.67,1.66,1.05,1.31,0.75,0.75,0.75
110.74,-0.88,-1.58,-0.88,-1.58,1.57,1.00,1.28,0.70,0.70,0.70
111.85,-0.84,-1.49,-0.84,-1.49,1.49,0.96,1.25,0.65,0.64,0.65
112.97,-0.81,-1.40,-0.81,-1.40,1.40,0.92,1.22,0.59,0.60,0.59
114.10,-0.79,-1.33,-0.77,-1.31,1.32,0.88,1.19,0.53,0.54,0.54
115.24,-0.74,-1.22,-0.75,-1.23,1.24,0.84,1.16,0.51,0.49,0.48
116.39,-0.74,-1.17,-0.74,-1.16,1.17,0.80,1.13,0.44,0.44,0.43
117.55,-0.74,-1.11,-0.73,-1.10,1.11,0.76,1.10,0.38,0.38,0.37
118.73,-0.74,-1.06,-0.74,-1.06,1.06,0.72,1.07,0.32,0.32,0.32
119.92,-0.74,-1.01,-0.73,-1.00,1.01,0.68,1.04,0.28,0.28,0.27
121.12,-0.74,-0.96,-0.74,-0.96,0.97,0.64,1.01,0.23,0.23,0.22
122.33,-0.74,-0.91,-0.75,-0.92,0.93,0.61,0.97,0.19,0.17,0.17
123.55,-0.79,-0.91,-0.77,-0.89,0.88,0.57,0.94,0.10,0.11,0.12
124.79,-0.79,-0.86,-0.78,-0.85,0.83,0.53,0.91,0.05,0.05,0.07
126.03,-0.79,-0.81,-0.78,-0.80,0.77,0.50,0.87,-0.01,-0.00,0.02
127.29,-0.74,-0.71,-0.75,-0.72,0.71,0.46,0.84,-0.02,-0.04,-0.03
128.57,-0.74,-0.65,-0.73,-0.64,0.64,0.42,0.80,-0.09,-0.09,-0.09
129.85,-0.70,-0.56,-0.70,-0.56,0.56,0.39,0.77,-0.13,-0.13,-0.14
131.15,-0.67,-0.48,-0.67,-0.48,0.48,0.35,0.73,-0.18,-0.19,-0.19
132.46,-0.64,-0.40,-0.63,-0.39,0.40,0.32,0.70,-0.24,-0.23,-0.24
133.79,-0.60,-0.32,-0.59,-0.31,0.31,0.28,0.66,-0.29,-0.28,-0.28
135.12,-0.55,-0.22,-0.56,-0.23,0.23,0.25,0.62,-0.32,-0.33,-0.33
136.48,-0.52,-0.15,-0.52,-0.15,0.15,0.21,0.58,-0.37,-0.37,-0.37
137.84,-0.51,-0.09,-0.49,-0.07,0.07,0.17,0.54,-0.43,-0.42,-0.42
139.22,-0.46,0.01,-0.47,0.00,0.00,0.14,0.50,-0.45,-0.46,-0.47
140.61,-0.45,0.06,-0.44,0.07,-0.07,0.10,0.46,-0.51,-0.51,-0.51
142.02,-0.41,0.13,-0.41,0.13,-0.13,0.07,0.41,-0.53,-0.54,-0.54
143.44,-0.41,0.17,-0.39,0.19,-0.18,0.03,0.37,-0.59,-0.58,-0.58
144.87,-0.37,0.25,-0.38,0.24,-0.24,-0.01,0.33,-0.60,-0.61,-0.62
146.32,-0.37,0.29,-0.37,0.29,-0.28,-0.05,0.28,-0.65,-0.65,-0.66
