frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,2.50,-2.97,2.49,-2.97,2.99,2.72,1.20,5.48,5.48,5.46
20.20,2.50,-3.00,2.50,-3.00,3.00,2.73,1.24,5.50,5.50,5.49
20.40,2.50,-3.03,2.50,-3.02,3.02,2.74,1.28,5.51,5.52,5.52
20.61,2.50,-3.05,2.51,-3.04,3.03,2.75,1.31,5.52,5.54,5.54
20.81,2.54,-3.04,2.52,-3.06,3.04,2.76,1.35,5.58,5.56,5.57
21.02,2.54,-3.07,2.54,-3.06,3.05,2.77,1.39,5.58,5.58,5.60
21.23,2.54,-3.08,2.56,-3.06,3.05,2.78,1.44,5.59,5.61,5.61
21.44,2.59,-3.04,2.57,-3.06,3.06,2.79,1.48,5.65,5.63,5.62
21.66,2.59,-3.05,2.58,-3.05,3.06,2.80,1.52,5.65,5.64,5.63
21.87,2.59,-3.05,2.59,-3.05,3.06,2.81,1.57,5.64,5.65,5.63
22.09,2.59,-3.06,2.59,-3.06,3.06,2.81,1.62,5.64,5.64,5.64
22.31,2.59,-3.06,2.59,-3.06,3.05,2.82,1.67,5.64,5.64,5.64
22.54,2.59,-3.06,2.59,-3.06,3.05,2.83,1.71,5.64,5.64,5.64
22.76,2.59,-3.06,2.59,-3.05,3.05,2.84,1.77,5.64,5.64,5.64
22.99,2.59,-3.05,2.59,-3.05,3.05,2.85,1.82,5.64,5.64,5.63
23.22,2.59,-3.05,2.59,-3.05,3.05,2.85,1.87,5.64,5.64,5.63
23.45,2.59,-3.05,2.59,-3.05,3.05,2.86,1.93,5.64,5.64,5.63
23.69,2.59,-3.05,2.59,-3.05,3.05,2.86,1.98,5.63,5.63,5.63
23.92,2.59,-3.05,2.59,-3.05,3.05,2.87,2.04,5.63,5.63,5.63
24.16,2.59,-3.05,2.59,-3.05,3.04,2.88,2.10,5.63,5.63,5.63
24.40,2.59,-3.05,2.59,-3.04,3.04,2.88,2.15,5.63,5.63,5.63
24.65,2.59,-3.04,2.59,-3.04,3.04,2.89,2.21,5.63,5.63,5.62
24.89,2.59,-3.04,2.59,-3.04,3.04,2.89,2.27,5.63,5.63,5.62
25.14,2.59,-3.04,2.59,-3.04,3.04,2.89,2.33,5.63,5.63,5.62
25.39,2.59,-3.04,2.59,-3.04,3.04,2.90,2.39,5.62,5.62,5.62
25.65,2.59,-3.04,2.59,-3.03,3.04,2.90,2.46,5.62,5.62,5.62
25.91,2.59,-3.03,2.59,-3.03,3.04,2.90,2.52,5.62,5.62,5.61
26.16,2.59,-3.03,2.59,-3.03,3.04,2.91,2.58,5.62,5.62,5.61
26.43,2.59,-3.03,2.58,-3.03,3.03,2.91,2.64,5.62,5.61,5.61
26.69,2.59,-3.03,2.59,-3.03,3.02,2.91,2.70,5.60,5.60,5.61
26.96,2.59,-3.03,2.60,-3.01,3.00,2.91,2.75,5.59,5.60,5.61
27.23,2.63,-2.98,2.62,-2.99,2.98,2.91,2.81,5.60,5.59,5.60
