frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,-24.22,-25.07,-24.22,-25.08,25.08,24.88,12.62,0.86,0.86,0.86
20.20,-24.17,-25.05,-24.17,-25.05,25.06,24.95,12.82,0.89,0.89,0.89
20.40,-24.12,-25.03,-24.11,-25.03,25.03,25.01,13.02,0.91,0.92,0.92
20.61,-24.06,-25.00,-24.06,-25.00,25.00,25.06,13.22,0.94,0.94,0.94
20.81,-24.01,-24.97,-24.01,-24.97,24.97,25.11,13.43,0.96,0.96,0.97
21.02,-23.95,-24.94,-23.95,-24.94,24.94,25.14,13.65,0.99,0.99,1.00
21.23,-23.90,-24.90,-23.90,-24.90,24.90,25.17,13.86,1.00,1.00,1.01
21.44,-23.84,-24.85,-23.84,-24.86,24.86,25.18,14.09,1.02,1.02,1.02
21.66,-23.79,-24.82,-23.79,-24.81,24.81,25.19,14.32,1.02,1.02,1.03
21.87,-23.73,-24.75,-23.73,-24.76,24.76,25.19,14.56,1.04,1.03,1.03
22.09,-23.68,-24.71,-23.68,-24.71,24.71,25.18,14.80,1.03,1.04,1.04
22.31,-23.62,-24.65,-23.62,-24.66,24.66,25.16,15.05,1.04,1.04,1.04
22.54,-23.57,-24.61,-23.57,-24.61,24.60,25.14,15.30,1.03,1.03,1.04
22.76,-23.52,-24.55,-23.52,-24.55,24.55,25.10,15.56,1.03,1.03,1.04
22.99,-23.46,-24.49,-23.46,-24.49,24.49,25.06,15.83,1.03,1.03,1.03
23.22,-23.41,-24.43,-23.41,-24.43,24.44,25.01,16.11,1.03,1.03,1.03
23.45,-23.35,-24.37,-23.35,-24.38,24.38,24.96,16.40,1.03,1.03,1.03
23.69,-23.30,-24.33,-23.30,-24.32,24.32,24.90,16.69,1.02,1.03,1.03
23.92,-23.24,-24.26,-23.24,-24.27,24.27,24.83,16.99,1.03,1.03,1.03
24.16,-23.19,-24.21,-23.19,-24.21,24.21,24.76,17.31,1.02,1.03,1.03
24.40,-23.13,-24.15,-23.13,-24.15,24.16,24.68,17.63,1.03,1.03,1.03
24.65,-23.08,-24.10,-23.08,-24.10,24.11,24.60,17.97,1.03,1.03,1.02
24.89,-23.03,-24.04,-23.02,-24.04,24.06,24.51,18.31,1.03,1.03,1.02
25.14,-22.97,-23.98,-22.97,-23.99,24.00,24.42,18.67,1.03,1.02,1.02
25.39,-22.92,-23.93,-22.92,-23.93,23.93,24.32,19.04,1.01,1.01,1.02
25.65,-22.86,-23.88,-22.86,-23.87,23.85,24.22,19.43,0.99,0.99,1.02
25.91,-22.78,-23.79,-22.78,-23.79,23.76,24.12,19.83,0.98,0.98,1.01
26.16,-22.69,-23.69,-22.68,-23.69,23.66,24.01,20.24,0.97,0.98,1.01
26.43,-22.56,-23.57,-22.56,-23.56,23.56,23.91,20.67,1.00,1.00,1.01
26.69,-22.42,-23.42,-22.42,-23.43,23.45,23.80,21.12,1.03,1.02,1.01
26.96,-22.29,-23.30,-22.30,-23.30,23.33,23.68,21.59,1.04,1.03,1.01
27.23,-22.18,-23.18,-22.19,-23.18,23.21,23.57,22.07,1.03,1.03,1.00
27.50,-22.10,-23.10,-22.09,-23.08,23.09,23.45,22.57,1.00,1.01,1.00
27.77,-21.99,-22.97,-21.99,-22.98,22.97,23.33,23.10,0.99,0.98,0.99
28.05,-21.90,-22.88,-21.89,-22.87,22.85,23.21,23.63,0.95,0.96,0.99
28.33,-21.77,-22.74,-21.77,-22.75,22.73,23.09,24.19,0.96,0.96,0.98
28.62,-21.66,-22.64,-21.65,-22.63,22.61,22.97,24.75,0.95,0.96,0.98
28.90,-21.51,-22.48,-21.51,-22.48,22.48,22.85,25.32,0.97,0.97,0.98
29.19,-21.38,-22.34,-21.38,-22.35,22.36,22.73,25.89,0.98,0.98,0.97
29.48,-21.24,-22.20,-21.24,-22.21,22.24,22.60,26.44,1.00,1.00,0.97
29.78,-21.13,-22.09,-21.13,-22.09,22.12,22.48,26.96,0.99,0.99,0.96
30.08,-21.03,-21.99,-21.04,-21.99,22.01,22.35,27.43,0.98,0.97,0.96
30.38,-20.96,-21.91,-20.95,-21.90,21.90,22.23,27.81,0.94,0.95,0.95
30.68,-20.86,-21.81,-20.86,-21.81,21.78,22.10,28.09,0.92,0.92,0.95
30.99,-20.76,-21.70,-20.75,-21.69,21.66,21.97,28.24,0.90,0.91,0.94
31.30,-20.64,-21.57,-20.63,-21.56,21.53,21.84,28.25,0.89,0.90,0.93
31.61,-20.48,-21.41,-20.50,-21.42,21.40,21.72,28.12,0.92,0.90,0.93
31.93,-20.36,-21.28,-20.35,-21.26,21.26,21.59,27.86,0.90,0.91,0.92
32.24,-20.20,-21.10,-20.19,-21.10,21.12,21.46,27.49,0.92,0.92,0.91
32.57,-20.04,-20.95,-20.05,-20.95,20.98,21.33,27.05,0.94,0.93,0.91
32.89,-19.91,-20.80,-19.91,-20.80,20.85,21.20,26.55,0.95,0.95,0.90
33.22,-19.80,-20.68,-19.80,-20.69,20.73,21.07,26.02,0.93,0.93,0.89
33.55,-19.71,-20.59,-19.72,-20.60,20.61,20.94,25.48,0.90,0.89,0.89
33.89,-19.65,-20.52,-19.64,-20.52,20.49,20.81,24.93,0.84,0.85,0.88
34.23,-19.56,-20.43,-19.55,-20.42,20.36,20.68,24.40,0.80,0.81,0.87
34.57,-19.43,-20.28,-19.43,-20.29,20.24,20.55,23.87,0.81,0.80,0.86
34.92,-19.29,-20.14,-19.28,-20.13,20.11,20.42,23.36,0.82,0.83,0.85
35.27,-19.12,-19.96,-19.12,-19.96,19.98,20.29,22.87,0.86,0.86,0.84
35.62,-18.96,-19.79,-18.97,-19.80,19.85,20.15,22.39,0.89,0.88,0.83
35.97,-18.85,-19.66,-18.85,-19.66,19.71,20.02,21.94,0.87,0.87,0.82
36.33,-18.74,-19.54,-18.75,-19.55,19.58,19.89,21.50,0.84,0.83,0.81
36.70,-18.66,-19.46,-18.66,-19.45,19.43,19.75,21.08,0.78,0.78,0.80
37.06,-18.56,-19.34,-18.54,-19.33,19.29,19.62,20.68,0.73,0.75,0.79
37.43,-18.42,-19.19,-18.41,-19.19,19.14,19.49,20.30,0.73,0.73,0.78
37.81,-18.24,-19.01,-18.25,-19.01,18.99,19.35,19.93,0.75,0.74,0.77
38.19,-18.07,-18.83,-18.07,-18.83,18.82,19.21,19.57,0.75,0.75,0.76
38.57,-17.89,-18.64,-17.89,-18.64,18.65,19.08,19.24,0.76,0.76,0.75
38.95,-17.72,-18.45,-17.71,-18.45,18.47,18.94,18.91,0.75,0.76,0.74
39.34,-17.55,-18.26,-17.55,-18.27,18.29,18.80,18.60,0.75,0.74,0.72
39.74,-17.39,-18.10,-17.39,-18.10,18.12,18.66,18.30,0.73,0.72,0.71
40.14,-17.26,-17.96,-17.25,-17.95,17.95,18.53,18.01,0.69,0.70,0.70
40.54,-17.10,-17.79,-17.11,-17.80,17.79,18.39,17.73,0.69,0.68,0.69
40.94,-16.98,-17.65,-16.97,-17.64,17.63,18.24,17.47,0.66,0.67,0.68
41.35,-16.82,-17.48,-16.82,-17.49,17.48,18.10,17.21,0.66,0.66,0.67
41.76,-16.68,-17.33,-16.68,-17.33,17.33,17.96,16.96,0.65,0.65,0.66
42.18,-16.53,-17.17,-16.53,-17.18,17.18,17.82,16.72,0.65,0.65,0.65
42.60,-16.39,-17.02,-16.39,-17.02,17.03,17.67,16.50,0.64,0.64,0.64
43.03,-16.26,-16.88,-16.25,-16.87,16.88,17.53,16.28,0.62,0.63,0.63
43.46,-16.11,-16.71,-16.12,-16.73,16.73,17.38,16.06,0.62,0.61,0.61
43.90,-16.00,-16.59,-15.99,-16.58,16.59,17.23,15.86,0.59,0.59,0.59
44.33,-15.87,-16.43,-15.87,-16.44,16.44,17.08,15.66,0.58,0.57,0.57
44.78,-15.76,-16.31,-15.76,-16.31,16.30,16.93,15.47,0.54,0.54,0.55
45.23,-15.64,-16.17,-15.64,-16.17,16.16,16.78,15.29,0.52,0.53,0.53
45.68,-15.52,-16.04,-15.51,-16.03,16.02,16.63,15.11,0.50,0.51,0.52
46.13,-15.38,-15.87,-15.38,-15.88,15.88,16.48,14.94,0.50,0.50,0.50
46.60,-15.25,-15.74,-15.25,-15.73,15.74,16.33,14.77,0.49,0.49,0.49
47.06,-15.13,-15.59,-15.12,-15.59,15.59,16.17,14.61,0.46,0.47,0.47
47.53,-14.99,-15.43,-14.99,-15.45,15.44,16.01,14.46,0.45,0.45,0.45
48.01,-14.88,-15.32,-14.86,-15.29,15.29,15.86,14.31,0.41,0.43,0.44
48.49,-14.72,-15.13,-14.73,-15.14,15.14,15.70,14.17,0.42,0.41,0.41
48.97,-14.61,-14.98,-14.61,-14.98,14.99,15.54,14.03,0.39,0.39,0.38
49.46,-14.48,-14.82,-14.48,-14.83,14.84,15.38,13.89,0.36,0.36,0.35
49.96,-14.37,-14.69,-14.37,-14.69,14.68,15.22,13.76,0.31,0.31,0.32
50.46,-14.24,-14.54,-14.24,-14.53,14.52,15.05,13.63,0.28,0.28,0.30
50.96,-14.10,-14.37,-14.09,-14.37,14.35,14.89,13.50,0.25,0.26,0.28
51.47,-13.94,-14.18,-13.94,-14.19,14.18,14.72,13.38,0.24,0.24,0.25
51.99,-13.78,-14.01,-13.78,-14.01,14.01,14.56,13.26,0.23,0.23,0.23
52.51,-13.63,-13.84,-13.62,-13.82,13.84,14.39,13.15,0.21,0.22,0.21
53.03,-13.46,-13.64,-13.47,-13.65,13.67,14.22,13.03,0.21,0.20,0.19
53.56,-13.31,-13.46,-13.32,-13.48,13.49,14.05,12.91,0.18,0.17,0.16
54.10,-13.20,-13.34,-13.18,-13.32,13.32,13.88,12.80,0.12,0.13,0.14
54.64,-13.04,-13.15,-13.05,-13.15,13.14,13.70,12.69,0.10,0.10,0.11
55.18,-12.91,-12.99,-12.90,-12.98,12.97,13.53,12.57,0.06,0.07,0.09
55.74,-12.74,-12.80,-12.75,-12.81,12.80,13.35,12.46,0.06,0.05,0.06
56.29,-12.60,-12.63,-12.59,-12.63,12.63,13.18,12.34,0.03,0.04,0.04
56.86,-12.44,-12.46,-12.44,-12.45,12.46,13.00,12.23,0.02,0.02,0.02
57.42,-12.28,-12.26,-12.29,-12.28,12.29,12.82,12.11,0.01,-0.00,-0.01
58.00,-12.14,-12.11,-12.14,-12.10,12.11,12.64,11.99,-0.02,-0.02,-0.03
58.58,-12.00,-11.95,-11.99,-11.94,11.94,12.46,11.86,-0.06,-0.05,-0.05
59.16,-11.84,-11.76,-11.85,-11.77,11.77,12.28,11.74,-0.07,-0.08,-0.07
59.76,-11.70,-11.61,-11.70,-11.60,11.60,12.10,11.61,-0.10,-0.10,-0.09
60.35,-11.56,-11.43,-11.55,-11.43,11.42,11.92,11.47,-0.14,-0.13,-0.12
60.96,-11.40,-11.25,-11.40,-11.25,11.23,11.73,11.33,-0.17,-0.17,-0.15
61.57,-11.25,-11.06,-11.25,-11.06,11.05,11.55,11.19,-0.20,-0.20,-0.19
62.18,-11.09,-10.86,-11.08,-10.86,10.86,11.36,11.04,-0.23,-0.23,-0.22
62.80,-10.92,-10.66,-10.92,-10.66,10.67,11.18,10.89,-0.25,-0.25,-0.25
63.43,-10.75,-10.46,-10.75,-10.47,10.48,10.99,10.73,-0.27,-0.27,-0.28
64.07,-10.58,-10.27,-10.59,-10.28,10.29,10.80,10.57,-0.29,-0.30,-0.31
64.71,-10.44,-10.11,-10.43,-10.10,10.11,10.61,10.40,-0.33,-0.33,-0.33
65.35,-10.29,-9.92,-10.29,-9.92,9.92,10.42,10.23,-0.36,-0.36,-0.36
66.01,-10.14,-9.75,-10.14,-9.75,9.74,10.23,10.05,-0.39,-0.40,-0.39
66.67,-10.00,-9.58,-10.00,-9.57,9.57,10.04,9.87,-0.43,-0.43,-0.42
67.33,-9.85,-9.39,-9.84,-9.39,9.39,9.85,9.69,-0.46,-0.46,-0.45
68.01,-9.69,-9.21,-9.69,-9.21,9.20,9.66,9.50,-0.49,-0.49,-0.48
68.69,-9.53,-9.02,-9.53,-9.02,9.02,9.47,9.31,-0.51,-0.52,-0.51
69.37,-9.38,-8.83,-9.38,-8.83,8.83,9.27,9.11,-0.55,-0.55,-0.54
70.07,-9.22,-8.65,-9.21,-8.64,8.64,9.08,8.91,-0.58,-0.58,-0.57
70.77,-9.05,-8.45,-9.05,-8.44,8.45,8.89,8.71,-0.60,-0.60,-0.60
71.48,-8.88,-8.25,-8.89,-8.25,8.26,8.69,8.51,-0.62,-0.63,-0.63
72.19,-8.73,-8.05,-8.73,-8.06,8.07,8.50,8.30,-0.66,-0.66,-0.67
72.91,-8.59,-7.88,-8.58,-7.88,7.88,8.31,8.09,-0.71,-0.70,-0.70
73.64,-8.43,-7.68,-8.43,-7.69,7.69,8.11,7.88,-0.74,-0.74,-0.74
74.38,-8.29,-7.52,-8.28,-7.51,7.51,7.92,7.67,-0.78,-0.78,-0.77
75.12,-8.13,-7.31,-8.13,-7.32,7.32,7.72,7.46,-0.80,-0.81,-0.81
75.87,-7.99,-7.14,-7.99,-7.15,7.14,7.53,7.25,-0.84,-0.85,-0.84
76.63,-7.85,-6.97,-7.84,-6.96,6.96,7.33,7.03,-0.88,-0.87,-0.87
77.40,-7.69,-6.79,-7.69,-6.78,6.79,7.14,6.82,-0.90,-0.91,-0.90
78.17,-7.54,-6.59,-7.54,-6.60,6.61,6.95,6.60,-0.93,-0.94,-0.94
78.95,-7.40,-6.42,-7.40,-6.42,6.43,6.75,6.39,-0.97,-0.97,-0.97
79.74,-7.26,-6.25,-7.26,-6.25,6.25,6.56,6.17,-1.01,-1.01,-1.00
80.54,-7.12,-6.07,-7.11,-6.07,6.06,6.36,5.96,-1.05,-1.05,-1.04
81.35,-6.96,-5.89,-6.96,-5.89,5.88,6.17,5.74,-1.08,-1.08,-1.07
82.16,-6.82,-5.70,-6.81,-5.70,5.70,5.98,5.53,-1.12,-1.11,-1.11
82.98,-6.66,-5.51,-6.66,-5.52,5.52,5.78,5.31,-1.14,-1.14,-1.14
83.81,-6.52,-5.33,-6.52,-5.33,5.34,5.59,5.10,-1.18,-1.17,-1.18
