frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,-6.66,-8.80,-6.67,-8.80,8.82,8.69,2.88,2.15,2.15,2.13
20.20,-6.60,-8.77,-6.61,-8.77,8.77,8.65,2.97,2.17,2.17,2.16
20.40,-6.56,-8.76,-6.54,-8.74,8.73,8.61,3.05,2.17,2.19,2.20
20.61,-6.47,-8.69,-6.47,-8.69,8.68,8.57,3.14,2.21,2.21,2.21
20.81,-6.39,-8.64,-6.40,-8.64,8.63,8.52,3.23,2.24,2.23,2.25
21.02,-6.31,-8.59,-6.31,-8.58,8.58,8.47,3.32,2.27,2.26,2.27
21.23,-6.24,-8.53,-6.24,-8.52,8.52,8.42,3.41,2.28,2.28,2.28
21.44,-6.16,-8.46,-6.16,-8.46,8.46,8.36,3.51,2.30,2.30,2.30
21.66,-6.08,-8.39,-6.09,-8.39,8.39,8.30,3.61,2.31,2.31,2.30
21.87,-6.01,-8.32,-6.01,-8.32,8.33,8.25,3.71,2.31,2.31,2.31
22.09,-5.95,-8.27,-5.94,-8.25,8.25,8.18,3.82,2.30,2.31,2.31
22.31,-5.87,-8.19,-5.87,-8.19,8.19,8.12,3.93,2.31,2.31,2.31
22.54,-5.79,-8.11,-5.80,-8.12,8.12,8.05,4.04,2.32,2.31,2.31
22.76,-5.74,-8.06,-5.73,-8.04,8.05,7.99,4.15,2.31,2.32,2.31
22.99,-5.66,-7.97,-5.66,-7.97,7.98,7.92,4.27,2.32,2.32,2.30
23.22,-5.59,-7.90,-5.60,-7.90,7.91,7.85,4.38,2.32,2.31,2.30
23.45,-5.53,-7.84,-5.53,-7.84,7.84,7.78,4.51,2.31,2.31,2.30
23.69,-5.47,-7.78,-5.47,-7.78,7.77,7.71,4.63,2.30,2.30,2.30
23.92,-5.40,-7.71,-5.40,-7.70,7.69,7.63,4.76,2.29,2.29,2.30
24.16,-5.32,-7.63,-5.32,-7.62,7.61,7.56,4.88,2.29,2.29,2.30
24.40,-5.22,-7.53,-5.23,-7.53,7.52,7.49,5.01,2.30,2.29,2.30
24.65,-5.15,-7.45,-5.14,-7.44,7.43,7.41,5.15,2.28,2.30,2.30
