frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,-3.22,-6.16,-3.23,-6.16,6.19,6.15,2.31,2.97,2.96,2.94
20.20,-3.21,-6.18,-3.20,-6.16,6.16,6.14,2.37,2.95,2.97,2.97
20.40,-3.16,-6.16,-3.16,-6.15,6.14,6.11,2.44,2.98,2.98,3.00
20.61,-3.10,-6.12,-3.11,-6.13,6.11,6.09,2.51,3.01,3.00,3.02
20.81,-3.05,-6.10,-3.04,-6.09,6.08,6.07,2.58,3.03,3.04,3.05
21.02,-2.99,-6.07,-2.99,-6.06,6.05,6.05,2.65,3.06,3.06,3.08
21.23,-2.92,-6.01,-2.93,-6.02,6.02,6.02,2.73,3.10,3.09,3.09
21.44,-2.89,-5.99,-2.88,-5.98,5.98,6.00,2.81,3.09,3.10,3.10
21.66,-2.83,-5.94,-2.83,-5.94,5.94,5.97,2.89,3.11,3.11,3.11
21.87,-2.78,-5.89,-2.79,-5.90,5.90,5.95,2.97,3.12,3.11,3.11
22.09,-2.75,-5.87,-2.74,-5.85,5.85,5.92,3.06,3.10,3.11,3.12
22.31,-2.69,-5.81,-2.70,-5.81,5.81,5.89,3.14,3.12,3.11,3.12
22.54,-2.66,-5.78,-2.66,-5.77,5.77,5.86,3.23,3.11,3.11,3.12
22.76,-2.61,-5.73,-2.61,-5.72,5.72,5.83,3.32,3.11,3.11,3.12
22.99,-2.57,-5.68,-2.57,-5.68,5.68,5.80,3.42,3.11,3.11,3.11
23.22,-2.52,-5.63,-2.53,-5.63,5.64,5.77,3.51,3.11,3.11,3.11
23.45,-2.49,-5.60,-2.48,-5.59,5.59,5.74,3.61,3.10,3.11,3.11
23.69,-2.44,-5.55,-2.44,-5.55,5.55,5.71,3.71,3.11,3.11,3.11
23.92,-2.40,-5.51,-2.40,-5.51,5.51,5.68,3.81,3.11,3.10,3.11
24.16,-2.37,-5.48,-2.36,-5.47,5.47,5.65,3.91,3.10,3.11,3.11
24.40,-2.33,-5.44,-2.33,-5.43,5.43,5.62,4.02,3.10,3.10,3.11
24.65,-2.29,-5.39,-2.30,-5.40,5.40,5.59,4.12,3.11,3.10,3.10
24.89,-2.28,-5.38,-2.27,-5.36,5.37,5.55,4.23,3.09,3.10,3.10
25.14,-2.23,-5.33,-2.24,-5.34,5.34,5.52,4.34,3.11,3.10,3.10
25.39,-2.22,-5.32,-2.22,-5.31,5.31,5.49,4.45,3.09,3.09,3.10
25.65,-2.19,-5.29,-2.19,-5.29,5.28,5.46,4.56,3.09,3.09,3.10
25.91,-2.18,-5.27,-2.17,-5.26,5.26,5.42,4.66,3.08,3.09,3.09
26.16,-2.14,-5.23,-2.15,-5.23,5.23,5.39,4.77,3.09,3.08,3.09
26.43,-2.12,-5.21,-2.12,-5.20,5.20,5.36,4.88,3.08,3.09,3.09
26.69,-2.09,-5.18,-2.09,-5.17,5.17,5.33,4.99,3.08,3.08,3.09
26.96,-2.05,-5.14,-2.06,-5.15,5.14,5.30,5.09,3.09,3.08,3.09
27.23,-2.05,-5.13,-2.03,-5.11,5.11,5.26,5.19,3.06,3.08,3.08
27.50,-2.00,-5.08,-2.01,-5.08,5.08,5.23,5.29,3.08,3.07,3.08
27.77,-1.97,-5.04,-1.98,-5.05,5.05,5.20,5.39,3.08,3.07,3.07
28.05,-1.96,-5.03,-1.95,-5.01,5.02,5.17,5.48,3.06,3.07,3.07
28.33,-1.92,-4.98,-1.93,-4.99,4.99,5.14,5.57,3.07,3.06,3.06
28.62,-1.91,-4.97,-1.91,-4.97,4.97,5.11,5.65,3.06,3.06,3.06
28.90,-1.90,-4.96,-1.89,-4.94,4.94,5.08,5.73,3.04,3.06,3.06
29.19,-1.86,-4.91,-1.88,-4.93,4.92,5.05,5.80,3.06,3.05,3.05
29.48,-1.86,-4.91,-1.86,-4.90,4.90,5.02,5.86,3.04,3.04,3.05
29.78,-1.86,-4.90,-1.84,-4.88,4.88,4.99,5.92,3.02,3.04,3.04
30.08,-1.82,-4.86,-1.84,-4.87,4.86,4.96,5.97,3.04,3.03,3.04
30.38,-1.82,-4.85,-1.82,-4.85,4.84,4.93,6.01,3.02,3.02,3.03
30.68,-1.82,-4.85,-1.81,-4.83,4.83,4.90,6.04,3.01,3.02,3.03
30.99,-1.79,-4.81,-1.79,-4.81,4.81,4.87,6.06,3.02,3.02,3.02
31.30,-1.77,-4.78,-1.78,-4.79,4.80,4.85,6.07,3.03,3.02,3.01
31.61,-1.77,-4.78,-1.77,-4.77,4.78,4.82,6.08,3.01,3.01,3.01
31.93,-1.77,-4.77,-1.77,-4.77,4.77,4.79,6.07,3.00,3.00,3.00
32.24,-1.77,-4.76,-1.77,-4.76,4.75,4.77,6.06,2.98,2.98,2.99
32.57,-1.77,-4.76,-1.76,-4.75,4.74,4.74,6.04,2.97,2.97,2.99
32.89,-1.76,-4.74,-1.75,-4.73,4.72,4.72,6.01,2.96,2.97,2.98
33.22,-1.72,-4.69,-1.74,-4.71,4.71,4.69,5.97,2.99,2.97,2.97
