frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,4.90,1.57,4.89,1.56,-1.55,-1.22,0.01,3.36,3.34,3.33
20.20,4.88,1.52,4.90,1.54,-1.54,-1.31,0.00,3.34,3.36,3.36
20.40,4.92,1.53,4.92,1.53,-1.54,-1.41,0.00,3.38,3.38,3.39
20.61,4.94,1.53,4.94,1.53,-1.53,-1.50,0.00,3.41,3.41,3.41
20.81,4.97,1.53,4.97,1.53,-1.53,-1.60,-0.00,3.44,3.44,3.44
21.02,5.00,1.53,4.99,1.53,-1.53,-1.69,-0.00,3.47,3.46,3.47
21.23,5.01,1.53,5.02,1.53,-1.54,-1.78,-0.00,3.47,3.48,3.48
21.44,5.03,1.54,5.03,1.54,-1.54,-1.87,-0.01,3.49,3.49,3.49
21.66,5.05,1.55,5.04,1.55,-1.55,-1.95,-0.01,3.50,3.49,3.50
21.87,5.05,1.55,5.06,1.56,-1.56,-2.02,-0.01,3.49,3.50,3.50
22.09,5.08,1.57,5.08,1.57,-1.57,-2.08,-0.01,3.51,3.51,3.51
22.31,5.10,1.59,5.09,1.58,-1.58,-2.13,-0.01,3.52,3.51,3.51
22.54,5.10,1.59,5.10,1.59,-1.59,-2.16,-0.02,3.51,3.52,3.51
22.76,5.10,1.59,5.10,1.60,-1.59,-2.18,-0.02,3.51,3.51,3.51
22.99,5.10,1.60,5.10,1.60,-1.60,-2.18,-0.02,3.50,3.50,3.50
23.22,5.10,1.60,5.10,1.60,-1.60,-2.17,-0.02,3.50,3.50,3.50
23.45,5.10,1.60,5.10,1.60,-1.60,-2.14,-0.03,3.50,3.50,3.50
23.69,5.10,1.60,5.10,1.60,-1.60,-2.10,-0.03,3.50,3.50,3.50
23.92,5.10,1.60,5.10,1.60,-1.60,-2.05,-0.03,3.50,3.50,3.50
24.16,5.10,1.60,5.10,1.60,-1.60,-1.99,-0.04,3.50,3.50,3.50
24.40,5.10,1.60,5.10,1.60,-1.61,-1.93,-0.04,3.49,3.49,3.50
24.65,5.10,1.61,5.10,1.61,-1.61,-1.85,-0.04,3.49,3.49,3.49
24.89,5.10,1.61,5.10,1.61,-1.61,-1.78,-0.05,3.49,3.49,3.49
25.14,5.10,1.61,5.10,1.61,-1.61,-1.70,-0.05,3.49,3.49,3.49
25.39,5.10,1.61,5.11,1.62,-1.61,-1.63,-0.06,3.49,3.50,3.49
25.65,5.10,1.61,5.10,1.61,-1.60,-1.55,-0.06,3.50,3.49,3.49
