frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,-9.95,-13.87,-9.95,-13.88,13.90,13.43,5.13,3.95,3.95,3.93
20.20,-9.91,-13.86,-9.89,-13.85,13.85,13.48,5.26,3.95,3.96,3.96
20.40,-9.83,-13.81,-9.83,-13.81,13.80,13.52,5.39,3.98,3.98,3.99
20.61,-9.76,-13.76,-9.75,-13.76,13.75,13.55,5.53,3.99,4.00,4.01
20.81,-9.66,-13.69,-9.66,-13.70,13.69,13.56,5.67,4.03,4.03,4.04
21.02,-9.58,-13.64,-9.57,-13.63,13.63,13.57,5.81,4.05,4.06,4.07
21.23,-9.49,-13.56,-9.48,-13.56,13.56,13.56,5.96,4.08,4.08,4.08
21.44,-9.39,-13.47,-9.40,-13.49,13.49,13.53,6.11,4.11,4.09,4.09
21.66,-9.33,-13.42,-9.31,-13.41,13.41,13.50,6.27,4.09,4.10,4.10
21.87,-9.22,-13.32,-9.23,-13.33,13.33,13.45,6.43,4.11,4.10,4.10
22.09,-9.14,-13.24,-9.14,-13.25,13.25,13.40,6.59,4.11,4.11,4.11
22.31,-9.06,-13.17,-9.05,-13.16,13.16,13.34,6.76,4.10,4.11,4.11
22.54,-8.96,-13.07,-8.97,-13.08,13.07,13.26,6.93,4.12,4.10,4.11
22.76,-8.90,-13.00,-8.88,-12.99,12.99,13.18,7.11,4.09,4.10,4.11
22.99,-8.80,-12.89,-8.79,-12.90,12.90,13.09,7.29,4.10,4.10,4.10
23.22,-8.70,-12.79,-8.71,-12.81,12.81,13.00,7.48,4.11,4.10,4.10
23.45,-8.63,-12.72,-8.61,-12.71,12.72,12.89,7.67,4.09,4.10,4.10
23.69,-8.53,-12.63,-8.53,-12.63,12.63,12.79,7.87,4.10,4.10,4.10
23.92,-8.44,-12.53,-8.44,-12.54,12.54,12.68,8.07,4.10,4.09,4.10
24.16,-8.37,-12.46,-8.35,-12.45,12.45,12.56,8.27,4.08,4.09,4.10
24.40,-8.26,-12.36,-8.27,-12.36,12.36,12.45,8.49,4.10,4.09,4.10
24.65,-8.18,-12.26,-8.18,-12.27,12.27,12.33,8.70,4.09,4.09,4.09
24.89,-8.09,-12.18,-8.09,-12.17,12.18,12.20,8.92,4.09,4.09,4.09
25.14,-8.00,-12.08,-8.00,-12.09,12.09,12.08,9.15,4.10,4.09,4.09
