frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,-18.96,-22.47,-18.96,-22.48,22.51,19.29,9.48,3.55,3.54,3.52
20.20,-18.87,-22.41,-18.86,-22.41,22.41,19.75,9.65,3.55,3.55,3.55
20.40,-18.76,-22.34,-18.75,-22.33,22.32,20.17,9.83,3.55,3.56,3.58
20.61,-18.63,-22.23,-18.63,-22.23,22.21,20.55,10.01,3.58,3.58,3.60
20.81,-18.48,-22.11,-18.49,-22.12,22.10,20.86,10.20,3.62,3.61,3.63
21.02,-18.34,-21.99,-18.34,-21.99,21.99,21.11,10.39,3.65,3.65,3.66
21.23,-18.20,-21.86,-18.19,-21.86,21.86,21.28,10.59,3.67,3.67,3.67
21.44,-18.04,-21.72,-18.05,-21.73,21.74,21.37,10.79,3.69,3.69,3.68
21.66,-17.91,-21.60,-17.91,-21.59,21.60,21.36,10.99,3.69,3.69,3.69
21.87,-17.76,-21.45,-17.76,-21.46,21.46,21.28,11.20,3.69,3.69,3.69
22.09,-17.62,-21.32,-17.62,-21.32,21.31,21.13,11.42,3.69,3.69,3.70
22.31,-17.46,-21.16,-17.47,-21.17,21.16,20.93,11.64,3.70,3.69,3.70
22.54,-17.33,-21.03,-17.32,-21.02,21.02,20.68,11.87,3.69,3.70,3.70
22.76,-17.16,-20.85,-17.17,-20.86,20.87,20.39,12.10,3.71,3.70,3.70
22.99,-17.02,-20.71,-17.02,-20.71,20.72,20.09,12.35,3.70,3.70,3.69
23.22,-16.88,-20.57,-16.87,-20.56,20.56,19.78,12.59,3.69,3.69,3.69
23.45,-16.72,-20.40,-16.72,-20.41,20.41,19.46,12.85,3.69,3.69,3.69
23.69,-16.58,-20.27,-16.57,-20.26,20.26,19.15,13.11,3.68,3.69,3.69
23.92,-16.41,-20.10,-16.42,-20.11,20.11,18.85,13.38,3.69,3.69,3.69
24.16,-16.27,-19.96,-16.27,-19.96,19.96,18.55,13.66,3.68,3.69,3.69
24.40,-16.11,-19.80,-16.12,-19.80,19.81,18.27,13.95,3.69,3.69,3.69
24.65,-15.97,-19.65,-15.97,-19.65,19.65,18.01,14.25,3.69,3.69,3.68
24.89,-15.82,-19.50,-15.82,-19.50,19.50,17.76,14.56,3.68,3.68,3.68
25.14,-15.67,-19.35,-15.68,-19.35,19.35,17.53,14.87,3.68,3.68,3.68
25.39,-15.52,-19.20,-15.53,-19.21,19.20,17.32,15.20,3.68,3.67,3.68
25.65,-15.39,-19.07,-15.38,-19.06,19.05,17.12,15.54,3.67,3.67,3.68
25.91,-15.23,-18.90,-15.23,-18.90,18.90,16.94,15.89,3.67,3.67,3.67
26.16,-15.08,-18.75,-15.08,-18.75,18.75,16.78,16.25,3.67,3.67,3.67
