frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,-5.23,-5.00,-5.26,-5.05,5.05,4.70,1.99,-0.18,-0.21,-0.23
20.20,-5.21,-5.01,-5.23,-5.04,5.04,4.71,2.05,-0.17,-0.19,-0.20
20.40,-5.20,-5.03,-5.19,-5.03,5.03,4.71,2.11,-0.17,-0.17,-0.17
20.61,-5.17,-5.02,-5.16,-5.01,5.01,4.72,2.17,-0.16,-0.15,-0.15
20.81,-5.14,-5.02,-5.13,-5.00,5.00,4.72,2.23,-0.14,-0.13,-0.12
21.02,-5.13,-5.04,-5.10,-4.98,4.98,4.72,2.30,-0.15,-0.12,-0.09
21.23,-5.08,-4.99,-5.07,-4.96,4.96,4.73,2.37,-0.11,-0.10,-0.08
21.44,-5.05,-4.97,-5.04,-4.95,4.95,4.73,2.43,-0.10,-0.09,-0.07
21.66,-5.02,-4.95,-5.01,-4.92,4.92,4.73,2.51,-0.09,-0.08,-0.07
21.87,-4.99,-4.92,-4.97,-4.90,4.90,4.73,2.58,-0.09,-0.07,-0.07
22.09,-4.95,-4.89,-4.94,-4.88,4.88,4.73,2.66,-0.07,-0.06,-0.06
22.31,-4.91,-4.85,-4.91,-4.85,4.85,4.73,2.73,-0.05,-0.06,-0.06
22.54,-4.88,-4.82,-4.88,-4.82,4.82,4.73,2.81,-0.06,-0.06,-0.06
22.76,-4.85,-4.79,-4.84,-4.78,4.78,4.73,2.89,-0.07,-0.06,-0.06
22.99,-4.80,-4.73,-4.81,-4.75,4.75,4.73,2.98,-0.05,-0.06,-0.07
23.22,-4.77,-4.70,-4.78,-4.72,4.72,4.73,3.06,-0.05,-0.06,-0.07
23.45,-4.74,-4.67,-4.75,-4.68,4.68,4.73,3.15,-0.06,-0.06,-0.07
23.69,-4.71,-4.64,-4.72,-4.65,4.65,4.72,3.24,-0.06,-0.07,-0.07
23.92,-4.69,-4.62,-4.69,-4.63,4.63,4.72,3.33,-0.06,-0.07,-0.07
24.16,-4.67,-4.61,-4.67,-4.60,4.60,4.72,3.43,-0.07,-0.07,-0.06
24.40,-4.65,-4.58,-4.65,-4.58,4.58,4.71,3.52,-0.07,-0.07,-0.06
24.65,-4.62,-4.54,-4.63,-4.56,4.56,4.71,3.62,-0.06,-0.07,-0.07
24.89,-4.61,-4.53,-4.61,-4.54,4.54,4.70,3.71,-0.07,-0.08,-0.08
25.14,-4.61,-4.53,-4.60,-4.52,4.52,4.70,3.81,-0.09,-0.08,-0.08
25.39,-4.61,-4.53,-4.59,-4.51,4.51,4.69,3.91,-0.10,-0.08,-0.08
25.65,-4.58,-4.50,-4.58,-4.50,4.50,4.68,4.01,-0.08,-0.08,-0.08
25.91,-4.56,-4.47,-4.58,-4.49,4.49,4.67,4.11,-0.07,-0.08,-0.09
26.16,-4.56,-4.47,-4.57,-4.48,4.48,4.67,4.20,-0.07,-0.09,-0.09
26.43,-4.56,-4.47,-4.57,-4.48,4.48,4.66,4.30,-0.08,-0.09,-0.09
26.69,-4.56,-4.47,-4.56,-4.47,4.47,4.65,4.40,-0.09,-0.09,-0.09
26.96,-4.56,-4.46,-4.56,-4.46,4.46,4.64,4.50,-0.10,-0.10,-0.10
27.23,-4.56,-4.46,-4.55,-4.45,4.45,4.63,4.59,-0.11,-0.10,-0.10
27.50,-4.56,-4.46,-4.55,-4.45,4.45,4.62,4.68,-0.11,-0.10,-0.10
27.77,-4.56,-4.45,-4.55,-4.44,4.44,4.61,4.77,-0.12,-0.11,-0.11
28.05,-4.56,-4.45,-4.55,-4.43,4.43,4.59,4.85,-0.13,-0.11,-0.11
28.33,-4.56,-4.44,-4.54,-4.43,4.43,4.58,4.93,-0.13,-0.12,-0.12
28.62,-4.54,-4.42,-4.54,-4.42,4.42,4.57,5.01,-0.12,-0.12,-0.12
28.90,-4.52,-4.39,-4.54,-4.41,4.41,4.56,5.07,-0.11,-0.13,-0.13
29.19,-4.52,-4.38,-4.53,-4.40,4.40,4.54,5.14,-0.12,-0.13,-0.14
29.48,-4.52,-4.39,-4.53,-4.39,4.39,4.53,5.20,-0.13,-0.14,-0.13
29.78,-4.52,-4.38,-4.52,-4.38,4.38,4.51,5.25,-0.14,-0.14,-0.14
30.08,-4.52,-4.38,-4.52,-4.37,4.37,4.50,5.29,-0.15,-0.15,-0.14
30.38,-4.52,-4.36,-4.51,-4.36,4.36,4.48,5.32,-0.16,-0.15,-0.16
30.68,-4.52,-4.36,-4.50,-4.34,4.34,4.46,5.35,-0.18,-0.16,-0.16
30.99,-4.50,-4.33,-4.50,-4.33,4.33,4.45,5.37,-0.17,-0.17,-0.17
31.30,-4.48,-4.31,-4.49,-4.32,4.32,4.43,5.38,-0.16,-0.17,-0.17
31.61,-4.48,-4.30,-4.48,-4.30,4.30,4.41,5.38,-0.18,-0.18,-0.18
31.93,-4.48,-4.29,-4.47,-4.29,4.29,4.39,5.37,-0.19,-0.19,-0.19
32.24,-4.48,-4.28,-4.46,-4.27,4.27,4.37,5.36,-0.21,-0.19,-0.20
32.57,-4.46,-4.26,-4.45,-4.25,4.25,4.35,5.34,-0.21,-0.20,-0.20
32.89,-4.43,-4.22,-4.44,-4.23,4.23,4.33,5.31,-0.20,-0.21,-0.21
33.22,-4.43,-4.21,-4.43,-4.21,4.21,4.31,5.27,-0.22,-0.22,-0.22
33.55,-4.41,-4.19,-4.41,-4.19,4.19,4.29,5.23,-0.22,-0.23,-0.22
33.89,-4.39,-4.15,-4.40,-4.17,4.17,4.27,5.18,-0.22,-0.23,-0.24
34.23,-4.39,-4.15,-4.39,-4.14,4.14,4.24,5.12,-0.24,-0.24,-0.24
34.57,-4.39,-4.14,-4.38,-4.12,4.12,4.22,5.06,-0.27,-0.25,-0.25
34.92,-4.35,-4.08,-4.36,-4.10,4.10,4.20,5.00,-0.25,-0.26,-0.27
35.27,-4.35,-4.08,-4.35,-4.08,4.08,4.17,4.93,-0.27,-0.27,-0.27
35.62,-4.35,-4.07,-4.33,-4.05,4.05,4.15,4.86,-0.30,-0.28,-0.28
35.97,-4.30,-4.00,-4.32,-4.03,4.03,4.12,4.78,-0.27,-0.29,-0.30
36.33,-4.30,-4.00,-4.31,-4.00,4.00,4.10,4.70,-0.30,-0.30,-0.30
36.70,-4.30,-3.98,-4.29,-3.97,3.97,4.07,4.63,-0.33,-0.32,-0.32
37.06,-4.27,-3.94,-4.27,-3.95,3.95,4.04,4.55,-0.32,-0.33,-0.33
37.43,-4.26,-3.92,-4.26,-3.92,3.92,4.02,4.47,-0.34,-0.34,-0.34
37.81,-4.26,-3.91,-4.24,-3.88,3.88,3.99,4.39,-0.37,-0.35,-0.35
38.19,-4.22,-3.85,-4.22,-3.85,3.85,3.96,4.31,-0.37,-0.36,-0.37
38.57,-4.20,-3.83,-4.20,-3.82,3.82,3.93,4.23,-0.38,-0.38,-0.37
38.95,-4.17,-3.78,-4.18,-3.79,3.79,3.90,4.15,-0.38,-0.39,-0.39
39.34,-4.16,-3.76,-4.15,-3.75,3.75,3.87,4.07,-0.41,-0.40,-0.40
39.74,-4.13,-3.71,-4.13,-3.72,3.72,3.84,3.99,-0.41,-0.41,-0.42
40.14,-4.10,-3.67,-4.11,-3.68,3.68,3.81,3.92,-0.42,-0.42,-0.43
40.54,-4.09,-3.65,-4.08,-3.64,3.64,3.78,3.85,-0.44,-0.43,-0.44
40.94,-4.06,-3.61,-4.05,-3.61,3.61,3.75,3.78,-0.45,-0.45,-0.45
41.35,-4.04,-3.57,-4.03,-3.57,3.57,3.72,3.71,-0.47,-0.46,-0.47
41.76,-4.00,-3.53,-4.01,-3.53,3.53,3.68,3.64,-0.47,-0.47,-0.47
42.18,-4.00,-3.52,-3.99,-3.50,3.50,3.65,3.58,-0.50,-0.49,-0.48
42.60,-3.96,-3.46,-3.97,-3.46,3.46,3.62,3.52,-0.50,-0.50,-0.50
43.03,-3.96,-3.45,-3.95,-3.43,3.43,3.58,3.46,-0.53,-0.52,-0.51
43.46,-3.91,-3.38,-3.94,-3.40,3.40,3.55,3.41,-0.51,-0.53,-0.52
