frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,-10.31,-13.88,-10.32,-13.89,13.96,13.24,5.31,3.65,3.64,3.57
20.20,-10.25,-13.85,-10.24,-13.84,13.84,13.20,5.45,3.60,3.61,3.60
20.40,-10.16,-13.79,-10.14,-13.77,13.74,13.16,5.58,3.58,3.59,3.63
20.61,-10.03,-13.68,-10.04,-13.69,13.63,13.12,5.72,3.60,3.60,3.65
20.81,-9.90,-13.58,-9.91,-13.59,13.54,13.08,5.86,3.64,3.63,3.68
21.02,-9.79,-13.50,-9.77,-13.47,13.44,13.04,6.01,3.66,3.67,3.71
21.23,-9.63,-13.35,-9.63,-13.35,13.35,13.00,6.16,3.73,3.72,3.72
21.44,-9.50,-13.23,-9.51,-13.24,13.27,12.96,6.32,3.77,3.76,3.73
21.66,-9.40,-13.14,-9.40,-13.14,13.18,12.91,6.48,3.78,3.78,3.74
21.87,-9.33,-13.07,-9.33,-13.07,13.10,12.87,6.65,3.78,3.78,3.74
22.09,-9.27,-13.02,-9.27,-13.02,13.03,12.83,6.82,3.77,3.76,3.75
22.31,-9.24,-12.99,-9.23,-12.98,12.97,12.78,6.99,3.74,3.74,3.75
22.54,-9.19,-12.94,-9.19,-12.94,12.91,12.74,7.17,3.73,3.73,3.75
22.76,-9.13,-12.88,-9.13,-12.88,12.86,12.69,7.35,3.73,3.72,3.75
22.99,-9.08,-12.82,-9.07,-12.81,12.79,12.64,7.54,3.71,3.72,3.74
23.22,-8.98,-12.72,-8.99,-12.73,12.72,12.60,7.73,3.74,3.73,3.74
23.45,-8.92,-12.66,-8.90,-12.64,12.64,12.55,7.93,3.72,3.73,3.74
23.69,-8.81,-12.55,-8.81,-12.55,12.55,12.50,8.13,3.74,3.74,3.74
23.92,-8.70,-12.44,-8.71,-12.45,12.46,12.45,8.34,3.76,3.74,3.74
24.16,-8.62,-12.36,-8.61,-12.35,12.36,12.40,8.55,3.74,3.75,3.74
24.40,-8.53,-12.27,-8.52,-12.26,12.26,12.35,8.77,3.74,3.74,3.74
24.65,-8.42,-12.15,-8.43,-12.17,12.17,12.30,8.99,3.75,3.73,3.73
24.89,-8.36,-12.09,-8.34,-12.07,12.07,12.25,9.22,3.71,3.73,3.73
25.14,-8.25,-11.98,-8.25,-11.98,11.97,12.20,9.45,3.72,3.72,3.73
25.39,-8.16,-11.89,-8.16,-11.89,11.87,12.15,9.68,3.72,3.71,3.73
25.65,-8.06,-11.79,-8.06,-11.78,11.78,12.09,9.93,3.72,3.72,3.73
25.91,-7.97,-11.69,-7.96,-11.69,11.69,12.04,10.17,3.72,3.72,3.72
26.16,-7.86,-11.58,-7.87,-11.59,11.60,11.99,10.41,3.74,3.73,3.72
26.43,-7.80,-11.52,-7.79,-11.51,11.52,11.93,10.66,3.72,3.73,3.72
26.69,-7.72,-11.44,-7.72,-11.44,11.45,11.88,10.91,3.73,3.73,3.72
26.96,-7.65,-11.37,-7.66,-11.38,11.38,11.82,11.16,3.74,3.72,3.72
27.23,-7.62,-11.33,-7.61,-11.32,11.33,11.76,11.41,3.71,3.72,3.71
27.50,-7.57,-11.28,-7.58,-11.28,11.28,11.71,11.66,3.72,3.71,3.71
27.77,-7.55,-11.25,-7.54,-11.25,11.24,11.65,11.90,3.70,3.70,3.70
28.05,-7.52,-11.22,-7.51,-11.21,11.21,11.59,12.14,3.69,3.69,3.70
28.33,-7.48,-11.17,-7.48,-11.18,11.17,11.53,12.36,3.69,3.68,3.69
28.62,-7.46,-11.15,-7.45,-11.14,11.13,11.47,12.59,3.67,3.68,3.69
28.90,-7.41,-11.10,-7.41,-11.10,11.09,11.41,12.79,3.69,3.68,3.69
29.19,-7.38,-11.06,-7.38,-11.06,11.06,11.35,12.99,3.68,3.68,3.68
29.48,-7.34,-11.02,-7.33,-11.01,11.02,11.28,13.16,3.68,3.69,3.68
29.78,-7.29,-10.96,-7.30,-10.97,10.98,11.22,13.32,3.69,3.68,3.67
30.08,-7.26,-10.93,-7.26,-10.93,10.93,11.16,13.45,3.67,3.67,3.67
30.38,-7.23,-10.89,-7.23,-10.89,10.89,11.10,13.57,3.66,3.66,3.66
30.68,-7.20,-10.86,-7.19,-10.85,10.84,11.03,13.64,3.64,3.65,3.66
30.99,-7.14,-10.79,-7.14,-10.79,10.79,10.97,13.71,3.65,3.64,3.65
31.30,-7.09,-10.73,-7.09,-10.74,10.73,10.90,13.72,3.64,3.64,3.64
31.61,-7.04,-10.68,-7.03,-10.67,10.67,10.83,13.73,3.63,3.63,3.64
31.93,-6.98,-10.61,-6.98,-10.61,10.60,10.77,13.69,3.62,3.62,3.63
32.24,-6.91,-10.53,-6.91,-10.54,10.53,10.70,13.64,3.62,3.62,3.62
32.57,-6.85,-10.47,-6.84,-10.46,10.46,10.63,13.55,3.62,3.62,3.62
32.89,-6.78,-10.39,-6.78,-10.39,10.40,10.56,13.45,3.62,3.62,3.61
33.22,-6.72,-10.32,-6.72,-10.32,10.33,10.49,13.32,3.62,3.61,3.60
33.55,-6.66,-10.26,-6.66,-10.26,10.27,10.43,13.17,3.61,3.61,3.60
33.89,-6.63,-10.22,-6.62,-10.21,10.21,10.35,13.01,3.59,3.59,3.59
34.23,-6.58,-10.16,-6.58,-10.16,10.16,10.28,12.83,3.58,3.58,3.58
34.57,-6.55,-10.12,-6.54,-10.11,10.11,10.21,12.64,3.56,3.57,3.57
