frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,-4.50,-8.78,-4.50,-8.78,8.80,9.01,3.37,4.30,4.29,4.28
20.20,-4.47,-8.78,-4.47,-8.78,8.79,8.96,3.47,4.32,4.31,4.31
20.40,-4.44,-8.78,-4.44,-8.78,8.77,8.91,3.56,4.33,4.34,4.34
20.61,-4.40,-8.76,-4.40,-8.76,8.76,8.86,3.66,4.35,4.36,4.36
20.81,-4.35,-8.74,-4.35,-8.75,8.74,8.81,3.76,4.39,4.38,4.39
21.02,-4.30,-8.72,-4.30,-8.72,8.71,8.76,3.87,4.41,4.41,4.42
21.23,-4.26,-8.69,-4.26,-8.69,8.68,8.71,3.98,4.42,4.43,4.43
21.44,-4.21,-8.65,-4.21,-8.65,8.65,8.66,4.09,4.44,4.44,4.44
21.66,-4.16,-8.61,-4.16,-8.61,8.62,8.61,4.20,4.46,4.45,4.45
21.87,-4.12,-8.57,-4.12,-8.57,8.58,8.56,4.32,4.46,4.46,4.45
22.09,-4.07,-8.53,-4.07,-8.53,8.53,8.51,4.44,4.46,4.46,4.46
22.31,-4.03,-8.49,-4.03,-8.49,8.49,8.46,4.57,4.46,4.46,4.46
22.54,-3.99,-8.45,-3.98,-8.45,8.44,8.41,4.69,4.45,4.46,4.46
22.76,-3.93,-8.39,-3.94,-8.40,8.40,8.36,4.82,4.47,4.46,4.46
22.99,-3.90,-8.35,-3.90,-8.35,8.35,8.31,4.95,4.45,4.46,4.45
23.22,-3.85,-8.30,-3.85,-8.31,8.31,8.27,5.09,4.46,4.46,4.45
23.45,-3.82,-8.27,-3.81,-8.26,8.27,8.22,5.23,4.45,4.45,4.45
23.69,-3.76,-8.21,-3.77,-8.22,8.22,8.17,5.38,4.46,4.45,4.45
23.92,-3.73,-8.18,-3.73,-8.18,8.18,8.12,5.52,4.45,4.45,4.45
24.16,-3.68,-8.13,-3.68,-8.13,8.13,8.08,5.67,4.45,4.45,4.45
24.40,-3.65,-8.10,-3.64,-8.09,8.09,8.03,5.82,4.44,4.45,4.45
24.65,-3.59,-8.03,-3.60,-8.04,8.04,7.99,5.98,4.45,4.45,4.44
24.89,-3.56,-8.00,-3.56,-8.00,8.00,7.94,6.13,4.44,4.44,4.44
25.14,-3.51,-7.95,-3.51,-7.95,7.95,7.89,6.29,4.44,4.44,4.44
25.39,-3.47,-7.91,-3.47,-7.91,7.91,7.85,6.45,4.44,4.44,4.44
25.65,-3.42,-7.86,-3.42,-7.86,7.86,7.81,6.61,4.44,4.44,4.44
25.91,-3.38,-7.81,-3.38,-7.81,7.82,7.76,6.78,4.44,4.44,4.43
26.16,-3.33,-7.76,-3.33,-7.77,7.77,7.72,6.94,4.44,4.44,4.43
26.43,-3.30,-7.73,-3.30,-7.73,7.73,7.67,7.10,4.43,4.43,4.43
26.69,-3.25,-7.68,-3.25,-7.69,7.68,7.63,7.26,4.43,4.43,4.43
26.96,-3.22,-7.65,-3.21,-7.64,7.64,7.59,7.42,4.42,4.43,4.43
27.23,-3.17,-7.59,-3.17,-7.60,7.60,7.55,7.58,4.43,4.43,4.42
27.50,-3.13,-7.55,-3.14,-7.56,7.56,7.51,7.74,4.43,4.42,4.42
27.77,-3.10,-7.51,-3.10,-7.51,7.52,7.47,7.89,4.42,4.42,4.41
28.05,-3.07,-7.48,-3.07,-7.48,7.47,7.42,8.03,4.40,4.41,4.41
28.33,-3.03,-7.43,-3.03,-7.43,7.43,7.38,8.17,4.40,4.40,4.40
28.62,-2.99,-7.39,-2.99,-7.39,7.39,7.34,8.31,4.40,4.40,4.40
28.90,-2.95,-7.35,-2.95,-7.35,7.35,7.31,8.43,4.40,4.40,4.40
29.19,-2.92,-7.31,-2.92,-7.31,7.31,7.27,8.54,4.39,4.40,4.39
29.48,-2.89,-7.28,-2.88,-7.27,7.27,7.23,8.64,4.38,4.39,4.39
29.78,-2.84,-7.22,-2.85,-7.24,7.24,7.19,8.74,4.39,4.38,4.38
30.08,-2.82,-7.20,-2.82,-7.20,7.20,7.15,8.82,4.38,4.38,4.38
30.38,-2.79,-7.16,-2.78,-7.16,7.16,7.12,8.89,4.37,4.38,4.37
30.68,-2.75,-7.12,-2.75,-7.12,7.12,7.08,8.94,4.37,4.37,4.37
30.99,-2.71,-7.07,-2.72,-7.08,7.08,7.04,8.98,4.37,4.37,4.36
31.30,-2.70,-7.05,-2.69,-7.04,7.05,7.01,9.00,4.35,4.36,4.35
31.61,-2.65,-7.00,-2.66,-7.01,7.01,6.97,9.01,4.36,4.35,4.35
31.93,-2.64,-6.98,-2.63,-6.97,6.97,6.94,9.00,4.33,4.34,4.34
32.24,-2.61,-6.94,-2.60,-6.94,6.94,6.90,8.99,4.33,4.34,4.33
32.57,-2.56,-6.89,-2.57,-6.90,6.91,6.87,8.95,4.35,4.33,4.33
