frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,-1.51,-5.69,-1.53,-5.70,5.72,5.53,1.58,4.21,4.19,4.17
20.20,-1.50,-5.71,-1.48,-5.68,5.68,5.49,1.63,4.18,4.21,4.20
20.40,-1.42,-5.66,-1.42,-5.65,5.65,5.44,1.68,4.23,4.22,4.23
20.61,-1.35,-5.61,-1.36,-5.62,5.60,5.40,1.73,4.25,4.25,4.25
20.81,-1.29,-5.57,-1.28,-5.57,5.56,5.35,1.78,4.27,4.28,4.29
21.02,-1.20,-5.52,-1.21,-5.52,5.51,5.30,1.83,4.31,4.30,4.31
21.23,-1.14,-5.47,-1.14,-5.46,5.46,5.26,1.89,4.31,4.32,4.32
21.44,-1.06,-5.39,-1.06,-5.39,5.40,5.21,1.95,4.34,4.34,4.33
21.66,-0.98,-5.33,-0.99,-5.33,5.33,5.16,2.00,4.35,4.35,4.34
21.87,-0.91,-5.25,-0.91,-5.26,5.26,5.11,2.06,4.35,4.35,4.34
22.09,-0.85,-5.20,-0.84,-5.19,5.19,5.06,2.13,4.34,4.35,4.35
22.31,-0.77,-5.12,-0.77,-5.13,5.12,5.00,2.19,4.35,4.35,4.35
22.54,-0.69,-5.05,-0.70,-5.06,5.05,4.95,2.25,4.36,4.35,4.35
22.76,-0.64,-4.99,-0.63,-4.98,4.98,4.90,2.32,4.34,4.35,4.35
22.99,-0.56,-4.91,-0.56,-4.91,4.91,4.85,2.39,4.35,4.35,4.34
23.22,-0.49,-4.84,-0.50,-4.84,4.85,4.79,2.46,4.35,4.35,4.34
23.45,-0.43,-4.78,-0.43,-4.77,4.78,4.74,2.53,4.35,4.35,4.34
23.69,-0.37,-4.72,-0.37,-4.71,4.71,4.68,2.60,4.34,4.34,4.34
23.92,-0.30,-4.64,-0.30,-4.65,4.64,4.63,2.68,4.34,4.34,4.34
24.16,-0.24,-4.59,-0.24,-4.59,4.58,4.57,2.75,4.34,4.34,4.34
24.40,-0.18,-4.52,-0.18,-4.52,4.52,4.52,2.83,4.34,4.34,4.34
24.65,-0.12,-4.46,-0.12,-4.46,4.46,4.46,2.91,4.34,4.34,4.33
24.89,-0.06,-4.39,-0.06,-4.40,4.40,4.41,2.98,4.34,4.34,4.33
25.14,-0.01,-4.34,-0.01,-4.34,4.35,4.35,3.06,4.34,4.34,4.33
25.39,0.04,-4.29,0.04,-4.29,4.29,4.29,3.14,4.33,4.33,4.33
25.65,0.09,-4.25,0.09,-4.24,4.24,4.24,3.22,4.33,4.33,4.33
25.91,0.14,-4.19,0.14,-4.19,4.19,4.18,3.30,4.33,4.33,4.32
26.16,0.19,-4.13,0.19,-4.14,4.14,4.12,3.38,4.33,4.33,4.32
26.43,0.23,-4.10,0.23,-4.09,4.09,4.07,3.45,4.32,4.33,4.32
26.69,0.28,-4.05,0.28,-4.05,4.04,4.01,3.53,4.32,4.32,4.32
26.96,0.33,-4.00,0.32,-4.00,4.00,3.95,3.61,4.32,4.32,4.32
27.23,0.36,-3.96,0.37,-3.95,3.95,3.90,3.68,4.31,4.32,4.31
27.50,0.42,-3.90,0.41,-3.90,3.90,3.84,3.75,4.32,4.31,4.31
27.77,0.45,-3.85,0.45,-3.85,3.85,3.78,3.82,4.30,4.31,4.30
28.05,0.50,-3.81,0.50,-3.80,3.80,3.72,3.88,4.30,4.31,4.30
28.33,0.55,-3.75,0.55,-3.75,3.76,3.67,3.94,4.30,4.30,4.29
28.62,0.59,-3.71,0.59,-3.70,3.71,3.61,4.00,4.29,4.30,4.29
28.90,0.64,-3.66,0.63,-3.66,3.66,3.55,4.05,4.30,4.29,4.29
29.19,0.67,-3.62,0.68,-3.61,3.61,3.49,4.09,4.28,4.29,4.28
29.48,0.73,-3.56,0.73,-3.56,3.56,3.44,4.13,4.29,4.28,4.28
29.78,0.78,-3.50,0.78,-3.50,3.50,3.38,4.16,4.28,4.28,4.27
30.08,0.83,-3.45,0.82,-3.45,3.45,3.32,4.19,4.28,4.27,4.27
30.38,0.87,-3.40,0.87,-3.39,3.39,3.26,4.21,4.26,4.26,4.26
30.68,0.93,-3.34,0.93,-3.33,3.32,3.21,4.23,4.25,4.26,4.26
30.99,1.00,-3.26,1.00,-3.26,3.25,3.15,4.23,4.25,4.25,4.25
31.30,1.08,-3.17,1.07,-3.18,3.18,3.09,4.23,4.26,4.25,4.24
31.61,1.13,-3.12,1.14,-3.10,3.11,3.03,4.22,4.23,4.24,4.24
31.93,1.21,-3.03,1.21,-3.03,3.03,2.98,4.21,4.24,4.24,4.23
32.24,1.28,-2.94,1.28,-2.95,2.95,2.92,4.18,4.23,4.23,4.22
32.57,1.37,-2.86,1.36,-2.86,2.86,2.86,4.15,4.23,4.22,4.22
32.89,1.43,-2.78,1.43,-2.78,2.78,2.80,4.12,4.21,4.22,4.21
33.22,1.50,-2.71,1.51,-2.70,2.70,2.74,4.07,4.20,4.21,4.20
33.55,1.60,-2.60,1.58,-2.62,2.61,2.69,4.02,4.21,4.20,4.20
33.89,1.66,-2.54,1.66,-2.53,2.53,2.63,3.97,4.19,4.19,4.19
34.23,1.73,-2.46,1.74,-2.45,2.45,2.57,3.91,4.18,4.19,4.18
34.57,1.81,-2.37,1.81,-2.37,2.37,2.51,3.84,4.18,4.17,4.17
34.92,1.89,-2.28,1.88,-2.29,2.29,2.45,3.77,4.18,4.17,4.16
35.27,1.94,-2.22,1.95,-2.20,2.21,2.39,3.70,4.15,4.16,4.15
35.62,2.02,-2.13,2.01,-2.13,2.13,2.33,3.62,4.15,4.14,4.14
35.97,2.08,-2.05,2.07,-2.06,2.06,2.27,3.54,4.14,4.13,4.13
36.33,2.13,-1.99,2.14,-1.99,1.98,2.22,3.46,4.11,4.12,4.12
36.70,2.20,-1.92,2.20,-1.92,1.92,2.16,3.37,4.12,4.11,4.11
37.06,2.26,-1.84,2.26,-1.85,1.85,2.10,3.29,4.11,4.11,4.10
37.43,2.31,-1.78,2.31,-1.78,1.79,2.04,3.20,4.10,4.10,4.09
37.81,2.36,-1.73,2.36,-1.73,1.73,1.98,3.11,4.09,4.09,4.08
38.19,2.40,-1.68,2.40,-1.68,1.68,1.92,3.02,4.07,4.07,4.07
38.57,2.43,-1.64,2.44,-1.63,1.62,1.86,2.93,4.05,4.06,4.06
38.95,2.48,-1.57,2.47,-1.58,1.58,1.81,2.84,4.06,4.05,4.05
39.34,2.51,-1.53,2.51,-1.53,1.53,1.75,2.75,4.04,4.04,4.03
