frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,-1.59,-6.83,-1.63,-6.89,6.89,5.84,1.54,5.30,5.26,5.24
20.20,-1.52,-6.79,-1.48,-6.77,6.77,5.77,1.59,5.25,5.29,5.27
20.40,-1.41,-6.72,-1.35,-6.65,6.65,5.69,1.63,5.24,5.31,5.30
20.61,-1.25,-6.57,-1.21,-6.54,6.54,5.62,1.68,5.29,5.32,5.32
20.81,-1.08,-6.44,-1.08,-6.42,6.42,5.55,1.73,5.34,5.34,5.35
21.02,-0.94,-6.32,-0.95,-6.31,6.31,5.48,1.78,5.37,5.36,5.38
21.23,-0.81,-6.20,-0.83,-6.20,6.20,5.41,1.84,5.40,5.37,5.39
21.44,-0.66,-6.06,-0.71,-6.09,6.09,5.34,1.89,5.43,5.38,5.40
21.66,-0.56,-5.97,-0.60,-5.99,5.99,5.27,1.95,5.43,5.39,5.41
21.87,-0.43,-5.84,-0.48,-5.89,5.89,5.20,2.01,5.45,5.40,5.41
22.09,-0.35,-5.76,-0.38,-5.79,5.79,5.13,2.07,5.44,5.41,5.42
22.31,-0.25,-5.66,-0.27,-5.69,5.69,5.06,2.13,5.45,5.42,5.42
22.54,-0.17,-5.58,-0.18,-5.59,5.59,4.99,2.19,5.43,5.42,5.42
22.76,-0.09,-5.50,-0.09,-5.51,5.51,4.92,2.25,5.42,5.42,5.42
22.99,-0.01,-5.41,-0.00,-5.42,5.42,4.85,2.32,5.41,5.42,5.41
23.22,0.05,-5.35,0.08,-5.33,5.33,4.79,2.39,5.39,5.41,5.40
23.45,0.14,-5.26,0.16,-5.25,5.25,4.72,2.46,5.39,5.41,5.40
23.69,0.20,-5.20,0.24,-5.16,5.16,4.65,2.53,5.37,5.41,5.40
23.92,0.30,-5.10,0.33,-5.08,5.08,4.59,2.60,5.39,5.41,5.40
24.16,0.38,-5.03,0.41,-4.99,4.99,4.52,2.67,5.38,5.40,5.41
24.40,0.49,-4.92,0.49,-4.91,4.91,4.46,2.75,5.39,5.40,5.41
24.65,0.59,-4.81,0.58,-4.82,4.82,4.39,2.82,5.41,5.40,5.40
24.89,0.68,-4.72,0.67,-4.73,4.73,4.33,2.90,5.41,5.40,5.40
25.14,0.78,-4.62,0.76,-4.64,4.64,4.26,2.97,5.42,5.40,5.40
25.39,0.88,-4.51,0.85,-4.55,4.55,4.20,3.05,5.43,5.40,5.40
25.65,0.94,-4.45,0.94,-4.46,4.46,4.14,3.13,5.40,5.39,5.40
25.91,1.01,-4.37,1.03,-4.36,4.36,4.08,3.20,5.37,5.39,5.38
26.16,1.11,-4.28,1.12,-4.27,4.27,4.02,3.28,5.37,5.39,5.38
26.43,1.19,-4.19,1.21,-4.18,4.18,3.96,3.35,5.37,5.38,5.38
26.69,1.28,-4.10,1.30,-4.09,4.09,3.90,3.43,5.37,5.38,5.38
26.96,1.36,-4.02,1.38,-4.00,4.00,3.84,3.50,5.36,5.38,5.38
27.23,1.47,-3.91,1.46,-3.91,3.91,3.78,3.57,5.38,5.37,5.38
27.50,1.55,-3.82,1.55,-3.82,3.82,3.72,3.64,5.38,5.37,5.38
27.77,1.64,-3.73,1.63,-3.74,3.74,3.66,3.70,5.38,5.37,5.37
28.05,1.73,-3.63,1.71,-3.66,3.66,3.61,3.77,5.39,5.36,5.36
28.33,1.79,-3.56,1.78,-3.57,3.57,3.55,3.83,5.37,5.36,5.35
28.62,1.86,-3.49,1.87,-3.49,3.49,3.50,3.88,5.35,5.35,5.35
28.90,1.94,-3.40,1.94,-3.41,3.41,3.44,3.93,5.35,5.35,5.35
29.19,2.01,-3.32,2.02,-3.33,3.33,3.39,3.98,5.34,5.34,5.34
