frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,-18.24,-18.91,-18.24,-18.91,18.96,18.39,6.93,0.72,0.72,0.67
20.20,-18.14,-18.84,-18.15,-18.85,18.85,18.43,7.09,0.71,0.71,0.70
20.40,-18.05,-18.78,-18.03,-18.76,18.74,18.44,7.24,0.69,0.71,0.73
20.61,-17.91,-18.66,-17.90,-18.66,18.62,18.44,7.40,0.71,0.72,0.75
20.81,-17.74,-18.52,-17.75,-18.53,18.50,18.41,7.57,0.77,0.75,0.78
21.02,-17.59,-18.40,-17.59,-18.39,18.38,18.37,7.73,0.79,0.79,0.81
21.23,-17.43,-18.25,-17.43,-18.25,18.25,18.30,7.91,0.82,0.82,0.82
21.44,-17.28,-18.11,-17.28,-18.11,18.12,18.22,8.08,0.84,0.84,0.83
21.66,-17.12,-17.96,-17.13,-17.96,17.98,18.13,8.26,0.86,0.85,0.84
21.87,-16.99,-17.83,-16.98,-17.82,17.84,18.02,8.45,0.85,0.86,0.84
22.09,-16.83,-17.68,-16.84,-17.69,17.69,17.90,8.64,0.86,0.85,0.85
22.31,-16.71,-17.56,-16.70,-17.55,17.55,17.77,8.83,0.84,0.85,0.85
22.54,-16.57,-17.42,-16.56,-17.41,17.41,17.63,9.04,0.83,0.84,0.85
22.76,-16.41,-17.26,-16.42,-17.27,17.26,17.49,9.24,0.85,0.84,0.85
22.99,-16.27,-17.11,-16.27,-17.11,17.12,17.34,9.45,0.85,0.85,0.84
23.22,-16.13,-16.97,-16.12,-16.96,16.97,17.18,9.67,0.84,0.85,0.84
23.45,-15.97,-16.81,-15.98,-16.82,16.82,17.03,9.89,0.86,0.85,0.84
23.69,-15.83,-16.67,-15.83,-16.67,16.68,16.87,10.12,0.84,0.85,0.84
23.92,-15.68,-16.52,-15.68,-16.52,16.53,16.71,10.35,0.85,0.85,0.84
24.16,-15.53,-16.37,-15.53,-16.38,16.37,16.54,10.59,0.84,0.84,0.84
24.40,-15.39,-16.23,-15.39,-16.23,16.22,16.38,10.84,0.83,0.83,0.84
24.65,-15.24,-16.07,-15.23,-16.07,16.06,16.22,11.09,0.82,0.82,0.83
24.89,-15.08,-15.91,-15.07,-15.90,15.89,16.06,11.34,0.82,0.82,0.83
25.14,-14.89,-15.72,-14.90,-15.73,15.73,15.89,11.61,0.84,0.83,0.83
25.39,-14.73,-15.56,-14.72,-15.55,15.56,15.73,11.88,0.83,0.83,0.83
25.65,-14.55,-15.38,-14.55,-15.38,15.39,15.57,12.15,0.83,0.83,0.83
25.91,-14.38,-15.20,-14.39,-15.21,15.21,15.41,12.43,0.83,0.83,0.82
26.16,-14.22,-15.04,-14.22,-15.04,15.04,15.26,12.71,0.82,0.82,0.82
26.43,-14.05,-14.87,-14.05,-14.87,14.87,15.10,13.00,0.82,0.82,0.82
26.69,-13.88,-14.70,-13.88,-14.70,14.71,14.95,13.30,0.83,0.83,0.82
26.96,-13.71,-14.53,-13.72,-14.54,14.54,14.79,13.59,0.83,0.82,0.82
27.23,-13.56,-14.37,-13.56,-14.38,14.38,14.64,13.89,0.82,0.82,0.81
27.50,-13.42,-14.23,-13.41,-14.22,14.23,14.49,14.18,0.81,0.81,0.81
