frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,-14.96,-18.68,-14.97,-18.69,18.72,17.86,7.01,3.76,3.75,3.73
20.20,-14.89,-18.64,-14.88,-18.64,18.64,18.02,7.16,3.75,3.76,3.76
20.40,-14.80,-18.58,-14.78,-18.57,18.56,18.15,7.32,3.76,3.77,3.79
20.61,-14.68,-18.49,-14.68,-18.49,18.47,18.25,7.48,3.78,3.79,3.80
20.81,-14.53,-18.36,-14.55,-18.39,18.37,18.32,7.65,3.84,3.82,3.84
21.02,-14.43,-18.29,-14.42,-18.27,18.27,18.35,7.82,3.84,3.85,3.87
21.23,-14.29,-18.16,-14.29,-18.17,18.16,18.35,7.99,3.87,3.87,3.88
21.44,-14.15,-18.03,-14.16,-18.05,18.05,18.32,8.17,3.90,3.88,3.89
21.66,-14.04,-17.94,-14.02,-17.92,17.92,18.25,8.35,3.88,3.90,3.90
21.87,-13.89,-17.78,-13.89,-17.79,17.79,18.16,8.54,3.90,3.90,3.90
22.09,-13.75,-17.65,-13.76,-17.66,17.66,18.04,8.73,3.91,3.90,3.91
22.31,-13.62,-17.52,-13.62,-17.52,17.52,17.90,8.93,3.91,3.91,3.91
22.54,-13.49,-17.40,-13.48,-17.39,17.39,17.74,9.13,3.90,3.91,3.91
22.76,-13.35,-17.25,-13.35,-17.25,17.25,17.57,9.34,3.90,3.90,3.91
22.99,-13.20,-17.09,-13.21,-17.11,17.11,17.38,9.55,3.91,3.90,3.90
23.22,-13.09,-16.98,-13.08,-16.97,16.98,17.19,9.77,3.89,3.90,3.90
23.45,-12.95,-16.84,-12.94,-16.84,16.84,16.99,10.00,3.89,3.90,3.90
23.69,-12.80,-16.70,-12.81,-16.71,16.70,16.78,10.23,3.90,3.89,3.90
23.92,-12.67,-16.56,-12.67,-16.57,16.57,16.58,10.47,3.90,3.90,3.90
24.16,-12.55,-16.44,-12.54,-16.44,16.43,16.37,10.71,3.88,3.89,3.90
24.40,-12.41,-16.30,-12.41,-16.30,16.30,16.17,10.96,3.89,3.89,3.89
24.65,-12.27,-16.16,-12.27,-16.16,16.16,15.97,11.22,3.89,3.89,3.89
24.89,-12.13,-16.01,-12.13,-16.02,16.02,15.78,11.48,3.89,3.89,3.89
25.14,-12.00,-15.88,-12.00,-15.88,15.88,15.59,11.75,3.88,3.88,3.89
25.39,-11.87,-15.75,-11.86,-15.74,15.74,15.41,12.03,3.88,3.88,3.89
25.65,-11.72,-15.61,-11.72,-15.61,15.60,15.23,12.31,3.88,3.88,3.89
25.91,-11.58,-15.46,-11.58,-15.46,15.47,15.06,12.60,3.88,3.88,3.88
26.16,-11.45,-15.32,-11.45,-15.32,15.33,14.89,12.89,3.88,3.88,3.88
26.43,-11.31,-15.19,-11.31,-15.18,15.19,14.73,13.19,3.88,3.88,3.88
