frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,3.83,-5.40,3.82,-5.41,5.43,5.30,1.26,9.26,9.25,9.23
20.20,3.86,-5.40,3.87,-5.39,5.39,5.29,1.30,9.25,9.26,9.26
20.40,3.92,-5.37,3.93,-5.36,5.35,5.28,1.34,9.27,9.28,9.29
20.61,3.99,-5.32,4.00,-5.32,5.30,5.26,1.39,9.29,9.30,9.31
20.81,4.09,-5.25,4.08,-5.26,5.25,5.24,1.43,9.34,9.32,9.34
21.02,4.16,-5.21,4.16,-5.20,5.19,5.21,1.48,9.35,9.36,9.37
21.23,4.23,-5.15,4.24,-5.14,5.14,5.18,1.52,9.37,9.38,9.38
21.44,4.33,-5.06,4.32,-5.07,5.07,5.14,1.57,9.40,9.39,9.39
21.66,4.39,-5.01,4.40,-5.00,5.00,5.09,1.62,9.39,9.40,9.40
21.87,4.48,-4.92,4.48,-4.92,4.93,5.04,1.67,9.41,9.41,9.40
22.09,4.56,-4.85,4.55,-4.85,4.85,4.98,1.72,9.41,9.40,9.41
22.31,4.62,-4.79,4.63,-4.78,4.78,4.92,1.77,9.40,9.41,9.41
22.54,4.71,-4.70,4.71,-4.70,4.70,4.86,1.83,9.41,9.41,9.41
22.76,4.79,-4.62,4.78,-4.62,4.62,4.79,1.89,9.41,9.41,9.41
22.99,4.86,-4.54,4.86,-4.54,4.55,4.72,1.94,9.41,9.41,9.40
23.22,4.93,-4.47,4.93,-4.47,4.47,4.65,2.00,9.40,9.40,9.40
23.45,5.00,-4.40,5.00,-4.39,4.39,4.57,2.06,9.39,9.39,9.40
23.69,5.08,-4.32,5.08,-4.32,4.31,4.50,2.12,9.39,9.39,9.40
23.92,5.16,-4.24,5.16,-4.24,4.24,4.42,2.18,9.40,9.40,9.40
24.16,5.24,-4.16,5.24,-4.16,4.16,4.33,2.25,9.40,9.40,9.40
24.40,5.31,-4.09,5.31,-4.08,4.09,4.25,2.31,9.40,9.40,9.40
24.65,5.38,-4.01,5.38,-4.01,4.01,4.17,2.38,9.39,9.39,9.39
24.89,5.45,-3.94,5.45,-3.94,3.94,4.09,2.44,9.39,9.39,9.39
25.14,5.52,-3.87,5.53,-3.86,3.86,4.00,2.51,9.38,9.39,9.39
25.39,5.60,-3.79,5.60,-3.79,3.79,3.92,2.57,9.39,9.39,9.39
25.65,5.68,-3.71,5.67,-3.72,3.71,3.83,2.64,9.39,9.38,9.39
25.91,5.73,-3.65,5.74,-3.64,3.64,3.75,2.71,9.37,9.38,9.38
26.16,5.81,-3.57,5.81,-3.57,3.57,3.67,2.77,9.38,9.38,9.38
26.43,5.89,-3.49,5.88,-3.50,3.50,3.58,2.84,9.39,9.38,9.38
26.69,5.95,-3.43,5.95,-3.42,3.43,3.50,2.90,9.38,9.38,9.38
26.96,6.02,-3.36,6.02,-3.36,3.35,3.42,2.96,9.37,9.37,9.38
27.23,6.08,-3.29,6.08,-3.29,3.28,3.34,3.02,9.36,9.36,9.37
27.50,6.15,-3.22,6.16,-3.21,3.21,3.26,3.08,9.36,9.36,9.37
27.77,6.23,-3.13,6.23,-3.13,3.13,3.18,3.13,9.37,9.36,9.36
28.05,6.31,-3.05,6.30,-3.05,3.06,3.10,3.18,9.37,9.36,9.36
28.33,6.36,-2.99,6.37,-2.98,2.99,3.02,3.23,9.35,9.36,9.35
28.62,6.43,-2.92,6.43,-2.92,2.92,2.95,3.28,9.35,9.35,9.35
28.90,6.49,-2.86,6.49,-2.85,2.85,2.87,3.31,9.34,9.34,9.35
29.19,6.56,-2.78,6.56,-2.78,2.78,2.80,3.35,9.34,9.34,9.34
29.48,6.62,-2.72,6.62,-2.72,2.72,2.72,3.38,9.34,9.33,9.34
29.78,6.68,-2.65,6.68,-2.65,2.65,2.65,3.40,9.33,9.33,9.33
30.08,6.74,-2.59,6.74,-2.58,2.58,2.58,3.42,9.32,9.32,9.33
30.38,6.81,-2.51,6.81,-2.52,2.51,2.51,3.44,9.32,9.32,9.32
30.68,6.87,-2.45,6.87,-2.45,2.44,2.44,3.44,9.31,9.31,9.32
30.99,6.93,-2.38,6.93,-2.38,2.37,2.37,3.44,9.30,9.30,9.31
31.30,6.99,-2.31,6.99,-2.31,2.31,2.31,3.44,9.29,9.30,9.30
31.61,7.06,-2.24,7.06,-2.24,2.24,2.24,3.42,9.30,9.30,9.30
31.93,7.12,-2.17,7.12,-2.17,2.17,2.17,3.40,9.29,9.29,9.29
32.24,7.18,-2.10,7.18,-2.10,2.11,2.11,3.38,9.29,9.29,9.28
32.57,7.24,-2.04,7.23,-2.04,2.05,2.05,3.35,9.29,9.28,9.28
32.89,7.28,-1.99,7.28,-1.99,1.98,1.98,3.31,9.26,9.27,9.27
33.22,7.33,-1.93,7.33,-1.93,1.92,1.92,3.27,9.25,9.25,9.26
33.55,7.38,-1.88,7.38,-1.87,1.86,1.86,3.22,9.24,9.24,9.26
33.89,7.44,-1.81,7.44,-1.80,1.80,1.80,3.16,9.24,9.24,9.25
34.23,7.51,-1.73,7.50,-1.74,1.74,1.74,3.10,9.25,9.24,9.24
34.57,7.56,-1.67,7.56,-1.67,1.67,1.68,3.04,9.23,9.23,9.23
