frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,-18.54,-22.20,-18.54,-22.20,22.20,20.75,6.64,3.65,3.65,3.65
20.20,-18.59,-22.29,-18.60,-22.29,22.29,20.92,6.80,3.70,3.70,3.69
20.40,-18.64,-22.38,-18.65,-22.38,22.38,21.09,6.96,3.74,3.74,3.74
20.61,-18.69,-22.46,-18.69,-22.46,22.47,21.26,7.13,3.77,3.77,3.76
20.81,-18.74,-22.55,-18.74,-22.55,22.55,21.42,7.30,3.80,3.80,3.81
21.02,-18.78,-22.63,-18.78,-22.62,22.62,21.59,7.48,3.84,3.83,3.84
21.23,-18.82,-22.69,-18.83,-22.69,22.69,21.76,7.66,3.86,3.86,3.86
21.44,-18.86,-22.75,-18.86,-22.75,22.75,21.92,7.85,3.89,3.89,3.89
21.66,-18.90,-22.81,-18.90,-22.81,22.81,22.08,8.04,3.90,3.90,3.90
21.87,-18.94,-22.86,-18.94,-22.86,22.86,22.24,8.23,3.92,3.92,3.92
22.09,-18.97,-22.91,-18.98,-22.91,22.91,22.40,8.43,3.93,3.93,3.93
22.31,-19.00,-22.95,-19.00,-22.95,22.95,22.55,8.64,3.94,3.94,3.94
22.54,-19.03,-22.99,-19.03,-22.99,22.99,22.69,8.85,3.95,3.95,3.95
22.76,-19.05,-23.02,-19.06,-23.02,23.02,22.83,9.07,3.97,3.96,3.96
22.99,-19.08,-23.05,-19.08,-23.05,23.05,22.97,9.29,3.97,3.97,3.96
23.22,-19.10,-23.08,-19.10,-23.08,23.08,23.10,9.52,3.98,3.98,3.97
23.45,-19.12,-23.11,-19.13,-23.11,23.11,23.22,9.75,3.99,3.99,3.98
23.69,-19.14,-23.14,-19.14,-23.14,23.14,23.33,10.00,3.99,4.00,3.99
23.92,-19.15,-23.16,-19.15,-23.16,23.16,23.44,10.24,4.01,4.01,4.01
24.16,-19.16,-23.19,-19.16,-23.19,23.18,23.52,10.49,4.02,4.02,4.02
24.40,-19.16,-23.21,-19.17,-23.20,23.20,23.61,10.75,4.03,4.03,4.04
24.65,-19.17,-23.21,-19.17,-23.21,23.21,23.68,11.02,4.04,4.04,4.03
24.89,-19.17,-23.22,-19.17,-23.22,23.22,23.74,11.28,4.05,4.05,4.04
25.14,-19.17,-23.23,-19.17,-23.23,23.23,23.79,11.56,4.06,4.06,4.05
25.39,-19.16,-23.23,-19.17,-23.23,23.23,23.83,11.84,4.07,4.07,4.07
25.65,-19.15,-23.24,-19.16,-23.23,23.23,23.85,12.13,4.08,4.08,4.08
25.91,-19.14,-23.23,-19.14,-23.23,23.23,23.86,12.42,4.08,4.09,4.08
26.16,-19.12,-23.22,-19.12,-23.22,23.22,23.85,12.72,4.10,4.10,4.09
26.43,-19.10,-23.21,-19.10,-23.21,23.21,23.84,13.02,4.11,4.11,4.10
26.69,-19.07,-23.19,-19.08,-23.19,23.19,23.81,13.32,4.12,4.12,4.11
26.96,-19.04,-23.18,-19.05,-23.18,23.17,23.77,13.62,4.13,4.13,4.13
27.23,-19.01,-23.16,-19.01,-23.15,23.15,23.71,13.93,4.14,4.14,4.14
27.50,-18.97,-23.12,-18.98,-23.12,23.12,23.65,14.23,4.15,4.14,4.14
27.77,-18.93,-23.08,-18.93,-23.09,23.09,23.57,14.54,4.15,4.15,4.15
28.05,-18.89,-23.06,-18.89,-23.05,23.05,23.48,14.84,4.16,4.16,4.16
28.33,-18.83,-23.00,-18.84,-23.01,23.01,23.38,15.13,4.18,4.17,4.16
28.62,-18.78,-22.96,-18.78,-22.96,22.96,23.28,15.41,4.18,4.18,4.17
28.90,-18.72,-22.91,-18.72,-22.90,22.91,23.16,15.68,4.19,4.19,4.18
29.19,-18.65,-22.84,-18.65,-22.85,22.85,23.04,15.94,4.20,4.20,4.18
29.48,-18.57,-22.79,-18.58,-22.79,22.78,22.90,16.18,4.21,4.20,4.21
29.78,-18.50,-22.71,-18.50,-22.71,22.70,22.77,16.40,4.20,4.20,4.20
30.08,-18.42,-22.63,-18.40,-22.62,22.61,22.63,16.59,4.19,4.20,4.21
30.38,-18.29,-22.50,-18.29,-22.51,22.50,22.48,16.77,4.22,4.21,4.21
30.68,-18.15,-22.39,-18.16,-22.39,22.38,22.33,16.90,4.23,4.22,4.23
30.99,-18.03,-22.26,-18.02,-22.25,22.25,22.18,17.02,4.23,4.24,4.23
31.30,-17.87,-22.10,-17.87,-22.11,22.11,22.02,17.09,4.25,4.24,4.23
31.61,-17.70,-21.95,-17.71,-21.96,21.96,21.87,17.15,4.26,4.25,4.24
31.93,-17.56,-21.81,-17.55,-21.80,21.80,21.70,17.16,4.24,4.25,4.25
32.24,-17.37,-21.63,-17.37,-21.63,21.63,21.54,17.15,4.26,4.26,4.26
32.57,-17.19,-21.46,-17.19,-21.46,21.45,21.38,17.10,4.27,4.26,4.27
