frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,-6.57,-5.85,-6.57,-5.85,5.85,6.42,1.67,-0.72,-0.72,-0.72
20.20,-6.50,-5.82,-6.51,-5.82,5.82,6.35,1.72,-0.68,-0.68,-0.68
20.40,-6.44,-5.80,-6.44,-5.79,5.80,6.28,1.78,-0.65,-0.64,-0.64
20.61,-6.37,-5.76,-6.37,-5.76,5.76,6.21,1.83,-0.61,-0.61,-0.61
20.81,-6.30,-5.73,-6.30,-5.73,5.73,6.13,1.88,-0.57,-0.57,-0.57
21.02,-6.23,-5.70,-6.23,-5.69,5.69,6.06,1.94,-0.54,-0.54,-0.53
21.23,-6.16,-5.65,-6.17,-5.65,5.65,5.99,2.00,-0.51,-0.52,-0.51
21.44,-6.10,-5.61,-6.10,-5.61,5.60,5.92,2.06,-0.50,-0.49,-0.49
21.66,-6.03,-5.56,-6.03,-5.56,5.56,5.84,2.12,-0.48,-0.48,-0.47
21.87,-5.96,-5.50,-5.96,-5.50,5.50,5.77,2.18,-0.46,-0.46,-0.46
22.09,-5.89,-5.45,-5.89,-5.45,5.45,5.70,2.25,-0.44,-0.44,-0.44
22.31,-5.82,-5.39,-5.82,-5.39,5.39,5.62,2.32,-0.43,-0.43,-0.43
22.54,-5.76,-5.34,-5.76,-5.34,5.33,5.55,2.38,-0.43,-0.43,-0.42
22.76,-5.69,-5.28,-5.69,-5.28,5.27,5.48,2.46,-0.42,-0.42,-0.41
22.99,-5.62,-5.21,-5.62,-5.21,5.21,5.41,2.53,-0.41,-0.41,-0.41
23.22,-5.55,-5.15,-5.55,-5.15,5.15,5.33,2.60,-0.40,-0.40,-0.40
23.45,-5.48,-5.09,-5.48,-5.09,5.09,5.26,2.68,-0.39,-0.39,-0.39
23.69,-5.41,-5.03,-5.41,-5.03,5.03,5.19,2.75,-0.38,-0.38,-0.38
23.92,-5.34,-4.97,-5.34,-4.97,4.97,5.11,2.83,-0.37,-0.37,-0.37
24.16,-5.27,-4.92,-5.27,-4.92,4.91,5.04,2.91,-0.36,-0.36,-0.35
24.40,-5.20,-4.87,-5.20,-4.86,4.85,4.97,2.99,-0.35,-0.35,-0.33
24.65,-5.13,-4.79,-5.13,-4.80,4.79,4.89,3.07,-0.34,-0.34,-0.34
24.89,-5.06,-4.73,-5.06,-4.73,4.73,4.82,3.16,-0.33,-0.33,-0.33
25.14,-4.99,-4.67,-4.99,-4.67,4.67,4.75,3.24,-0.32,-0.32,-0.32
25.39,-4.92,-4.61,-4.92,-4.61,4.61,4.67,3.32,-0.31,-0.31,-0.31
25.65,-4.85,-4.56,-4.85,-4.56,4.55,4.60,3.41,-0.30,-0.30,-0.29
25.91,-4.79,-4.50,-4.79,-4.50,4.49,4.53,3.49,-0.30,-0.29,-0.29
26.16,-4.71,-4.43,-4.72,-4.43,4.43,4.45,3.57,-0.28,-0.28,-0.28
26.43,-4.64,-4.37,-4.64,-4.37,4.37,4.38,3.66,-0.27,-0.27,-0.27
26.69,-4.57,-4.31,-4.57,-4.31,4.31,4.31,3.74,-0.26,-0.26,-0.26
26.96,-4.50,-4.26,-4.50,-4.26,4.25,4.24,3.82,-0.25,-0.25,-0.24
27.23,-4.43,-4.20,-4.43,-4.19,4.19,4.17,3.89,-0.24,-0.24,-0.23
27.50,-4.36,-4.13,-4.36,-4.13,4.13,4.09,3.97,-0.23,-0.23,-0.23
27.77,-4.29,-4.06,-4.29,-4.07,4.07,4.02,4.04,-0.22,-0.22,-0.23
28.05,-4.22,-4.01,-4.22,-4.00,4.00,3.95,4.11,-0.22,-0.22,-0.21
28.33,-4.15,-3.94,-4.15,-3.94,3.94,3.88,4.17,-0.21,-0.21,-0.21
28.62,-4.08,-3.88,-4.08,-3.88,3.88,3.81,4.23,-0.20,-0.20,-0.20
28.90,-4.01,-3.82,-4.01,-3.82,3.82,3.74,4.28,-0.20,-0.20,-0.19
29.19,-3.94,-3.75,-3.94,-3.76,3.75,3.67,4.33,-0.19,-0.19,-0.19
29.48,-3.87,-3.71,-3.87,-3.70,3.69,3.60,4.37,-0.18,-0.18,-0.16
29.78,-3.80,-3.63,-3.80,-3.63,3.64,3.53,4.41,-0.17,-0.17,-0.17
30.08,-3.73,-3.57,-3.74,-3.57,3.58,3.46,4.44,-0.16,-0.16,-0.16
30.38,-3.67,-3.51,-3.67,-3.51,3.52,3.39,4.46,-0.15,-0.15,-0.16
30.68,-3.61,-3.47,-3.61,-3.46,3.46,3.32,4.47,-0.15,-0.15,-0.14
30.99,-3.55,-3.41,-3.55,-3.41,3.40,3.26,4.48,-0.15,-0.15,-0.14
31.30,-3.49,-3.35,-3.49,-3.35,3.35,3.19,4.47,-0.15,-0.14,-0.14
31.61,-3.42,-3.29,-3.43,-3.29,3.29,3.12,4.47,-0.13,-0.14,-0.13
31.93,-3.36,-3.24,-3.36,-3.23,3.23,3.06,4.45,-0.13,-0.13,-0.12
32.24,-3.29,-3.17,-3.29,-3.17,3.17,2.99,4.42,-0.12,-0.12,-0.12
32.57,-3.22,-3.12,-3.22,-3.11,3.12,2.92,4.39,-0.11,-0.11,-0.10
32.89,-3.15,-3.05,-3.15,-3.05,3.06,2.86,4.35,-0.09,-0.10,-0.10
