frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,-2.37,-8.12,-2.37,-8.15,8.15,7.20,2.06,5.78,5.78,5.75
20.20,-2.25,-8.04,-2.25,-8.05,8.05,7.15,2.12,5.80,5.81,5.79
20.40,-2.12,-7.95,-2.12,-7.96,7.96,7.09,2.18,5.84,5.84,5.83
20.61,-2.00,-7.86,-1.99,-7.86,7.86,7.02,2.25,5.86,5.86,5.86
20.81,-1.87,-7.77,-1.87,-7.76,7.76,6.95,2.31,5.89,5.89,5.90
21.02,-1.75,-7.69,-1.74,-7.66,7.66,6.87,2.38,5.91,5.92,5.94
21.23,-1.62,-7.58,-1.62,-7.56,7.56,6.78,2.45,5.94,5.94,5.96
21.44,-1.50,-7.48,-1.50,-7.46,7.46,6.69,2.52,5.96,5.96,5.98
21.66,-1.38,-7.38,-1.37,-7.36,7.36,6.60,2.60,5.98,5.98,6.00
21.87,-1.25,-7.26,-1.25,-7.25,7.25,6.50,2.68,6.01,6.00,6.01
22.09,-1.13,-7.16,-1.13,-7.15,7.15,6.39,2.76,6.02,6.02,6.03
22.31,-1.01,-7.04,-1.01,-7.04,7.04,6.29,2.84,6.04,6.04,6.04
22.54,-0.89,-6.94,-0.89,-6.93,6.93,6.18,2.92,6.04,6.05,6.05
22.76,-0.77,-6.82,-0.77,-6.82,6.82,6.07,3.01,6.06,6.06,6.06
22.99,-0.65,-6.70,-0.65,-6.71,6.71,5.96,3.09,6.06,6.06,6.05
23.22,-0.53,-6.59,-0.53,-6.60,6.60,5.85,3.18,6.07,6.07,6.06
23.45,-0.41,-6.48,-0.41,-6.49,6.49,5.74,3.27,6.08,6.08,6.07
23.69,-0.29,-6.37,-0.29,-6.38,6.38,5.63,3.37,6.09,6.09,6.08
23.92,-0.18,-6.27,-0.18,-6.28,6.28,5.51,3.46,6.10,6.10,6.09
24.16,-0.06,-6.17,-0.06,-6.17,6.17,5.40,3.56,6.11,6.11,6.11
24.40,0.05,-6.08,0.05,-6.06,6.06,5.29,3.66,6.12,6.12,6.13
24.65,0.17,-5.96,0.17,-5.96,5.96,5.19,3.76,6.13,6.13,6.13
24.89,0.28,-5.86,0.28,-5.86,5.86,5.08,3.86,6.14,6.14,6.14
25.14,0.39,-5.75,0.39,-5.75,5.75,4.97,3.96,6.15,6.15,6.15
25.39,0.50,-5.65,0.50,-5.65,5.65,4.87,4.06,6.16,6.16,6.16
25.65,0.61,-5.56,0.61,-5.56,5.56,4.77,4.17,6.17,6.17,6.17
25.91,0.72,-5.45,0.72,-5.46,5.46,4.67,4.27,6.18,6.18,6.17
26.16,0.83,-5.35,0.83,-5.36,5.36,4.57,4.37,6.19,6.19,6.18
26.43,0.93,-5.26,0.93,-5.26,5.26,4.48,4.48,6.19,6.20,6.19
26.69,1.04,-5.16,1.04,-5.17,5.17,4.38,4.58,6.21,6.20,6.20
26.96,1.14,-5.08,1.14,-5.07,5.07,4.29,4.68,6.21,6.21,6.22
27.23,1.24,-4.99,1.24,-4.98,4.98,4.21,4.77,6.22,6.22,6.23
27.50,1.34,-4.90,1.34,-4.89,4.89,4.12,4.87,6.23,6.23,6.24
27.77,1.44,-4.79,1.43,-4.81,4.81,4.04,4.96,6.25,6.24,6.23
28.05,1.54,-4.71,1.53,-4.72,4.72,3.96,5.05,6.26,6.25,6.25
28.33,1.63,-4.62,1.62,-4.63,4.63,3.88,5.13,6.26,6.25,6.25
28.62,1.72,-4.54,1.72,-4.55,4.55,3.81,5.21,6.27,6.26,6.26
28.90,1.81,-4.46,1.81,-4.46,4.46,3.74,5.28,6.27,6.27,6.27
29.19,1.90,-4.36,1.90,-4.37,4.37,3.67,5.35,6.27,6.28,6.27
29.48,1.98,-4.31,2.00,-4.28,4.28,3.60,5.41,6.27,6.28,6.29
29.78,2.07,-4.22,2.09,-4.19,4.19,3.53,5.46,6.26,6.29,6.29
