frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,-16.25,-21.14,-16.25,-21.16,21.16,19.65,9.72,4.91,4.91,4.89
20.20,-16.16,-21.09,-16.16,-21.11,21.11,19.77,9.91,4.95,4.95,4.93
20.40,-16.08,-21.05,-16.08,-21.05,21.05,19.88,10.10,4.97,4.97,4.97
20.61,-15.99,-20.99,-15.99,-20.99,20.99,19.97,10.29,5.00,5.00,5.00
20.81,-15.91,-20.95,-15.90,-20.93,20.93,20.05,10.49,5.03,5.03,5.04
21.02,-15.82,-20.90,-15.82,-20.87,20.87,20.10,10.70,5.05,5.05,5.08
21.23,-15.73,-20.83,-15.73,-20.81,20.81,20.14,10.91,5.08,5.08,5.10
21.44,-15.65,-20.77,-15.64,-20.74,20.74,20.15,11.13,5.10,5.10,5.12
21.66,-15.56,-20.70,-15.56,-20.68,20.68,20.15,11.35,5.12,5.12,5.14
21.87,-15.47,-20.61,-15.47,-20.61,20.61,20.13,11.58,5.14,5.14,5.15
22.09,-15.38,-20.54,-15.38,-20.54,20.54,20.10,11.81,5.16,5.16,5.17
22.31,-15.29,-20.46,-15.29,-20.46,20.46,20.04,12.05,5.18,5.17,5.18
22.54,-15.20,-20.38,-15.20,-20.39,20.39,19.98,12.30,5.19,5.19,5.18
22.76,-15.11,-20.30,-15.11,-20.31,20.31,19.90,12.55,5.20,5.19,5.19
22.99,-15.02,-20.21,-15.02,-20.22,20.22,19.80,12.81,5.21,5.20,5.19
23.22,-14.93,-20.13,-14.93,-20.14,20.14,19.70,13.08,5.21,5.21,5.20
23.45,-14.84,-20.05,-14.84,-20.06,20.06,19.59,13.36,5.22,5.22,5.21
23.69,-14.75,-19.97,-14.75,-19.98,19.98,19.47,13.65,5.23,5.23,5.22
23.92,-14.66,-19.89,-14.65,-19.89,19.89,19.34,13.94,5.23,5.24,5.23
24.16,-14.57,-19.82,-14.56,-19.81,19.81,19.21,14.25,5.24,5.25,5.25
24.40,-14.47,-19.74,-14.47,-19.72,19.72,19.07,14.56,5.26,5.26,5.27
24.65,-14.38,-19.65,-14.38,-19.64,19.64,18.93,14.89,5.26,5.27,5.27
24.89,-14.28,-19.55,-14.28,-19.56,19.56,18.78,15.22,5.28,5.28,5.28
25.14,-14.19,-19.47,-14.19,-19.47,19.47,18.64,15.57,5.29,5.29,5.29
25.39,-14.09,-19.38,-14.09,-19.39,19.39,18.49,15.93,5.30,5.30,5.29
25.65,-14.00,-19.31,-14.00,-19.31,19.31,18.35,16.31,5.31,5.31,5.31
25.91,-13.90,-19.21,-13.90,-19.22,19.22,18.21,16.69,5.32,5.32,5.31
26.16,-13.81,-19.13,-13.81,-19.14,19.14,18.06,17.09,5.33,5.33,5.32
26.43,-13.72,-19.05,-13.71,-19.05,19.05,17.92,17.51,5.33,5.33,5.33
26.69,-13.62,-18.96,-13.62,-18.96,18.96,17.78,17.94,5.34,5.34,5.34
26.96,-13.53,-18.89,-13.52,-18.88,18.88,17.64,18.38,5.35,5.35,5.36
27.23,-13.43,-18.80,-13.43,-18.79,18.79,17.51,18.84,5.36,5.36,5.37
27.50,-13.33,-18.70,-13.33,-18.70,18.70,17.38,19.32,5.37,5.37,5.37
27.77,-13.24,-18.61,-13.24,-18.61,18.61,17.25,19.81,5.38,5.38,5.37
28.05,-13.14,-18.53,-13.14,-18.53,18.53,17.12,20.31,5.39,5.39,5.39
28.33,-13.05,-18.44,-13.04,-18.44,18.44,17.00,20.82,5.39,5.39,5.39
28.62,-12.95,-18.35,-12.94,-18.35,18.35,16.88,21.34,5.40,5.40,5.40
28.90,-12.85,-18.25,-12.85,-18.26,18.26,16.77,21.86,5.41,5.41,5.41
29.19,-12.75,-18.15,-12.75,-18.17,18.17,16.66,22.37,5.42,5.42,5.40
29.48,-12.65,-18.08,-12.65,-18.07,18.07,16.55,22.87,5.43,5.42,5.43
29.78,-12.55,-17.98,-12.56,-17.98,17.98,16.45,23.33,5.43,5.43,5.43
30.08,-12.46,-17.90,-12.46,-17.89,17.89,16.35,23.74,5.43,5.43,5.44
30.38,-12.36,-17.80,-12.36,-17.80,17.80,16.25,24.09,5.44,5.44,5.44
30.68,-12.26,-17.71,-12.26,-17.71,17.71,16.16,24.34,5.45,5.45,5.45
30.99,-12.16,-17.61,-12.17,-17.62,17.62,16.07,24.49,5.46,5.45,5.45
31.30,-12.07,-17.53,-12.07,-17.53,17.53,15.99,24.53,5.46,5.46,5.46
31.61,-11.98,-17.45,-11.97,-17.44,17.44,15.91,24.46,5.46,5.47,5.47
31.93,-11.88,-17.35,-11.87,-17.35,17.35,15.83,24.28,5.47,5.48,5.47
32.24,-11.78,-17.25,-11.78,-17.26,17.26,15.75,24.00,5.48,5.48,5.47
32.57,-11.68,-17.17,-11.68,-17.17,17.17,15.68,23.66,5.49,5.49,5.49
32.89,-11.58,-17.07,-11.58,-17.08,17.08,15.62,23.25,5.50,5.50,5.50
33.22,-11.48,-16.98,-11.48,-16.99,16.99,15.55,22.82,5.51,5.50,5.50
33.55,-11.39,-16.90,-11.39,-16.89,16.89,15.49,22.36,5.51,5.51,5.51
33.89,-11.29,-16.81,-11.29,-16.80,16.80,15.43,21.89,5.51,5.51,5.52
34.23,-11.19,-16.71,-11.19,-16.71,16.71,15.38,21.42,5.52,5.52,5.52
34.57,-11.09,-16.62,-11.09,-16.62,16.62,15.32,20.96,5.53,5.53,5.53
34.92,-10.99,-16.52,-10.99,-16.52,16.52,15.27,20.50,5.53,5.53,5.53
35.27,-10.90,-16.43,-10.90,-16.43,16.43,15.23,20.06,5.53,5.53,5.53
35.62,-10.80,-16.34,-10.80,-16.34,16.34,15.18,19.63,5.54,5.54,5.54
35.97,-10.71,-16.24,-10.70,-16.24,16.24,15.14,19.22,5.53,5.54,5.53
36.33,-10.61,-16.15,-10.60,-16.14,16.14,15.09,18.83,5.54,5.54,5.54
36.70,-10.51,-16.05,-10.51,-16.05,16.05,15.05,18.45,5.54,5.54,5.54
37.06,-10.41,-15.95,-10.41,-15.95,15.95,15.02,18.08,5.55,5.54,5.54
37.43,-10.32,-15.86,-10.32,-15.86,15.86,14.98,17.74,5.54,5.54,5.55
37.81,-10.22,-15.76,-10.22,-15.76,15.76,14.94,17.40,5.54,5.54,5.54
38.19,-10.12,-15.66,-10.13,-15.66,15.66,14.91,17.09,5.54,5.53,5.54
38.57,-10.03,-15.56,-10.03,-15.56,15.56,14.87,16.78,5.54,5.53,5.53
38.95,-9.94,-15.46,-9.94,-15.47,15.47,14.83,16.49,5.53,5.53,5.53
39.34,-9.85,-15.37,-9.85,-15.37,15.37,14.80,16.21,5.52,5.52,5.52
39.74,-9.76,-15.27,-9.75,-15.27,15.27,14.76,15.95,5.51,5.52,5.51
40.14,-9.67,-15.19,-9.66,-15.17,15.17,14.73,15.69,5.50,5.52,5.52
40.54,-9.57,-15.08,-9.56,-15.08,15.08,14.69,15.45,5.51,5.51,5.51
40.94,-9.47,-14.97,-9.47,-14.98,14.98,14.65,15.22,5.51,5.51,5.50
41.35,-9.38,-14.88,-9.37,-14.88,14.88,14.61,15.00,5.50,5.50,5.50
41.76,-9.28,-14.78,-9.28,-14.78,14.78,14.56,14.79,5.50,5.50,5.50
42.18,-9.19,-14.69,-9.19,-14.68,14.68,14.52,14.59,5.49,5.49,5.50
42.60,-9.09,-14.58,-9.09,-14.58,14.58,14.47,14.40,5.49,5.49,5.49
43.03,-8.99,-14.49,-9.00,-14.48,14.48,14.42,14.22,5.49,5.49,5.50
43.46,-8.90,-14.39,-8.90,-14.39,14.39,14.37,14.05,5.49,5.48,5.49
43.90,-8.81,-14.28,-8.81,-14.29,14.29,14.31,13.88,5.48,5.48,5.47
44.33,-8.72,-14.19,-8.72,-14.19,14.19,14.25,13.73,5.48,5.47,5.47
44.78,-8.63,-14.09,-8.63,-14.10,14.10,14.18,13.58,5.47,5.47,5.46
45.23,-8.54,-13.99,-8.54,-14.00,14.00,14.11,13.44,5.46,5.46,5.45
45.68,-8.45,-13.90,-8.45,-13.91,13.91,14.04,13.31,5.46,5.46,5.45
46.13,-8.36,-13.80,-8.36,-13.81,13.81,13.96,13.18,5.45,5.45,5.44
46.60,-8.28,-13.73,-8.27,-13.72,13.72,13.87,13.06,5.44,5.44,5.45
47.06,-8.19,-13.63,-8.18,-13.62,13.62,13.78,12.95,5.43,5.43,5.44
47.53,-8.10,-13.53,-8.10,-13.52,13.52,13.69,12.85,5.42,5.42,5.43
48.01,-8.01,-13.44,-8.01,-13.42,13.42,13.59,12.75,5.41,5.41,5.44
48.49,-7.92,-13.33,-7.92,-13.32,13.32,13.49,12.65,5.41,5.40,5.41
48.97,-7.83,-13.22,-7.83,-13.22,13.22,13.38,12.56,5.40,5.39,5.39
49.46,-7.75,-13.12,-7.75,-13.12,13.12,13.27,12.48,5.38,5.38,5.38
49.96,-7.66,-13.01,-7.66,-13.02,13.02,13.15,12.40,5.36,5.36,5.35
50.46,-7.57,-12.92,-7.57,-12.91,12.91,13.03,12.33,5.35,5.35,5.35
50.96,-7.49,-12.82,-7.48,-12.81,12.81,12.90,12.26,5.32,5.33,5.33
51.47,-7.39,-12.69,-7.39,-12.70,12.70,12.77,12.19,5.31,5.31,5.30
51.99,-7.30,-12.58,-7.30,-12.59,12.59,12.63,12.13,5.29,5.29,5.28
52.51,-7.22,-12.49,-7.21,-12.48,12.48,12.50,12.07,5.26,5.27,5.28
53.03,-7.13,-12.38,-7.13,-12.37,12.37,12.35,12.01,5.24,5.25,5.25
53.56,-7.04,-12.27,-7.04,-12.26,12.26,12.21,11.95,5.22,5.22,5.23
54.10,-6.95,-12.15,-6.95,-12.15,12.15,12.06,11.90,5.20,5.20,5.20
