frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,7.59,-0.12,7.59,-0.12,0.12,0.45,0.11,7.71,7.71,7.71
20.20,7.61,-0.14,7.61,-0.14,0.14,0.45,0.11,7.75,7.75,7.75
20.40,7.63,-0.16,7.63,-0.16,0.16,0.45,0.11,7.79,7.79,7.79
20.61,7.65,-0.17,7.65,-0.18,0.18,0.45,0.12,7.83,7.82,7.82
20.81,7.66,-0.20,7.66,-0.20,0.19,0.45,0.12,7.85,7.86,7.86
21.02,7.68,-0.22,7.68,-0.21,0.20,0.45,0.12,7.88,7.89,7.90
21.23,7.70,-0.22,7.70,-0.22,0.21,0.45,0.13,7.91,7.91,7.92
21.44,7.72,-0.22,7.72,-0.22,0.22,0.45,0.13,7.94,7.94,7.94
21.66,7.73,-0.23,7.73,-0.22,0.22,0.45,0.13,7.95,7.96,7.96
21.87,7.75,-0.22,7.75,-0.22,0.22,0.45,0.14,7.97,7.97,7.97
22.09,7.77,-0.22,7.77,-0.22,0.22,0.45,0.14,7.99,7.99,7.99
22.31,7.78,-0.22,7.78,-0.22,0.21,0.45,0.14,7.99,8.00,8.00
22.54,7.80,-0.21,7.80,-0.21,0.21,0.45,0.15,8.01,8.01,8.01
22.76,7.81,-0.21,7.81,-0.20,0.20,0.45,0.15,8.01,8.01,8.02
22.99,7.83,-0.19,7.83,-0.19,0.19,0.45,0.16,8.02,8.02,8.02
23.22,7.84,-0.19,7.84,-0.19,0.19,0.45,0.16,8.03,8.03,8.03
23.45,7.86,-0.18,7.86,-0.18,0.18,0.45,0.16,8.04,8.04,8.04
23.69,7.87,-0.18,7.87,-0.17,0.18,0.45,0.17,8.05,8.05,8.05
23.92,7.89,-0.17,7.89,-0.18,0.17,0.45,0.17,8.06,8.06,8.06
24.16,7.90,-0.18,7.90,-0.18,0.17,0.45,0.18,8.07,8.07,8.08
24.40,7.91,-0.19,7.91,-0.17,0.17,0.45,0.18,8.08,8.08,8.10
24.65,7.93,-0.16,7.93,-0.17,0.16,0.45,0.19,8.09,8.09,8.09
24.89,7.94,-0.16,7.94,-0.16,0.16,0.45,0.19,8.10,8.10,8.10
25.14,7.96,-0.15,7.96,-0.15,0.16,0.45,0.20,8.12,8.11,8.11
25.39,7.97,-0.15,7.97,-0.15,0.15,0.45,0.20,8.12,8.12,8.12
25.65,7.98,-0.16,7.98,-0.15,0.15,0.45,0.21,8.13,8.13,8.14
25.91,7.99,-0.15,7.99,-0.15,0.15,0.45,0.21,8.14,8.14,8.14
26.16,8.00,-0.15,8.00,-0.15,0.15,0.45,0.22,8.15,8.15,8.15
26.43,8.01,-0.15,8.01,-0.15,0.15,0.45,0.22,8.16,8.16,8.16
26.69,8.02,-0.15,8.02,-0.15,0.15,0.45,0.23,8.17,8.17,8.17
26.96,8.03,-0.16,8.03,-0.15,0.15,0.45,0.23,8.18,8.18,8.19
27.23,8.04,-0.16,8.04,-0.15,0.15,0.45,0.24,8.19,8.19,8.20
27.50,8.05,-0.15,8.05,-0.15,0.15,0.45,0.25,8.20,8.20,8.20
27.77,8.05,-0.15,8.05,-0.15,0.15,0.45,0.25,8.20,8.21,8.20
28.05,8.06,-0.16,8.06,-0.15,0.15,0.45,0.26,8.21,8.21,8.22
28.33,8.07,-0.15,8.07,-0.15,0.16,0.45,0.26,8.23,8.22,8.22
28.62,8.07,-0.16,8.07,-0.15,0.16,0.45,0.27,8.23,8.23,8.23
28.90,8.08,-0.16,8.08,-0.16,0.16,0.45,0.27,8.24,8.24,8.24
29.19,8.08,-0.16,8.08,-0.17,0.17,0.45,0.28,8.25,8.25,8.24
29.48,8.08,-0.19,8.08,-0.18,0.17,0.45,0.28,8.25,8.25,8.27
