frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,-2.32,-7.58,-2.32,-7.58,7.58,7.04,2.79,5.26,5.26,5.26
20.20,-2.26,-7.56,-2.26,-7.56,7.57,7.09,2.87,5.31,5.31,5.30
20.40,-2.21,-7.55,-2.20,-7.55,7.55,7.13,2.95,5.34,5.35,5.34
20.61,-2.15,-7.52,-2.15,-7.53,7.53,7.17,3.03,5.38,5.38,5.37
20.81,-2.10,-7.51,-2.10,-7.51,7.51,7.21,3.12,5.41,5.41,5.41
21.02,-2.04,-7.49,-2.04,-7.49,7.48,7.24,3.20,5.45,5.44,5.45
21.23,-1.99,-7.46,-1.99,-7.46,7.46,7.26,3.29,5.47,5.47,5.47
21.44,-1.93,-7.42,-1.93,-7.43,7.42,7.29,3.39,5.50,5.49,5.49
21.66,-1.88,-7.39,-1.88,-7.39,7.39,7.30,3.48,5.51,5.51,5.51
21.87,-1.82,-7.34,-1.82,-7.35,7.35,7.32,3.58,5.53,5.53,5.52
22.09,-1.77,-7.31,-1.76,-7.31,7.31,7.32,3.68,5.54,5.54,5.54
22.31,-1.71,-7.26,-1.71,-7.26,7.26,7.33,3.78,5.55,5.55,5.55
22.54,-1.65,-7.21,-1.65,-7.22,7.21,7.33,3.89,5.56,5.56,5.56
22.76,-1.60,-7.17,-1.60,-7.17,7.17,7.32,4.00,5.57,5.57,5.57
22.99,-1.54,-7.11,-1.54,-7.12,7.12,7.31,4.11,5.58,5.58,5.57
23.22,-1.49,-7.07,-1.48,-7.07,7.07,7.30,4.23,5.58,5.59,5.58
23.45,-1.43,-7.02,-1.43,-7.02,7.03,7.28,4.34,5.60,5.60,5.59
23.69,-1.37,-6.97,-1.37,-6.97,6.98,7.26,4.46,5.61,5.61,5.60
23.92,-1.32,-6.93,-1.31,-6.93,6.93,7.23,4.58,5.62,5.62,5.61
24.16,-1.26,-6.89,-1.26,-6.89,6.89,7.20,4.71,5.63,5.63,5.63
24.40,-1.21,-6.86,-1.20,-6.85,6.84,7.16,4.83,5.63,5.64,5.65
24.65,-1.15,-6.79,-1.15,-6.80,6.80,7.13,4.96,5.65,5.65,5.64
24.89,-1.09,-6.74,-1.09,-6.75,6.75,7.08,5.09,5.66,5.66,5.65
25.14,-1.04,-6.70,-1.03,-6.70,6.70,7.04,5.22,5.67,5.67,5.66
25.39,-0.98,-6.65,-0.98,-6.66,6.66,6.99,5.35,5.68,5.68,5.67
25.65,-0.93,-6.62,-0.92,-6.61,6.61,6.94,5.48,5.68,5.69,5.69
25.91,-0.87,-6.56,-0.87,-6.56,6.56,6.89,5.62,5.69,5.70,5.69
26.16,-0.81,-6.51,-0.81,-6.52,6.52,6.83,5.75,5.71,5.71,5.70
26.43,-0.76,-6.47,-0.76,-6.47,6.47,6.77,5.88,5.72,5.72,5.71
26.69,-0.70,-6.42,-0.70,-6.43,6.43,6.71,6.01,5.73,5.73,5.72
26.96,-0.65,-6.39,-0.65,-6.39,6.38,6.65,6.14,5.73,5.74,5.74
27.23,-0.59,-6.34,-0.59,-6.34,6.34,6.59,6.27,5.75,5.75,5.75
27.50,-0.54,-6.29,-0.54,-6.29,6.29,6.52,6.39,5.75,5.75,5.75
27.77,-0.48,-6.23,-0.48,-6.24,6.24,6.45,6.51,5.76,5.76,5.75
28.05,-0.43,-6.20,-0.43,-6.19,6.20,6.39,6.63,5.77,5.77,5.77
28.33,-0.37,-6.14,-0.37,-6.15,6.15,6.32,6.74,5.78,5.78,5.77
28.62,-0.32,-6.10,-0.32,-6.10,6.10,6.25,6.84,5.78,5.78,5.78
28.90,-0.26,-6.05,-0.26,-6.05,6.05,6.18,6.94,5.80,5.79,5.79
29.19,-0.21,-6.00,-0.20,-6.01,6.01,6.11,7.02,5.80,5.80,5.79
29.48,-0.15,-5.97,-0.15,-5.96,5.96,6.04,7.10,5.81,5.81,5.82
29.78,-0.10,-5.91,-0.10,-5.92,5.91,5.97,7.17,5.82,5.82,5.81
30.08,-0.05,-5.87,-0.04,-5.87,5.87,5.90,7.23,5.82,5.82,5.82
