frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,-18.35,-18.56,-18.36,-18.58,18.58,17.81,6.67,0.23,0.22,0.20
20.20,-18.20,-18.45,-18.20,-18.46,18.46,17.84,6.82,0.25,0.26,0.24
20.40,-18.04,-18.33,-18.05,-18.33,18.33,17.85,6.97,0.29,0.29,0.28
20.61,-17.90,-18.21,-17.89,-18.21,18.21,17.85,7.12,0.31,0.32,0.31
20.81,-17.73,-18.09,-17.73,-18.08,18.08,17.84,7.29,0.35,0.34,0.35
21.02,-17.57,-17.97,-17.58,-17.95,17.95,17.81,7.45,0.37,0.37,0.39
21.23,-17.42,-17.84,-17.42,-17.81,17.81,17.77,7.62,0.39,0.39,0.41
21.44,-17.26,-17.70,-17.26,-17.68,17.68,17.72,7.79,0.42,0.42,0.43
21.66,-17.11,-17.56,-17.10,-17.54,17.54,17.65,7.97,0.43,0.44,0.45
21.87,-16.94,-17.41,-16.94,-17.40,17.40,17.57,8.15,0.46,0.46,0.46
22.09,-16.78,-17.27,-16.78,-17.26,17.26,17.48,8.34,0.48,0.48,0.48
22.31,-16.62,-17.12,-16.62,-17.12,17.12,17.38,8.53,0.49,0.49,0.49
22.54,-16.47,-16.97,-16.46,-16.97,16.97,17.27,8.73,0.50,0.50,0.50
22.76,-16.30,-16.82,-16.30,-16.82,16.82,17.15,8.93,0.51,0.51,0.51
22.99,-16.14,-16.66,-16.14,-16.66,16.66,17.02,9.14,0.52,0.52,0.51
23.22,-15.97,-16.50,-15.98,-16.51,16.51,16.88,9.35,0.53,0.53,0.52
23.45,-15.81,-16.35,-15.82,-16.36,16.36,16.74,9.57,0.54,0.54,0.53
23.69,-15.66,-16.20,-15.65,-16.20,16.20,16.59,9.80,0.54,0.55,0.54
23.92,-15.48,-16.04,-15.49,-16.05,16.05,16.43,10.03,0.57,0.56,0.55
24.16,-15.32,-15.90,-15.33,-15.89,15.89,16.27,10.27,0.57,0.57,0.57
24.40,-15.16,-15.75,-15.16,-15.74,15.74,16.11,10.51,0.58,0.58,0.59
24.65,-15.00,-15.58,-15.00,-15.58,15.58,15.94,10.76,0.59,0.59,0.58
24.89,-14.83,-15.43,-14.83,-15.43,15.43,15.77,11.01,0.60,0.60,0.59
25.14,-14.67,-15.28,-14.67,-15.27,15.27,15.59,11.27,0.60,0.61,0.60
25.39,-14.50,-15.12,-14.50,-15.12,15.12,15.42,11.54,0.62,0.62,0.61
25.65,-14.35,-14.98,-14.34,-14.97,14.97,15.24,11.81,0.62,0.63,0.63
25.91,-14.18,-14.81,-14.17,-14.81,14.81,15.06,12.09,0.63,0.64,0.63
26.16,-14.00,-14.65,-14.01,-14.66,14.66,14.88,12.37,0.65,0.65,0.64
26.43,-13.85,-14.50,-13.84,-14.50,14.50,14.70,12.66,0.65,0.66,0.65
26.69,-13.67,-14.34,-13.68,-14.34,14.34,14.52,12.95,0.67,0.66,0.66
26.96,-13.52,-14.20,-13.51,-14.19,14.19,14.34,13.24,0.67,0.67,0.68
27.23,-13.35,-14.04,-13.35,-14.03,14.03,14.16,13.53,0.69,0.68,0.69
27.50,-13.19,-13.88,-13.18,-13.88,13.88,13.98,13.83,0.69,0.69,0.69
27.77,-13.01,-13.71,-13.02,-13.72,13.72,13.80,14.12,0.71,0.70,0.69
28.05,-12.85,-13.57,-12.86,-13.57,13.57,13.62,14.40,0.71,0.71,0.71
28.33,-12.69,-13.41,-12.69,-13.41,13.41,13.45,14.69,0.72,0.72,0.71
28.62,-12.54,-13.26,-12.53,-13.25,13.25,13.27,14.96,0.72,0.73,0.72
28.90,-12.37,-13.11,-12.37,-13.10,13.10,13.10,15.21,0.73,0.73,0.73
29.19,-12.20,-12.94,-12.21,-12.95,12.95,12.92,15.45,0.74,0.74,0.73
29.48,-12.04,-12.81,-12.04,-12.79,12.79,12.75,15.67,0.75,0.75,0.76
29.78,-11.88,-12.63,-11.88,-12.64,12.64,12.58,15.85,0.76,0.75,0.75
30.08,-11.72,-12.48,-11.73,-12.49,12.49,12.41,16.01,0.77,0.76,0.76
30.38,-11.57,-12.33,-11.57,-12.33,12.33,12.24,16.13,0.77,0.77,0.76
30.68,-11.40,-12.19,-11.41,-12.18,12.18,12.07,16.22,0.78,0.78,0.78
30.99,-11.26,-12.04,-11.25,-12.04,12.04,11.91,16.26,0.78,0.78,0.78
31.30,-11.10,-11.88,-11.10,-11.89,11.89,11.74,16.25,0.79,0.79,0.78
31.61,-10.94,-11.74,-10.94,-11.74,11.74,11.58,16.21,0.79,0.80,0.79
31.93,-10.80,-11.60,-10.79,-11.59,11.59,11.42,16.12,0.80,0.80,0.80
32.24,-10.63,-11.44,-10.64,-11.45,11.45,11.26,15.99,0.82,0.81,0.80
32.57,-10.49,-11.31,-10.48,-11.30,11.30,11.10,15.82,0.82,0.82,0.82
32.89,-10.32,-11.15,-10.33,-11.16,11.16,10.94,15.63,0.84,0.83,0.82
33.22,-10.17,-11.01,-10.18,-11.02,11.02,10.79,15.40,0.84,0.83,0.83
33.55,-10.03,-10.88,-10.04,-10.88,10.88,10.63,15.15,0.84,0.84,0.84
33.89,-9.89,-10.75,-9.89,-10.73,10.73,10.48,14.88,0.84,0.85,0.85
34.23,-9.75,-10.60,-9.74,-10.59,10.59,10.33,14.60,0.84,0.85,0.85
34.57,-9.58,-10.45,-9.59,-10.45,10.45,10.18,14.30,0.86,0.86,0.86
34.92,-9.44,-10.30,-9.44,-10.31,10.31,10.03,13.99,0.87,0.87,0.86
35.27,-9.29,-10.16,-9.29,-10.16,10.16,9.89,13.69,0.88,0.87,0.87
35.62,-9.15,-10.02,-9.14,-10.02,10.02,9.74,13.37,0.87,0.87,0.87
35.97,-9.00,-9.88,-8.99,-9.87,9.87,9.60,13.06,0.87,0.88,0.87
36.33,-8.85,-9.74,-8.85,-9.72,9.72,9.45,12.75,0.87,0.88,0.88
36.70,-8.71,-9.58,-8.70,-9.58,9.58,9.31,12.44,0.87,0.88,0.87
