frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,7.28,1.83,7.28,1.80,-1.80,-1.80,-1.24,5.48,5.48,5.46
20.20,7.32,1.83,7.31,1.80,-1.80,-1.83,-1.27,5.52,5.51,5.50
20.40,7.35,1.82,7.35,1.81,-1.81,-1.86,-1.31,5.54,5.54,5.54
20.61,7.39,1.83,7.39,1.82,-1.82,-1.88,-1.35,5.57,5.57,5.56
20.81,7.42,1.82,7.42,1.83,-1.83,-1.91,-1.38,5.59,5.59,5.60
21.02,7.46,1.82,7.46,1.84,-1.84,-1.93,-1.42,5.62,5.62,5.64
21.23,7.50,1.84,7.50,1.86,-1.86,-1.96,-1.47,5.64,5.64,5.66
21.44,7.54,1.86,7.54,1.87,-1.87,-1.99,-1.51,5.67,5.66,5.68
21.66,7.57,1.87,7.58,1.89,-1.89,-2.01,-1.55,5.68,5.69,5.70
21.87,7.61,1.90,7.62,1.91,-1.91,-2.04,-1.60,5.70,5.70,5.71
22.09,7.65,1.92,7.66,1.94,-1.94,-2.06,-1.64,5.71,5.72,5.73
22.31,7.69,1.95,7.70,1.96,-1.96,-2.09,-1.69,5.73,5.74,5.74
22.54,7.74,1.99,7.74,1.99,-1.99,-2.11,-1.74,5.75,5.75,5.75
22.76,7.78,2.02,7.79,2.03,-2.03,-2.14,-1.79,5.75,5.76,5.76
22.99,7.83,2.07,7.83,2.06,-2.06,-2.16,-1.84,5.77,5.77,5.76
23.22,7.87,2.10,7.88,2.10,-2.10,-2.19,-1.89,5.77,5.78,5.77
23.45,7.92,2.14,7.92,2.14,-2.14,-2.21,-1.94,5.78,5.78,5.78
23.69,7.97,2.18,7.96,2.17,-2.17,-2.23,-2.00,5.80,5.79,5.79
23.92,8.01,2.22,8.00,2.20,-2.20,-2.26,-2.05,5.81,5.80,5.80
24.16,8.05,2.24,8.04,2.23,-2.23,-2.28,-2.11,5.82,5.81,5.81
24.40,8.09,2.26,8.08,2.26,-2.26,-2.30,-2.16,5.83,5.82,5.83
