frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,-1.78,-8.20,-1.77,-8.19,8.22,7.80,2.36,6.44,6.45,6.42
20.20,-1.68,-8.14,-1.68,-8.14,8.15,7.75,2.43,6.47,6.47,6.46
20.40,-1.58,-8.08,-1.59,-8.09,8.08,7.71,2.50,6.50,6.49,6.50
20.61,-1.49,-8.02,-1.49,-8.02,8.01,7.65,2.57,6.52,6.52,6.53
20.81,-1.39,-7.96,-1.39,-7.96,7.93,7.60,2.64,6.54,6.54,6.57
21.02,-1.29,-7.90,-1.28,-7.89,7.85,7.54,2.72,6.56,6.57,6.61
21.23,-1.16,-7.79,-1.16,-7.80,7.77,7.49,2.80,6.61,6.60,6.63
21.44,-1.04,-7.69,-1.04,-7.69,7.68,7.43,2.88,6.64,6.65,6.65
21.66,-0.91,-7.58,-0.91,-7.57,7.59,7.36,2.97,6.68,6.68,6.67
21.87,-0.78,-7.46,-0.79,-7.47,7.49,7.30,3.05,6.71,6.71,6.68
22.09,-0.67,-7.37,-0.68,-7.37,7.40,7.23,3.14,6.73,6.72,6.70
22.31,-0.59,-7.30,-0.58,-7.29,7.30,7.17,3.23,6.71,6.72,6.71
22.54,-0.50,-7.22,-0.50,-7.22,7.21,7.10,3.33,6.71,6.71,6.72
22.76,-0.41,-7.14,-0.41,-7.14,7.13,7.03,3.42,6.72,6.71,6.73
22.99,-0.32,-7.05,-0.32,-7.05,7.04,6.96,3.52,6.72,6.73,6.73
23.22,-0.22,-6.96,-0.22,-6.96,6.96,6.89,3.62,6.74,6.74,6.74
23.45,-0.12,-6.87,-0.12,-6.87,6.87,6.82,3.73,6.75,6.75,6.75
23.69,-0.02,-6.78,-0.02,-6.78,6.78,6.74,3.83,6.76,6.76,6.76
23.92,0.08,-6.69,0.08,-6.69,6.68,6.67,3.94,6.76,6.76,6.77
24.16,0.19,-6.60,0.19,-6.60,6.59,6.60,4.05,6.78,6.78,6.79
24.40,0.30,-6.51,0.30,-6.50,6.49,6.52,4.16,6.79,6.80,6.81
24.65,0.41,-6.39,0.41,-6.39,6.41,6.45,4.27,6.81,6.82,6.80
