frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,0.03,-6.05,0.04,-6.07,6.07,5.70,1.63,6.10,6.11,6.09
20.20,0.10,-6.02,0.10,-6.04,6.04,5.77,1.68,6.14,6.14,6.13
20.40,0.16,-6.00,0.16,-6.01,6.01,5.83,1.73,6.17,6.17,6.17
20.61,0.23,-5.96,0.23,-5.97,5.97,5.89,1.78,6.20,6.20,6.19
20.81,0.29,-5.94,0.29,-5.93,5.93,5.94,1.84,6.23,6.22,6.23
21.02,0.36,-5.91,0.36,-5.89,5.89,5.98,1.90,6.25,6.25,6.27
21.23,0.42,-5.87,0.42,-5.85,5.85,6.02,1.96,6.27,6.27,6.29
21.44,0.48,-5.83,0.49,-5.81,5.81,6.05,2.02,6.29,6.29,6.31
21.66,0.55,-5.78,0.55,-5.76,5.76,6.07,2.08,6.31,6.32,6.33
21.87,0.61,-5.73,0.62,-5.71,5.71,6.09,2.14,6.33,6.33,6.34
22.09,0.68,-5.68,0.69,-5.67,5.67,6.09,2.21,6.35,6.35,6.36
22.31,0.75,-5.62,0.75,-5.61,5.61,6.09,2.28,6.37,6.37,6.37
22.54,0.82,-5.56,0.82,-5.56,5.56,6.08,2.35,6.38,6.38,6.38
22.76,0.89,-5.50,0.89,-5.50,5.50,6.06,2.42,6.39,6.39,6.39
22.99,0.96,-5.43,0.96,-5.44,5.44,6.04,2.49,6.40,6.40,6.39
23.22,1.02,-5.37,1.03,-5.38,5.38,6.01,2.57,6.40,6.41,6.40
23.45,1.09,-5.31,1.09,-5.32,5.32,5.97,2.65,6.41,6.41,6.41
23.69,1.16,-5.25,1.16,-5.26,5.26,5.92,2.73,6.42,6.42,6.42
23.92,1.23,-5.19,1.23,-5.20,5.20,5.87,2.81,6.43,6.43,6.43
24.16,1.30,-5.14,1.30,-5.14,5.14,5.81,2.89,6.44,6.44,6.44
24.40,1.37,-5.09,1.38,-5.08,5.08,5.74,2.97,6.45,6.45,6.46
24.65,1.44,-5.02,1.45,-5.01,5.01,5.67,3.05,6.46,6.46,6.46
24.89,1.51,-4.96,1.52,-4.95,4.95,5.59,3.14,6.47,6.47,6.47
25.14,1.58,-4.90,1.59,-4.89,4.89,5.51,3.22,6.48,6.48,6.48
25.39,1.66,-4.83,1.66,-4.83,4.83,5.43,3.31,6.50,6.49,6.49
25.65,1.73,-4.78,1.73,-4.77,4.77,5.34,3.40,6.50,6.50,6.51
25.91,1.80,-4.71,1.80,-4.71,4.71,5.25,3.48,6.51,6.51,6.51
26.16,1.88,-4.63,1.88,-4.64,4.64,5.16,3.57,6.53,6.52,6.52
26.43,1.95,-4.57,1.95,-4.58,4.58,5.07,3.65,6.53,6.53,6.52
26.69,2.02,-4.51,2.02,-4.52,4.52,4.97,3.74,6.54,6.54,6.53
26.96,2.09,-4.46,2.09,-4.45,4.45,4.87,3.82,6.54,6.55,6.55
27.23,2.16,-4.40,2.17,-4.39,4.39,4.78,3.90,6.55,6.55,6.56
27.50,2.24,-4.33,2.24,-4.32,4.32,4.68,3.98,6.56,6.56,6.57
27.77,2.31,-4.25,2.32,-4.26,4.26,4.58,4.05,6.57,6.57,6.57
28.05,2.38,-4.20,2.39,-4.19,4.19,4.48,4.12,6.57,6.58,6.59
28.33,2.46,-4.12,2.46,-4.13,4.13,4.38,4.19,6.59,6.59,6.58
28.62,2.53,-4.06,2.53,-4.06,4.06,4.28,4.25,6.59,6.60,6.59
28.90,2.60,-4.00,2.61,-4.00,4.00,4.19,4.30,6.60,6.60,6.60
29.19,2.68,-3.92,2.68,-3.93,3.93,4.09,4.35,6.61,6.61,6.60
29.48,2.76,-3.86,2.75,-3.87,3.87,3.99,4.40,6.63,6.62,6.63
29.78,2.83,-3.79,2.82,-3.80,3.80,3.90,4.44,6.63,6.62,6.63
30.08,2.91,-3.72,2.90,-3.73,3.73,3.81,4.47,6.64,6.63,6.63
30.38,2.97,-3.66,2.97,-3.66,3.66,3.72,4.49,6.64,6.64,6.63
