frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,5.61,1.51,5.61,1.49,-1.49,-1.27,-0.74,4.12,4.12,4.10
20.20,5.63,1.49,5.63,1.48,-1.48,-1.30,-0.76,4.15,4.15,4.14
20.40,5.65,1.47,5.65,1.47,-1.47,-1.34,-0.78,4.18,4.18,4.18
20.61,5.67,1.46,5.67,1.46,-1.46,-1.37,-0.81,4.21,4.21,4.20
20.81,5.69,1.44,5.69,1.46,-1.46,-1.40,-0.83,4.23,4.23,4.25
21.02,5.71,1.43,5.71,1.45,-1.45,-1.43,-0.85,4.26,4.26,4.28
21.23,5.73,1.43,5.74,1.45,-1.45,-1.46,-0.88,4.28,4.28,4.30
21.44,5.75,1.43,5.76,1.45,-1.45,-1.48,-0.90,4.30,4.31,4.32
21.66,5.78,1.44,5.78,1.45,-1.45,-1.51,-0.92,4.33,4.33,4.34
21.87,5.80,1.45,5.80,1.45,-1.45,-1.53,-0.95,4.35,4.35,4.35
22.09,5.82,1.45,5.82,1.46,-1.46,-1.55,-0.98,4.37,4.36,4.37
22.31,5.84,1.46,5.84,1.46,-1.46,-1.57,-1.00,4.38,4.38,4.38
22.54,5.86,1.47,5.86,1.47,-1.47,-1.59,-1.03,4.39,4.39,4.39
22.76,5.88,1.48,5.88,1.48,-1.48,-1.61,-1.06,4.40,4.40,4.40
22.99,5.90,1.50,5.90,1.49,-1.49,-1.62,-1.09,4.41,4.41,4.40
23.22,5.92,1.51,5.92,1.50,-1.50,-1.63,-1.12,4.42,4.42,4.41
23.45,5.94,1.52,5.94,1.51,-1.51,-1.64,-1.15,4.43,4.43,4.42
23.69,5.96,1.53,5.96,1.52,-1.52,-1.65,-1.18,4.44,4.44,4.43
23.92,5.97,1.53,5.98,1.53,-1.53,-1.65,-1.21,4.44,4.44,4.44
24.16,5.99,1.53,5.99,1.54,-1.54,-1.66,-1.24,4.45,4.45,4.46
24.40,6.01,1.54,6.01,1.55,-1.55,-1.66,-1.28,4.46,4.46,4.47
24.65,6.03,1.56,6.03,1.56,-1.56,-1.66,-1.31,4.47,4.47,4.47
24.89,6.05,1.57,6.05,1.57,-1.57,-1.66,-1.34,4.48,4.48,4.48
25.14,6.07,1.58,6.07,1.58,-1.58,-1.66,-1.38,4.49,4.49,4.49
25.39,6.09,1.59,6.09,1.59,-1.59,-1.65,-1.41,4.51,4.50,4.50
25.65,6.11,1.59,6.11,1.59,-1.59,-1.65,-1.44,4.52,4.51,4.52
25.91,6.12,1.60,6.12,1.60,-1.60,-1.65,-1.48,4.52,4.52,4.52
26.16,6.14,1.61,6.14,1.61,-1.61,-1.64,-1.51,4.53,4.53,4.53
26.43,6.16,1.62,6.16,1.62,-1.62,-1.64,-1.54,4.54,4.54,4.54
26.69,6.18,1.64,6.18,1.63,-1.63,-1.63,-1.58,4.55,4.55,4.54
26.96,6.20,1.64,6.20,1.64,-1.64,-1.63,-1.61,4.56,4.56,4.56
27.23,6.21,1.64,6.21,1.65,-1.65,-1.62,-1.64,4.56,4.57,4.57
27.50,6.23,1.65,6.23,1.66,-1.66,-1.62,-1.67,4.57,4.57,4.58
27.77,6.25,1.67,6.25,1.66,-1.66,-1.61,-1.70,4.59,4.58,4.58
28.05,6.26,1.66,6.26,1.67,-1.67,-1.61,-1.73,4.59,4.59,4.60
28.33,6.28,1.68,6.28,1.68,-1.68,-1.61,-1.75,4.60,4.60,4.60
28.62,6.29,1.69,6.29,1.69,-1.69,-1.60,-1.78,4.60,4.61,4.60
28.90,6.31,1.70,6.31,1.69,-1.69,-1.60,-1.80,4.62,4.61,4.61
29.19,6.32,1.71,6.32,1.70,-1.70,-1.60,-1.82,4.62,4.62,4.61
29.48,6.33,1.69,6.33,1.70,-1.70,-1.60,-1.84,4.63,4.63,4.64
29.78,6.35,1.71,6.34,1.71,-1.71,-1.60,-1.86,4.64,4.63,4.64
30.08,6.36,1.72,6.36,1.71,-1.71,-1.60,-1.88,4.64,4.64,4.64
30.38,6.37,1.73,6.37,1.72,-1.72,-1.60,-1.89,4.65,4.65,4.64
30.68,6.37,1.71,6.38,1.72,-1.72,-1.60,-1.90,4.65,4.65,4.66
30.99,6.38,1.72,6.39,1.73,-1.73,-1.60,-1.91,4.65,4.66,4.66
31.30,6.39,1.72,6.40,1.73,-1.73,-1.60,-1.92,4.66,4.67,4.67
31.61,6.40,1.73,6.40,1.73,-1.73,-1.61,-1.93,4.67,4.67,4.67
31.93,6.42,1.74,6.41,1.73,-1.73,-1.61,-1.93,4.69,4.68,4.68
32.24,6.42,1.74,6.42,1.73,-1.73,-1.61,-1.93,4.69,4.69,4.68
32.57,6.43,1.74,6.43,1.73,-1.73,-1.62,-1.93,4.70,4.70,4.69
32.89,6.44,1.74,6.44,1.73,-1.73,-1.62,-1.92,4.71,4.70,4.70
33.22,6.44,1.73,6.44,1.73,-1.73,-1.63,-1.92,4.71,4.71,4.71
