frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,0.72,-6.12,0.72,-6.12,6.12,6.05,0.14,6.84,6.84,6.84
20.20,0.90,-5.98,0.90,-5.98,5.98,5.99,0.15,6.88,6.88,6.88
20.40,1.08,-5.84,1.08,-5.84,5.84,5.92,0.16,6.92,6.92,6.92
20.61,1.26,-5.69,1.26,-5.70,5.70,5.84,0.17,6.95,6.96,6.95
20.81,1.44,-5.55,1.44,-5.55,5.55,5.74,0.17,6.99,6.99,6.99
21.02,1.62,-5.41,1.62,-5.40,5.40,5.63,0.18,7.02,7.02,7.03
21.23,1.80,-5.25,1.80,-5.25,5.25,5.51,0.19,7.05,7.05,7.05
21.44,1.98,-5.09,1.98,-5.09,5.09,5.38,0.20,7.07,7.07,7.07
21.66,2.16,-4.93,2.16,-4.93,4.93,5.24,0.21,7.09,7.09,7.09
21.87,2.34,-4.76,2.34,-4.76,4.77,5.09,0.22,7.11,7.11,7.10
22.09,2.52,-4.60,2.52,-4.60,4.60,4.93,0.23,7.12,7.12,7.12
22.31,2.70,-4.43,2.70,-4.43,4.43,4.76,0.24,7.13,7.13,7.13
22.54,2.88,-4.26,2.88,-4.26,4.26,4.59,0.25,7.13,7.14,7.14
22.76,3.06,-4.09,3.06,-4.09,4.09,4.42,0.26,7.15,7.15,7.15
22.99,3.24,-3.91,3.24,-3.91,3.92,4.24,0.27,7.16,7.16,7.15
23.22,3.42,-3.74,3.42,-3.74,3.75,4.06,0.28,7.17,7.17,7.16
23.45,3.60,-3.57,3.59,-3.57,3.58,3.88,0.29,7.18,7.17,7.17
23.69,3.77,-3.41,3.77,-3.41,3.41,3.69,0.31,7.18,7.18,7.18
23.92,3.95,-3.24,3.95,-3.25,3.24,3.51,0.32,7.19,7.19,7.19
24.16,4.13,-3.08,4.13,-3.08,3.08,3.33,0.33,7.21,7.20,7.21
24.40,4.30,-2.93,4.30,-2.92,2.91,3.14,0.34,7.21,7.21,7.23
24.65,4.48,-2.74,4.48,-2.75,2.74,2.96,0.35,7.22,7.22,7.22
24.89,4.66,-2.57,4.66,-2.57,2.58,2.78,0.36,7.24,7.23,7.23
25.14,4.83,-2.41,4.83,-2.41,2.41,2.60,0.37,7.24,7.24,7.24
25.39,5.01,-2.24,5.01,-2.25,2.25,2.42,0.38,7.26,7.25,7.25
25.65,5.18,-2.09,5.18,-2.08,2.08,2.24,0.39,7.26,7.26,7.27
25.91,5.36,-1.91,5.36,-1.92,1.92,2.07,0.40,7.27,7.28,7.27
26.16,5.53,-1.75,5.53,-1.75,1.76,1.90,0.41,7.29,7.29,7.28
26.43,5.70,-1.59,5.70,-1.59,1.60,1.73,0.42,7.29,7.29,7.29
26.69,5.86,-1.44,5.86,-1.44,1.44,1.56,0.43,7.30,7.30,7.30
26.96,6.03,-1.29,6.03,-1.29,1.28,1.40,0.43,7.31,7.31,7.32
27.23,6.20,-1.13,6.20,-1.13,1.12,1.24,0.44,7.32,7.32,7.33
27.50,6.37,-0.96,6.37,-0.97,0.96,1.08,0.44,7.33,7.33,7.33
27.77,6.53,-0.80,6.53,-0.80,0.81,0.93,0.44,7.34,7.34,7.33
28.05,6.70,-0.65,6.70,-0.65,0.65,0.77,0.44,7.35,7.35,7.35
28.33,6.86,-0.49,6.86,-0.49,0.49,0.62,0.44,7.35,7.35,7.35
28.62,7.02,-0.34,7.02,-0.34,0.34,0.48,0.43,7.36,7.36,7.36
28.90,7.18,-0.19,7.18,-0.19,0.19,0.33,0.43,7.37,7.37,7.37
