frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,6.21,-4.54,6.23,-4.54,4.54,4.24,1.51,10.74,10.77,10.75
20.20,6.29,-4.50,6.31,-4.49,4.49,4.23,1.55,10.78,10.80,10.79
20.40,6.38,-4.45,6.38,-4.45,4.45,4.22,1.60,10.82,10.83,10.83
20.61,6.46,-4.40,6.46,-4.40,4.40,4.20,1.65,10.86,10.86,10.86
20.81,6.54,-4.36,6.53,-4.36,4.36,4.19,1.70,10.90,10.89,10.90
21.02,6.61,-4.33,6.59,-4.32,4.32,4.17,1.75,10.93,10.91,10.94
21.23,6.68,-4.28,6.66,-4.28,4.28,4.16,1.81,10.96,10.94,10.96
21.44,6.75,-4.23,6.72,-4.24,4.24,4.14,1.86,10.99,10.96,10.98
21.66,6.81,-4.19,6.78,-4.20,4.20,4.13,1.92,11.01,10.98,11.00
21.87,6.87,-4.14,6.84,-4.16,4.16,4.11,1.98,11.03,11.00,11.01
22.09,6.92,-4.11,6.90,-4.12,4.12,4.10,2.04,11.04,11.02,11.03
22.31,6.97,-4.07,6.95,-4.09,4.09,4.08,2.10,11.06,11.04,11.04
22.54,7.00,-4.05,6.99,-4.05,4.05,4.06,2.16,11.05,11.05,11.05
22.76,7.02,-4.04,7.04,-4.02,4.02,4.04,2.23,11.04,11.06,11.06
22.99,7.06,-4.00,7.08,-3.99,3.99,4.02,2.30,11.04,11.07,11.06
23.22,7.10,-3.97,7.12,-3.95,3.95,4.01,2.36,11.05,11.08,11.07
23.45,7.15,-3.93,7.16,-3.92,3.92,3.99,2.43,11.07,11.08,11.08
23.69,7.20,-3.89,7.20,-3.89,3.89,3.97,2.50,11.09,11.09,11.09
23.92,7.24,-3.86,7.24,-3.86,3.86,3.95,2.58,11.10,11.10,11.10
24.16,7.28,-3.84,7.28,-3.83,3.83,3.93,2.65,11.11,11.11,11.12
24.40,7.33,-3.81,7.32,-3.80,3.80,3.91,2.73,11.13,11.12,11.14
24.65,7.38,-3.75,7.36,-3.77,3.77,3.89,2.80,11.15,11.13,11.13
24.89,7.41,-3.73,7.40,-3.74,3.74,3.86,2.88,11.14,11.14,11.14
25.14,7.45,-3.70,7.45,-3.70,3.70,3.84,2.96,11.15,11.15,11.15
25.39,7.49,-3.67,7.49,-3.67,3.67,3.82,3.03,11.16,11.16,11.16
25.65,7.53,-3.65,7.53,-3.64,3.64,3.80,3.11,11.17,11.17,11.18
25.91,7.56,-3.62,7.57,-3.61,3.61,3.78,3.19,11.17,11.18,11.18
26.16,7.60,-3.59,7.60,-3.59,3.59,3.75,3.27,11.19,11.19,11.19
26.43,7.64,-3.56,7.64,-3.56,3.56,3.73,3.34,11.20,11.20,11.20
26.69,7.68,-3.53,7.67,-3.54,3.54,3.71,3.42,11.21,11.21,11.21
26.96,7.72,-3.51,7.71,-3.51,3.51,3.68,3.49,11.23,11.22,11.23
27.23,7.76,-3.48,7.74,-3.49,3.49,3.66,3.57,11.25,11.23,11.24
27.50,7.79,-3.45,7.77,-3.47,3.47,3.63,3.64,11.25,11.24,11.24
27.77,7.81,-3.43,7.80,-3.44,3.44,3.61,3.70,11.25,11.25,11.24
28.05,7.82,-3.44,7.84,-3.42,3.42,3.58,3.77,11.24,11.25,11.26
28.33,7.85,-3.41,7.87,-3.40,3.40,3.56,3.83,11.24,11.26,11.26
28.62,7.88,-3.39,7.90,-3.37,3.37,3.53,3.89,11.25,11.27,11.27
28.90,7.92,-3.36,7.92,-3.35,3.35,3.50,3.94,11.27,11.28,11.28
29.19,7.96,-3.32,7.95,-3.33,3.33,3.48,3.99,11.29,11.28,11.28
29.48,7.99,-3.32,7.98,-3.31,3.31,3.45,4.03,11.30,11.29,11.31
29.78,8.03,-3.27,8.01,-3.29,3.29,3.42,4.07,11.32,11.30,11.30
30.08,8.06,-3.25,8.04,-3.27,3.27,3.40,4.10,11.33,11.30,11.31
30.38,8.08,-3.23,8.07,-3.24,3.24,3.37,4.12,11.32,11.31,11.31
30.68,8.10,-3.23,8.10,-3.22,3.22,3.34,4.14,11.32,11.32,11.33
30.99,8.11,-3.22,8.14,-3.19,3.19,3.31,4.15,11.30,11.33,11.33
31.30,8.15,-3.18,8.17,-3.16,3.16,3.28,4.16,11.31,11.33,11.33
31.61,8.19,-3.15,8.21,-3.13,3.13,3.26,4.16,11.32,11.34,11.34
31.93,8.23,-3.12,8.25,-3.10,3.10,3.23,4.15,11.33,11.35,11.35
32.24,8.28,-3.07,8.28,-3.08,3.08,3.20,4.13,11.35,11.36,11.35
32.57,8.32,-3.05,8.31,-3.05,3.05,3.17,4.11,11.37,11.36,11.37
32.89,8.36,-3.01,8.35,-3.02,3.02,3.14,4.09,11.38,11.37,11.37
33.22,8.40,-2.98,8.38,-3.00,3.00,3.11,4.05,11.40,11.38,11.38
33.55,8.44,-2.95,8.41,-2.97,2.97,3.08,4.02,11.41,11.38,11.39
33.89,8.47,-2.93,8.44,-2.95,2.95,3.05,3.97,11.42,11.39,11.40
34.23,8.49,-2.91,8.47,-2.92,2.92,3.02,3.92,11.41,11.40,11.40
34.57,8.51,-2.90,8.50,-2.90,2.90,2.99,3.87,11.41,11.40,11.41
34.92,8.52,-2.89,8.52,-2.88,2.88,2.96,3.82,11.40,11.41,11.41
