frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,-15.22,-17.01,-15.22,-17.04,17.04,15.94,7.22,1.83,1.82,1.80
20.20,-15.11,-16.94,-15.11,-16.96,16.96,16.23,7.38,1.85,1.85,1.84
20.40,-14.99,-16.87,-14.99,-16.87,16.87,16.51,7.55,1.88,1.88,1.88
20.61,-14.88,-16.78,-14.88,-16.79,16.79,16.75,7.72,1.91,1.91,1.91
20.81,-14.76,-16.71,-14.76,-16.70,16.70,16.97,7.89,1.93,1.94,1.95
21.02,-14.66,-16.64,-14.65,-16.61,16.61,17.16,8.07,1.95,1.96,1.99
21.23,-14.54,-16.54,-14.53,-16.52,16.52,17.31,8.25,1.98,1.99,2.01
21.44,-14.42,-16.45,-14.42,-16.43,16.43,17.42,8.44,2.00,2.01,2.03
21.66,-14.31,-16.35,-14.31,-16.34,16.34,17.48,8.63,2.03,2.03,2.04
21.87,-14.19,-16.25,-14.19,-16.24,16.24,17.50,8.82,2.05,2.05,2.05
22.09,-14.07,-16.15,-14.08,-16.15,16.15,17.48,9.03,2.07,2.06,2.07
22.31,-13.96,-16.05,-13.97,-16.05,16.05,17.41,9.23,2.09,2.08,2.08
22.54,-13.86,-15.95,-13.86,-15.95,15.95,17.31,9.45,2.09,2.09,2.09
22.76,-13.74,-15.85,-13.74,-15.84,15.84,17.18,9.67,2.10,2.10,2.10
22.99,-13.64,-15.74,-13.63,-15.74,15.74,17.01,9.89,2.11,2.11,2.10
23.22,-13.52,-15.63,-13.52,-15.64,15.64,16.82,10.13,2.12,2.12,2.11
23.45,-13.40,-15.52,-13.41,-15.53,15.53,16.61,10.37,2.13,2.13,2.12
23.69,-13.30,-15.43,-13.30,-15.43,15.43,16.39,10.61,2.13,2.14,2.13
23.92,-13.18,-15.32,-13.18,-15.33,15.33,16.15,10.86,2.15,2.15,2.14
24.16,-13.07,-15.23,-13.07,-15.23,15.23,15.91,11.12,2.15,2.15,2.16
24.40,-12.96,-15.14,-12.96,-15.13,15.13,15.67,11.39,2.16,2.16,2.18
24.65,-12.86,-15.03,-12.85,-15.03,15.03,15.42,11.67,2.17,2.17,2.17
24.89,-12.74,-14.93,-12.74,-14.93,14.93,15.17,11.95,2.18,2.18,2.18
25.14,-12.63,-14.83,-12.63,-14.83,14.83,14.93,12.24,2.19,2.19,2.19
25.39,-12.52,-14.73,-12.52,-14.73,14.73,14.69,12.54,2.20,2.20,2.20
25.65,-12.42,-14.64,-12.42,-14.63,14.63,14.46,12.84,2.21,2.21,2.22
25.91,-12.31,-14.53,-12.31,-14.53,14.53,14.24,13.16,2.22,2.22,2.22
26.16,-12.19,-14.42,-12.20,-14.43,14.43,14.02,13.48,2.24,2.23,2.23
26.43,-12.10,-14.33,-12.09,-14.34,14.34,13.81,13.81,2.24,2.24,2.24
26.69,-11.99,-14.23,-11.99,-14.24,14.24,13.61,14.15,2.25,2.25,2.25
26.96,-11.89,-14.15,-11.88,-14.14,14.14,13.42,14.49,2.25,2.26,2.26
27.23,-11.78,-14.05,-11.78,-14.05,14.05,13.24,14.84,2.27,2.27,2.27
27.50,-11.68,-13.96,-11.68,-13.95,13.95,13.06,15.19,2.28,2.28,2.28
27.77,-11.57,-13.85,-11.58,-13.86,13.86,12.90,15.54,2.29,2.28,2.28
28.05,-11.47,-13.77,-11.47,-13.77,13.77,12.75,15.89,2.29,2.29,2.30
28.33,-11.37,-13.67,-11.38,-13.68,13.68,12.60,16.24,2.30,2.30,2.30
28.62,-11.28,-13.58,-11.28,-13.58,13.58,12.47,16.58,2.31,2.31,2.31
28.90,-11.17,-13.49,-11.18,-13.49,13.49,12.34,16.91,2.32,2.32,2.31
29.19,-11.09,-13.40,-11.08,-13.40,13.40,12.23,17.23,2.32,2.32,2.31
29.48,-10.98,-13.32,-10.98,-13.31,13.31,12.12,17.52,2.33,2.33,2.34
29.78,-10.90,-13.23,-10.89,-13.22,13.22,12.03,17.78,2.33,2.34,2.34
30.08,-10.81,-13.15,-10.80,-13.14,13.14,11.94,18.01,2.33,2.34,2.35
30.38,-10.71,-13.05,-10.70,-13.05,13.05,11.86,18.19,2.34,2.35,2.34
30.68,-10.62,-12.98,-10.61,-12.97,12.97,11.79,18.33,2.35,2.36,2.36
30.99,-10.52,-12.88,-10.52,-12.89,12.89,11.73,18.41,2.37,2.36,2.36
31.30,-10.44,-12.80,-10.44,-12.81,12.81,11.68,18.44,2.37,2.37,2.37
31.61,-10.35,-12.72,-10.35,-12.73,12.73,11.64,18.40,2.38,2.38,2.37
31.93,-10.27,-12.65,-10.27,-12.66,12.66,11.60,18.32,2.39,2.38,2.38
32.24,-10.18,-12.56,-10.20,-12.59,12.59,11.58,18.18,2.40,2.39,2.38
32.57,-10.12,-12.51,-10.12,-12.52,12.52,11.56,18.00,2.40,2.40,2.40
32.89,-10.03,-12.44,-10.05,-12.45,12.45,11.55,17.77,2.41,2.40,2.40
33.22,-9.98,-12.39,-9.98,-12.39,12.39,11.55,17.52,2.41,2.41,2.41
33.55,-9.90,-12.32,-9.91,-12.32,12.32,11.55,17.23,2.42,2.42,2.42
33.89,-9.85,-12.27,-9.84,-12.26,12.26,11.56,16.93,2.42,2.42,2.42
34.23,-9.79,-12.22,-9.78,-12.21,12.21,11.58,16.62,2.42,2.43,2.43
34.57,-9.73,-12.16,-9.72,-12.15,12.15,11.60,16.29,2.42,2.43,2.44
34.92,-9.66,-12.09,-9.66,-12.09,12.09,11.63,15.96,2.44,2.44,2.43
35.27,-9.60,-12.04,-9.60,-12.04,12.04,11.66,15.62,2.44,2.44,2.44
35.62,-9.54,-11.98,-9.54,-11.98,11.98,11.70,15.29,2.44,2.44,2.45
35.97,-9.47,-11.92,-9.48,-11.92,11.92,11.74,14.96,2.45,2.45,2.44
36.33,-9.41,-11.86,-9.42,-11.87,11.87,11.77,14.64,2.45,2.45,2.45
36.70,-9.36,-11.80,-9.36,-11.81,11.81,11.81,14.32,2.45,2.45,2.44
37.06,-9.29,-11.74,-9.30,-11.75,11.75,11.85,14.01,2.45,2.45,2.45
37.43,-9.23,-11.69,-9.24,-11.68,11.68,11.89,13.71,2.45,2.45,2.45
37.81,-9.17,-11.61,-9.18,-11.62,11.62,11.92,13.41,2.45,2.44,2.45
38.19,-9.11,-11.55,-9.11,-11.55,11.55,11.94,13.12,2.45,2.44,2.44
38.57,-9.05,-11.48,-9.05,-11.48,11.48,11.96,12.84,2.44,2.44,2.44
38.95,-8.99,-11.43,-8.98,-11.41,11.41,11.97,12.57,2.42,2.43,2.43
39.34,-8.91,-11.34,-8.90,-11.33,11.33,11.97,12.31,2.42,2.43,2.43
39.74,-8.84,-11.26,-8.83,-11.25,11.25,11.96,12.06,2.42,2.43,2.42
40.14,-8.76,-11.18,-8.74,-11.17,11.17,11.94,11.81,2.41,2.42,2.42
40.54,-8.67,-11.08,-8.66,-11.08,11.08,11.90,11.57,2.41,2.42,2.42
40.94,-8.57,-10.99,-8.57,-10.99,10.99,11.85,11.34,2.41,2.42,2.41
41.35,-8.49,-10.89,-8.48,-10.89,10.89,11.79,11.12,2.40,2.41,2.40
41.76,-8.38,-10.79,-8.38,-10.79,10.79,11.71,10.91,2.40,2.41,2.41
42.18,-8.28,-10.69,-8.28,-10.68,10.68,11.61,10.70,2.40,2.40,2.41
42.60,-8.17,-10.58,-8.17,-10.57,10.57,11.50,10.50,2.40,2.40,2.40
43.03,-8.07,-10.47,-8.07,-10.46,10.46,11.38,10.31,2.40,2.39,2.40
43.46,-7.96,-10.35,-7.96,-10.35,10.35,11.25,10.12,2.39,2.39,2.40
43.90,-7.86,-10.23,-7.85,-10.24,10.24,11.10,9.94,2.38,2.38,2.38
