frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,-6.00,-7.26,-6.00,-7.26,7.26,2.82,1.68,1.26,1.27,1.26
20.20,-5.88,-7.18,-5.89,-7.19,7.19,2.82,1.73,1.31,1.30,1.30
20.40,-5.77,-7.11,-5.77,-7.11,7.11,2.81,1.78,1.34,1.34,1.34
20.61,-5.65,-7.03,-5.65,-7.03,7.03,2.81,1.84,1.38,1.38,1.37
20.81,-5.54,-6.95,-5.54,-6.95,6.95,2.81,1.89,1.41,1.41,1.41
21.02,-5.42,-6.87,-5.42,-6.87,6.86,2.81,1.95,1.44,1.44,1.45
21.23,-5.30,-6.77,-5.30,-6.78,6.77,2.80,2.00,1.47,1.47,1.47
21.44,-5.19,-6.68,-5.19,-6.68,6.68,2.80,2.06,1.49,1.49,1.49
21.66,-5.07,-6.59,-5.07,-6.58,6.59,2.80,2.13,1.51,1.51,1.51
21.87,-4.96,-6.48,-4.96,-6.49,6.49,2.80,2.19,1.53,1.53,1.52
22.09,-4.84,-6.38,-4.84,-6.38,6.38,2.79,2.25,1.54,1.54,1.54
22.31,-4.73,-6.28,-4.73,-6.28,6.28,2.79,2.32,1.55,1.55,1.55
22.54,-4.61,-6.18,-4.61,-6.18,6.18,2.79,2.39,1.56,1.56,1.56
22.76,-4.50,-6.07,-4.50,-6.07,6.07,2.78,2.46,1.57,1.57,1.57
22.99,-4.39,-5.96,-4.39,-5.96,5.97,2.78,2.53,1.57,1.58,1.57
23.22,-4.27,-5.85,-4.27,-5.86,5.86,2.78,2.60,1.59,1.59,1.58
23.45,-4.16,-5.75,-4.16,-5.75,5.76,2.77,2.68,1.60,1.60,1.59
23.69,-4.04,-5.65,-4.04,-5.65,5.65,2.77,2.75,1.61,1.61,1.60
23.92,-3.93,-5.54,-3.93,-5.55,5.55,2.77,2.83,1.62,1.62,1.61
24.16,-3.81,-5.44,-3.81,-5.45,5.44,2.76,2.91,1.63,1.63,1.63
24.40,-3.70,-5.35,-3.70,-5.34,5.34,2.76,2.99,1.64,1.64,1.65
24.65,-3.58,-5.23,-3.58,-5.23,5.23,2.75,3.07,1.65,1.65,1.64
24.89,-3.47,-5.12,-3.47,-5.12,5.13,2.75,3.15,1.66,1.66,1.65
25.14,-3.36,-5.02,-3.36,-5.02,5.02,2.74,3.24,1.66,1.67,1.66
25.39,-3.24,-4.91,-3.24,-4.92,4.92,2.74,3.32,1.68,1.68,1.67
25.65,-3.13,-4.83,-3.13,-4.82,4.82,2.73,3.40,1.69,1.69,1.69
25.91,-3.02,-4.72,-3.02,-4.72,4.72,2.73,3.49,1.69,1.70,1.69
