frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,8.17,0.58,8.17,0.56,-0.56,0.20,0.53,7.62,7.61,7.59
20.20,8.16,0.53,8.16,0.52,-0.52,0.21,0.55,7.65,7.64,7.63
20.40,8.14,0.47,8.15,0.47,-0.47,0.22,0.56,7.67,7.67,7.67
20.61,8.13,0.44,8.13,0.43,-0.43,0.23,0.58,7.70,7.70,7.70
20.81,8.11,0.38,8.12,0.39,-0.39,0.23,0.60,7.72,7.73,7.74
21.02,8.10,0.33,8.10,0.35,-0.35,0.24,0.62,7.75,7.75,7.78
21.23,8.08,0.29,8.09,0.31,-0.31,0.25,0.64,7.77,7.78,7.80
21.44,8.07,0.26,8.07,0.27,-0.27,0.26,0.66,7.80,7.80,7.82
21.66,8.05,0.22,8.06,0.24,-0.24,0.27,0.68,7.82,7.82,7.84
21.87,8.04,0.20,8.04,0.20,-0.20,0.28,0.70,7.84,7.84,7.85
22.09,8.02,0.16,8.02,0.17,-0.17,0.29,0.73,7.86,7.86,7.87
22.31,8.00,0.13,8.00,0.13,-0.13,0.30,0.75,7.87,7.87,7.88
22.54,7.98,0.10,7.99,0.10,-0.10,0.31,0.77,7.88,7.88,7.88
22.76,7.96,0.07,7.97,0.07,-0.07,0.32,0.80,7.89,7.89,7.89
22.99,7.94,0.05,7.95,0.04,-0.04,0.33,0.82,7.90,7.90,7.89
23.22,7.92,0.02,7.93,0.01,-0.01,0.34,0.85,7.91,7.91,7.90
23.45,7.90,-0.01,7.90,-0.02,0.02,0.35,0.88,7.92,7.92,7.91
23.69,7.88,-0.04,7.88,-0.05,0.05,0.36,0.90,7.93,7.93,7.92
23.92,7.86,-0.07,7.86,-0.08,0.08,0.38,0.93,7.94,7.94,7.93
24.16,7.83,-0.11,7.84,-0.11,0.11,0.39,0.96,7.94,7.95,7.95
24.40,7.81,-0.15,7.81,-0.14,0.14,0.41,0.99,7.96,7.96,7.97
24.65,7.78,-0.18,7.79,-0.18,0.18,0.42,1.02,7.96,7.96,7.97
24.89,7.76,-0.21,7.76,-0.21,0.21,0.44,1.04,7.98,7.98,7.98
25.14,7.73,-0.25,7.74,-0.25,0.25,0.45,1.07,7.98,7.99,7.99
25.39,7.71,-0.28,7.71,-0.28,0.28,0.47,1.10,8.00,8.00,7.99
25.65,7.68,-0.33,7.68,-0.32,0.32,0.49,1.13,8.01,8.01,8.01
25.91,7.66,-0.36,7.65,-0.36,0.36,0.51,1.16,8.02,8.02,8.01
26.16,7.62,-0.40,7.62,-0.40,0.40,0.53,1.19,8.03,8.03,8.02
26.43,7.60,-0.43,7.59,-0.44,0.44,0.55,1.22,8.04,8.03,8.03
26.69,7.56,-0.47,7.56,-0.48,0.48,0.57,1.25,8.05,8.04,8.04
26.96,7.53,-0.52,7.53,-0.52,0.52,0.59,1.28,8.06,8.05,8.06
27.23,7.50,-0.57,7.49,-0.57,0.57,0.62,1.31,8.06,8.06,8.07
27.50,7.45,-0.62,7.46,-0.61,0.61,0.64,1.34,8.06,8.07,8.07
27.77,7.42,-0.65,7.42,-0.65,0.65,0.67,1.36,8.08,8.08,8.07
28.05,7.38,-0.71,7.39,-0.70,0.70,0.70,1.39,8.08,8.08,8.09
28.33,7.34,-0.75,7.35,-0.75,0.75,0.73,1.41,8.09,8.09,8.09
28.62,7.31,-0.79,7.31,-0.79,0.79,0.76,1.44,8.10,8.10,8.10
28.90,7.26,-0.84,7.27,-0.84,0.84,0.79,1.46,8.10,8.11,8.11
29.19,7.22,-0.88,7.23,-0.89,0.89,0.82,1.48,8.11,8.12,8.10
29.48,7.18,-0.95,7.19,-0.93,0.93,0.86,1.50,8.12,8.12,8.13
