frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,-9.74,-11.06,-9.74,-11.08,11.08,10.63,4.24,1.34,1.34,1.32
20.20,-9.67,-11.03,-9.67,-11.04,11.04,10.65,4.35,1.37,1.37,1.36
20.40,-9.59,-10.99,-9.59,-10.99,10.99,10.67,4.47,1.41,1.40,1.40
20.61,-9.52,-10.95,-9.52,-10.95,10.95,10.68,4.58,1.43,1.43,1.43
20.81,-9.45,-10.92,-9.45,-10.90,10.90,10.69,4.71,1.46,1.46,1.47
21.02,-9.37,-10.88,-9.37,-10.86,10.86,10.70,4.83,1.49,1.48,1.51
21.23,-9.30,-10.83,-9.30,-10.81,10.81,10.69,4.96,1.51,1.51,1.53
21.44,-9.23,-10.78,-9.23,-10.76,10.76,10.69,5.09,1.53,1.53,1.55
21.66,-9.15,-10.72,-9.15,-10.71,10.71,10.67,5.23,1.56,1.55,1.57
21.87,-9.08,-10.66,-9.08,-10.65,10.65,10.66,5.37,1.57,1.57,1.58
22.09,-9.01,-10.61,-9.01,-10.60,10.60,10.63,5.51,1.59,1.59,1.60
22.31,-8.94,-10.55,-8.93,-10.54,10.54,10.61,5.66,1.60,1.61,1.61
22.54,-8.86,-10.48,-8.86,-10.48,10.48,10.58,5.81,1.62,1.62,1.62
22.76,-8.79,-10.42,-8.79,-10.41,10.41,10.54,5.96,1.63,1.63,1.63
22.99,-8.71,-10.34,-8.71,-10.35,10.35,10.50,6.12,1.64,1.64,1.63
23.22,-8.64,-10.28,-8.64,-10.28,10.28,10.46,6.29,1.64,1.65,1.64
23.45,-8.56,-10.21,-8.56,-10.22,10.22,10.42,6.45,1.66,1.65,1.65
23.69,-8.49,-10.15,-8.49,-10.15,10.15,10.37,6.63,1.66,1.66,1.66
23.92,-8.41,-10.08,-8.41,-10.08,10.08,10.31,6.80,1.68,1.67,1.67
24.16,-8.34,-10.03,-8.34,-10.02,10.02,10.26,6.98,1.68,1.68,1.69
24.40,-8.26,-9.97,-8.26,-9.95,9.95,10.20,7.16,1.69,1.69,1.71
24.65,-8.19,-9.89,-8.19,-9.89,9.89,10.14,7.35,1.70,1.70,1.70
24.89,-8.11,-9.82,-8.11,-9.82,9.82,10.08,7.54,1.72,1.71,1.71
25.14,-8.04,-9.76,-8.04,-9.76,9.76,10.01,7.73,1.72,1.72,1.72
25.39,-7.96,-9.69,-7.96,-9.69,9.69,9.94,7.92,1.74,1.73,1.73
25.65,-7.89,-9.64,-7.89,-9.63,9.63,9.88,8.12,1.74,1.74,1.75
25.91,-7.82,-9.57,-7.82,-9.57,9.57,9.81,8.32,1.75,1.75,1.75
26.16,-7.74,-9.50,-7.74,-9.50,9.50,9.73,8.52,1.76,1.76,1.76
26.43,-7.67,-9.44,-7.67,-9.44,9.44,9.66,8.72,1.77,1.77,1.77
26.69,-7.60,-9.38,-7.59,-9.37,9.37,9.59,8.92,1.77,1.78,1.78
26.96,-7.52,-9.32,-7.52,-9.31,9.31,9.51,9.11,1.79,1.79,1.80
27.23,-7.45,-9.26,-7.45,-9.24,9.24,9.44,9.31,1.79,1.80,1.81
27.50,-7.37,-9.18,-7.37,-9.18,9.18,9.36,9.50,1.81,1.81,1.81
27.77,-7.30,-9.11,-7.30,-9.12,9.12,9.29,9.69,1.82,1.82,1.81
28.05,-7.23,-9.06,-7.23,-9.05,9.05,9.21,9.87,1.83,1.82,1.83
28.33,-7.16,-8.99,-7.16,-8.99,8.99,9.14,10.05,1.83,1.83,1.83
28.62,-7.09,-8.93,-7.09,-8.93,8.93,9.06,10.21,1.83,1.84,1.84
28.90,-7.01,-8.86,-7.01,-8.86,8.86,8.99,10.37,1.85,1.85,1.85
