frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,-12.44,-18.47,-12.44,-18.49,18.49,18.45,8.37,6.04,6.05,6.02
20.20,-12.37,-18.44,-12.37,-18.45,18.45,18.48,8.54,6.08,6.08,6.06
20.40,-12.30,-18.41,-12.30,-18.41,18.41,18.50,8.71,6.11,6.11,6.11
20.61,-12.23,-18.37,-12.24,-18.37,18.37,18.51,8.88,6.14,6.14,6.13
20.81,-12.16,-18.34,-12.16,-18.33,18.33,18.51,9.06,6.17,6.17,6.18
21.02,-12.09,-18.31,-12.09,-18.28,18.28,18.50,9.25,6.19,6.19,6.21
21.23,-12.02,-18.26,-12.02,-18.24,18.24,18.49,9.44,6.21,6.22,6.23
21.44,-11.94,-18.20,-11.95,-18.19,18.19,18.47,9.63,6.24,6.24,6.26
21.66,-11.87,-18.15,-11.87,-18.13,18.13,18.44,9.83,6.26,6.26,6.27
21.87,-11.79,-18.08,-11.80,-18.08,18.08,18.40,10.03,6.28,6.28,6.29
22.09,-11.72,-18.03,-11.72,-18.02,18.02,18.36,10.24,6.29,6.30,6.30
22.31,-11.64,-17.96,-11.64,-17.96,17.96,18.31,10.46,6.31,6.31,6.32
22.54,-11.56,-17.89,-11.56,-17.89,17.89,18.25,10.68,6.33,6.33,6.32
22.76,-11.48,-17.82,-11.49,-17.82,17.82,18.19,10.91,6.34,6.34,6.33
22.99,-11.40,-17.74,-11.40,-17.75,17.75,18.12,11.14,6.35,6.35,6.33
23.22,-11.32,-17.67,-11.32,-17.68,17.68,18.05,11.38,6.35,6.35,6.34
23.45,-11.24,-17.60,-11.24,-17.60,17.60,17.97,11.63,6.36,6.36,6.35
23.69,-11.16,-17.52,-11.16,-17.53,17.53,17.88,11.88,6.37,6.37,6.36
23.92,-11.07,-17.45,-11.07,-17.45,17.45,17.79,12.14,6.38,6.38,6.38
24.16,-10.98,-17.38,-10.98,-17.37,17.37,17.70,12.41,6.39,6.39,6.40
24.40,-10.89,-17.31,-10.90,-17.30,17.30,17.61,12.69,6.40,6.40,6.41
24.65,-10.81,-17.22,-10.81,-17.22,17.22,17.51,12.97,6.40,6.41,6.40
24.89,-10.72,-17.14,-10.72,-17.14,17.14,17.40,13.26,6.42,6.42,6.42
25.14,-10.63,-17.06,-10.63,-17.06,17.06,17.30,13.57,6.43,6.43,6.43
25.39,-10.53,-16.97,-10.54,-16.98,16.98,17.19,13.88,6.45,6.44,6.44
25.65,-10.44,-16.90,-10.45,-16.90,16.90,17.08,14.20,6.45,6.45,6.45
25.91,-10.35,-16.80,-10.35,-16.81,16.81,16.97,14.53,6.47,6.46,6.45
26.16,-10.25,-16.72,-10.26,-16.73,16.73,16.86,14.86,6.47,6.47,6.47
26.43,-10.17,-16.64,-10.16,-16.64,16.64,16.74,15.21,6.47,6.48,6.47
26.69,-10.06,-16.55,-10.06,-16.55,16.55,16.63,15.57,6.49,6.49,6.48
26.96,-9.97,-16.48,-9.96,-16.46,16.46,16.51,15.93,6.48,6.50,6.50
27.23,-9.87,-16.38,-9.87,-16.37,16.37,16.40,16.31,6.51,6.50,6.51
27.50,-9.76,-16.28,-9.77,-16.28,16.28,16.28,16.69,6.52,6.51,6.51
27.77,-9.65,-16.17,-9.67,-16.19,16.19,16.16,17.07,6.54,6.52,6.52
28.05,-9.55,-16.09,-9.56,-16.10,16.10,16.04,17.46,6.54,6.53,6.53
28.33,-9.44,-15.98,-9.46,-16.00,16.00,15.93,17.84,6.55,6.54,6.53
28.62,-9.34,-15.88,-9.35,-15.89,15.89,15.81,18.22,6.56,6.55,6.54
28.90,-9.23,-15.79,-9.23,-15.79,15.79,15.69,18.60,6.55,6.56,6.55
29.19,-9.12,-15.68,-9.11,-15.67,15.67,15.57,18.95,6.55,6.56,6.55
29.48,-9.01,-15.60,-8.98,-15.55,15.55,15.45,19.29,6.54,6.57,6.58
29.78,-8.89,-15.47,-8.86,-15.43,15.43,15.34,19.59,6.54,6.58,6.57
30.08,-8.78,-15.36,-8.72,-15.31,15.31,15.22,19.85,6.53,6.58,6.58
30.38,-8.62,-15.20,-8.59,-15.18,15.18,15.10,20.06,6.56,6.59,6.58
30.68,-8.45,-15.06,-8.45,-15.05,15.05,14.99,20.21,6.60,6.60,6.60
30.99,-8.30,-14.90,-8.32,-14.92,14.92,14.87,20.29,6.62,6.60,6.60
31.30,-8.16,-14.76,-8.18,-14.79,14.79,14.76,20.30,6.63,6.61,6.60
31.61,-8.01,-14.63,-8.04,-14.66,14.66,14.64,20.24,6.65,6.62,6.61
31.93,-7.88,-14.50,-7.91,-14.53,14.53,14.52,20.12,6.66,6.63,6.62
32.24,-7.74,-14.37,-7.77,-14.41,14.41,14.41,19.92,6.66,6.63,6.63
32.57,-7.62,-14.27,-7.64,-14.28,14.28,14.29,19.67,6.66,6.64,6.64
32.89,-7.49,-14.14,-7.51,-14.16,14.16,14.18,19.38,6.67,6.65,6.64
33.22,-7.38,-14.04,-7.39,-14.04,14.04,14.06,19.05,6.66,6.66,6.65
33.55,-7.27,-13.94,-7.27,-13.93,13.93,13.95,18.69,6.66,6.66,6.66
33.89,-7.16,-13.84,-7.15,-13.82,13.82,13.83,18.31,6.65,6.67,6.67
34.23,-7.04,-13.72,-7.03,-13.71,13.71,13.72,17.91,6.66,6.67,6.67
34.57,-6.92,-13.61,-6.92,-13.60,13.60,13.60,17.51,6.67,6.68,6.68
34.92,-6.81,-13.50,-6.80,-13.48,13.48,13.48,17.11,6.67,6.69,6.68
35.27,-6.69,-13.38,-6.68,-13.37,13.37,13.37,16.70,6.69,6.69,6.69
35.62,-6.56,-13.26,-6.56,-13.25,13.25,13.25,16.30,6.69,6.70,6.69
35.97,-6.43,-13.13,-6.43,-13.13,13.13,13.13,15.91,6.70,6.70,6.69
36.33,-6.30,-13.01,-6.31,-13.01,13.01,13.01,15.52,6.71,6.70,6.70
36.70,-6.17,-12.87,-6.18,-12.88,12.88,12.89,15.14,6.71,6.70,6.69
37.06,-6.05,-12.76,-6.05,-12.75,12.75,12.76,14.77,6.70,6.70,6.70
37.43,-5.92,-12.63,-5.92,-12.62,12.62,12.64,14.41,6.70,6.70,6.70
37.81,-5.79,-12.50,-5.78,-12.48,12.48,12.51,14.06,6.69,6.70,6.70
38.19,-5.65,-12.36,-5.65,-12.35,12.35,12.39,13.71,6.69,6.70,6.70
38.57,-5.51,-12.21,-5.51,-12.21,12.21,12.26,13.38,6.70,6.70,6.69
38.95,-5.38,-12.08,-5.38,-12.07,12.07,12.13,13.05,6.69,6.69,6.69
39.34,-5.23,-11.92,-5.24,-11.93,11.93,11.99,12.73,6.70,6.69,6.68
39.74,-5.09,-11.78,-5.10,-11.79,11.79,11.86,12.42,6.69,6.69,6.68
40.14,-4.96,-11.64,-4.96,-11.65,11.65,11.72,12.12,6.69,6.69,6.68
40.54,-4.81,-11.50,-4.82,-11.50,11.50,11.58,11.83,6.69,6.68,6.68
40.94,-4.67,-11.35,-4.67,-11.36,11.36,11.44,11.54,6.68,6.68,6.67
41.35,-4.53,-11.21,-4.53,-11.21,11.21,11.29,11.26,6.68,6.68,6.67
41.76,-4.38,-11.06,-4.39,-11.06,11.06,11.14,10.99,6.68,6.68,6.67
42.18,-4.24,-10.92,-4.24,-10.91,10.91,10.99,10.72,6.67,6.67,6.67
42.60,-4.09,-10.77,-4.09,-10.76,10.76,10.84,10.46,6.67,6.67,6.67
43.03,-3.94,-10.62,-3.95,-10.61,10.61,10.69,10.21,6.67,6.67,6.67
43.46,-3.79,-10.47,-3.80,-10.46,10.46,10.53,9.96,6.67,6.66,6.67
43.90,-3.66,-10.31,-3.65,-10.31,10.31,10.37,9.72,6.65,6.66,6.66
44.33,-3.50,-10.16,-3.50,-10.15,10.15,10.20,9.48,6.65,6.66,6.65
44.78,-3.34,-9.99,-3.34,-10.00,10.00,10.03,9.25,6.65,6.66,6.64
45.23,-3.20,-9.84,-3.19,-9.84,9.84,9.87,9.02,6.64,6.65,6.64
45.68,-3.03,-9.68,-3.03,-9.68,9.68,9.69,8.80,6.64,6.65,6.64
46.13,-2.86,-9.50,-2.87,-9.52,9.52,9.52,8.58,6.66,6.64,6.63
46.60,-2.71,-9.36,-2.72,-9.35,9.35,9.34,8.37,6.64,6.64,6.64
47.06,-2.55,-9.19,-2.56,-9.19,9.19,9.16,8.16,6.63,6.63,6.63
47.53,-2.39,-9.02,-2.39,-9.02,9.02,8.98,7.95,6.63,6.62,6.62
48.01,-2.24,-8.88,-2.23,-8.85,8.85,8.80,7.75,6.60,6.62,6.63
48.49,-2.07,-8.69,-2.07,-8.68,8.68,8.61,7.55,6.60,6.61,6.61
48.97,-1.90,-8.50,-1.91,-8.50,8.50,8.43,7.35,6.60,6.60,6.59
49.46,-1.74,-8.33,-1.74,-8.33,8.33,8.24,7.16,6.59,6.59,6.58
49.96,-1.58,-8.15,-1.58,-8.15,8.15,8.05,6.97,6.57,6.57,6.56
50.46,-1.42,-7.99,-1.42,-7.98,7.98,7.86,6.79,6.55,6.56,6.56
50.96,-1.25,-7.80,-1.26,-7.80,7.80,7.66,6.61,6.55,6.54,6.54
51.47,-1.09,-7.61,-1.10,-7.62,7.62,7.47,6.43,6.53,6.53,6.51
51.99,-0.94,-7.44,-0.94,-7.45,7.45,7.28,6.25,6.51,6.51,6.50
52.51,-0.78,-7.27,-0.78,-7.27,7.27,7.08,6.08,6.49,6.49,6.49
53.03,-0.61,-7.09,-0.62,-7.10,7.10,6.88,5.91,6.48,6.47,6.47
53.56,-0.46,-6.93,-0.47,-6.92,6.92,6.69,5.74,6.46,6.45,6.46
54.10,-0.31,-6.75,-0.32,-6.75,6.75,6.49,5.58,6.44,6.44,6.44
54.64,-0.16,-6.59,-0.17,-6.59,6.59,6.29,5.41,6.42,6.42,6.42
55.18,-0.01,-6.41,-0.02,-6.42,6.42,6.10,5.25,6.41,6.40,6.39
55.74,0.14,-6.23,0.12,-6.26,6.26,5.90,5.10,6.40,6.38,6.37
56.29,0.28,-6.09,0.26,-6.10,6.10,5.70,4.94,6.37,6.36,6.36
56.86,0.42,-5.92,0.40,-5.94,5.94,5.50,4.79,6.35,6.34,6.34
57.42,0.55,-5.76,0.54,-5.77,5.77,5.31,4.64,6.32,6.32,6.30
58.00,0.68,-5.61,0.68,-5.61,5.61,5.11,4.50,6.28,6.29,6.28
58.58,0.82,-5.45,0.83,-5.44,5.44,4.92,4.36,6.26,6.27,6.26
59.16,0.96,-5.29,0.97,-5.27,5.27,4.72,4.21,6.23,6.24,6.24
59.76,1.11,-5.12,1.12,-5.09,5.09,4.53,4.08,6.20,6.21,6.23
60.35,1.26,-4.94,1.27,-4.91,4.91,4.34,3.94,6.17,6.18,6.19
60.96,1.42,-4.75,1.42,-4.73,4.73,4.15,3.81,6.14,6.15,6.17
61.57,1.58,-4.54,1.58,-4.54,4.54,3.96,3.68,6.11,6.12,6.12
62.18,1.74,-4.34,1.75,-4.34,4.34,3.77,3.55,6.08,6.08,6.07
62.80,1.91,-4.15,1.91,-4.13,4.13,3.58,3.43,6.04,6.05,6.05
63.43,2.08,-3.93,2.09,-3.93,3.93,3.40,3.30,6.00,6.01,6.00
64.07,2.25,-3.72,2.26,-3.71,3.71,3.22,3.18,5.96,5.98,5.97
64.71,2.44,-3.50,2.44,-3.50,3.50,3.03,3.06,5.93,5.94,5.94
65.35,2.63,-3.27,2.62,-3.28,3.28,2.85,2.95,5.90,5.90,5.89
66.01,2.81,-3.05,2.80,-3.05,3.05,2.68,2.83,5.86,5.86,5.86
66.67,3.00,-2.83,2.99,-2.83,2.83,2.50,2.72,5.83,5.82,5.82
67.33,3.18,-2.61,3.17,-2.61,2.61,2.33,2.61,5.79,5.78,5.78
68.01,3.36,-2.39,3.36,-2.39,2.39,2.15,2.50,5.74,5.74,5.74
68.69,3.55,-2.16,3.54,-2.16,2.16,1.98,2.39,5.71,5.70,5.70
69.37,3.72,-1.95,3.72,-1.94,1.94,1.82,2.28,5.66,5.66,5.66
70.07,3.90,-1.73,3.90,-1.72,1.72,1.65,2.18,5.62,5.63,5.62
70.77,4.08,-1.51,4.08,-1.51,1.51,1.49,2.07,5.59,5.59,5.58
71.48,4.25,-1.31,4.25,-1.30,1.30,1.33,1.97,5.54,5.55,5.55
72.19,4.42,-1.09,4.42,-1.09,1.09,1.17,1.86,5.51,5.51,5.50
72.91,4.59,-0.89,4.59,-0.89,0.89,1.01,1.76,5.48,5.47,5.47
73.64,4.76,-0.68,4.75,-0.69,0.69,0.86,1.66,5.45,5.44,5.43
74.38,4.92,-0.49,4.90,-0.50,0.50,0.71,1.56,5.41,5.40,5.40
75.12,5.06,-0.31,5.06,-0.31,0.31,0.56,1.45,5.37,5.37,5.36
75.87,5.21,-0.13,5.20,-0.14,0.14,0.41,1.35,5.34,5.34,5.33
76.63,5.34,0.03,5.34,0.04,-0.04,0.27,1.25,5.30,5.31,5.30
77.40,5.48,0.20,5.48,0.20,-0.20,0.13,1.15,5.28,5.28,5.27
78.17,5.61,0.36,5.60,0.36,-0.36,-0.01,1.04,5.25,5.25,5.24
78.95,5.74,0.52,5.73,0.51,-0.51,-0.14,0.94,5.23,5.22,5.21
79.74,5.85,0.65,5.84,0.65,-0.65,-0.28,0.83,5.20,5.19,5.19
80.54,5.96,0.78,5.95,0.78,-0.78,-0.41,0.73,5.17,5.17,5.17
81.35,6.06,0.91,6.06,0.91,-0.91,-0.53,0.62,5.14,5.14,5.14
82.16,6.15,1.03,6.15,1.03,-1.03,-0.66,0.52,5.11,5.12,5.11
82.98,6.24,1.13,6.24,1.15,-1.15,-0.78,0.41,5.09,5.10,5.10
83.81,6.32,1.24,6.33,1.25,-1.25,-0.90,0.30,5.07,5.08,5.07
84.65,6.41,1.36,6.41,1.35,-1.35,-1.02,0.19,5.06,5.05,5.04
85.50,6.49,1.45,6.48,1.44,-1.44,-1.13,0.08,5.04,5.03,5.03
86.35,6.56,1.54,6.54,1.53,-1.53,-1.24,-0.04,5.03,5.01,5.01
87.22,6.62,1.62,6.60,1.61,-1.61,-1.35,-0.15,5.01,5.00,4.99
88.09,6.66,1.68,6.66,1.68,-1.68,-1.45,-0.27,4.98,4.98,4.97
88.97,6.71,1.75,6.71,1.75,-1.75,-1.56,-0.38,4.96,4.96,4.95
89.86,6.75,1.80,6.75,1.81,-1.81,-1.65,-0.50,4.93,4.94,4.94
90.76,6.79,1.87,6.79,1.87,-1.87,-1.75,-0.62,4.92,4.92,4.91
91.66,6.82,1.92,6.82,1.92,-1.92,-1.85,-0.74,4.90,4.90,4.89
92.58,6.85,1.97,6.85,1.97,-1.97,-1.94,-0.86,4.88,4.88,4.87
93.51,6.88,2.01,6.87,2.01,-2.01,-2.03,-0.99,4.87,4.86,4.86
94.44,6.89,2.04,6.88,2.04,-2.04,-2.11,-1.11,4.84,4.84,4.84
95.39,6.90,2.07,6.89,2.08,-2.08,-2.19,-1.24,4.82,4.82,4.82
96.34,6.91,2.11,6.90,2.11,-2.11,-2.28,-1.37,4.80,4.79,4.79
97.30,6.92,2.15,6.90,2.14,-2.14,-2.35,-1.50,4.78,4.77,4.76
98.28,6.92,2.18,6.91,2.17,-2.17,-2.43,-1.63,4.75,4.74,4.73
99.26,6.91,2.19,6.91,2.19,-2.19,-2.50,-1.76,4.71,4.71,4.71
100.25,6.90,2.21,6.91,2.22,-2.22,-2.57,-1.89,4.68,4.69,4.68
101.25,6.89,2.23,6.90,2.25,-2.25,-2.64,-2.02,4.64,4.66,4.65
102.27,6.89,2.27,6.90,2.28,-2.28,-2.70,-2.15,4.61,4.62,4.61
103.29,6.89,2.30,6.89,2.31,-2.31,-2.76,-2.28,4.58,4.59,4.58
104.32,6.89,2.33,6.89,2.34,-2.34,-2.82,-2.41,4.54,4.55,4.55
105.37,6.89,2.37,6.89,2.38,-2.38,-2.88,-2.54,4.51,4.51,4.52
106.42,6.89,2.42,6.89,2.42,-2.42,-2.94,-2.66,4.46,4.47,4.46
107.48,6.89,2.45,6.89,2.47,-2.47,-2.99,-2.79,4.42,4.42,4.43
108.56,6.89,2.51,6.89,2.52,-2.52,-3.04,-2.91,4.37,4.37,4.37
109.64,6.89,2.56,6.90,2.57,-2.57,-3.09,-3.03,4.31,4.32,4.32
110.74,6.89,2.61,6.90,2.63,-2.63,-3.13,-3.15,4.26,4.27,4.27
111.85,6.89,2.66,6.90,2.69,-2.69,-3.17,-3.26,4.20,4.21,4.22
112.97,6.90,2.74,6.91,2.75,-2.75,-3.22,-3.37,4.15,4.16,4.16
114.10,6.91,2.80,6.91,2.81,-2.81,-3.25,-3.48,4.10,4.10,4.11
115.24,6.92,2.87,6.90,2.86,-2.86,-3.29,-3.58,4.06,4.04,4.05
116.39,6.92,2.94,6.90,2.91,-2.91,-3.33,-3.67,4.00,3.98,3.97
117.55,6.91,2.99,6.89,2.96,-2.96,-3.36,-3.75,3.94,3.92,3.91
118.73,6.90,3.04,6.87,3.01,-3.01,-3.39,-3.83,3.89,3.87,3.85
119.92,6.87,3.06,6.86,3.05,-3.05,-3.42,-3.91,3.82,3.81,3.81
121.12,6.85,3.10,6.84,3.08,-3.08,-3.44,-3.97,3.76,3.75,3.75
122.33,6.83,3.13,6.81,3.11,-3.11,-3.47,-4.03,3.71,3.70,3.70
123.55,6.80,3.15,6.78,3.14,-3.14,-3.49,-4.07,3.66,3.64,3.64
124.79,6.76,3.16,6.75,3.16,-3.16,-3.51,-4.11,3.60,3.59,3.60
126.03,6.72,3.17,6.72,3.18,-3.18,-3.53,-4.14,3.54,3.54,3.54
127.29,6.69,3.19,6.69,3.20,-3.20,-3.55,-4.17,3.49,3.49,3.49
128.57,6.66,3.22,6.66,3.22,-3.22,-3.56,-4.18,3.44,3.44,3.44
129.85,6.62,3.22,6.64,3.24,-3.24,-3.57,-4.19,3.37,3.40,3.39
131.15,6.60,3.25,6.62,3.27,-3.27,-3.59,-4.18,3.33,3.35,3.34
132.46,6.58,3.27,6.61,3.30,-3.30,-3.60,-4.17,3.28,3.31,3.30
133.79,6.56,3.29,6.59,3.33,-3.33,-3.61,-4.16,3.23,3.26,3.26
135.12,6.55,3.32,6.58,3.36,-3.36,-3.61,-4.14,3.19,3.22,3.22
136.48,6.56,3.37,6.57,3.39,-3.39,-3.62,-4.11,3.17,3.18,3.18
137.84,6.58,3.43,6.57,3.42,-3.42,-3.62,-4.07,3.15,3.14,3.14
139.22,6.59,3.49,6.56,3.45,-3.45,-3.63,-4.03,3.13,3.10,3.09
140.61,6.58,3.52,6.55,3.49,-3.49,-3.63,-3.99,3.09,3.07,3.05
142.02,6.57,3.53,6.54,3.51,-3.51,-3.63,-3.95,3.05,3.03,3.03
143.44,6.56,3.56,6.53,3.54,-3.54,-3.63,-3.90,3.02,2.99,2.99
