frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,-1.03,-4.84,-1.03,-4.84,4.84,4.52,1.12,3.81,3.81,3.81
20.20,-0.96,-4.81,-0.96,-4.81,4.81,4.48,1.15,3.85,3.85,3.85
20.40,-0.88,-4.77,-0.88,-4.77,4.78,4.45,1.19,3.90,3.89,3.89
20.61,-0.81,-4.73,-0.81,-4.74,4.74,4.41,1.23,3.93,3.93,3.92
20.81,-0.74,-4.70,-0.74,-4.70,4.70,4.37,1.26,3.96,3.96,3.96
21.02,-0.66,-4.66,-0.66,-4.66,4.66,4.33,1.31,4.00,3.99,4.00
21.23,-0.59,-4.61,-0.59,-4.61,4.61,4.30,1.35,4.02,4.02,4.02
21.44,-0.52,-4.56,-0.52,-4.56,4.56,4.26,1.39,4.04,4.04,4.04
21.66,-0.44,-4.50,-0.44,-4.50,4.51,4.22,1.43,4.06,4.06,4.06
21.87,-0.37,-4.44,-0.37,-4.45,4.45,4.18,1.48,4.08,4.08,4.07
22.09,-0.30,-4.39,-0.30,-4.39,4.39,4.14,1.52,4.09,4.09,4.09
22.31,-0.22,-4.32,-0.22,-4.33,4.32,4.09,1.57,4.10,4.10,4.10
22.54,-0.15,-4.26,-0.15,-4.26,4.26,4.05,1.62,4.10,4.11,4.11
22.76,-0.07,-4.19,-0.07,-4.19,4.19,4.01,1.67,4.12,4.12,4.12
22.99,0.01,-4.11,0.01,-4.12,4.12,3.97,1.72,4.13,4.13,4.12
23.22,0.08,-4.05,0.08,-4.05,4.06,3.92,1.77,4.14,4.14,4.13
23.45,0.16,-3.98,0.16,-3.98,3.99,3.88,1.83,4.15,4.15,4.14
23.69,0.23,-3.92,0.23,-3.92,3.92,3.83,1.88,4.15,4.16,4.15
23.92,0.31,-3.85,0.31,-3.86,3.86,3.79,1.94,4.17,4.16,4.16
24.16,0.38,-3.80,0.38,-3.80,3.79,3.74,1.99,4.17,4.17,4.18
24.40,0.46,-3.74,0.46,-3.73,3.72,3.69,2.05,4.19,4.19,4.20
24.65,0.54,-3.65,0.54,-3.66,3.66,3.65,2.11,4.20,4.20,4.19
24.89,0.62,-3.58,0.62,-3.59,3.59,3.60,2.16,4.21,4.21,4.20
25.14,0.69,-3.52,0.70,-3.52,3.52,3.55,2.22,4.21,4.22,4.21
25.39,0.77,-3.45,0.77,-3.45,3.46,3.50,2.28,4.23,4.23,4.22
25.65,0.85,-3.39,0.85,-3.39,3.39,3.45,2.34,4.24,4.24,4.24
25.91,0.92,-3.32,0.92,-3.32,3.32,3.40,2.40,4.24,4.25,4.24
26.16,1.00,-3.25,1.00,-3.26,3.26,3.35,2.45,4.26,4.25,4.25
26.43,1.07,-3.19,1.07,-3.19,3.19,3.29,2.51,4.26,4.26,4.26
26.69,1.15,-3.12,1.15,-3.13,3.13,3.24,2.56,4.28,4.28,4.27
26.96,1.23,-3.06,1.22,-3.06,3.06,3.19,2.62,4.29,4.28,4.29
27.23,1.30,-3.00,1.30,-2.99,2.99,3.13,2.67,4.29,4.29,4.30
27.50,1.38,-2.92,1.38,-2.93,2.92,3.08,2.72,4.30,4.30,4.30
27.77,1.46,-2.84,1.46,-2.85,2.85,3.02,2.76,4.32,4.31,4.30
28.05,1.53,-2.79,1.53,-2.78,2.79,2.96,2.81,4.32,4.32,4.32
28.33,1.61,-2.71,1.61,-2.72,2.72,2.91,2.84,4.33,4.33,4.32
28.62,1.69,-2.64,1.69,-2.65,2.65,2.85,2.88,4.34,4.33,4.33
28.90,1.76,-2.58,1.76,-2.58,2.58,2.79,2.91,4.34,4.34,4.34
29.19,1.84,-2.50,1.84,-2.51,2.51,2.73,2.94,4.35,4.35,4.34
29.48,1.92,-2.45,1.92,-2.44,2.44,2.67,2.96,4.36,4.36,4.37
29.78,1.99,-2.37,1.99,-2.37,2.37,2.61,2.98,4.36,4.36,4.36
30.08,2.07,-2.30,2.07,-2.30,2.30,2.55,2.98,4.37,4.37,4.37
