frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,-6.71,-11.97,-6.71,-11.97,11.97,11.11,4.60,5.26,5.26,5.27
20.20,-6.63,-11.93,-6.63,-11.93,11.93,11.17,4.72,5.31,5.31,5.31
20.40,-6.55,-11.89,-6.55,-11.89,11.89,11.22,4.84,5.35,5.35,5.35
20.61,-6.47,-11.84,-6.47,-11.85,11.85,11.26,4.97,5.38,5.38,5.37
20.81,-6.39,-11.80,-6.39,-11.81,11.80,11.29,5.10,5.42,5.42,5.42
21.02,-6.31,-11.76,-6.31,-11.76,11.75,11.32,5.23,5.45,5.45,5.46
21.23,-6.23,-11.70,-6.23,-11.70,11.70,11.35,5.37,5.47,5.47,5.48
21.44,-6.15,-11.64,-6.15,-11.65,11.65,11.36,5.51,5.50,5.50,5.50
21.66,-6.07,-11.58,-6.07,-11.58,11.59,11.37,5.66,5.52,5.51,5.51
21.87,-6.00,-11.52,-6.00,-11.52,11.52,11.38,5.81,5.53,5.53,5.53
22.09,-5.92,-11.46,-5.92,-11.46,11.46,11.37,5.96,5.54,5.54,5.55
22.31,-5.84,-11.39,-5.84,-11.39,11.39,11.37,6.12,5.55,5.55,5.56
22.54,-5.75,-11.31,-5.75,-11.32,11.31,11.35,6.28,5.56,5.56,5.56
22.76,-5.67,-11.24,-5.67,-11.24,11.24,11.33,6.45,5.58,5.57,5.58
22.99,-5.59,-11.16,-5.59,-11.17,11.17,11.30,6.62,5.58,5.59,5.58
23.22,-5.51,-11.09,-5.51,-11.09,11.10,11.27,6.79,5.59,5.59,5.59
23.45,-5.43,-11.02,-5.43,-11.03,11.03,11.24,6.97,5.60,5.60,5.60
23.69,-5.36,-10.96,-5.36,-10.96,10.96,11.19,7.16,5.60,5.61,5.60
23.92,-5.28,-10.89,-5.28,-10.90,10.89,11.15,7.34,5.62,5.62,5.62
24.16,-5.20,-10.83,-5.20,-10.83,10.82,11.10,7.53,5.63,5.63,5.64
24.40,-5.12,-10.77,-5.12,-10.76,10.76,11.04,7.73,5.64,5.64,5.65
24.65,-5.04,-10.68,-5.04,-10.69,10.69,10.98,7.93,5.65,5.65,5.65
24.89,-4.96,-10.61,-4.96,-10.61,10.62,10.92,8.13,5.66,5.66,5.66
25.14,-4.88,-10.54,-4.88,-10.55,10.55,10.85,8.34,5.67,5.67,5.67
25.39,-4.81,-10.48,-4.80,-10.48,10.48,10.78,8.55,5.68,5.68,5.68
25.65,-4.73,-10.42,-4.73,-10.42,10.41,10.71,8.76,5.68,5.69,5.70
25.91,-4.65,-10.35,-4.65,-10.35,10.35,10.63,8.97,5.70,5.70,5.70
26.16,-4.57,-10.27,-4.57,-10.28,10.28,10.56,9.19,5.71,5.71,5.71
26.43,-4.50,-10.21,-4.49,-10.21,10.21,10.48,9.41,5.71,5.72,5.71
26.69,-4.42,-10.14,-4.42,-10.15,10.15,10.40,9.62,5.73,5.73,5.73
26.96,-4.34,-10.08,-4.34,-10.08,10.08,10.32,9.84,5.74,5.74,5.74
27.23,-4.27,-10.02,-4.27,-10.01,10.01,10.23,10.05,5.74,5.75,5.75
27.50,-4.19,-9.94,-4.19,-9.95,9.95,10.15,10.26,5.76,5.75,5.76
27.77,-4.12,-9.87,-4.12,-9.88,9.88,10.07,10.47,5.76,5.76,5.76
28.05,-4.05,-9.82,-4.04,-9.81,9.82,9.98,10.67,5.77,5.77,5.78
28.33,-3.97,-9.74,-3.97,-9.75,9.75,9.90,10.86,5.78,5.78,5.78
28.62,-3.90,-9.68,-3.90,-9.68,9.69,9.81,11.04,5.79,5.79,5.78
28.90,-3.83,-9.62,-3.83,-9.62,9.62,9.73,11.22,5.79,5.79,5.80
29.19,-3.76,-9.55,-3.76,-9.56,9.56,9.65,11.38,5.80,5.80,5.80
29.48,-3.69,-9.51,-3.69,-9.50,9.50,9.56,11.52,5.81,5.81,5.83
29.78,-3.62,-9.43,-3.62,-9.44,9.44,9.48,11.65,5.82,5.82,5.82
30.08,-3.55,-9.37,-3.55,-9.38,9.38,9.40,11.75,5.83,5.83,5.82
30.38,-3.49,-9.31,-3.49,-9.32,9.32,9.32,11.84,5.83,5.84,5.83
30.68,-3.43,-9.27,-3.43,-9.27,9.27,9.24,11.91,5.84,5.84,5.85
30.99,-3.37,-9.21,-3.37,-9.22,9.22,9.17,11.96,5.85,5.84,5.85
31.30,-3.32,-9.16,-3.32,-9.17,9.17,9.09,11.98,5.85,5.85,5.85
