frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,11.78,2.28,11.78,2.28,-2.27,-3.12,-0.50,9.51,9.51,9.51
20.20,11.83,2.29,11.83,2.29,-2.28,-3.06,-0.52,9.55,9.55,9.55
20.40,11.88,2.30,11.88,2.30,-2.29,-3.01,-0.53,9.59,9.59,9.59
20.61,11.92,2.31,11.92,2.30,-2.30,-2.96,-0.55,9.62,9.62,9.62
20.81,11.96,2.31,11.96,2.31,-2.31,-2.91,-0.57,9.65,9.66,9.66
21.02,12.00,2.31,12.00,2.31,-2.32,-2.85,-0.58,9.69,9.68,9.70
21.23,12.03,2.32,12.03,2.32,-2.32,-2.80,-0.60,9.71,9.71,9.72
21.44,12.06,2.33,12.06,2.33,-2.33,-2.75,-0.62,9.73,9.74,9.74
21.66,12.09,2.34,12.09,2.34,-2.34,-2.69,-0.64,9.76,9.75,9.76
21.87,12.11,2.35,12.11,2.34,-2.34,-2.64,-0.66,9.77,9.77,9.77
22.09,12.13,2.35,12.14,2.35,-2.35,-2.59,-0.68,9.79,9.79,9.79
22.31,12.15,2.36,12.15,2.35,-2.35,-2.53,-0.70,9.80,9.80,9.80
22.54,12.16,2.36,12.16,2.35,-2.35,-2.48,-0.72,9.81,9.81,9.81
22.76,12.16,2.35,12.16,2.35,-2.35,-2.43,-0.74,9.81,9.81,9.82
22.99,12.16,2.35,12.16,2.34,-2.35,-2.37,-0.76,9.82,9.82,9.82
23.22,12.16,2.34,12.16,2.34,-2.34,-2.32,-0.79,9.83,9.83,9.83
23.45,12.16,2.33,12.16,2.33,-2.33,-2.27,-0.81,9.84,9.84,9.84
23.69,12.16,2.32,12.16,2.32,-2.31,-2.21,-0.83,9.85,9.85,9.85
23.92,12.16,2.31,12.16,2.30,-2.30,-2.16,-0.86,9.86,9.86,9.86
24.16,12.15,2.28,12.15,2.28,-2.28,-2.11,-0.88,9.87,9.87,9.88
24.40,12.14,2.25,12.14,2.26,-2.26,-2.05,-0.90,9.88,9.88,9.90
24.65,12.13,2.25,12.13,2.24,-2.24,-2.00,-0.93,9.89,9.89,9.89
24.89,12.11,2.22,12.11,2.22,-2.21,-1.95,-0.95,9.90,9.90,9.90
25.14,12.09,2.19,12.09,2.18,-2.18,-1.89,-0.98,9.92,9.91,9.91
25.39,12.06,2.14,12.06,2.14,-2.14,-1.84,-1.00,9.92,9.92,9.92
25.65,12.02,2.09,12.03,2.09,-2.10,-1.79,-1.03,9.93,9.93,9.94
25.91,11.98,2.05,11.99,2.05,-2.05,-1.74,-1.05,9.94,9.94,9.94
26.16,11.94,2.00,11.94,1.99,-1.99,-1.68,-1.08,9.95,9.95,9.95
26.43,11.89,1.94,11.89,1.93,-1.93,-1.63,-1.10,9.97,9.96,9.96
26.69,11.83,1.87,11.83,1.86,-1.86,-1.58,-1.12,9.97,9.97,9.97
26.96,11.77,1.79,11.78,1.79,-1.80,-1.53,-1.15,9.98,9.98,9.99
27.23,11.71,1.72,11.71,1.72,-1.73,-1.48,-1.17,9.99,9.99,10.00
27.50,11.65,1.66,11.65,1.65,-1.66,-1.42,-1.19,10.00,9.99,10.00
27.77,11.58,1.58,11.58,1.58,-1.58,-1.37,-1.21,10.00,10.00,10.00
28.05,11.51,1.50,11.52,1.51,-1.51,-1.32,-1.23,10.01,10.01,10.02
28.33,11.45,1.44,11.45,1.43,-1.43,-1.27,-1.24,10.02,10.02,10.02
28.62,11.38,1.36,11.38,1.36,-1.35,-1.22,-1.26,10.04,10.04,10.03
28.90,11.31,1.28,11.31,1.28,-1.26,-1.17,-1.27,10.05,10.05,10.04
29.19,11.23,1.20,11.23,1.18,-1.18,-1.12,-1.29,10.05,10.05,10.04
29.48,11.14,1.08,11.14,1.09,-1.09,-1.07,-1.30,10.05,10.05,10.07
29.78,11.05,1.00,11.06,1.00,-1.00,-1.02,-1.30,10.05,10.05,10.06
30.08,10.97,0.91,10.98,0.91,-0.91,-0.97,-1.31,10.06,10.06,10.07
30.38,10.90,0.84,10.90,0.83,-0.83,-0.92,-1.31,10.07,10.07,10.07
30.68,10.83,0.75,10.83,0.75,-0.75,-0.87,-1.31,10.08,10.08,10.09
30.99,10.76,0.68,10.76,0.68,-0.67,-0.83,-1.31,10.09,10.09,10.09
31.30,10.69,0.61,10.69,0.60,-0.61,-0.78,-1.31,10.09,10.09,10.09
31.61,10.63,0.54,10.64,0.54,-0.55,-0.73,-1.30,10.09,10.09,10.10
31.93,10.59,0.49,10.59,0.49,-0.49,-0.68,-1.29,10.10,10.10,10.11
32.24,10.56,0.46,10.56,0.45,-0.45,-0.64,-1.28,10.11,10.11,10.11
32.57,10.53,0.41,10.53,0.41,-0.42,-0.59,-1.27,10.11,10.11,10.13
32.89,10.51,0.39,10.51,0.39,-0.39,-0.55,-1.25,10.12,10.12,10.13
33.22,10.50,0.37,10.51,0.37,-0.38,-0.50,-1.23,10.13,10.13,10.14
33.55,10.51,0.37,10.51,0.37,-0.37,-0.46,-1.21,10.15,10.14,10.15
33.89,10.52,0.37,10.52,0.36,-0.36,-0.41,-1.19,10.17,10.16,10.16
34.23,10.51,0.36,10.52,0.36,-0.35,-0.37,-1.17,10.16,10.17,10.16
34.57,10.51,0.35,10.52,0.35,-0.34,-0.33,-1.14,10.17,10.17,10.17
34.92,10.51,0.35,10.51,0.34,-0.33,-0.28,-1.11,10.18,10.18,10.17
35.27,10.49,0.32,10.50,0.32,-0.31,-0.24,-1.08,10.18,10.18,10.18
35.62,10.47,0.30,10.48,0.30,-0.29,-0.20,-1.05,10.18,10.18,10.18
35.97,10.45,0.28,10.45,0.27,-0.27,-0.16,-1.02,10.18,10.18,10.18
36.33,10.42,0.24,10.42,0.24,-0.24,-0.12,-0.99,10.18,10.18,10.19
36.70,10.39,0.22,10.39,0.21,-0.22,-0.08,-0.95,10.18,10.18,10.18
37.06,10.36,0.18,10.37,0.18,-0.19,-0.05,-0.92,10.17,10.18,10.19
37.43,10.34,0.16,10.34,0.16,-0.16,-0.01,-0.88,10.18,10.18,10.19
37.81,10.32,0.14,10.32,0.13,-0.13,0.03,-0.85,10.19,10.19,10.19
38.19,10.29,0.11,10.29,0.11,-0.10,0.06,-0.81,10.19,10.19,10.19
38.57,10.26,0.09,10.26,0.08,-0.08,0.10,-0.77,10.19,10.19,10.18
38.95,10.22,0.05,10.22,0.05,-0.05,0.13,-0.73,10.17,10.17,10.18
39.34,10.19,0.03,10.19,0.02,-0.03,0.17,-0.70,10.17,10.16,10.17
39.74,10.15,-0.01,10.16,-0.01,-0.00,0.20,-0.66,10.15,10.16,10.17
40.14,10.13,-0.03,10.13,-0.03,0.02,0.23,-0.62,10.16,10.16,10.17
40.54,10.11,-0.05,10.11,-0.05,0.05,0.26,-0.58,10.16,10.16,10.17
40.94,10.08,-0.07,10.09,-0.07,0.08,0.29,-0.54,10.16,10.17,10.16
41.35,10.06,-0.09,10.06,-0.10,0.11,0.32,-0.50,10.17,10.17,10.16
41.76,10.02,-0.13,10.02,-0.13,0.15,0.35,-0.47,10.17,10.17,10.16
42.18,9.98,-0.17,9.98,-0.18,0.19,0.37,-0.43,10.17,10.17,10.16
42.60,9.93,-0.22,9.93,-0.22,0.23,0.40,-0.39,10.16,10.16,10.16
43.03,9.88,-0.27,9.88,-0.27,0.27,0.42,-0.35,10.15,10.15,10.16
43.46,9.83,-0.32,9.83,-0.32,0.31,0.44,-0.31,10.15,10.14,10.16
43.90,9.77,-0.36,9.78,-0.36,0.36,0.47,-0.27,10.13,10.13,10.14
44.33,9.73,-0.40,9.73,-0.40,0.39,0.49,-0.23,10.13,10.13,10.14
44.78,9.69,-0.43,9.69,-0.44,0.43,0.51,-0.20,10.12,10.12,10.13
45.23,9.66,-0.46,9.67,-0.46,0.46,0.52,-0.16,10.12,10.12,10.13
45.68,9.64,-0.48,9.64,-0.48,0.49,0.54,-0.12,10.13,10.13,10.13
46.13,9.62,-0.49,9.62,-0.50,0.51,0.56,-0.08,10.14,10.13,10.12
46.60,9.59,-0.53,9.59,-0.53,0.54,0.57,-0.04,10.13,10.13,10.13
47.06,9.56,-0.55,9.56,-0.55,0.56,0.58,-0.01,10.12,10.12,10.12
47.53,9.53,-0.57,9.53,-0.59,0.58,0.60,0.03,10.12,10.11,10.11
48.01,9.49,-0.62,9.50,-0.61,0.60,0.61,0.07,10.10,10.10,10.12
48.49,9.46,-0.63,9.46,-0.63,0.62,0.61,0.10,10.09,10.09,10.10
48.97,9.43,-0.64,9.43,-0.65,0.64,0.62,0.14,10.07,10.08,10.08
49.46,9.41,-0.65,9.41,-0.65,0.66,0.63,0.17,10.07,10.07,10.07
49.96,9.38,-0.66,9.39,-0.67,0.67,0.63,0.21,10.06,10.06,10.05
50.46,9.36,-0.68,9.36,-0.68,0.68,0.63,0.24,10.05,10.05,10.05
50.96,9.33,-0.69,9.33,-0.69,0.70,0.64,0.28,10.03,10.03,10.03
51.47,9.30,-0.69,9.30,-0.70,0.71,0.64,0.31,10.01,10.01,10.00
51.99,9.27,-0.71,9.28,-0.71,0.72,0.63,0.34,9.99,9.99,9.99
52.51,9.25,-0.72,9.25,-0.72,0.72,0.63,0.37,9.97,9.97,9.98
53.03,9.23,-0.72,9.23,-0.73,0.72,0.63,0.40,9.96,9.95,9.96
53.56,9.21,-0.73,9.21,-0.73,0.72,0.62,0.43,9.93,9.93,9.95
54.10,9.20,-0.71,9.20,-0.72,0.71,0.61,0.46,9.91,9.91,9.92
54.64,9.19,-0.71,9.20,-0.70,0.70,0.60,0.49,9.89,9.89,9.91
55.18,9.20,-0.67,9.20,-0.68,0.68,0.59,0.51,9.88,9.88,9.88
55.74,9.21,-0.63,9.21,-0.65,0.65,0.58,0.53,9.87,9.86,9.85
56.29,9.21,-0.63,9.22,-0.62,0.63,0.57,0.55,9.84,9.84,9.85
56.86,9.22,-0.59,9.22,-0.59,0.60,0.55,0.57,9.82,9.82,9.82
57.42,9.22,-0.56,9.22,-0.57,0.58,0.53,0.59,9.80,9.80,9.79
58.00,9.22,-0.54,9.22,-0.54,0.55,0.52,0.60,9.77,9.78,9.77
58.58,9.22,-0.52,9.22,-0.52,0.53,0.49,0.61,9.75,9.75,9.75
59.16,9.22,-0.50,9.22,-0.50,0.50,0.47,0.62,9.72,9.72,9.73
59.76,9.22,-0.48,9.22,-0.48,0.47,0.45,0.62,9.70,9.70,9.71
60.35,9.22,-0.45,9.22,-0.45,0.45,0.43,0.63,9.67,9.67,9.68
60.96,9.22,-0.42,9.22,-0.42,0.41,0.40,0.62,9.64,9.64,9.65
61.57,9.22,-0.37,9.22,-0.38,0.38,0.37,0.62,9.60,9.60,9.60
62.18,9.22,-0.33,9.22,-0.34,0.34,0.34,0.61,9.57,9.57,9.56
62.80,9.22,-0.31,9.22,-0.30,0.31,0.31,0.60,9.53,9.53,9.54
63.43,9.22,-0.26,9.22,-0.27,0.27,0.28,0.59,9.49,9.49,9.49
64.07,9.22,-0.22,9.22,-0.23,0.23,0.25,0.57,9.45,9.45,9.45
64.71,9.22,-0.19,9.22,-0.19,0.19,0.21,0.55,9.42,9.42,9.42
65.35,9.22,-0.15,9.22,-0.15,0.16,0.18,0.53,9.38,9.38,9.38
66.01,9.22,-0.11,9.22,-0.12,0.13,0.14,0.50,9.35,9.35,9.34
66.67,9.21,-0.09,9.22,-0.09,0.09,0.10,0.47,9.31,9.31,9.31
67.33,9.21,-0.05,9.21,-0.06,0.06,0.06,0.44,9.27,9.27,9.27
68.01,9.20,-0.02,9.20,-0.03,0.02,0.02,0.40,9.23,9.22,9.23
68.69,9.19,0.01,9.20,0.01,-0.02,-0.02,0.36,9.18,9.18,9.19
69.37,9.20,0.06,9.20,0.06,-0.06,-0.06,0.32,9.14,9.14,9.15
70.07,9.21,0.11,9.21,0.10,-0.11,-0.10,0.28,9.10,9.10,9.11
70.77,9.22,0.16,9.23,0.16,-0.16,-0.15,0.23,9.06,9.06,9.07
71.48,9.24,0.21,9.25,0.21,-0.22,-0.19,0.18,9.02,9.03,9.04
72.19,9.27,0.29,9.27,0.28,-0.28,-0.24,0.13,8.99,8.99,8.99
72.91,9.30,0.35,9.30,0.35,-0.34,-0.29,0.08,8.96,8.96,8.96
73.64,9.33,0.42,9.33,0.41,-0.41,-0.34,0.03,8.93,8.93,8.92
74.38,9.36,0.48,9.36,0.48,-0.47,-0.39,-0.02,8.89,8.89,8.89
75.12,9.38,0.54,9.39,0.54,-0.53,-0.44,-0.08,8.85,8.85,8.85
75.87,9.41,0.60,9.41,0.59,-0.59,-0.49,-0.14,8.82,8.82,8.82
76.63,9.43,0.65,9.43,0.65,-0.65,-0.54,-0.20,8.78,8.78,8.79
77.40,9.46,0.71,9.46,0.70,-0.71,-0.59,-0.26,8.75,8.75,8.76
78.17,9.48,0.76,9.49,0.76,-0.77,-0.64,-0.32,8.72,8.72,8.73
78.95,9.52,0.83,9.52,0.82,-0.82,-0.70,-0.38,8.70,8.70,8.70
79.74,9.55,0.88,9.55,0.87,-0.88,-0.75,-0.44,8.68,8.68,8.68
80.54,9.58,0.93,9.59,0.93,-0.93,-0.81,-0.51,8.65,8.66,8.66
81.35,9.61,0.99,9.61,0.99,-0.98,-0.86,-0.57,8.63,8.63,8.63
82.16,9.64,1.05,9.64,1.04,-1.03,-0.92,-0.64,8.61,8.61,8.60
82.98,9.66,1.08,9.66,1.08,-1.08,-0.97,-0.70,8.58,8.58,8.59
83.81,9.68,1.13,9.68,1.13,-1.13,-1.03,-0.77,8.56,8.56,8.56
84.65,9.70,1.18,9.71,1.17,-1.17,-1.09,-0.84,8.53,8.54,8.53
85.50,9.73,1.22,9.73,1.22,-1.21,-1.15,-0.91,8.52,8.51,8.52
86.35,9.75,1.26,9.75,1.26,-1.26,-1.21,-0.97,8.49,8.49,8.50
87.22,9.77,1.30,9.78,1.30,-1.30,-1.26,-1.04,8.47,8.47,8.48
88.09,9.80,1.35,9.80,1.34,-1.35,-1.32,-1.12,8.45,8.45,8.46
88.97,9.83,1.40,9.83,1.39,-1.40,-1.38,-1.19,8.44,8.44,8.44
89.86,9.86,1.44,9.86,1.44,-1.44,-1.44,-1.26,8.42,8.42,8.43
