frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,-15.57,-17.26,-15.57,-17.26,17.26,17.35,6.75,1.69,1.69,1.69
20.20,-15.45,-17.18,-15.45,-17.18,17.18,17.23,6.90,1.73,1.73,1.73
20.40,-15.32,-17.09,-15.32,-17.09,17.09,17.11,7.06,1.78,1.77,1.77
20.61,-15.20,-17.00,-15.20,-17.00,17.01,16.99,7.23,1.81,1.81,1.80
20.81,-15.07,-16.91,-15.07,-16.92,16.92,16.88,7.40,1.85,1.84,1.84
21.02,-14.95,-16.83,-14.95,-16.83,16.82,16.76,7.57,1.87,1.87,1.88
21.23,-14.83,-16.73,-14.82,-16.73,16.73,16.64,7.74,1.90,1.90,1.90
21.44,-14.70,-16.62,-14.70,-16.63,16.63,16.53,7.93,1.93,1.92,1.92
21.66,-14.58,-16.52,-14.58,-16.52,16.52,16.42,8.11,1.94,1.94,1.94
21.87,-14.46,-16.41,-14.46,-16.42,16.42,16.30,8.31,1.96,1.96,1.95
22.09,-14.34,-16.31,-14.34,-16.31,16.31,16.19,8.50,1.97,1.97,1.97
22.31,-14.22,-16.20,-14.21,-16.20,16.20,16.08,8.71,1.98,1.98,1.98
22.54,-14.09,-16.08,-14.09,-16.09,16.08,15.97,8.91,1.99,1.99,1.99
22.76,-13.97,-15.97,-13.97,-15.97,15.97,15.87,9.13,2.00,2.00,2.00
22.99,-13.85,-15.85,-13.85,-15.85,15.85,15.76,9.35,2.01,2.01,2.00
23.22,-13.72,-15.73,-13.72,-15.74,15.74,15.66,9.57,2.02,2.02,2.01
23.45,-13.60,-15.62,-13.60,-15.62,15.63,15.55,9.80,2.03,2.03,2.02
23.69,-13.48,-15.51,-13.48,-15.51,15.52,15.45,10.04,2.04,2.04,2.03
23.92,-13.36,-15.40,-13.36,-15.41,15.40,15.35,10.29,2.05,2.05,2.04
24.16,-13.24,-15.30,-13.24,-15.30,15.29,15.25,10.54,2.06,2.06,2.06
24.40,-13.12,-15.20,-13.12,-15.19,15.18,15.15,10.80,2.07,2.07,2.08
