frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,-6.37,-5.28,-6.37,-5.31,5.31,5.37,1.29,-1.06,-1.06,-1.09
20.20,-6.25,-5.25,-6.25,-5.27,5.27,5.31,1.33,-0.98,-0.98,-1.00
20.40,-6.14,-5.22,-6.14,-5.23,5.23,5.24,1.38,-0.91,-0.91,-0.92
20.61,-6.02,-5.17,-6.02,-5.18,5.18,5.18,1.42,-0.84,-0.84,-0.85
20.81,-5.91,-5.15,-5.91,-5.14,5.14,5.12,1.47,-0.77,-0.77,-0.76
21.02,-5.79,-5.11,-5.79,-5.09,5.09,5.06,1.51,-0.70,-0.71,-0.68
21.23,-5.68,-5.06,-5.68,-5.03,5.03,5.00,1.56,-0.65,-0.64,-0.62
21.44,-5.56,-5.00,-5.56,-4.98,4.98,4.93,1.61,-0.58,-0.58,-0.56
21.66,-5.45,-4.94,-5.45,-4.93,4.93,4.87,1.66,-0.53,-0.52,-0.51
21.87,-5.34,-4.88,-5.34,-4.87,4.87,4.81,1.71,-0.47,-0.47,-0.46
22.09,-5.22,-4.81,-5.22,-4.81,4.81,4.74,1.77,-0.41,-0.42,-0.41
22.31,-5.11,-4.75,-5.11,-4.75,4.75,4.68,1.82,-0.36,-0.37,-0.36
22.54,-5.00,-4.68,-5.00,-4.68,4.68,4.62,1.88,-0.32,-0.32,-0.32
22.76,-4.89,-4.61,-4.89,-4.61,4.61,4.55,1.94,-0.28,-0.28,-0.28
22.99,-4.78,-4.53,-4.78,-4.54,4.54,4.49,2.00,-0.24,-0.24,-0.25
23.22,-4.67,-4.46,-4.67,-4.46,4.46,4.43,2.06,-0.21,-0.20,-0.21
23.45,-4.56,-4.38,-4.56,-4.39,4.39,4.37,2.12,-0.17,-0.17,-0.18
23.69,-4.45,-4.32,-4.45,-4.32,4.32,4.30,2.18,-0.13,-0.13,-0.14
23.92,-4.34,-4.24,-4.34,-4.25,4.25,4.24,2.25,-0.09,-0.09,-0.10
24.16,-4.23,-4.18,-4.23,-4.17,4.17,4.18,2.32,-0.06,-0.06,-0.05
24.40,-4.12,-4.10,-4.12,-4.10,4.10,4.11,2.38,-0.02,-0.03,-0.02
24.65,-4.01,-4.02,-4.02,-4.02,4.02,4.05,2.45,0.01,0.01,0.01
