frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,-19.25,-20.22,-19.25,-20.22,20.21,18.05,7.93,0.96,0.96,0.96
20.20,-19.08,-20.14,-19.09,-20.13,20.14,18.24,8.10,1.05,1.05,1.05
20.40,-18.92,-20.05,-18.92,-20.05,20.06,18.40,8.27,1.13,1.14,1.13
20.61,-18.76,-19.96,-18.76,-19.97,19.97,18.54,8.44,1.21,1.22,1.20
20.81,-18.59,-19.88,-18.59,-19.88,19.88,18.66,8.62,1.29,1.29,1.29
21.02,-18.42,-19.80,-18.42,-19.79,19.79,18.75,8.81,1.36,1.36,1.37
21.23,-18.26,-19.70,-18.26,-19.69,19.69,18.81,9.00,1.43,1.43,1.43
21.44,-18.09,-19.58,-18.10,-19.59,19.58,18.84,9.19,1.49,1.49,1.49
21.66,-17.94,-19.48,-17.93,-19.48,19.48,18.85,9.39,1.54,1.54,1.54
21.87,-17.77,-19.36,-17.77,-19.36,19.36,18.83,9.60,1.59,1.60,1.59
22.09,-17.60,-19.24,-17.60,-19.24,19.24,18.79,9.81,1.64,1.64,1.64
22.31,-17.43,-19.12,-17.43,-19.12,19.12,18.72,10.02,1.69,1.69,1.69
22.54,-17.27,-19.00,-17.27,-19.00,19.00,18.63,10.24,1.73,1.73,1.73
22.76,-17.10,-18.87,-17.10,-18.87,18.87,18.53,10.47,1.77,1.77,1.77
22.99,-16.93,-18.74,-16.93,-18.74,18.74,18.41,10.71,1.81,1.81,1.80
23.22,-16.76,-18.61,-16.76,-18.61,18.61,18.27,10.95,1.85,1.85,1.84
23.45,-16.59,-18.47,-16.59,-18.47,18.48,18.13,11.20,1.89,1.89,1.88
23.69,-16.43,-18.35,-16.42,-18.35,18.35,17.97,11.45,1.92,1.93,1.92
23.92,-16.25,-18.21,-16.26,-18.22,18.22,17.81,11.72,1.97,1.96,1.96
24.16,-16.09,-18.10,-16.09,-18.09,18.09,17.64,11.99,1.99,2.00,2.01
24.40,-15.92,-17.96,-15.92,-17.96,17.95,17.47,12.27,2.03,2.03,2.04
24.65,-15.75,-17.82,-15.75,-17.82,17.82,17.30,12.56,2.06,2.07,2.06
24.89,-15.58,-17.67,-15.58,-17.68,17.68,17.13,12.85,2.10,2.10,2.09
25.14,-15.41,-17.54,-15.41,-17.54,17.55,16.96,13.16,2.14,2.13,2.13
25.39,-15.25,-17.41,-15.25,-17.41,17.41,16.79,13.47,2.16,2.16,2.16
25.65,-15.08,-17.29,-15.08,-17.28,17.28,16.63,13.80,2.19,2.19,2.20
25.91,-14.92,-17.14,-14.92,-17.14,17.14,16.47,14.13,2.22,2.23,2.22
26.16,-14.74,-16.99,-14.75,-17.00,17.01,16.31,14.47,2.27,2.26,2.25
26.43,-14.59,-16.88,-14.58,-16.87,16.87,16.15,14.83,2.29,2.29,2.29
26.69,-14.41,-16.74,-14.42,-16.74,16.74,16.00,15.19,2.32,2.32,2.32
26.96,-14.25,-16.61,-14.25,-16.61,16.60,15.86,15.56,2.35,2.35,2.35
27.23,-14.09,-16.47,-14.09,-16.47,16.46,15.72,15.94,2.38,2.38,2.38
27.50,-13.92,-16.34,-13.92,-16.33,16.33,15.58,16.33,2.41,2.41,2.41
27.77,-13.75,-16.18,-13.75,-16.19,16.20,15.45,16.72,2.45,2.44,2.43
28.05,-13.59,-16.06,-13.59,-16.06,16.06,15.32,17.12,2.47,2.47,2.47
28.33,-13.43,-15.92,-13.43,-15.93,15.93,15.20,17.52,2.50,2.50,2.49
28.62,-13.28,-15.80,-13.27,-15.80,15.80,15.09,17.91,2.52,2.53,2.52
28.90,-13.11,-15.67,-13.11,-15.67,15.67,14.98,18.30,2.56,2.56,2.56
29.19,-12.95,-15.54,-12.95,-15.54,15.54,14.87,18.68,2.59,2.59,2.58
29.48,-12.79,-15.42,-12.79,-15.41,15.41,14.77,19.03,2.62,2.62,2.63
29.78,-12.63,-15.28,-12.63,-15.28,15.28,14.67,19.36,2.65,2.65,2.64
30.08,-12.48,-15.15,-12.48,-15.15,15.15,14.58,19.65,2.68,2.67,2.67
30.38,-12.33,-15.03,-12.32,-15.02,15.02,14.49,19.89,2.70,2.70,2.70
30.68,-12.16,-14.90,-12.17,-14.90,14.89,14.40,20.07,2.73,2.73,2.73
30.99,-12.01,-14.77,-12.01,-14.77,14.77,14.32,20.19,2.75,2.75,2.75
31.30,-11.86,-14.64,-11.86,-14.64,14.64,14.24,20.24,2.77,2.78,2.77
31.61,-11.71,-14.52,-11.71,-14.51,14.52,14.17,20.22,2.80,2.80,2.80
31.93,-11.57,-14.39,-11.57,-14.39,14.40,14.09,20.13,2.83,2.83,2.82
32.24,-11.42,-14.26,-11.42,-14.27,14.27,14.02,19.97,2.85,2.85,2.84
32.57,-11.28,-14.16,-11.29,-14.15,14.15,13.95,19.75,2.87,2.87,2.87
32.89,-11.15,-14.04,-11.15,-14.04,14.04,13.88,19.48,2.88,2.89,2.89
33.22,-11.01,-13.92,-11.01,-13.92,13.92,13.81,19.18,2.90,2.91,2.91
33.55,-10.87,-13.80,-10.87,-13.80,13.80,13.74,18.84,2.93,2.93,2.93
33.89,-10.73,-13.68,-10.73,-13.68,13.68,13.67,18.49,2.95,2.95,2.94
34.23,-10.59,-13.56,-10.60,-13.55,13.56,13.60,18.11,2.96,2.96,2.96
34.57,-10.46,-13.44,-10.46,-13.43,13.44,13.53,17.73,2.97,2.98,2.97
34.92,-10.32,-13.31,-10.33,-13.31,13.31,13.46,17.35,2.99,2.98,2.98
35.27,-10.19,-13.20,-10.19,-13.19,13.19,13.39,16.97,2.99,2.99,3.00
35.62,-10.06,-13.06,-10.06,-13.06,13.06,13.31,16.59,3.00,3.00,2.99
35.97,-9.93,-12.93,-9.93,-12.94,12.94,13.23,16.22,3.01,3.00,3.00
36.33,-9.80,-12.82,-9.80,-12.81,12.81,13.15,15.85,3.01,3.01,3.02
36.70,-9.67,-12.69,-9.67,-12.69,12.69,13.06,15.49,3.02,3.02,3.01
37.06,-9.54,-12.55,-9.55,-12.56,12.56,12.97,15.15,3.02,3.02,3.01
37.43,-9.42,-12.43,-9.42,-12.43,12.44,12.88,14.81,3.02,3.02,3.01
37.81,-9.30,-12.32,-9.30,-12.31,12.31,12.78,14.48,3.01,3.01,3.01
38.19,-9.18,-12.20,-9.18,-12.19,12.18,12.68,14.16,3.00,3.00,3.01
38.57,-9.05,-12.07,-9.05,-12.06,12.05,12.57,13.85,3.00,3.00,3.01
38.95,-8.92,-11.93,-8.92,-11.93,11.93,12.45,13.56,3.01,3.00,3.01
39.34,-8.79,-11.78,-8.80,-11.79,11.80,12.34,13.27,3.01,3.00,2.99
39.74,-8.67,-11.67,-8.67,-11.66,11.67,12.21,12.99,3.00,3.00,2.99
40.14,-8.55,-11.54,-8.55,-11.54,11.54,12.08,12.72,2.99,2.99,2.98
40.54,-8.43,-11.42,-8.44,-11.42,11.42,11.95,12.46,2.98,2.98,2.98
40.94,-8.32,-11.29,-8.32,-11.30,11.29,11.81,12.20,2.97,2.97,2.97
41.35,-8.20,-11.17,-8.20,-11.17,11.17,11.67,11.96,2.97,2.97,2.97
41.76,-8.09,-11.05,-8.09,-11.05,11.05,11.52,11.72,2.96,2.96,2.96
42.18,-7.97,-10.92,-7.98,-10.93,10.93,11.37,11.50,2.96,2.95,2.95
42.60,-7.86,-10.80,-7.86,-10.81,10.81,11.22,11.27,2.94,2.94,2.94
43.03,-7.75,-10.70,-7.75,-10.69,10.68,11.06,11.06,2.93,2.93,2.94
43.46,-7.63,-10.56,-7.63,-10.56,10.55,10.90,10.85,2.92,2.92,2.93
43.90,-7.51,-10.43,-7.51,-10.43,10.42,10.74,10.65,2.91,2.91,2.91
44.33,-7.39,-10.28,-7.40,-10.29,10.30,10.57,10.46,2.90,2.90,2.89
44.78,-7.28,-10.17,-7.28,-10.16,10.17,10.40,10.27,2.88,2.89,2.88
45.23,-7.16,-10.04,-7.17,-10.04,10.04,10.23,10.09,2.88,2.88,2.87
45.68,-7.05,-9.92,-7.05,-9.92,9.92,10.06,9.92,2.87,2.87,2.86
46.13,-6.94,-9.79,-6.94,-9.80,9.80,9.89,9.75,2.86,2.86,2.85
46.60,-6.83,-9.69,-6.83,-9.68,9.68,9.72,9.59,2.85,2.85,2.85
47.06,-6.72,-9.56,-6.73,-9.57,9.57,9.55,9.43,2.85,2.84,2.84
