frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,-12.74,-15.04,-12.74,-15.06,15.06,14.52,6.75,2.32,2.32,2.30
20.20,-12.67,-15.06,-12.67,-15.06,15.06,14.60,6.91,2.39,2.40,2.39
20.40,-12.59,-15.06,-12.59,-15.06,15.06,14.69,7.07,2.48,2.47,2.47
20.61,-12.52,-15.06,-12.52,-15.06,15.06,14.76,7.23,2.54,2.54,2.53
20.81,-12.45,-15.08,-12.45,-15.06,15.06,14.83,7.40,2.61,2.61,2.63
21.02,-12.37,-15.08,-12.37,-15.05,15.05,14.89,7.57,2.68,2.68,2.71
21.23,-12.30,-15.07,-12.30,-15.04,15.04,14.95,7.75,2.74,2.74,2.77
21.44,-12.23,-15.05,-12.23,-15.03,15.03,15.00,7.93,2.80,2.80,2.83
21.66,-12.15,-15.03,-12.15,-15.02,15.02,15.04,8.12,2.87,2.86,2.88
21.87,-12.08,-15.00,-12.08,-15.00,15.00,15.08,8.31,2.92,2.92,2.93
22.09,-12.01,-14.98,-12.00,-14.98,14.98,15.10,8.51,2.97,2.97,2.98
22.31,-11.93,-14.95,-11.93,-14.95,14.95,15.12,8.71,3.02,3.02,3.03
22.54,-11.86,-14.93,-11.85,-14.92,14.92,15.14,8.91,3.06,3.07,3.07
22.76,-11.78,-14.88,-11.78,-14.89,14.89,15.15,9.13,3.11,3.11,3.11
22.99,-11.70,-14.84,-11.70,-14.85,14.85,15.15,9.34,3.15,3.15,3.14
23.22,-11.63,-14.81,-11.63,-14.82,14.82,15.14,9.57,3.19,3.19,3.18
23.45,-11.55,-14.76,-11.55,-14.78,14.78,15.12,9.80,3.23,3.22,3.22
23.69,-11.48,-14.74,-11.48,-14.74,14.74,15.10,10.03,3.26,3.26,3.26
23.92,-11.40,-14.69,-11.40,-14.70,14.70,15.08,10.27,3.30,3.30,3.30
24.16,-11.33,-14.67,-11.32,-14.66,14.66,15.05,10.52,3.33,3.33,3.35
24.40,-11.25,-14.62,-11.25,-14.61,14.61,15.01,10.77,3.36,3.37,3.38
24.65,-11.17,-14.57,-11.17,-14.57,14.57,14.97,11.03,3.40,3.40,3.40
24.89,-11.09,-14.51,-11.09,-14.53,14.53,14.92,11.30,3.44,3.43,3.43
25.14,-11.02,-14.48,-11.02,-14.48,14.48,14.87,11.57,3.46,3.47,3.47
25.39,-10.94,-14.43,-10.94,-14.44,14.44,14.81,11.85,3.50,3.50,3.50
25.65,-10.86,-14.40,-10.86,-14.39,14.39,14.75,12.13,3.53,3.53,3.54
25.91,-10.79,-14.35,-10.78,-14.35,14.35,14.68,12.42,3.56,3.56,3.56
26.16,-10.71,-14.29,-10.71,-14.30,14.30,14.62,12.71,3.59,3.59,3.59
26.43,-10.63,-14.26,-10.63,-14.25,14.25,14.55,13.01,3.62,3.62,3.63
26.69,-10.55,-14.21,-10.55,-14.20,14.20,14.47,13.31,3.66,3.65,3.66
26.96,-10.47,-14.16,-10.48,-14.16,14.16,14.40,13.61,3.69,3.68,3.69
27.23,-10.40,-14.12,-10.40,-14.11,14.11,14.32,13.92,3.71,3.71,3.72
27.50,-10.32,-14.07,-10.32,-14.06,14.06,14.24,14.23,3.74,3.74,3.75
27.77,-10.24,-14.00,-10.24,-14.02,14.02,14.16,14.53,3.78,3.77,3.77
28.05,-10.17,-13.97,-10.16,-13.97,13.97,14.08,14.83,3.80,3.80,3.81
28.33,-10.09,-13.91,-10.09,-13.92,13.92,13.99,15.13,3.83,3.83,3.83
28.62,-10.01,-13.87,-10.01,-13.87,13.87,13.91,15.41,3.86,3.86,3.86
28.90,-9.94,-13.83,-9.93,-13.83,13.83,13.83,15.68,3.89,3.89,3.90
29.19,-9.86,-13.78,-9.86,-13.78,13.78,13.74,15.94,3.92,3.92,3.92
29.48,-9.78,-13.74,-9.78,-13.73,13.73,13.66,16.18,3.95,3.95,3.97
29.78,-9.70,-13.68,-9.70,-13.68,13.68,13.57,16.39,3.98,3.98,3.98
30.08,-9.62,-13.63,-9.63,-13.63,13.63,13.49,16.57,4.01,4.01,4.01
30.38,-9.55,-13.59,-9.55,-13.59,13.59,13.41,16.72,4.03,4.03,4.04
30.68,-9.48,-13.55,-9.48,-13.54,13.54,13.32,16.84,4.06,4.06,4.07
30.99,-9.40,-13.49,-9.40,-13.49,13.49,13.24,16.92,4.09,4.09,4.09
31.30,-9.33,-13.44,-9.33,-13.44,13.44,13.16,16.95,4.11,4.11,4.11
31.61,-9.25,-13.39,-9.25,-13.39,13.39,13.08,16.95,4.14,4.14,4.14
31.93,-9.18,-13.34,-9.18,-13.34,13.34,13.00,16.92,4.16,4.16,4.16
32.24,-9.11,-13.28,-9.10,-13.29,13.29,12.92,16.84,4.18,4.18,4.18
