frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,-3.03,-2.99,-3.04,-3.02,3.02,2.46,1.56,-0.02,-0.02,-0.05
20.20,-2.99,-3.04,-3.00,-3.05,3.05,2.50,1.61,0.06,0.06,0.04
20.40,-2.95,-3.08,-2.96,-3.09,3.09,2.54,1.66,0.13,0.13,0.12
20.61,-2.92,-3.11,-2.92,-3.12,3.12,2.58,1.71,0.20,0.20,0.19
20.81,-2.88,-3.17,-2.88,-3.15,3.15,2.63,1.76,0.26,0.27,0.28
21.02,-2.84,-3.21,-2.84,-3.17,3.17,2.67,1.82,0.33,0.33,0.36
21.23,-2.80,-3.23,-2.80,-3.20,3.20,2.71,1.87,0.39,0.40,0.42
21.44,-2.76,-3.25,-2.76,-3.22,3.22,2.75,1.93,0.46,0.46,0.48
21.66,-2.73,-3.25,-2.73,-3.24,3.24,2.79,1.99,0.52,0.52,0.53
21.87,-2.68,-3.26,-2.69,-3.26,3.26,2.83,2.05,0.58,0.57,0.58
22.09,-2.64,-3.27,-2.65,-3.28,3.28,2.87,2.11,0.63,0.62,0.63
22.31,-2.61,-3.29,-2.61,-3.29,3.29,2.91,2.17,0.68,0.67,0.68
22.54,-2.58,-3.29,-2.58,-3.30,3.30,2.95,2.24,0.72,0.72,0.72
22.76,-2.54,-3.30,-2.54,-3.30,3.30,2.99,2.30,0.76,0.76,0.76
22.99,-2.50,-3.29,-2.51,-3.30,3.30,3.03,2.37,0.80,0.80,0.79
23.22,-2.47,-3.30,-2.47,-3.31,3.31,3.07,2.44,0.83,0.84,0.83
23.45,-2.43,-3.30,-2.43,-3.31,3.31,3.10,2.51,0.87,0.87,0.87
23.69,-2.41,-3.31,-2.40,-3.31,3.31,3.14,2.59,0.90,0.91,0.90
23.92,-2.36,-3.31,-2.36,-3.31,3.31,3.18,2.66,0.95,0.95,0.94
24.16,-2.33,-3.33,-2.33,-3.31,3.31,3.22,2.74,0.98,0.98,0.99
24.40,-2.29,-3.32,-2.30,-3.31,3.31,3.25,2.81,1.02,1.02,1.02
24.65,-2.26,-3.32,-2.26,-3.31,3.31,3.29,2.89,1.05,1.05,1.05
24.89,-2.22,-3.30,-2.23,-3.31,3.31,3.33,2.97,1.09,1.08,1.08
25.14,-2.19,-3.31,-2.20,-3.31,3.31,3.36,3.05,1.12,1.12,1.12
25.39,-2.16,-3.31,-2.17,-3.31,3.31,3.39,3.13,1.15,1.15,1.15
25.65,-2.13,-3.32,-2.13,-3.32,3.32,3.43,3.20,1.18,1.18,1.19
25.91,-2.11,-3.31,-2.10,-3.32,3.32,3.46,3.28,1.21,1.21,1.21
26.16,-2.07,-3.31,-2.07,-3.32,3.32,3.49,3.36,1.24,1.24,1.23
26.43,-2.05,-3.32,-2.04,-3.32,3.32,3.52,3.44,1.27,1.27,1.27
26.69,-2.01,-3.32,-2.01,-3.32,3.32,3.55,3.52,1.30,1.30,1.30
26.96,-1.98,-3.32,-1.99,-3.32,3.32,3.58,3.60,1.33,1.33,1.33
27.23,-1.96,-3.33,-1.96,-3.32,3.32,3.60,3.67,1.36,1.36,1.37
27.50,-1.93,-3.33,-1.93,-3.33,3.33,3.63,3.74,1.39,1.39,1.40
27.77,-1.90,-3.32,-1.91,-3.33,3.33,3.65,3.81,1.43,1.42,1.42
28.05,-1.88,-3.34,-1.88,-3.33,3.33,3.67,3.88,1.45,1.45,1.45
28.33,-1.85,-3.33,-1.86,-3.34,3.34,3.69,3.94,1.48,1.48,1.47
28.62,-1.83,-3.34,-1.84,-3.34,3.34,3.71,4.00,1.51,1.51,1.50
28.90,-1.81,-3.35,-1.81,-3.35,3.35,3.73,4.06,1.54,1.54,1.54
29.19,-1.79,-3.35,-1.79,-3.36,3.36,3.75,4.11,1.56,1.57,1.56
29.48,-1.77,-3.38,-1.77,-3.37,3.37,3.76,4.15,1.59,1.59,1.61
29.78,-1.75,-3.38,-1.75,-3.37,3.37,3.77,4.19,1.62,1.62,1.62
