frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,-6.16,-6.21,-6.16,-6.21,6.21,6.18,2.12,0.05,0.05,0.05
20.20,-6.07,-6.21,-6.08,-6.21,6.21,6.15,2.18,0.14,0.14,0.14
20.40,-5.98,-6.20,-5.99,-6.21,6.21,6.11,2.25,0.23,0.22,0.22
20.61,-5.91,-6.19,-5.90,-6.20,6.20,6.08,2.31,0.29,0.30,0.29
20.81,-5.81,-6.19,-5.81,-6.19,6.19,6.05,2.38,0.37,0.38,0.38
21.02,-5.72,-6.18,-5.73,-6.18,6.17,6.02,2.45,0.45,0.45,0.46
21.23,-5.63,-6.15,-5.64,-6.16,6.15,5.98,2.52,0.52,0.51,0.52
21.44,-5.55,-6.13,-5.55,-6.13,6.13,5.95,2.59,0.57,0.57,0.58
21.66,-5.47,-6.09,-5.46,-6.09,6.09,5.91,2.67,0.63,0.63,0.63
21.87,-5.37,-6.05,-5.38,-6.06,6.06,5.88,2.75,0.69,0.68,0.68
22.09,-5.28,-6.01,-5.29,-6.02,6.02,5.84,2.83,0.73,0.73,0.73
22.31,-5.20,-5.98,-5.20,-5.98,5.97,5.81,2.91,0.77,0.77,0.78
22.54,-5.12,-5.93,-5.11,-5.93,5.93,5.77,2.99,0.81,0.82,0.82
22.76,-5.02,-5.88,-5.03,-5.88,5.88,5.73,3.08,0.86,0.86,0.86
22.99,-4.93,-5.82,-4.94,-5.83,5.83,5.69,3.17,0.90,0.90,0.89
23.22,-4.85,-5.78,-4.85,-5.78,5.79,5.65,3.26,0.93,0.93,0.93
23.45,-4.76,-5.73,-4.76,-5.73,5.74,5.61,3.35,0.97,0.97,0.97
23.69,-4.68,-5.68,-4.68,-5.69,5.68,5.57,3.44,1.01,1.01,1.01
23.92,-4.58,-5.63,-4.58,-5.64,5.63,5.53,3.53,1.05,1.05,1.05
24.16,-4.49,-5.59,-4.49,-5.59,5.58,5.49,3.63,1.09,1.09,1.10
24.40,-4.40,-5.53,-4.41,-5.53,5.53,5.45,3.73,1.12,1.12,1.13
24.65,-4.33,-5.47,-4.32,-5.47,5.47,5.41,3.83,1.15,1.15,1.15
24.89,-4.23,-5.41,-4.23,-5.41,5.42,5.37,3.93,1.19,1.19,1.18
25.14,-4.14,-5.36,-4.14,-5.36,5.36,5.33,4.03,1.22,1.22,1.22
25.39,-4.05,-5.30,-4.06,-5.31,5.31,5.28,4.13,1.26,1.25,1.25
25.65,-3.98,-5.26,-3.97,-5.25,5.25,5.24,4.23,1.28,1.28,1.29
25.91,-3.89,-5.19,-3.89,-5.20,5.20,5.20,4.33,1.31,1.31,1.31
26.16,-3.80,-5.14,-3.80,-5.15,5.15,5.15,4.43,1.34,1.34,1.34
26.43,-3.72,-5.09,-3.72,-5.09,5.09,5.11,4.53,1.38,1.38,1.38
26.69,-3.63,-5.04,-3.63,-5.04,5.04,5.06,4.63,1.40,1.41,1.41
26.96,-3.55,-4.98,-3.55,-4.99,4.99,5.02,4.73,1.44,1.44,1.44
27.23,-3.47,-4.93,-3.47,-4.93,4.93,4.97,4.82,1.47,1.47,1.47
27.50,-3.38,-4.88,-3.38,-4.88,4.88,4.93,4.91,1.50,1.50,1.50
27.77,-3.30,-4.82,-3.30,-4.83,4.83,4.88,5.00,1.53,1.53,1.52
28.05,-3.22,-4.78,-3.22,-4.78,4.78,4.84,5.08,1.55,1.55,1.56
28.33,-3.14,-4.72,-3.14,-4.73,4.73,4.79,5.16,1.58,1.58,1.58
28.62,-3.07,-4.67,-3.06,-4.68,4.68,4.74,5.23,1.61,1.61,1.61
28.90,-2.98,-4.63,-2.98,-4.63,4.63,4.69,5.30,1.64,1.64,1.65
29.19,-2.90,-4.57,-2.90,-4.58,4.58,4.65,5.36,1.67,1.67,1.67
29.48,-2.82,-4.54,-2.82,-4.53,4.53,4.60,5.41,1.70,1.71,1.72
29.78,-2.75,-4.47,-2.75,-4.48,4.48,4.55,5.45,1.74,1.74,1.73
30.08,-2.67,-4.42,-2.67,-4.43,4.44,4.50,5.49,1.77,1.76,1.76
30.38,-2.61,-4.39,-2.60,-4.39,4.39,4.45,5.52,1.79,1.79,1.79
30.68,-2.53,-4.35,-2.53,-4.35,4.35,4.40,5.54,1.81,1.82,1.82
30.99,-2.47,-4.30,-2.47,-4.31,4.31,4.35,5.55,1.84,1.84,1.84
31.30,-2.41,-4.26,-2.40,-4.27,4.27,4.30,5.55,1.86,1.86,1.86
31.61,-2.34,-4.23,-2.34,-4.22,4.23,4.25,5.54,1.88,1.89,1.89
31.93,-2.28,-4.18,-2.28,-4.19,4.19,4.20,5.52,1.91,1.91,1.91
32.24,-2.21,-4.14,-2.21,-4.15,4.15,4.15,5.49,1.93,1.93,1.93
32.57,-2.16,-4.11,-2.15,-4.11,4.10,4.10,5.46,1.95,1.95,1.96
32.89,-2.08,-4.06,-2.09,-4.07,4.06,4.05,5.41,1.98,1.97,1.98
33.22,-2.02,-4.02,-2.02,-4.02,4.02,4.00,5.36,1.99,1.99,2.00
33.55,-1.95,-3.97,-1.95,-3.97,3.97,3.95,5.30,2.02,2.02,2.02
33.89,-1.88,-3.91,-1.89,-3.92,3.92,3.90,5.23,2.04,2.03,2.03
34.23,-1.82,-3.87,-1.82,-3.87,3.88,3.84,5.16,2.05,2.05,2.05
34.57,-1.76,-3.82,-1.76,-3.82,3.83,3.79,5.08,2.06,2.06,2.06
34.92,-1.71,-3.77,-1.71,-3.78,3.78,3.74,5.00,2.07,2.07,2.07
35.27,-1.66,-3.74,-1.65,-3.73,3.73,3.69,4.91,2.07,2.08,2.09
35.62,-1.59,-3.67,-1.59,-3.68,3.68,3.63,4.82,2.08,2.08,2.08
35.97,-1.53,-3.62,-1.54,-3.63,3.63,3.58,4.72,2.09,2.09,2.09
36.33,-1.48,-3.59,-1.48,-3.58,3.57,3.53,4.63,2.09,2.09,2.11
36.70,-1.43,-3.52,-1.42,-3.52,3.52,3.48,4.53,2.10,2.10,2.10
37.06,-1.36,-3.46,-1.36,-3.47,3.47,3.42,4.42,2.10,2.10,2.10
37.43,-1.30,-3.40,-1.31,-3.40,3.41,3.37,4.32,2.11,2.11,2.10
37.81,-1.25,-3.35,-1.25,-3.35,3.36,3.32,4.22,2.10,2.10,2.10
38.19,-1.20,-3.30,-1.20,-3.30,3.30,3.26,4.11,2.10,2.10,2.10
38.57,-1.15,-3.25,-1.15,-3.25,3.24,3.21,4.01,2.09,2.09,2.10
38.95,-1.10,-3.20,-1.10,-3.19,3.19,3.16,3.91,2.08,2.09,2.10
39.34,-1.04,-3.12,-1.05,-3.13,3.13,3.10,3.80,2.09,2.09,2.08
39.74,-0.99,-3.07,-1.00,-3.07,3.08,3.05,3.70,2.08,2.08,2.08
40.14,-0.95,-3.01,-0.95,-3.02,3.02,2.99,3.60,2.08,2.08,2.07
40.54,-0.90,-2.97,-0.90,-2.97,2.97,2.94,3.50,2.06,2.07,2.07
40.94,-0.85,-2.91,-0.85,-2.92,2.91,2.89,3.40,2.06,2.06,2.06
41.35,-0.80,-2.86,-0.81,-2.86,2.86,2.83,3.31,2.06,2.05,2.06
41.76,-0.76,-2.81,-0.76,-2.81,2.81,2.78,3.21,2.05,2.05,2.05
42.18,-0.71,-2.75,-0.72,-2.76,2.76,2.72,3.12,2.04,2.04,2.04
42.60,-0.67,-2.70,-0.67,-2.71,2.71,2.67,3.03,2.03,2.03,2.03
