frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,-18.71,-15.58,-18.71,-15.60,15.60,15.04,5.36,-3.11,-3.10,-3.13
20.20,-18.54,-15.50,-18.54,-15.51,15.51,15.06,5.49,-3.03,-3.02,-3.04
20.40,-18.37,-15.41,-18.37,-15.42,15.42,15.08,5.62,-2.95,-2.95,-2.96
20.61,-18.20,-15.32,-18.20,-15.32,15.32,15.08,5.76,-2.88,-2.88,-2.89
20.81,-18.03,-15.23,-18.03,-15.22,15.22,15.07,5.91,-2.80,-2.81,-2.80
21.02,-17.86,-15.14,-17.86,-15.12,15.12,15.04,6.05,-2.74,-2.74,-2.72
21.23,-17.69,-15.03,-17.70,-15.02,15.02,15.01,6.21,-2.67,-2.68,-2.66
21.44,-17.53,-14.93,-17.53,-14.91,14.91,14.96,6.36,-2.62,-2.62,-2.60
21.66,-17.36,-14.82,-17.36,-14.80,14.80,14.91,6.52,-2.57,-2.56,-2.55
21.87,-17.19,-14.69,-17.19,-14.68,14.68,14.84,6.68,-2.50,-2.50,-2.50
22.09,-17.02,-14.57,-17.02,-14.57,14.57,14.76,6.85,-2.45,-2.45,-2.45
22.31,-16.85,-14.45,-16.85,-14.45,14.45,14.67,7.03,-2.40,-2.40,-2.40
22.54,-16.67,-14.32,-16.67,-14.32,14.32,14.57,7.20,-2.35,-2.36,-2.36
22.76,-16.50,-14.18,-16.50,-14.19,14.19,14.47,7.39,-2.31,-2.31,-2.32
22.99,-16.33,-14.04,-16.33,-14.06,14.06,14.35,7.57,-2.27,-2.27,-2.29
23.22,-16.16,-13.91,-16.16,-13.92,13.92,14.23,7.76,-2.24,-2.24,-2.25
23.45,-15.99,-13.78,-15.99,-13.79,13.79,14.10,7.96,-2.20,-2.20,-2.21
23.69,-15.82,-13.66,-15.82,-13.65,13.65,13.97,8.16,-2.17,-2.16,-2.17
23.92,-15.65,-13.52,-15.64,-13.52,13.52,13.83,8.37,-2.13,-2.13,-2.13
24.16,-15.47,-13.39,-15.47,-13.38,13.38,13.69,8.58,-2.09,-2.09,-2.08
24.40,-15.30,-13.25,-15.30,-13.24,13.24,13.54,8.79,-2.06,-2.06,-2.05
24.65,-15.13,-13.10,-15.13,-13.10,13.10,13.39,9.02,-2.03,-2.02,-2.03
24.89,-14.95,-12.95,-14.95,-12.97,12.97,13.23,9.24,-1.98,-1.99,-2.00
25.14,-14.78,-12.82,-14.78,-12.83,12.83,13.07,9.47,-1.95,-1.96,-1.96
25.39,-14.61,-12.68,-14.61,-12.69,12.69,12.91,9.71,-1.92,-1.92,-1.93
25.65,-14.44,-12.55,-14.44,-12.55,12.55,12.75,9.94,-1.89,-1.89,-1.89
25.91,-14.27,-12.41,-14.27,-12.41,12.41,12.59,10.19,-1.86,-1.86,-1.87
26.16,-14.10,-12.26,-14.10,-12.27,12.27,12.43,10.43,-1.83,-1.83,-1.84
26.43,-13.93,-12.14,-13.93,-12.13,12.13,12.26,10.68,-1.80,-1.80,-1.80
26.69,-13.76,-11.99,-13.76,-11.99,11.99,12.10,10.93,-1.77,-1.77,-1.77
26.96,-13.59,-11.86,-13.59,-11.85,11.85,11.93,11.18,-1.74,-1.74,-1.74
27.23,-13.42,-11.72,-13.42,-11.71,11.71,11.77,11.42,-1.71,-1.71,-1.71
27.50,-13.25,-11.57,-13.25,-11.57,11.57,11.60,11.67,-1.68,-1.68,-1.68
27.77,-13.09,-11.43,-13.08,-11.44,11.44,11.44,11.91,-1.65,-1.65,-1.66
28.05,-12.92,-11.30,-12.92,-11.30,11.30,11.28,12.15,-1.62,-1.62,-1.62
28.33,-12.76,-11.16,-12.75,-11.16,11.16,11.11,12.37,-1.60,-1.59,-1.60
28.62,-12.59,-11.03,-12.59,-11.03,11.03,10.95,12.59,-1.56,-1.56,-1.57
28.90,-12.43,-10.90,-12.43,-10.90,10.90,10.79,12.79,-1.53,-1.53,-1.53
29.19,-12.26,-10.75,-12.27,-10.77,10.77,10.63,12.98,-1.49,-1.50,-1.51
29.48,-12.10,-10.64,-12.11,-10.64,10.64,10.48,13.15,-1.46,-1.47,-1.46
29.78,-11.94,-10.50,-11.95,-10.51,10.51,10.32,13.29,-1.43,-1.44,-1.45
30.08,-11.78,-10.37,-11.80,-10.38,10.38,10.16,13.41,-1.40,-1.42,-1.42
30.38,-11.64,-10.26,-11.65,-10.26,10.26,10.01,13.50,-1.38,-1.39,-1.39
30.68,-11.50,-10.14,-11.50,-10.14,10.14,9.86,13.56,-1.36,-1.36,-1.36
30.99,-11.36,-10.03,-11.35,-10.01,10.01,9.71,13.59,-1.35,-1.34,-1.34
31.30,-11.21,-9.90,-11.20,-9.89,9.89,9.56,13.59,-1.32,-1.31,-1.32
31.61,-11.06,-9.77,-11.05,-9.77,9.77,9.41,13.55,-1.29,-1.29,-1.29
31.93,-10.91,-9.65,-10.91,-9.65,9.65,9.26,13.49,-1.27,-1.26,-1.27
32.24,-10.77,-9.52,-10.76,-9.52,9.52,9.11,13.39,-1.25,-1.24,-1.25
32.57,-10.62,-9.40,-10.62,-9.40,9.40,8.97,13.26,-1.22,-1.22,-1.22
32.89,-10.48,-9.28,-10.47,-9.27,9.27,8.83,13.11,-1.20,-1.20,-1.20
33.22,-10.33,-9.15,-10.33,-9.15,9.15,8.69,12.93,-1.18,-1.18,-1.18
33.55,-10.18,-9.02,-10.19,-9.03,9.03,8.55,12.73,-1.15,-1.16,-1.16
33.89,-10.04,-8.89,-10.04,-8.90,8.90,8.41,12.52,-1.14,-1.15,-1.15
34.23,-9.90,-8.77,-9.90,-8.77,8.77,8.27,12.29,-1.13,-1.13,-1.13
34.57,-9.75,-8.63,-9.76,-8.64,8.64,8.14,12.05,-1.11,-1.12,-1.12
34.92,-9.61,-8.51,-9.62,-8.51,8.51,8.01,11.80,-1.10,-1.11,-1.11
