frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,-11.62,-11.49,-11.61,-11.49,11.49,11.33,4.01,-0.13,-0.12,-0.13
20.20,-11.49,-11.45,-11.49,-11.44,11.45,11.29,4.12,-0.04,-0.04,-0.04
20.40,-11.35,-11.40,-11.36,-11.40,11.40,11.24,4.23,0.04,0.04,0.04
20.61,-11.23,-11.34,-11.23,-11.35,11.35,11.19,4.34,0.12,0.12,0.11
20.81,-11.09,-11.30,-11.10,-11.29,11.29,11.14,4.45,0.20,0.19,0.20
21.02,-10.97,-11.25,-10.96,-11.24,11.23,11.08,4.57,0.26,0.27,0.28
21.23,-10.83,-11.17,-10.83,-11.17,11.16,11.03,4.70,0.34,0.33,0.34
21.44,-10.69,-11.10,-10.70,-11.10,11.09,10.97,4.82,0.40,0.40,0.40
21.66,-10.57,-11.02,-10.56,-11.02,11.02,10.90,4.95,0.45,0.45,0.45
21.87,-10.43,-10.94,-10.43,-10.93,10.94,10.83,5.08,0.50,0.51,0.50
22.09,-10.29,-10.85,-10.30,-10.85,10.85,10.76,5.22,0.56,0.55,0.55
22.31,-10.16,-10.77,-10.17,-10.76,10.76,10.69,5.36,0.60,0.60,0.60
22.54,-10.04,-10.68,-10.04,-10.68,10.67,10.62,5.51,0.64,0.64,0.64
22.76,-9.91,-10.59,-9.91,-10.59,10.58,10.54,5.65,0.68,0.67,0.68
22.99,-9.78,-10.49,-9.78,-10.49,10.49,10.46,5.81,0.71,0.72,0.71
23.22,-9.65,-10.40,-9.64,-10.39,10.40,10.38,5.96,0.75,0.76,0.75
23.45,-9.51,-10.30,-9.51,-10.30,10.31,10.30,6.12,0.80,0.80,0.79
23.69,-9.38,-10.21,-9.38,-10.21,10.21,10.21,6.28,0.83,0.84,0.83
23.92,-9.24,-10.12,-9.24,-10.12,10.12,10.13,6.45,0.87,0.87,0.87
24.16,-9.12,-10.04,-9.12,-10.03,10.02,10.04,6.62,0.91,0.91,0.92
24.40,-8.98,-9.93,-8.99,-9.93,9.93,9.95,6.79,0.94,0.94,0.95
24.65,-8.86,-9.83,-8.85,-9.83,9.83,9.86,6.97,0.97,0.97,0.97
24.89,-8.72,-9.72,-8.72,-9.73,9.73,9.77,7.15,1.01,1.01,1.00
25.14,-8.58,-9.63,-8.59,-9.63,9.63,9.67,7.33,1.05,1.04,1.04
25.39,-8.45,-9.53,-8.46,-9.53,9.53,9.58,7.52,1.08,1.07,1.07
25.65,-8.33,-9.44,-8.33,-9.43,9.43,9.49,7.70,1.10,1.11,1.11
25.91,-8.20,-9.33,-8.20,-9.33,9.33,9.39,7.89,1.13,1.13,1.13
26.16,-8.06,-9.23,-8.07,-9.23,9.23,9.29,8.08,1.17,1.16,1.16
26.43,-7.94,-9.14,-7.94,-9.13,9.13,9.20,8.27,1.19,1.20,1.20
26.69,-7.81,-9.04,-7.81,-9.04,9.03,9.10,8.46,1.23,1.23,1.23
26.96,-7.68,-8.94,-7.68,-8.94,8.93,9.00,8.65,1.26,1.26,1.26
27.23,-7.55,-8.84,-7.55,-8.83,8.83,8.90,8.83,1.29,1.29,1.29
27.50,-7.42,-8.74,-7.42,-8.74,8.74,8.80,9.01,1.32,1.32,1.32
27.77,-7.28,-8.63,-7.29,-8.64,8.64,8.70,9.19,1.35,1.35,1.34
28.05,-7.17,-8.55,-7.16,-8.54,8.54,8.60,9.36,1.37,1.38,1.38
28.33,-7.04,-8.44,-7.03,-8.44,8.44,8.50,9.52,1.40,1.40,1.40
28.62,-6.91,-8.34,-6.91,-8.34,8.34,8.40,9.67,1.43,1.43,1.43
28.90,-6.78,-8.25,-6.78,-8.25,8.25,8.30,9.81,1.47,1.47,1.47
29.19,-6.66,-8.15,-6.66,-8.15,8.15,8.20,9.94,1.50,1.50,1.49
29.48,-6.54,-8.08,-6.53,-8.06,8.06,8.10,10.06,1.52,1.53,1.54
29.78,-6.41,-7.96,-6.41,-7.96,7.97,8.01,10.16,1.56,1.56,1.55
30.08,-6.29,-7.87,-6.29,-7.87,7.88,7.91,10.24,1.59,1.59,1.58
30.38,-6.18,-7.79,-6.18,-7.78,7.79,7.81,10.30,1.61,1.61,1.61
30.68,-6.07,-7.71,-6.07,-7.70,7.70,7.71,10.34,1.64,1.64,1.64
30.99,-5.96,-7.62,-5.96,-7.62,7.61,7.61,10.36,1.66,1.66,1.66
31.30,-5.85,-7.53,-5.85,-7.53,7.53,7.51,10.36,1.68,1.68,1.68
31.61,-5.74,-7.45,-5.74,-7.44,7.44,7.41,10.34,1.71,1.71,1.71
31.93,-5.63,-7.36,-5.63,-7.36,7.36,7.31,10.30,1.73,1.73,1.73
32.24,-5.51,-7.27,-5.52,-7.27,7.27,7.22,10.24,1.76,1.76,1.75
32.57,-5.41,-7.19,-5.41,-7.18,7.19,7.12,10.16,1.78,1.78,1.78
