frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,-20.85,-18.27,-20.85,-18.29,18.29,17.16,5.11,-2.56,-2.56,-2.58
20.20,-20.60,-18.11,-20.60,-18.12,18.12,17.36,5.24,-2.48,-2.48,-2.49
20.40,-20.35,-17.94,-20.35,-17.95,17.95,17.53,5.37,-2.40,-2.41,-2.41
20.61,-20.10,-17.76,-20.10,-17.77,17.77,17.67,5.50,-2.34,-2.33,-2.34
20.81,-19.85,-17.60,-19.85,-17.59,17.59,17.78,5.64,-2.26,-2.26,-2.25
21.02,-19.61,-17.44,-19.60,-17.40,17.40,17.84,5.78,-2.21,-2.20,-2.17
21.23,-19.35,-17.24,-19.35,-17.22,17.22,17.85,5.93,-2.13,-2.13,-2.11
21.44,-19.10,-17.05,-19.10,-17.03,17.03,17.83,6.08,-2.07,-2.07,-2.05
21.66,-18.85,-16.85,-18.85,-16.83,16.83,17.76,6.23,-2.02,-2.01,-2.00
21.87,-18.60,-16.65,-18.59,-16.64,16.64,17.64,6.39,-1.96,-1.96,-1.95
22.09,-18.34,-16.44,-18.34,-16.44,16.44,17.49,6.55,-1.90,-1.90,-1.90
22.31,-18.09,-16.24,-18.09,-16.24,16.24,17.30,6.71,-1.85,-1.85,-1.85
22.54,-17.84,-16.03,-17.84,-16.03,16.03,17.09,6.88,-1.82,-1.81,-1.81
22.76,-17.58,-15.81,-17.58,-15.82,15.82,16.84,7.06,-1.76,-1.77,-1.77
22.99,-17.33,-15.59,-17.33,-15.60,15.60,16.58,7.24,-1.73,-1.73,-1.74
23.22,-17.08,-15.38,-17.07,-15.38,15.38,16.29,7.42,-1.70,-1.69,-1.70
23.45,-16.82,-15.16,-16.82,-15.17,15.17,15.99,7.61,-1.65,-1.65,-1.66
23.69,-16.57,-14.95,-16.57,-14.95,14.95,15.69,7.80,-1.62,-1.62,-1.62
23.92,-16.31,-14.73,-16.31,-14.73,14.73,15.37,8.00,-1.58,-1.58,-1.58
24.16,-16.06,-14.53,-16.06,-14.51,14.51,15.05,8.20,-1.55,-1.55,-1.53
24.40,-15.80,-14.30,-15.80,-14.29,14.29,14.73,8.41,-1.50,-1.51,-1.50
24.65,-15.55,-14.07,-15.55,-14.07,14.07,14.41,8.62,-1.48,-1.48,-1.48
24.89,-15.30,-13.84,-15.30,-13.85,13.85,14.09,8.84,-1.44,-1.44,-1.45
25.14,-15.04,-13.63,-15.04,-13.63,13.63,13.77,9.06,-1.41,-1.41,-1.41
25.39,-14.79,-13.41,-14.79,-13.41,13.41,13.46,9.28,-1.38,-1.38,-1.38
25.65,-14.54,-13.20,-14.53,-13.19,13.19,13.15,9.51,-1.35,-1.35,-1.34
25.91,-14.28,-12.96,-14.28,-12.97,12.97,12.84,9.74,-1.32,-1.31,-1.32
26.16,-14.03,-12.74,-14.03,-12.74,12.74,12.54,9.97,-1.28,-1.28,-1.29
26.43,-13.78,-12.53,-13.78,-12.52,12.52,12.24,10.21,-1.26,-1.26,-1.25
26.69,-13.52,-12.30,-13.52,-12.30,12.30,11.95,10.45,-1.22,-1.22,-1.22
26.96,-13.27,-12.08,-13.27,-12.08,12.08,11.67,10.68,-1.20,-1.19,-1.19
27.23,-13.02,-11.86,-13.02,-11.86,11.86,11.39,10.92,-1.17,-1.16,-1.16
27.50,-12.77,-11.64,-12.77,-11.64,11.64,11.12,11.15,-1.14,-1.13,-1.13
27.77,-12.52,-11.41,-12.52,-11.42,11.42,10.85,11.38,-1.10,-1.10,-1.11
28.05,-12.27,-11.20,-12.27,-11.20,11.20,10.58,11.60,-1.07,-1.07,-1.07
28.33,-12.03,-10.98,-12.02,-10.98,10.98,10.33,11.81,-1.05,-1.04,-1.05
28.62,-11.78,-10.76,-11.78,-10.76,10.76,10.07,12.02,-1.02,-1.01,-1.02
28.90,-11.53,-10.55,-11.53,-10.55,10.55,9.83,12.21,-0.98,-0.98,-0.98
29.19,-11.29,-10.33,-11.29,-10.34,10.34,9.59,12.38,-0.95,-0.96,-0.96
29.48,-11.05,-10.14,-11.05,-10.13,10.13,9.35,12.53,-0.92,-0.93,-0.91
29.78,-10.81,-9.91,-10.82,-9.92,9.92,9.12,12.66,-0.89,-0.90,-0.90
30.08,-10.57,-9.70,-10.59,-9.71,9.71,8.89,12.76,-0.86,-0.87,-0.87
30.38,-10.35,-9.51,-10.35,-9.51,9.51,8.67,12.83,-0.84,-0.84,-0.84
30.68,-10.12,-9.31,-10.12,-9.31,9.31,8.45,12.88,-0.81,-0.82,-0.81
30.99,-9.90,-9.11,-9.90,-9.11,9.11,8.23,12.89,-0.79,-0.79,-0.79
31.30,-9.68,-8.91,-9.67,-8.91,8.91,8.02,12.87,-0.77,-0.77,-0.77
31.61,-9.45,-8.71,-9.45,-8.71,8.71,7.81,12.81,-0.74,-0.74,-0.74
31.93,-9.23,-8.51,-9.23,-8.51,8.51,7.61,12.73,-0.72,-0.72,-0.72
32.24,-9.01,-8.31,-9.01,-8.32,8.32,7.41,12.61,-0.69,-0.69,-0.70
32.57,-8.80,-8.13,-8.80,-8.12,8.12,7.22,12.46,-0.68,-0.67,-0.67
32.89,-8.58,-7.93,-8.58,-7.93,7.93,7.02,12.28,-0.65,-0.65,-0.65
33.22,-8.37,-7.74,-8.36,-7.73,7.73,6.83,12.08,-0.64,-0.63,-0.63
33.55,-8.15,-7.54,-8.15,-7.53,7.53,6.65,11.86,-0.61,-0.62,-0.61
33.89,-7.94,-7.34,-7.94,-7.34,7.34,6.47,11.63,-0.60,-0.60,-0.60
34.23,-7.73,-7.15,-7.73,-7.14,7.14,6.29,11.37,-0.59,-0.59,-0.58
34.57,-7.52,-6.95,-7.52,-6.95,6.95,6.11,11.11,-0.57,-0.57,-0.57
34.92,-7.31,-6.75,-7.31,-6.75,6.75,5.94,10.83,-0.56,-0.56,-0.56
35.27,-7.10,-6.56,-7.11,-6.55,6.55,5.76,10.54,-0.55,-0.55,-0.54
35.62,-6.90,-6.35,-6.90,-6.36,6.36,5.60,10.26,-0.54,-0.54,-0.55
35.97,-6.69,-6.15,-6.70,-6.16,6.16,5.43,9.96,-0.53,-0.54,-0.54
36.33,-6.50,-5.98,-6.50,-5.97,5.97,5.27,9.67,-0.53,-0.53,-0.52
