frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,-14.12,-11.85,-14.12,-11.88,11.88,11.82,4.54,-2.24,-2.24,-2.26
20.20,-14.01,-11.83,-14.01,-11.84,11.84,11.79,4.65,-2.16,-2.16,-2.17
20.40,-13.90,-11.80,-13.90,-11.81,11.81,11.75,4.78,-2.09,-2.09,-2.09
20.61,-13.79,-11.76,-13.79,-11.77,11.77,11.72,4.90,-2.02,-2.02,-2.03
20.81,-13.68,-11.74,-13.67,-11.73,11.73,11.68,5.03,-1.95,-1.95,-1.93
21.02,-13.57,-11.71,-13.56,-11.68,11.68,11.64,5.16,-1.88,-1.88,-1.85
21.23,-13.46,-11.66,-13.45,-11.64,11.64,11.60,5.30,-1.82,-1.82,-1.79
21.44,-13.34,-11.61,-13.34,-11.59,11.59,11.56,5.44,-1.76,-1.76,-1.73
21.66,-13.24,-11.55,-13.24,-11.54,11.54,11.52,5.58,-1.70,-1.70,-1.68
21.87,-13.12,-11.49,-13.13,-11.48,11.48,11.47,5.73,-1.64,-1.64,-1.63
22.09,-13.01,-11.43,-13.02,-11.43,11.43,11.43,5.88,-1.59,-1.59,-1.58
22.31,-12.90,-11.37,-12.91,-11.37,11.37,11.38,6.04,-1.53,-1.54,-1.53
22.54,-12.80,-11.30,-12.80,-11.31,11.31,11.33,6.20,-1.49,-1.49,-1.49
22.76,-12.69,-11.23,-12.69,-11.24,11.24,11.28,6.37,-1.45,-1.45,-1.45
22.99,-12.59,-11.16,-12.58,-11.17,11.17,11.22,6.53,-1.42,-1.41,-1.42
23.22,-12.48,-11.09,-12.47,-11.10,11.10,11.17,6.71,-1.38,-1.37,-1.38
23.45,-12.37,-11.02,-12.37,-11.03,11.03,11.11,6.88,-1.34,-1.34,-1.34
23.69,-12.26,-10.95,-12.26,-10.96,10.96,11.06,7.06,-1.30,-1.30,-1.30
23.92,-12.14,-10.88,-12.15,-10.89,10.89,11.00,7.25,-1.26,-1.26,-1.26
24.16,-12.05,-10.83,-12.04,-10.81,10.81,10.94,7.44,-1.23,-1.23,-1.21
24.40,-11.93,-10.75,-11.93,-10.74,10.74,10.88,7.63,-1.19,-1.19,-1.18
24.65,-11.83,-10.66,-11.83,-10.67,10.67,10.82,7.83,-1.16,-1.16,-1.16
24.89,-11.72,-10.59,-11.72,-10.59,10.59,10.75,8.03,-1.13,-1.13,-1.13
