frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,-8.11,-8.75,-8.11,-8.78,8.78,7.91,3.17,0.67,0.67,0.64
20.20,-8.02,-8.75,-8.02,-8.77,8.77,7.97,3.26,0.75,0.75,0.73
20.40,-7.94,-8.75,-7.94,-8.76,8.76,8.04,3.36,0.82,0.82,0.82
20.61,-7.85,-8.73,-7.85,-8.74,8.74,8.10,3.45,0.89,0.89,0.88
20.81,-7.77,-8.74,-7.76,-8.72,8.72,8.16,3.55,0.96,0.96,0.98
21.02,-7.68,-8.73,-7.68,-8.70,8.70,8.21,3.65,1.03,1.03,1.05
21.23,-7.59,-8.70,-7.59,-8.68,8.68,8.26,3.76,1.09,1.09,1.11
21.44,-7.51,-8.68,-7.50,-8.66,8.66,8.31,3.87,1.15,1.15,1.18
21.66,-7.42,-8.64,-7.42,-8.63,8.63,8.35,3.98,1.21,1.21,1.22
21.87,-7.33,-8.60,-7.33,-8.60,8.60,8.38,4.09,1.27,1.27,1.28
22.09,-7.24,-8.56,-7.24,-8.56,8.56,8.41,4.21,1.33,1.32,1.33
22.31,-7.16,-8.53,-7.15,-8.53,8.53,8.44,4.33,1.37,1.37,1.38
22.54,-7.07,-8.48,-7.07,-8.48,8.48,8.46,4.46,1.41,1.42,1.41
22.76,-6.98,-8.43,-6.98,-8.44,8.44,8.48,4.58,1.46,1.46,1.45
22.99,-6.89,-8.37,-6.89,-8.39,8.39,8.49,4.71,1.50,1.50,1.48
23.22,-6.81,-8.33,-6.81,-8.34,8.34,8.49,4.85,1.53,1.54,1.52
23.45,-6.72,-8.28,-6.72,-8.29,8.29,8.49,4.98,1.57,1.57,1.56
23.69,-6.63,-8.23,-6.63,-8.24,8.24,8.48,5.12,1.61,1.61,1.60
23.92,-6.55,-8.19,-6.54,-8.19,8.19,8.47,5.27,1.64,1.64,1.65
24.16,-6.46,-8.15,-6.46,-8.14,8.14,8.46,5.41,1.68,1.68,1.69
24.40,-6.37,-8.09,-6.37,-8.08,8.08,8.43,5.56,1.72,1.71,1.72
24.65,-6.29,-8.03,-6.28,-8.03,8.03,8.41,5.71,1.74,1.75,1.74
24.89,-6.20,-7.97,-6.20,-7.98,7.98,8.37,5.86,1.78,1.78,1.78
25.14,-6.11,-7.92,-6.11,-7.92,7.92,8.34,6.02,1.82,1.81,1.81
25.39,-6.02,-7.86,-6.02,-7.87,7.87,8.29,6.18,1.85,1.85,1.85
25.65,-5.94,-7.82,-5.93,-7.82,7.82,8.25,6.33,1.88,1.88,1.88
25.91,-5.85,-7.75,-5.85,-7.76,7.76,8.20,6.49,1.91,1.91,1.90
26.16,-5.76,-7.69,-5.76,-7.70,7.70,8.14,6.65,1.94,1.94,1.94
26.43,-5.68,-7.65,-5.67,-7.65,7.65,8.09,6.81,1.97,1.97,1.97
26.69,-5.59,-7.59,-5.59,-7.59,7.59,8.02,6.97,2.00,2.00,2.00
26.96,-5.50,-7.53,-5.50,-7.53,7.53,7.96,7.13,2.03,2.03,2.03
27.23,-5.42,-7.48,-5.42,-7.48,7.48,7.89,7.28,2.06,2.06,2.06
