frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,-9.71,-11.00,-9.71,-11.00,11.00,11.26,4.23,1.29,1.29,1.29
20.20,-9.61,-10.99,-9.62,-10.99,10.99,11.20,4.34,1.38,1.37,1.38
20.40,-9.52,-10.98,-9.52,-10.98,10.98,11.15,4.46,1.46,1.46,1.46
20.61,-9.42,-10.95,-9.42,-10.96,10.96,11.10,4.58,1.54,1.54,1.53
20.81,-9.33,-10.95,-9.33,-10.94,10.94,11.04,4.70,1.61,1.61,1.62
21.02,-9.23,-10.93,-9.23,-10.92,10.92,10.99,4.82,1.68,1.68,1.70
21.23,-9.13,-10.89,-9.13,-10.89,10.89,10.93,4.95,1.75,1.75,1.76
21.44,-9.04,-10.86,-9.04,-10.85,10.85,10.87,5.09,1.81,1.81,1.82
21.66,-8.94,-10.81,-8.94,-10.81,10.81,10.82,5.22,1.87,1.87,1.87
21.87,-8.85,-10.77,-8.85,-10.77,10.77,10.76,5.36,1.92,1.92,1.92
22.09,-8.75,-10.72,-8.75,-10.72,10.72,10.70,5.50,1.97,1.97,1.97
22.31,-8.65,-10.67,-8.65,-10.67,10.67,10.65,5.65,2.02,2.01,2.02
22.54,-8.56,-10.62,-8.56,-10.61,10.61,10.59,5.80,2.05,2.05,2.06
22.76,-8.46,-10.56,-8.46,-10.56,10.56,10.53,5.96,2.09,2.09,2.10
22.99,-8.36,-10.49,-8.37,-10.50,10.50,10.47,6.12,2.14,2.13,2.13
23.22,-8.27,-10.44,-8.27,-10.44,10.44,10.41,6.28,2.17,2.17,2.17
23.45,-8.17,-10.38,-8.17,-10.38,10.38,10.35,6.45,2.21,2.21,2.21
23.69,-8.07,-10.32,-8.07,-10.32,10.32,10.30,6.62,2.25,2.25,2.25
23.92,-7.97,-10.26,-7.97,-10.26,10.26,10.24,6.80,2.29,2.29,2.29
24.16,-7.87,-10.21,-7.87,-10.20,10.20,10.18,6.98,2.33,2.32,2.34
24.40,-7.78,-10.15,-7.78,-10.14,10.13,10.11,7.16,2.35,2.36,2.37
24.65,-7.68,-10.07,-7.68,-10.07,10.07,10.05,7.35,2.39,2.39,2.39
24.89,-7.58,-10.00,-7.58,-10.00,10.01,9.99,7.54,2.43,2.43,2.42
25.14,-7.48,-9.94,-7.48,-9.94,9.94,9.93,7.73,2.46,2.46,2.46
25.39,-7.39,-9.88,-7.39,-9.88,9.88,9.87,7.92,2.49,2.49,2.49
25.65,-7.29,-9.82,-7.29,-9.81,9.81,9.81,8.12,2.52,2.52,2.53
25.91,-7.20,-9.75,-7.20,-9.75,9.75,9.75,8.32,2.55,2.55,2.55
26.16,-7.10,-9.68,-7.10,-9.69,9.69,9.68,8.52,2.59,2.58,2.58
26.43,-7.01,-9.63,-7.01,-9.62,9.62,9.62,8.72,2.61,2.61,2.62
26.69,-6.91,-9.56,-6.91,-9.56,9.56,9.56,8.92,2.65,2.64,2.65
26.96,-6.82,-9.50,-6.82,-9.50,9.49,9.49,9.13,2.67,2.67,2.68
27.23,-6.72,-9.43,-6.72,-9.43,9.43,9.43,9.32,2.70,2.70,2.71
27.50,-6.62,-9.36,-6.63,-9.36,9.36,9.37,9.52,2.74,2.73,2.74
27.77,-6.53,-9.29,-6.53,-9.29,9.29,9.30,9.71,2.76,2.77,2.76
28.05,-6.43,-9.23,-6.43,-9.22,9.23,9.24,9.89,2.80,2.79,2.80
28.33,-6.34,-9.16,-6.34,-9.16,9.16,9.17,10.07,2.82,2.82,2.82
28.62,-6.25,-9.10,-6.25,-9.10,9.10,9.11,10.24,2.85,2.85,2.85
28.90,-6.15,-9.04,-6.15,-9.04,9.04,9.05,10.39,2.89,2.88,2.89
29.19,-6.06,-8.97,-6.06,-8.98,8.97,8.98,10.54,2.91,2.91,2.91
29.48,-5.97,-8.93,-5.97,-8.92,8.91,8.92,10.67,2.94,2.94,2.96
29.78,-5.88,-8.85,-5.88,-8.85,8.85,8.85,10.79,2.97,2.97,2.97
30.08,-5.79,-8.79,-5.79,-8.79,8.79,8.79,10.88,3.00,3.00,3.00
30.38,-5.70,-8.73,-5.70,-8.73,8.73,8.72,10.97,3.02,3.03,3.03
30.68,-5.61,-8.67,-5.61,-8.66,8.67,8.66,11.02,3.05,3.05,3.06
30.99,-5.52,-8.60,-5.53,-8.60,8.61,8.59,11.07,3.08,3.08,3.08
31.30,-5.44,-8.54,-5.44,-8.54,8.55,8.52,11.08,3.10,3.10,3.10
31.61,-5.36,-8.49,-5.36,-8.48,8.49,8.46,11.09,3.12,3.12,3.13
31.93,-5.28,-8.43,-5.28,-8.43,8.43,8.39,11.06,3.14,3.14,3.15
32.24,-5.20,-8.37,-5.20,-8.37,8.37,8.33,11.03,3.17,3.17,3.17
32.57,-5.11,-8.31,-5.11,-8.31,8.31,8.26,10.96,3.20,3.19,3.20
32.89,-5.03,-8.25,-5.03,-8.25,8.25,8.20,10.89,3.22,3.22,3.22
33.22,-4.95,-8.19,-4.95,-8.19,8.19,8.13,10.79,3.24,3.24,3.24
33.55,-4.87,-8.13,-4.87,-8.13,8.12,8.07,10.68,3.25,3.25,3.26
33.89,-4.79,-8.06,-4.79,-8.06,8.06,8.00,10.56,3.27,3.27,3.27
34.23,-4.71,-8.00,-4.71,-8.00,8.00,7.94,10.42,3.29,3.29,3.29
34.57,-4.63,-7.93,-4.63,-7.93,7.93,7.87,10.28,3.30,3.30,3.30
34.92,-4.56,-7.87,-4.56,-7.87,7.87,7.81,10.13,3.31,3.31,3.31
35.27,-4.48,-7.81,-4.49,-7.80,7.80,7.74,9.97,3.32,3.32,3.33
35.62,-4.41,-7.73,-4.41,-7.74,7.73,7.68,9.80,3.32,3.32,3.32
35.97,-4.34,-7.67,-4.34,-7.67,7.67,7.61,9.63,3.33,3.33,3.33
36.33,-4.26,-7.61,-4.26,-7.60,7.60,7.55,9.46,3.34,3.33,3.35
36.70,-4.19,-7.53,-4.19,-7.53,7.53,7.49,9.29,3.34,3.34,3.34
37.06,-4.12,-7.46,-4.12,-7.46,7.46,7.42,9.12,3.34,3.34,3.34
37.43,-4.05,-7.39,-4.05,-7.39,7.39,7.36,8.95,3.34,3.34,3.34
37.81,-3.98,-7.32,-3.98,-7.32,7.32,7.30,8.78,3.34,3.34,3.34
38.19,-3.91,-7.25,-3.91,-7.25,7.25,7.23,8.61,3.34,3.34,3.34
38.57,-3.85,-7.19,-3.85,-7.19,7.19,7.17,8.45,3.33,3.34,3.34
38.95,-3.79,-7.13,-3.79,-7.12,7.12,7.11,8.28,3.33,3.33,3.34
39.34,-3.73,-7.05,-3.73,-7.06,7.06,7.05,8.12,3.33,3.32,3.32
39.74,-3.68,-7.00,-3.68,-6.99,6.99,6.98,7.97,3.31,3.32,3.32
40.14,-3.62,-6.93,-3.62,-6.93,6.93,6.92,7.82,3.31,3.31,3.31
40.54,-3.56,-6.87,-3.57,-6.87,6.87,6.86,7.67,3.31,3.30,3.31
40.94,-3.51,-6.81,-3.51,-6.81,6.81,6.80,7.53,3.30,3.30,3.30
41.35,-3.45,-6.75,-3.45,-6.75,6.75,6.74,7.39,3.30,3.29,3.30
41.76,-3.40,-6.69,-3.40,-6.69,6.69,6.68,7.26,3.29,3.29,3.29
42.18,-3.35,-6.63,-3.35,-6.63,6.63,6.62,7.13,3.28,3.28,3.28
42.60,-3.30,-6.57,-3.30,-6.57,6.57,6.56,7.00,3.27,3.27,3.27
43.03,-3.25,-6.52,-3.25,-6.51,6.51,6.51,6.89,3.26,3.26,3.27
43.46,-3.20,-6.46,-3.20,-6.46,6.45,6.45,6.77,3.25,3.25,3.26
43.90,-3.16,-6.40,-3.16,-6.40,6.40,6.39,6.66,3.24,3.24,3.24
44.33,-3.12,-6.34,-3.12,-6.34,6.34,6.33,6.56,3.22,3.22,3.22
44.78,-3.08,-6.29,-3.08,-6.29,6.29,6.28,6.46,3.21,3.21,3.21
45.23,-3.04,-6.24,-3.04,-6.24,6.24,6.22,6.36,3.20,3.20,3.20
45.68,-3.00,-6.19,-3.00,-6.19,6.19,6.17,6.27,3.19,3.19,3.19
46.13,-2.96,-6.14,-2.96,-6.14,6.15,6.11,6.19,3.19,3.19,3.18
46.60,-2.92,-6.10,-2.92,-6.10,6.10,6.06,6.10,3.18,3.18,3.18
47.06,-2.89,-6.06,-2.89,-6.06,6.06,6.01,6.03,3.17,3.17,3.17
47.53,-2.86,-6.02,-2.86,-6.02,6.01,5.95,5.95,3.15,3.15,3.16
48.01,-2.83,-5.99,-2.83,-5.98,5.97,5.90,5.89,3.14,3.14,3.16
