frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,-19.18,-20.78,-19.18,-20.81,20.81,20.17,8.54,1.63,1.63,1.61
20.20,-19.03,-20.72,-19.03,-20.73,20.73,20.18,8.70,1.70,1.71,1.69
20.40,-18.87,-20.64,-18.87,-20.65,20.65,20.18,8.87,1.78,1.78,1.78
20.61,-18.72,-20.56,-18.72,-20.57,20.57,20.17,9.05,1.85,1.85,1.84
20.81,-18.56,-20.49,-18.56,-20.48,20.48,20.15,9.22,1.92,1.92,1.93
21.02,-18.40,-20.41,-18.40,-20.39,20.39,20.12,9.40,1.99,1.99,2.01
21.23,-18.25,-20.32,-18.25,-20.30,20.30,20.09,9.59,2.05,2.05,2.07
21.44,-18.09,-20.22,-18.09,-20.20,20.20,20.05,9.78,2.11,2.11,2.13
21.66,-17.93,-20.11,-17.93,-20.10,20.10,20.01,9.98,2.17,2.17,2.18
21.87,-17.77,-20.00,-17.77,-19.99,19.99,19.96,10.18,2.23,2.22,2.23
22.09,-17.61,-19.89,-17.61,-19.89,19.89,19.90,10.38,2.28,2.28,2.28
22.31,-17.45,-19.78,-17.45,-19.78,19.78,19.83,10.59,2.33,2.33,2.33
22.54,-17.29,-19.66,-17.29,-19.66,19.66,19.76,10.81,2.37,2.37,2.37
22.76,-17.13,-19.54,-17.13,-19.54,19.54,19.68,11.03,2.41,2.41,2.41
22.99,-16.97,-19.41,-16.96,-19.41,19.41,19.60,11.26,2.44,2.45,2.44
23.22,-16.80,-19.28,-16.80,-19.29,19.29,19.50,11.50,2.49,2.49,2.48
23.45,-16.64,-19.15,-16.63,-19.16,19.16,19.41,11.74,2.52,2.53,2.52
23.69,-16.47,-19.03,-16.47,-19.03,19.03,19.31,11.99,2.56,2.56,2.55
23.92,-16.30,-18.89,-16.30,-18.90,18.90,19.20,12.25,2.60,2.60,2.60
24.16,-16.14,-18.78,-16.14,-18.77,18.77,19.09,12.52,2.63,2.63,2.64
24.40,-15.97,-18.64,-15.97,-18.63,18.63,18.97,12.79,2.67,2.67,2.67
24.65,-15.80,-18.50,-15.80,-18.50,18.50,18.85,13.07,2.70,2.70,2.70
24.89,-15.63,-18.36,-15.63,-18.36,18.36,18.72,13.36,2.74,2.73,2.73
25.14,-15.46,-18.23,-15.46,-18.23,18.23,18.59,13.66,2.77,2.77,2.77
25.39,-15.29,-18.09,-15.29,-18.09,18.09,18.46,13.97,2.80,2.80,2.80
25.65,-15.12,-17.96,-15.12,-17.95,17.95,18.32,14.29,2.83,2.83,2.84
25.91,-14.95,-17.81,-14.95,-17.81,17.81,18.18,14.62,2.86,2.86,2.86
26.16,-14.78,-17.66,-14.78,-17.67,17.67,18.03,14.96,2.89,2.89,2.89
26.43,-14.61,-17.54,-14.60,-17.53,17.53,17.88,15.30,2.92,2.92,2.92
26.69,-14.43,-17.38,-14.43,-17.38,17.38,17.73,15.66,2.96,2.95,2.95
26.96,-14.26,-17.24,-14.26,-17.24,17.24,17.58,16.03,2.98,2.98,2.98
27.23,-14.08,-17.10,-14.08,-17.10,17.10,17.43,16.41,3.01,3.01,3.02
27.50,-13.91,-16.96,-13.91,-16.95,16.95,17.27,16.80,3.04,3.04,3.05
27.77,-13.73,-16.79,-13.73,-16.81,16.81,17.11,17.19,3.08,3.07,3.07
28.05,-13.56,-16.66,-13.56,-16.66,16.66,16.95,17.59,3.10,3.10,3.11
28.33,-13.38,-16.50,-13.38,-16.51,16.51,16.78,17.99,3.14,3.13,3.12
28.62,-13.21,-16.36,-13.21,-16.37,16.37,16.62,18.39,3.15,3.16,3.15
28.90,-13.03,-16.22,-13.03,-16.22,16.22,16.45,18.79,3.19,3.19,3.19
29.19,-12.85,-16.06,-12.85,-16.07,16.07,16.28,19.17,3.22,3.22,3.21
29.48,-12.67,-15.92,-12.67,-15.92,15.92,16.12,19.52,3.25,3.25,3.26
29.78,-12.49,-15.77,-12.49,-15.77,15.77,15.94,19.85,3.28,3.27,3.27
30.08,-12.32,-15.62,-12.31,-15.62,15.62,15.77,20.14,3.29,3.30,3.30
30.38,-12.14,-15.47,-12.13,-15.46,15.46,15.60,20.37,3.32,3.33,3.33
30.68,-11.96,-15.32,-11.96,-15.31,15.31,15.43,20.53,3.35,3.35,3.36
30.99,-11.78,-15.16,-11.78,-15.16,15.16,15.25,20.62,3.38,3.38,3.38
31.30,-11.60,-15.01,-11.60,-15.00,15.00,15.07,20.63,3.40,3.41,3.40
31.61,-11.41,-14.84,-11.42,-14.85,14.85,14.90,20.55,3.44,3.43,3.43
31.93,-11.23,-14.68,-11.24,-14.70,14.70,14.72,20.40,3.46,3.45,3.45
32.24,-11.06,-14.52,-11.06,-14.54,14.54,14.54,20.17,3.48,3.48,3.47
32.57,-10.88,-14.37,-10.89,-14.38,14.38,14.36,19.87,3.50,3.50,3.49
32.89,-10.71,-14.23,-10.71,-14.22,14.22,14.18,19.53,3.52,3.51,3.52
33.22,-10.53,-14.07,-10.53,-14.06,14.06,14.00,19.14,3.54,3.53,3.54
33.55,-10.36,-13.91,-10.35,-13.90,13.90,13.82,18.72,3.55,3.55,3.55
33.89,-10.19,-13.75,-10.18,-13.74,13.74,13.64,18.28,3.55,3.57,3.56
34.23,-10.01,-13.60,-10.00,-13.58,13.58,13.46,17.83,3.57,3.58,3.59
34.57,-9.83,-13.42,-9.82,-13.42,13.42,13.27,17.37,3.59,3.59,3.59
34.92,-9.64,-13.24,-9.65,-13.25,13.25,13.09,16.90,3.61,3.60,3.60
35.27,-9.47,-13.09,-9.47,-13.08,13.08,12.90,16.45,3.61,3.61,3.62
35.62,-9.29,-12.90,-9.29,-12.91,12.91,12.72,15.99,3.62,3.62,3.61
35.97,-9.11,-12.73,-9.12,-12.74,12.74,12.53,15.54,3.63,3.62,3.62
36.33,-8.94,-12.57,-8.94,-12.57,12.57,12.35,15.10,3.63,3.63,3.63
36.70,-8.76,-12.39,-8.76,-12.39,12.39,12.16,14.67,3.63,3.63,3.63
37.06,-8.59,-12.21,-8.58,-12.21,12.21,11.97,14.25,3.63,3.63,3.63
37.43,-8.41,-12.04,-8.41,-12.04,12.04,11.78,13.84,3.63,3.63,3.63
37.81,-8.23,-11.86,-8.23,-11.86,11.86,11.59,13.43,3.63,3.63,3.63
38.19,-8.05,-11.67,-8.06,-11.68,11.68,11.40,13.04,3.63,3.62,3.62
38.57,-7.88,-11.50,-7.88,-11.50,11.50,11.21,12.65,3.62,3.62,3.63
38.95,-7.71,-11.33,-7.71,-11.32,11.32,11.02,12.27,3.61,3.61,3.62
39.34,-7.53,-11.13,-7.53,-11.14,11.14,10.83,11.90,3.61,3.61,3.60
39.74,-7.36,-10.96,-7.35,-10.96,10.96,10.63,11.54,3.60,3.60,3.60
40.14,-7.18,-10.77,-7.18,-10.77,10.77,10.44,11.19,3.59,3.60,3.59
40.54,-7.00,-10.59,-7.00,-10.59,10.59,10.25,10.84,3.59,3.59,3.59
40.94,-6.83,-10.41,-6.82,-10.40,10.40,10.05,10.50,3.57,3.58,3.58
41.35,-6.64,-10.21,-6.64,-10.21,10.21,9.85,10.16,3.58,3.57,3.57
41.76,-6.46,-10.02,-6.46,-10.02,10.02,9.65,9.83,3.57,3.56,3.56
42.18,-6.28,-9.83,-6.28,-9.83,9.83,9.46,9.51,3.55,3.55,3.56
42.60,-6.10,-9.64,-6.10,-9.64,9.64,9.26,9.19,3.54,3.54,3.54
43.03,-5.92,-9.46,-5.91,-9.44,9.44,9.06,8.87,3.52,3.53,3.54
43.46,-5.73,-9.25,-5.73,-9.24,9.24,8.85,8.56,3.51,3.51,3.52
43.90,-5.54,-9.05,-5.54,-9.05,9.05,8.65,8.26,3.50,3.50,3.50
44.33,-5.35,-8.83,-5.35,-8.84,8.84,8.45,7.96,3.50,3.49,3.48
44.78,-5.16,-8.64,-5.16,-8.64,8.64,8.24,7.66,3.48,3.48,3.48
45.23,-4.97,-8.43,-4.97,-8.43,8.43,8.04,7.36,3.46,3.47,3.46
45.68,-4.78,-8.23,-4.77,-8.22,8.22,7.83,7.07,3.44,3.45,3.45
46.13,-4.58,-8.01,-4.57,-8.01,8.01,7.62,6.78,3.44,3.44,3.44
46.60,-4.37,-7.81,-4.37,-7.80,7.80,7.41,6.49,3.43,3.43,3.43
47.06,-4.16,-7.58,-4.17,-7.59,7.59,7.20,6.21,3.43,3.42,3.42
47.53,-3.96,-7.37,-3.96,-7.37,7.37,6.99,5.93,3.41,3.41,3.41
48.01,-3.76,-7.17,-3.75,-7.15,7.15,6.77,5.65,3.39,3.40,3.41
48.49,-3.54,-6.94,-3.54,-6.93,6.93,6.56,5.38,3.39,3.39,3.40
