frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,9.36,3.11,9.34,3.09,-3.09,-2.79,-1.16,6.28,6.26,6.25
20.20,9.36,3.12,9.35,3.11,-3.11,-2.78,-1.19,6.26,6.24,6.24
20.40,9.36,3.13,9.36,3.13,-3.13,-2.77,-1.23,6.24,6.23,6.23
20.61,9.36,3.14,9.36,3.14,-3.14,-2.76,-1.26,6.22,6.22,6.22
20.81,9.36,3.16,9.37,3.16,-3.16,-2.75,-1.30,6.20,6.21,6.20
21.02,9.36,3.17,9.37,3.18,-3.18,-2.74,-1.34,6.19,6.20,6.19
21.23,9.36,3.18,9.38,3.19,-3.19,-2.73,-1.38,6.18,6.19,6.18
21.44,9.36,3.17,9.38,3.20,-3.20,-2.72,-1.43,6.16,6.18,6.19
21.66,9.36,3.19,9.38,3.21,-3.21,-2.71,-1.47,6.15,6.17,6.17
21.87,9.36,3.19,9.38,3.22,-3.22,-2.70,-1.52,6.14,6.16,6.17
22.09,9.36,3.21,9.38,3.23,-3.23,-2.69,-1.56,6.14,6.15,6.15
22.31,9.36,3.22,9.38,3.23,-3.23,-2.68,-1.61,6.13,6.15,6.14
22.54,9.37,3.24,9.38,3.24,-3.24,-2.67,-1.66,6.13,6.14,6.13
22.76,9.37,3.24,9.38,3.25,-3.25,-2.66,-1.71,6.13,6.13,6.13
22.99,9.38,3.26,9.38,3.25,-3.25,-2.65,-1.76,6.13,6.13,6.12
23.22,9.38,3.27,9.37,3.25,-3.25,-2.64,-1.81,6.13,6.12,6.11
23.45,9.38,3.26,9.37,3.25,-3.25,-2.63,-1.87,6.14,6.12,6.12
23.69,9.37,3.26,9.36,3.24,-3.24,-2.63,-1.92,6.13,6.11,6.11
23.92,9.36,3.26,9.34,3.23,-3.23,-2.62,-1.98,6.13,6.11,6.10
24.16,9.34,3.23,9.33,3.22,-3.22,-2.61,-2.03,6.12,6.11,6.11
24.40,9.31,3.20,9.31,3.20,-3.20,-2.61,-2.09,6.11,6.10,6.11
