frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,-0.73,-8.17,-0.73,-8.17,8.17,7.81,2.72,7.45,7.44,7.44
20.20,-0.67,-8.10,-0.66,-8.09,8.09,7.77,2.80,7.42,7.43,7.43
20.40,-0.60,-8.02,-0.60,-8.02,8.01,7.72,2.88,7.42,7.42,7.42
20.61,-0.53,-7.94,-0.53,-7.94,7.93,7.68,2.97,7.40,7.40,7.41
20.81,-0.46,-7.85,-0.46,-7.85,7.86,7.63,3.05,7.40,7.39,7.39
21.02,-0.40,-7.78,-0.39,-7.78,7.78,7.59,3.14,7.38,7.39,7.38
21.23,-0.33,-7.70,-0.33,-7.70,7.70,7.54,3.24,7.38,7.38,7.37
21.44,-0.26,-7.64,-0.26,-7.63,7.63,7.49,3.33,7.37,7.37,7.38
21.66,-0.20,-7.56,-0.20,-7.56,7.55,7.43,3.43,7.35,7.36,7.36
21.87,-0.13,-7.49,-0.13,-7.49,7.48,7.38,3.53,7.35,7.35,7.36
22.09,-0.07,-7.41,-0.07,-7.41,7.41,7.33,3.63,7.34,7.34,7.34
22.31,0.00,-7.33,0.00,-7.33,7.34,7.27,3.74,7.34,7.34,7.33
22.54,0.06,-7.26,0.06,-7.26,7.27,7.21,3.85,7.33,7.33,7.32
22.76,0.12,-7.20,0.12,-7.20,7.20,7.16,3.96,7.32,7.32,7.32
22.99,0.17,-7.14,0.17,-7.14,7.13,7.10,4.07,7.30,7.30,7.31
23.22,0.23,-7.07,0.23,-7.07,7.06,7.04,4.19,7.29,7.30,7.30
23.45,0.30,-7.01,0.30,-7.00,7.00,6.98,4.31,7.30,7.30,7.31
23.69,0.37,-6.93,0.37,-6.93,6.93,6.92,4.43,7.30,7.30,7.30
23.92,0.44,-6.85,0.44,-6.86,6.87,6.86,4.56,7.31,7.31,7.29
24.16,0.50,-6.80,0.50,-6.80,6.80,6.80,4.69,7.30,7.30,7.30
24.40,0.55,-6.75,0.55,-6.74,6.74,6.74,4.82,7.29,7.29,7.30
24.65,0.60,-6.69,0.61,-6.68,6.67,6.68,4.95,7.27,7.28,7.29
24.89,0.67,-6.62,0.67,-6.62,6.61,6.62,5.08,7.28,7.28,7.29
25.14,0.73,-6.55,0.73,-6.55,6.55,6.56,5.22,7.29,7.29,7.28
25.39,0.79,-6.49,0.79,-6.49,6.50,6.50,5.35,7.29,7.29,7.28
25.65,0.85,-6.43,0.85,-6.43,6.44,6.44,5.49,7.29,7.29,7.28
25.91,0.90,-6.38,0.90,-6.38,6.38,6.38,5.63,7.28,7.28,7.28
26.16,0.95,-6.34,0.95,-6.33,6.33,6.32,5.77,7.28,7.28,7.29
26.43,1.00,-6.28,1.00,-6.28,6.27,6.26,5.90,7.27,7.27,7.28
26.69,1.05,-6.23,1.05,-6.23,6.22,6.21,6.04,7.27,7.27,7.28
26.96,1.11,-6.17,1.11,-6.17,6.17,6.15,6.17,7.28,7.28,7.28
27.23,1.16,-6.12,1.16,-6.12,6.12,6.09,6.30,7.28,7.28,7.28
27.50,1.22,-6.06,1.22,-6.06,6.07,6.03,6.43,7.29,7.29,7.28
27.77,1.27,-6.02,1.27,-6.01,6.02,5.97,6.56,7.29,7.29,7.29
28.05,1.32,-5.96,1.32,-5.97,5.97,5.92,6.67,7.29,7.29,7.28
28.33,1.36,-5.93,1.36,-5.92,5.92,5.86,6.79,7.28,7.28,7.29
28.62,1.41,-5.88,1.41,-5.88,5.87,5.80,6.89,7.28,7.28,7.29
28.90,1.47,-5.83,1.47,-5.82,5.82,5.75,6.99,7.29,7.29,7.30
29.19,1.53,-5.77,1.53,-5.76,5.77,5.69,7.07,7.30,7.30,7.30
29.48,1.59,-5.70,1.59,-5.71,5.72,5.64,7.15,7.31,7.30,7.29
29.78,1.63,-5.66,1.63,-5.66,5.67,5.59,7.22,7.30,7.30,7.29
30.08,1.67,-5.62,1.67,-5.61,5.61,5.53,7.28,7.28,7.29,7.29
30.38,1.71,-5.56,1.71,-5.57,5.56,5.48,7.32,7.27,7.27,7.27
30.68,1.75,-5.52,1.75,-5.52,5.51,5.43,7.35,7.26,7.27,7.27
30.99,1.80,-5.47,1.80,-5.47,5.46,5.38,7.37,7.26,7.26,7.27
31.30,1.85,-5.42,1.85,-5.42,5.42,5.33,7.37,7.27,7.26,7.27
31.61,1.89,-5.37,1.89,-5.37,5.37,5.28,7.36,7.26,7.26,7.26
31.93,1.93,-5.31,1.93,-5.32,5.32,5.23,7.34,7.25,7.25,7.24
32.24,1.97,-5.28,1.97,-5.27,5.28,5.18,7.30,7.25,7.25,7.25
32.57,2.00,-5.23,2.00,-5.23,5.23,5.13,7.26,7.23,7.24,7.23
32.89,2.04,-5.19,2.04,-5.19,5.19,5.09,7.20,7.23,7.23,7.23
33.22,2.07,-5.15,2.07,-5.15,5.15,5.04,7.13,7.22,7.22,7.22
33.55,2.11,-5.11,2.11,-5.11,5.11,4.99,7.05,7.22,7.21,7.22
33.89,2.14,-5.07,2.14,-5.07,5.06,4.95,6.96,7.20,7.20,7.21
34.23,2.17,-5.02,2.17,-5.02,5.02,4.90,6.86,7.19,7.19,7.19
34.57,2.21,-4.98,2.21,-4.98,4.97,4.85,6.75,7.18,7.18,7.19
34.92,2.25,-4.92,2.25,-4.93,4.92,4.81,6.64,7.17,7.18,7.17
35.27,2.30,-4.89,2.30,-4.87,4.87,4.76,6.52,7.17,7.17,7.19
35.62,2.35,-4.81,2.35,-4.82,4.82,4.72,6.40,7.17,7.17,7.16
35.97,2.39,-4.77,2.39,-4.77,4.77,4.67,6.28,7.17,7.16,7.16
36.33,2.42,-4.72,2.42,-4.71,4.73,4.63,6.15,7.15,7.15,7.14
36.70,2.45,-4.67,2.45,-4.67,4.68,4.59,6.02,7.13,7.12,7.12
37.06,2.47,-4.63,2.47,-4.63,4.63,4.54,5.89,7.10,7.10,7.10
37.43,2.49,-4.59,2.50,-4.58,4.58,4.50,5.75,7.07,7.07,7.08
37.81,2.53,-4.54,2.53,-4.53,4.52,4.45,5.62,7.05,7.05,7.07
38.19,2.57,-4.47,2.57,-4.47,4.47,4.41,5.49,7.04,7.04,7.04
38.57,2.61,-4.41,2.61,-4.41,4.41,4.37,5.36,7.02,7.02,7.02
38.95,2.65,-4.36,2.65,-4.35,4.35,4.32,5.23,7.00,7.00,7.01
39.34,2.69,-4.29,2.69,-4.29,4.29,4.28,5.10,6.98,6.98,6.98
39.74,2.73,-4.22,2.73,-4.23,4.23,4.23,4.97,6.97,6.96,6.95
40.14,2.76,-4.17,2.76,-4.17,4.18,4.19,4.84,6.94,6.94,6.93
40.54,2.78,-4.13,2.78,-4.12,4.13,4.14,4.72,6.91,6.91,6.91
40.94,2.80,-4.08,2.81,-4.08,4.08,4.10,4.60,6.88,6.88,6.88
41.35,2.83,-4.04,2.83,-4.04,4.03,4.05,4.48,6.87,6.86,6.87
41.76,2.85,-3.99,2.85,-3.99,3.99,4.00,4.37,6.84,6.84,6.84
42.18,2.87,-3.96,2.87,-3.95,3.95,3.96,4.26,6.82,6.82,6.83
42.60,2.89,-3.91,2.89,-3.91,3.91,3.91,4.15,6.80,6.80,6.80
43.03,2.90,-3.88,2.90,-3.87,3.88,3.86,4.04,6.78,6.78,6.78
43.46,2.91,-3.83,2.91,-3.83,3.84,3.81,3.94,6.75,6.75,6.74
43.90,2.92,-3.80,2.92,-3.80,3.80,3.76,3.84,6.72,6.72,6.72
44.33,2.93,-3.76,2.93,-3.76,3.76,3.71,3.74,6.70,6.69,6.69
44.78,2.94,-3.73,2.94,-3.73,3.72,3.66,3.65,6.66,6.66,6.67
45.23,2.95,-3.70,2.95,-3.69,3.67,3.61,3.56,6.63,6.63,6.65
45.68,2.97,-3.63,2.97,-3.63,3.62,3.56,3.47,6.59,6.60,6.60
46.13,3.00,-3.57,3.00,-3.57,3.57,3.50,3.38,6.57,6.57,6.57
46.60,3.03,-3.50,3.03,-3.50,3.50,3.45,3.30,6.53,6.53,6.53
47.06,3.06,-3.44,3.06,-3.44,3.44,3.40,3.22,6.50,6.50,6.50
47.53,3.09,-3.37,3.09,-3.37,3.36,3.34,3.14,6.45,6.45,6.46
48.01,3.12,-3.29,3.12,-3.29,3.29,3.29,3.07,6.41,6.41,6.41
48.49,3.15,-3.22,3.15,-3.22,3.21,3.23,3.00,6.37,6.37,6.37
48.97,3.18,-3.14,3.18,-3.14,3.14,3.17,2.93,6.32,6.32,6.32
49.46,3.21,-3.08,3.21,-3.07,3.07,3.12,2.86,6.29,6.28,6.29
49.96,3.23,-3.00,3.23,-3.00,3.01,3.06,2.79,6.24,6.25,6.23
50.46,3.25,-2.95,3.25,-2.95,2.96,3.00,2.73,6.21,6.21,6.20
50.96,3.26,-2.90,3.26,-2.90,2.91,2.94,2.67,6.17,6.17,6.16
51.47,3.26,-2.86,3.26,-2.86,2.87,2.88,2.61,6.13,6.13,6.12
51.99,3.25,-2.82,3.25,-2.83,2.83,2.82,2.55,6.08,6.08,6.07
52.51,3.24,-2.80,3.24,-2.80,2.80,2.76,2.50,6.04,6.03,6.04
53.03,3.22,-2.79,3.23,-2.77,2.76,2.70,2.44,5.98,5.98,6.01
53.56,3.22,-2.74,3.22,-2.74,2.72,2.64,2.39,5.94,5.94,5.96
54.10,3.23,-2.68,3.23,-2.68,2.67,2.58,2.34,5.90,5.90,5.91
54.64,3.25,-2.62,3.25,-2.62,2.62,2.52,2.29,5.87,5.87,5.87
55.18,3.27,-2.56,3.27,-2.56,2.56,2.46,2.24,5.83,5.83,5.83
55.74,3.29,-2.49,3.29,-2.50,2.50,2.40,2.19,5.79,5.79,5.78
56.29,3.32,-2.44,3.32,-2.43,2.43,2.34,2.14,5.75,5.75,5.76
56.86,3.35,-2.37,3.35,-2.36,2.37,2.28,2.10,5.72,5.72,5.72
57.42,3.38,-2.29,3.38,-2.29,2.30,2.22,2.05,5.68,5.68,5.67
58.00,3.41,-2.22,3.41,-2.22,2.23,2.16,2.00,5.64,5.64,5.63
58.58,3.44,-2.16,3.44,-2.16,2.16,2.10,1.96,5.60,5.60,5.60
59.16,3.47,-2.10,3.47,-2.09,2.08,2.03,1.91,5.55,5.55,5.57
59.76,3.50,-2.02,3.50,-2.02,2.01,1.97,1.87,5.51,5.51,5.52
60.35,3.53,-1.94,3.53,-1.94,1.93,1.91,1.82,5.46,5.46,5.47
60.96,3.55,-1.86,3.55,-1.86,1.86,1.85,1.77,5.41,5.41,5.41
61.57,3.57,-1.78,3.57,-1.78,1.79,1.79,1.73,5.36,5.36,5.35
62.18,3.58,-1.71,3.58,-1.71,1.72,1.73,1.68,5.30,5.30,5.29
62.80,3.59,-1.64,3.59,-1.64,1.66,1.67,1.64,5.25,5.25,5.23
63.43,3.59,-1.59,3.59,-1.59,1.60,1.61,1.59,5.19,5.19,5.18
64.07,3.58,-1.55,3.58,-1.55,1.54,1.55,1.54,5.13,5.13,5.13
64.71,3.57,-1.51,3.58,-1.50,1.49,1.49,1.49,5.06,5.07,5.08
65.35,3.57,-1.45,3.57,-1.45,1.44,1.44,1.45,5.02,5.02,5.02
66.01,3.57,-1.40,3.57,-1.40,1.40,1.38,1.40,4.97,4.97,4.97
66.67,3.57,-1.36,3.57,-1.35,1.35,1.32,1.35,4.92,4.92,4.93
