frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,12.28,1.17,12.28,1.17,-1.17,-0.02,-0.13,11.11,11.11,11.10
20.20,12.19,1.09,12.19,1.09,-1.09,-0.02,-0.13,11.09,11.09,11.09
20.40,12.10,1.01,12.10,1.02,-1.02,-0.01,-0.12,11.08,11.08,11.08
20.61,12.02,0.95,12.02,0.95,-0.95,-0.01,-0.12,11.07,11.07,11.07
20.81,11.93,0.88,11.93,0.87,-0.87,-0.00,-0.12,11.05,11.06,11.05
21.02,11.85,0.81,11.85,0.80,-0.80,0.00,-0.12,11.04,11.05,11.04
21.23,11.77,0.74,11.77,0.73,-0.73,0.01,-0.12,11.03,11.04,11.03
21.44,11.69,0.65,11.69,0.67,-0.67,0.02,-0.12,11.02,11.03,11.04
21.66,11.62,0.60,11.61,0.60,-0.60,0.03,-0.12,11.02,11.02,11.02
21.87,11.54,0.52,11.54,0.53,-0.53,0.04,-0.11,11.01,11.01,11.02
22.09,11.47,0.47,11.47,0.47,-0.47,0.05,-0.11,11.00,11.00,11.00
22.31,11.40,0.40,11.39,0.40,-0.40,0.06,-0.11,11.00,10.99,10.99
22.54,11.33,0.34,11.32,0.34,-0.34,0.07,-0.11,10.99,10.99,10.98
22.76,11.26,0.27,11.25,0.27,-0.27,0.09,-0.11,10.98,10.98,10.98
22.99,11.20,0.23,11.19,0.21,-0.21,0.11,-0.10,10.99,10.97,10.97
23.22,11.13,0.17,11.12,0.15,-0.15,0.12,-0.10,10.98,10.97,10.96
23.45,11.06,0.09,11.06,0.09,-0.09,0.14,-0.10,10.96,10.96,10.97
23.69,11.00,0.04,11.00,0.04,-0.04,0.17,-0.10,10.96,10.96,10.96
23.92,10.93,-0.02,10.94,-0.02,0.02,0.19,-0.10,10.94,10.95,10.95
24.16,10.87,-0.09,10.88,-0.07,0.07,0.22,-0.09,10.94,10.95,10.95
24.40,10.82,-0.14,10.83,-0.12,0.12,0.25,-0.09,10.93,10.95,10.95
24.65,10.77,-0.18,10.78,-0.16,0.16,0.28,-0.09,10.93,10.95,10.95
24.89,10.73,-0.22,10.73,-0.21,0.21,0.31,-0.09,10.94,10.94,10.95
25.14,10.69,-0.25,10.69,-0.25,0.25,0.35,-0.09,10.94,10.94,10.94
25.39,10.66,-0.28,10.64,-0.30,0.30,0.39,-0.09,10.95,10.94,10.94
25.65,10.61,-0.33,10.60,-0.34,0.34,0.44,-0.09,10.95,10.94,10.93
25.91,10.57,-0.36,10.56,-0.38,0.38,0.49,-0.09,10.94,10.94,10.93
26.16,10.54,-0.40,10.52,-0.41,0.41,0.54,-0.09,10.95,10.94,10.94
26.43,10.51,-0.43,10.49,-0.45,0.45,0.59,-0.09,10.96,10.94,10.94
26.69,10.47,-0.47,10.45,-0.48,0.48,0.65,-0.10,10.95,10.94,10.94
26.96,10.43,-0.51,10.42,-0.51,0.51,0.71,-0.10,10.94,10.93,10.93
27.23,10.39,-0.54,10.39,-0.54,0.54,0.77,-0.11,10.93,10.94,10.93
27.50,10.35,-0.58,10.37,-0.57,0.57,0.83,-0.11,10.92,10.94,10.93
27.77,10.33,-0.61,10.34,-0.60,0.60,0.90,-0.12,10.92,10.94,10.94
28.05,10.32,-0.62,10.32,-0.62,0.62,0.95,-0.13,10.93,10.94,10.93
28.33,10.31,-0.63,10.31,-0.63,0.63,1.01,-0.14,10.94,10.94,10.94
28.62,10.30,-0.64,10.30,-0.64,0.64,1.05,-0.15,10.94,10.94,10.94
28.90,10.30,-0.65,10.30,-0.64,0.64,1.09,-0.17,10.94,10.94,10.95
29.19,10.30,-0.64,10.30,-0.64,0.64,1.11,-0.18,10.94,10.94,10.94
29.48,10.30,-0.64,10.31,-0.63,0.63,1.12,-0.20,10.93,10.93,10.94
29.78,10.31,-0.63,10.32,-0.61,0.61,1.12,-0.22,10.92,10.93,10.94
30.08,10.33,-0.60,10.34,-0.58,0.58,1.09,-0.25,10.91,10.93,10.93
30.38,10.37,-0.55,10.37,-0.55,0.55,1.05,-0.27,10.92,10.92,10.92
30.68,10.41,-0.51,10.40,-0.52,0.52,0.99,-0.30,10.93,10.92,10.91
30.99,10.44,-0.47,10.43,-0.48,0.48,0.92,-0.33,10.91,10.91,10.91
31.30,10.49,-0.42,10.47,-0.43,0.43,0.83,-0.36,10.92,10.91,10.91
31.61,10.53,-0.38,10.52,-0.38,0.38,0.73,-0.40,10.91,10.90,10.90
31.93,10.58,-0.30,10.56,-0.33,0.33,0.62,-0.44,10.90,10.89,10.88
32.24,10.63,-0.26,10.61,-0.27,0.27,0.51,-0.48,10.89,10.88,10.88
32.57,10.68,-0.19,10.67,-0.20,0.20,0.39,-0.52,10.88,10.87,10.87
32.89,10.74,-0.13,10.73,-0.13,0.13,0.26,-0.57,10.87,10.87,10.86
33.22,10.80,-0.06,10.80,-0.06,0.06,0.14,-0.62,10.85,10.86,10.86
33.55,10.87,0.01,10.88,0.03,-0.03,0.01,-0.67,10.84,10.85,10.85
33.89,10.94,0.10,10.95,0.11,-0.11,-0.11,-0.73,10.82,10.84,10.84
34.23,11.02,0.19,11.04,0.21,-0.21,-0.23,-0.78,10.81,10.83,10.82
34.57,11.12,0.30,11.13,0.31,-0.31,-0.35,-0.84,10.81,10.82,10.82
34.92,11.22,0.42,11.23,0.42,-0.42,-0.47,-0.90,10.80,10.81,10.80
35.27,11.34,0.52,11.33,0.54,-0.54,-0.59,-0.97,10.80,10.80,10.81
35.62,11.45,0.66,11.45,0.66,-0.66,-0.70,-1.04,10.79,10.79,10.79
35.97,11.57,0.79,11.56,0.79,-0.79,-0.81,-1.10,10.78,10.77,10.78
36.33,11.70,0.94,11.69,0.93,-0.93,-0.92,-1.18,10.77,10.75,10.76
36.70,11.82,1.08,11.81,1.08,-1.08,-1.03,-1.25,10.74,10.74,10.74
37.06,11.95,1.23,11.95,1.23,-1.23,-1.14,-1.33,10.72,10.72,10.72
37.43,12.09,1.39,12.09,1.39,-1.39,-1.25,-1.40,10.70,10.70,10.70
37.81,12.23,1.55,12.23,1.55,-1.55,-1.35,-1.48,10.68,10.68,10.68
38.19,12.37,1.71,12.37,1.72,-1.72,-1.46,-1.57,10.65,10.66,10.65
38.57,12.52,1.88,12.52,1.89,-1.89,-1.57,-1.65,10.63,10.63,10.63
38.95,12.68,2.07,12.68,2.07,-2.07,-1.68,-1.74,10.61,10.61,10.61
39.34,12.83,2.25,12.83,2.25,-2.25,-1.79,-1.82,10.58,10.59,10.58
39.74,12.99,2.43,12.99,2.43,-2.43,-1.90,-1.91,10.56,10.56,10.55
40.14,13.15,2.61,13.16,2.62,-2.62,-2.01,-2.01,10.53,10.54,10.53
40.54,13.31,2.79,13.32,2.81,-2.81,-2.12,-2.10,10.50,10.51,10.51
40.94,13.49,3.01,13.49,3.00,-3.00,-2.24,-2.20,10.49,10.49,10.48
41.35,13.66,3.20,13.66,3.20,-3.20,-2.36,-2.30,10.46,10.46,10.46
41.76,13.83,3.40,13.83,3.40,-3.40,-2.48,-2.40,10.43,10.44,10.43
42.18,13.99,3.57,14.00,3.59,-3.59,-2.61,-2.50,10.40,10.41,10.42
42.60,14.16,3.78,14.17,3.79,-3.79,-2.74,-2.60,10.37,10.38,10.38
43.03,14.34,3.98,14.34,3.98,-3.98,-2.87,-2.71,10.36,10.36,10.36
43.46,14.51,4.18,14.50,4.17,-4.17,-3.01,-2.82,10.34,10.33,10.32
43.90,14.67,4.37,14.66,4.36,-4.36,-3.15,-2.93,10.31,10.30,10.30
44.33,14.82,4.55,14.81,4.54,-4.54,-3.29,-3.05,10.28,10.27,10.27
44.78,14.97,4.73,14.96,4.72,-4.72,-3.44,-3.16,10.25,10.24,10.24
45.23,15.11,4.89,15.09,4.89,-4.89,-3.60,-3.28,10.21,10.20,10.21
45.68,15.24,5.07,15.22,5.06,-5.06,-3.76,-3.40,10.18,10.17,10.17
