frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,3.12,-5.54,3.12,-5.54,5.54,5.23,1.91,8.67,8.67,8.66
20.20,3.15,-5.50,3.16,-5.50,5.50,5.21,1.96,8.65,8.65,8.65
20.40,3.19,-5.45,3.19,-5.45,5.45,5.19,2.02,8.64,8.64,8.64
20.61,3.22,-5.41,3.22,-5.41,5.40,5.17,2.08,8.63,8.63,8.63
20.81,3.26,-5.35,3.26,-5.36,5.36,5.15,2.14,8.62,8.62,8.61
21.02,3.29,-5.31,3.30,-5.31,5.31,5.13,2.20,8.61,8.61,8.60
21.23,3.33,-5.26,3.33,-5.27,5.27,5.10,2.27,8.60,8.60,8.59
21.44,3.37,-5.23,3.37,-5.23,5.22,5.08,2.34,8.60,8.59,8.60
21.66,3.40,-5.18,3.41,-5.18,5.18,5.06,2.40,8.58,8.58,8.58
21.87,3.44,-5.14,3.44,-5.14,5.13,5.03,2.48,8.58,8.58,8.58
22.09,3.48,-5.08,3.48,-5.08,5.09,5.01,2.55,8.57,8.57,8.56
22.31,3.51,-5.04,3.52,-5.04,5.04,4.98,2.62,8.56,8.56,8.55
22.54,3.55,-4.99,3.55,-5.00,5.00,4.96,2.70,8.55,8.55,8.54
22.76,3.58,-4.96,3.59,-4.95,4.95,4.93,2.78,8.54,8.54,8.54
22.99,3.62,-4.91,3.62,-4.91,4.91,4.90,2.86,8.53,8.53,8.53
23.22,3.66,-4.86,3.66,-4.87,4.87,4.88,2.94,8.53,8.53,8.52
23.45,3.69,-4.84,3.70,-4.83,4.83,4.85,3.02,8.52,8.53,8.53
23.69,3.73,-4.79,3.73,-4.79,4.79,4.82,3.11,8.52,8.52,8.52
23.92,3.77,-4.74,3.77,-4.75,4.75,4.80,3.20,8.53,8.52,8.51
24.16,3.80,-4.72,3.81,-4.71,4.71,4.77,3.28,8.52,8.52,8.52
24.40,3.84,-4.68,3.84,-4.68,4.67,4.74,3.37,8.52,8.52,8.52
24.65,3.88,-4.63,3.88,-4.64,4.63,4.71,3.47,8.52,8.51,8.51
24.89,3.91,-4.60,3.92,-4.59,4.59,4.68,3.56,8.51,8.51,8.51
25.14,3.95,-4.55,3.95,-4.55,4.56,4.65,3.65,8.51,8.51,8.50
25.39,3.99,-4.51,3.99,-4.51,4.52,4.62,3.74,8.51,8.51,8.50
25.65,4.02,-4.48,4.03,-4.48,4.48,4.59,3.84,8.50,8.51,8.50
25.91,4.06,-4.44,4.06,-4.45,4.45,4.56,3.93,8.51,8.51,8.50
26.16,4.09,-4.42,4.10,-4.41,4.41,4.52,4.02,8.50,8.51,8.51
26.43,4.13,-4.37,4.13,-4.38,4.37,4.49,4.12,8.51,8.50,8.50
26.69,4.16,-4.34,4.16,-4.34,4.34,4.46,4.21,8.50,8.50,8.50
26.96,4.19,-4.31,4.20,-4.30,4.31,4.43,4.30,8.50,8.50,8.50
