frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,0.35,-7.31,0.35,-7.31,7.31,7.26,3.02,7.66,7.66,7.65
20.20,0.36,-7.29,0.36,-7.28,7.28,7.25,3.10,7.64,7.64,7.64
20.40,0.38,-7.26,0.38,-7.26,7.26,7.24,3.19,7.63,7.63,7.63
20.61,0.39,-7.24,0.39,-7.23,7.23,7.23,3.28,7.62,7.62,7.62
20.81,0.41,-7.20,0.41,-7.20,7.20,7.22,3.37,7.61,7.61,7.60
21.02,0.42,-7.18,0.42,-7.18,7.18,7.21,3.47,7.60,7.60,7.59
21.23,0.44,-7.15,0.44,-7.15,7.15,7.20,3.57,7.59,7.59,7.58
21.44,0.45,-7.14,0.45,-7.13,7.13,7.19,3.67,7.58,7.58,7.59
21.66,0.47,-7.11,0.47,-7.10,7.10,7.18,3.78,7.57,7.57,7.57
21.87,0.48,-7.09,0.48,-7.08,7.08,7.16,3.88,7.56,7.56,7.57
22.09,0.50,-7.06,0.50,-7.06,7.06,7.15,3.99,7.56,7.55,7.55
22.31,0.51,-7.03,0.51,-7.04,7.04,7.14,4.11,7.54,7.55,7.54
22.54,0.53,-7.01,0.53,-7.01,7.01,7.12,4.22,7.54,7.54,7.53
22.76,0.54,-7.00,0.54,-6.99,6.99,7.11,4.34,7.53,7.53,7.53
22.99,0.56,-6.97,0.56,-6.97,6.97,7.10,4.47,7.53,7.53,7.52
23.22,0.57,-6.95,0.57,-6.95,6.95,7.08,4.59,7.52,7.52,7.51
23.45,0.59,-6.94,0.59,-6.93,6.93,7.07,4.72,7.52,7.52,7.52
23.69,0.60,-6.92,0.60,-6.91,6.91,7.05,4.85,7.51,7.51,7.51
23.92,0.62,-6.89,0.61,-6.89,6.89,7.04,4.99,7.51,7.51,7.50
24.16,0.63,-6.89,0.63,-6.88,6.88,7.02,5.13,7.51,7.51,7.51
24.40,0.64,-6.87,0.64,-6.86,6.86,7.00,5.27,7.50,7.50,7.51
24.65,0.66,-6.85,0.66,-6.85,6.85,6.99,5.41,7.50,7.50,7.50
24.89,0.67,-6.83,0.67,-6.83,6.83,6.97,5.55,7.50,7.50,7.50
25.14,0.69,-6.81,0.68,-6.81,6.81,6.96,5.70,7.50,7.50,7.49
25.39,0.70,-6.80,0.70,-6.80,6.80,6.94,5.85,7.50,7.50,7.49
25.65,0.71,-6.79,0.71,-6.78,6.78,6.92,6.00,7.49,7.50,7.49
25.91,0.73,-6.77,0.72,-6.77,6.77,6.91,6.15,7.50,7.50,7.49
26.16,0.74,-6.76,0.74,-6.76,6.76,6.89,6.30,7.50,7.49,7.50
26.43,0.75,-6.75,0.75,-6.75,6.75,6.88,6.45,7.49,7.49,7.49
26.69,0.76,-6.74,0.76,-6.73,6.73,6.86,6.60,7.49,7.50,7.49
26.96,0.78,-6.72,0.77,-6.72,6.72,6.84,6.75,7.50,7.50,7.49
27.23,0.79,-6.71,0.79,-6.71,6.71,6.83,6.90,7.50,7.50,7.49
27.50,0.80,-6.70,0.80,-6.70,6.70,6.81,7.04,7.50,7.50,7.49
27.77,0.81,-6.69,0.81,-6.69,6.69,6.79,7.18,7.50,7.50,7.50
28.05,0.82,-6.68,0.82,-6.68,6.68,6.78,7.32,7.50,7.50,7.49
28.33,0.83,-6.68,0.83,-6.67,6.67,6.76,7.45,7.50,7.50,7.50
28.62,0.84,-6.67,0.85,-6.66,6.66,6.75,7.57,7.50,7.50,7.50
28.90,0.86,-6.66,0.86,-6.65,6.65,6.73,7.68,7.51,7.50,7.51
29.19,0.87,-6.65,0.87,-6.64,6.64,6.71,7.79,7.51,7.50,7.51
29.48,0.88,-6.63,0.87,-6.63,6.63,6.70,7.89,7.51,7.50,7.50
29.78,0.89,-6.62,0.88,-6.62,6.62,6.68,7.97,7.51,7.50,7.50
30.08,0.90,-6.61,0.89,-6.61,6.61,6.66,8.05,7.51,7.50,7.50
30.38,0.90,-6.59,0.89,-6.60,6.60,6.65,8.11,7.50,7.49,7.48
30.68,0.91,-6.58,0.90,-6.59,6.59,6.63,8.16,7.50,7.49,7.48
30.99,0.91,-6.58,0.91,-6.58,6.58,6.61,8.20,7.49,7.48,7.48
31.30,0.91,-6.58,0.91,-6.57,6.57,6.60,8.22,7.47,7.48,7.48
31.61,0.92,-6.56,0.92,-6.55,6.55,6.58,8.23,7.47,7.47,7.47
31.93,0.92,-6.54,0.92,-6.54,6.54,6.56,8.23,7.46,7.46,7.45
32.24,0.92,-6.54,0.93,-6.53,6.53,6.54,8.21,7.44,7.46,7.46
32.57,0.93,-6.52,0.94,-6.51,6.51,6.53,8.18,7.44,7.45,7.44
32.89,0.94,-6.51,0.95,-6.50,6.50,6.51,8.14,7.44,7.44,7.44
33.22,0.95,-6.49,0.95,-6.48,6.48,6.49,8.08,7.43,7.44,7.43
33.55,0.96,-6.47,0.96,-6.47,6.47,6.47,8.02,7.43,7.43,7.43
33.89,0.98,-6.45,0.97,-6.45,6.45,6.45,7.94,7.43,7.42,7.42
34.23,0.99,-6.42,0.98,-6.43,6.43,6.44,7.86,7.42,7.41,7.40
34.57,1.00,-6.41,0.99,-6.41,6.41,6.42,7.77,7.41,7.41,7.40
34.92,1.01,-6.38,1.00,-6.39,6.39,6.40,7.67,7.40,7.40,7.38
35.27,1.02,-6.39,1.01,-6.37,6.37,6.38,7.57,7.39,7.39,7.40
35.62,1.02,-6.36,1.02,-6.35,6.35,6.36,7.46,7.37,7.37,7.37
35.97,1.03,-6.34,1.03,-6.33,6.33,6.34,7.35,7.36,7.36,7.37
