frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,6.27,-3.66,6.27,-3.66,3.66,3.15,1.70,9.94,9.93,9.93
20.20,6.27,-3.65,6.27,-3.65,3.65,3.18,1.75,9.93,9.92,9.92
20.40,6.26,-3.65,6.26,-3.64,3.64,3.21,1.80,9.90,9.91,9.91
20.61,6.26,-3.64,6.26,-3.63,3.63,3.24,1.85,9.90,9.89,9.90
20.81,6.25,-3.63,6.26,-3.62,3.62,3.27,1.91,9.88,9.88,9.88
21.02,6.25,-3.61,6.26,-3.62,3.62,3.30,1.96,9.87,9.87,9.87
21.23,6.25,-3.60,6.25,-3.61,3.61,3.32,2.02,9.86,9.86,9.86
21.44,6.25,-3.61,6.25,-3.60,3.60,3.35,2.08,9.85,9.85,9.86
21.66,6.24,-3.60,6.25,-3.60,3.60,3.38,2.14,9.84,9.84,9.84
21.87,6.24,-3.60,6.24,-3.59,3.59,3.41,2.20,9.83,9.83,9.84
22.09,6.24,-3.58,6.24,-3.59,3.59,3.43,2.27,9.83,9.83,9.82
22.31,6.23,-3.59,6.23,-3.58,3.58,3.46,2.33,9.82,9.82,9.82
22.54,6.23,-3.58,6.23,-3.58,3.58,3.48,2.40,9.81,9.81,9.81
22.76,6.22,-3.59,6.23,-3.58,3.58,3.51,2.47,9.80,9.81,9.81
22.99,6.22,-3.58,6.22,-3.58,3.58,3.53,2.54,9.80,9.80,9.80
23.22,6.22,-3.56,6.22,-3.58,3.58,3.56,2.61,9.80,9.80,9.79
23.45,6.21,-3.58,6.21,-3.58,3.58,3.58,2.68,9.79,9.79,9.79
23.69,6.21,-3.57,6.21,-3.58,3.58,3.61,2.76,9.79,9.78,9.78
23.92,6.20,-3.57,6.20,-3.58,3.58,3.63,2.84,9.78,9.78,9.77
24.16,6.20,-3.58,6.20,-3.58,3.58,3.65,2.91,9.78,9.78,9.78
24.40,6.19,-3.59,6.19,-3.58,3.58,3.67,2.99,9.78,9.77,9.78
24.65,6.18,-3.60,6.19,-3.59,3.59,3.69,3.07,9.77,9.77,9.78
24.89,6.17,-3.60,6.18,-3.59,3.59,3.71,3.15,9.76,9.77,9.78
25.14,6.17,-3.59,6.17,-3.60,3.60,3.73,3.23,9.77,9.77,9.76
25.39,6.16,-3.60,6.17,-3.60,3.60,3.75,3.32,9.76,9.77,9.76
25.65,6.16,-3.60,6.16,-3.61,3.61,3.77,3.40,9.77,9.76,9.76
25.91,6.15,-3.61,6.15,-3.61,3.61,3.78,3.48,9.76,9.76,9.76
26.16,6.14,-3.62,6.14,-3.62,3.62,3.80,3.56,9.76,9.76,9.77
26.43,6.14,-3.62,6.14,-3.62,3.62,3.81,3.64,9.77,9.76,9.76
26.69,6.13,-3.63,6.13,-3.63,3.63,3.83,3.72,9.76,9.76,9.76
26.96,6.12,-3.64,6.12,-3.64,3.64,3.84,3.80,9.76,9.76,9.76
27.23,6.11,-3.65,6.12,-3.65,3.65,3.86,3.87,9.76,9.76,9.76
27.50,6.10,-3.65,6.11,-3.65,3.65,3.87,3.95,9.76,9.76,9.76
27.77,6.10,-3.66,6.10,-3.66,3.66,3.88,4.02,9.76,9.76,9.76
28.05,6.09,-3.67,6.09,-3.67,3.67,3.89,4.09,9.76,9.76,9.76
28.33,6.08,-3.69,6.09,-3.68,3.68,3.90,4.15,9.76,9.76,9.77
28.62,6.08,-3.68,6.08,-3.69,3.69,3.91,4.21,9.77,9.77,9.76
28.90,6.07,-3.70,6.07,-3.69,3.69,3.91,4.27,9.77,9.76,9.77
29.19,6.06,-3.71,6.06,-3.70,3.70,3.92,4.32,9.76,9.76,9.77
29.48,6.05,-3.71,6.05,-3.71,3.71,3.93,4.36,9.76,9.76,9.77
29.78,6.04,-3.72,6.04,-3.71,3.71,3.93,4.41,9.76,9.76,9.76
30.08,6.03,-3.73,6.03,-3.72,3.72,3.94,4.44,9.75,9.75,9.76
30.38,6.02,-3.72,6.02,-3.73,3.73,3.94,4.47,9.75,9.75,9.74
30.68,6.01,-3.73,6.01,-3.73,3.73,3.94,4.49,9.74,9.74,9.74
30.99,6.00,-3.73,6.00,-3.74,3.74,3.94,4.51,9.74,9.74,9.74
31.30,5.99,-3.74,5.99,-3.74,3.74,3.94,4.52,9.74,9.73,9.73
31.61,5.98,-3.75,5.98,-3.75,3.75,3.94,4.52,9.73,9.72,9.73
31.93,5.96,-3.74,5.96,-3.75,3.75,3.94,4.52,9.72,9.72,9.70
32.24,5.95,-3.76,5.95,-3.76,3.76,3.94,4.51,9.71,9.71,9.71
32.57,5.93,-3.76,5.94,-3.76,3.76,3.93,4.50,9.70,9.70,9.70
32.89,5.92,-3.77,5.92,-3.77,3.77,3.93,4.48,9.69,9.69,9.69
33.22,5.90,-3.78,5.91,-3.78,3.78,3.92,4.45,9.68,9.68,9.69
33.55,5.89,-3.79,5.89,-3.78,3.78,3.92,4.42,9.68,9.68,9.68
33.89,5.87,-3.79,5.88,-3.79,3.79,3.91,4.38,9.66,9.67,9.66
34.23,5.86,-3.79,5.86,-3.79,3.79,3.90,4.34,9.66,9.66,9.65
34.57,5.85,-3.79,5.85,-3.80,3.80,3.89,4.30,9.65,9.65,9.64
34.92,5.83,-3.79,5.83,-3.80,3.80,3.88,4.25,9.63,9.64,9.63
35.27,5.82,-3.82,5.82,-3.80,3.80,3.87,4.20,9.62,9.62,9.64
35.62,5.81,-3.80,5.81,-3.80,3.80,3.86,4.15,9.62,9.61,9.61
35.97,5.79,-3.81,5.80,-3.80,3.80,3.84,4.09,9.59,9.60,9.61
36.33,5.78,-3.81,5.78,-3.80,3.80,3.83,4.03,9.58,9.58,9.59
36.70,5.77,-3.79,5.77,-3.79,3.79,3.82,3.98,9.56,9.56,9.56
37.06,5.76,-3.78,5.76,-3.78,3.78,3.80,3.92,9.54,9.55,9.54
37.43,5.75,-3.77,5.75,-3.77,3.77,3.78,3.86,9.53,9.53,9.53
37.81,5.74,-3.77,5.74,-3.76,3.76,3.77,3.80,9.50,9.50,9.51
38.19,5.73,-3.75,5.73,-3.75,3.75,3.75,3.74,9.48,9.48,9.48
38.57,5.72,-3.74,5.72,-3.74,3.74,3.73,3.68,9.46,9.46,9.46
38.95,5.71,-3.73,5.71,-3.72,3.72,3.71,3.62,9.43,9.44,9.44
39.34,5.70,-3.71,5.71,-3.70,3.70,3.69,3.57,9.41,9.41,9.41
39.74,5.70,-3.68,5.70,-3.69,3.69,3.67,3.51,9.39,9.39,9.38
40.14,5.69,-3.67,5.69,-3.67,3.67,3.65,3.46,9.36,9.36,9.36
40.54,5.68,-3.66,5.68,-3.66,3.66,3.62,3.40,9.34,9.34,9.34
40.94,5.67,-3.64,5.67,-3.64,3.64,3.60,3.35,9.31,9.31,9.31
41.35,5.66,-3.62,5.66,-3.63,3.63,3.58,3.30,9.29,9.29,9.29
41.76,5.65,-3.60,5.65,-3.61,3.61,3.55,3.26,9.26,9.26,9.25
42.18,5.64,-3.60,5.64,-3.60,3.60,3.53,3.21,9.24,9.24,9.24
42.60,5.63,-3.58,5.63,-3.58,3.58,3.50,3.17,9.21,9.21,9.21
43.03,5.62,-3.56,5.62,-3.57,3.57,3.47,3.13,9.19,9.18,9.18
43.46,5.61,-3.54,5.60,-3.55,3.55,3.45,3.09,9.16,9.15,9.15
43.90,5.59,-3.53,5.59,-3.53,3.53,3.42,3.05,9.13,9.13,9.13
44.33,5.58,-3.51,5.58,-3.52,3.52,3.39,3.02,9.10,9.09,9.09
44.78,5.56,-3.50,5.57,-3.50,3.50,3.36,2.99,9.06,9.06,9.07
45.23,5.54,-3.50,5.55,-3.47,3.47,3.33,2.96,9.02,9.03,9.04
45.68,5.53,-3.46,5.54,-3.45,3.45,3.30,2.93,8.98,8.99,8.99
46.13,5.52,-3.43,5.53,-3.42,3.42,3.27,2.91,8.95,8.95,8.96
46.60,5.51,-3.41,5.52,-3.40,3.40,3.24,2.89,8.91,8.91,8.92
47.06,5.50,-3.38,5.50,-3.37,3.37,3.21,2.87,8.87,8.87,8.88
47.53,5.49,-3.35,5.49,-3.34,3.34,3.18,2.85,8.83,8.83,8.84
48.01,5.48,-3.30,5.48,-3.31,3.31,3.15,2.83,8.79,8.78,8.78
48.49,5.47,-3.27,5.46,-3.28,3.28,3.12,2.82,8.75,8.74,8.74
48.97,5.46,-3.23,5.45,-3.24,3.24,3.08,2.81,8.71,8.69,8.69
49.46,5.44,-3.20,5.43,-3.21,3.21,3.05,2.80,8.65,8.65,8.65
49.96,5.42,-3.16,5.42,-3.18,3.18,3.02,2.79,8.60,8.60,8.58
50.46,5.41,-3.14,5.41,-3.15,3.15,2.98,2.78,8.56,8.55,8.55
50.96,5.39,-3.11,5.39,-3.12,3.12,2.95,2.78,8.51,8.51,8.51
51.47,5.37,-3.09,5.37,-3.08,3.08,2.91,2.77,8.46,8.46,8.46
51.99,5.35,-3.05,5.36,-3.05,3.05,2.88,2.77,8.40,8.41,8.40
52.51,5.33,-3.03,5.35,-3.02,3.02,2.85,2.77,8.35,8.36,8.37
53.03,5.32,-3.01,5.33,-2.99,2.99,2.81,2.76,8.31,8.32,8.33
53.56,5.31,-2.97,5.32,-2.95,2.95,2.78,2.76,8.26,8.27,8.28
54.10,5.30,-2.92,5.31,-2.92,2.92,2.74,2.76,8.22,8.23,8.22
54.64,5.29,-2.89,5.30,-2.89,2.89,2.70,2.76,8.18,8.18,8.18
55.18,5.29,-2.84,5.29,-2.85,2.85,2.67,2.76,8.14,8.14,8.13
55.74,5.28,-2.79,5.28,-2.82,2.82,2.63,2.75,8.10,8.09,8.08
56.29,5.27,-2.77,5.27,-2.78,2.78,2.60,2.75,8.05,8.05,8.04
56.86,5.26,-2.74,5.26,-2.74,2.74,2.56,2.74,8.00,8.00,8.00
57.42,5.25,-2.69,5.25,-2.70,2.70,2.53,2.74,7.95,7.95,7.94
