frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,5.55,-4.12,5.55,-4.13,4.13,3.70,1.67,9.68,9.68,9.67
20.20,5.56,-4.10,5.56,-4.10,4.10,3.71,1.72,9.66,9.66,9.66
20.40,5.57,-4.08,5.57,-4.08,4.08,3.73,1.77,9.65,9.65,9.65
20.61,5.58,-4.06,5.58,-4.06,4.06,3.74,1.82,9.64,9.64,9.64
20.81,5.59,-4.03,5.59,-4.04,4.04,3.76,1.88,9.63,9.63,9.62
21.02,5.60,-4.01,5.60,-4.02,4.02,3.77,1.93,9.62,9.62,9.61
21.23,5.61,-3.99,5.61,-4.00,4.00,3.78,1.99,9.61,9.61,9.60
21.44,5.62,-3.99,5.62,-3.98,3.98,3.79,2.05,9.60,9.60,9.61
21.66,5.63,-3.96,5.63,-3.96,3.96,3.80,2.11,9.59,9.59,9.59
21.87,5.64,-3.95,5.64,-3.94,3.94,3.81,2.17,9.58,9.58,9.59
22.09,5.64,-3.93,5.65,-3.93,3.93,3.82,2.23,9.57,9.57,9.57
22.31,5.65,-3.91,5.65,-3.91,3.91,3.83,2.30,9.56,9.56,9.57
22.54,5.66,-3.89,5.66,-3.89,3.89,3.84,2.36,9.55,9.56,9.55
22.76,5.67,-3.88,5.67,-3.88,3.88,3.85,2.43,9.55,9.55,9.55
22.99,5.68,-3.86,5.68,-3.86,3.86,3.86,2.50,9.54,9.54,9.54
23.22,5.69,-3.84,5.69,-3.85,3.85,3.86,2.57,9.54,9.54,9.53
23.45,5.70,-3.84,5.70,-3.84,3.84,3.87,2.65,9.54,9.53,9.54
23.69,5.71,-3.82,5.71,-3.82,3.82,3.88,2.72,9.53,9.53,9.53
23.92,5.72,-3.80,5.71,-3.81,3.81,3.88,2.79,9.53,9.52,9.52
24.16,5.72,-3.80,5.72,-3.80,3.80,3.88,2.87,9.52,9.52,9.52
24.40,5.73,-3.79,5.73,-3.79,3.79,3.89,2.95,9.52,9.52,9.52
24.65,5.74,-3.78,5.74,-3.78,3.78,3.89,3.03,9.52,9.52,9.52
24.89,5.75,-3.77,5.75,-3.77,3.77,3.89,3.11,9.52,9.51,9.52
25.14,5.75,-3.76,5.76,-3.76,3.76,3.90,3.19,9.51,9.51,9.51
25.39,5.76,-3.75,5.76,-3.75,3.75,3.90,3.27,9.51,9.51,9.51
25.65,5.77,-3.73,5.77,-3.74,3.74,3.90,3.35,9.51,9.51,9.50
25.91,5.78,-3.72,5.78,-3.73,3.73,3.90,3.43,9.51,9.51,9.50
26.16,5.79,-3.72,5.79,-3.72,3.72,3.90,3.51,9.51,9.51,9.51
26.43,5.79,-3.72,5.79,-3.71,3.71,3.89,3.58,9.50,9.51,9.51
